gene_name	p_value
TRIP6	1.50780039082088e-05
ZNF90	4.49721857697094e-05
ALG11	8.20191526537117e-05
SEMA3G	0.000117546123068135
DNAH5	0.0002062725063805
CREB3L3	0.000475181197274631
ABCA5	0.000485990022034644
POLR3C	0.000560501149313533
ERAP2	0.00271979600157801
LRRC55	0.00316988032420531
PAH	0.00333422322715227
BNIPL	0.00344820643297661
RNF14	0.00391323950060063
CCDC191	0.00414275327103586
ZNF730	0.00429866409030399
MYOC	0.00431818996787026
ABCC12	0.00483642760370417
UGT2B10	0.00576021563885087
TNFSF18	0.00601862532951258
SLC16A8	0.00643802879316013
HAP1	0.00657702515420934
FAM189B	0.00658225615103913
GGT5	0.00661787529535018
RNF157	0.00848263672107785
TMEM132E	0.00983209152048503
TUBGCP3	0.0101342847301055
BRCA2	0.01060517013548
TMC7	0.0108382505999755
KRTAP29-1	0.0108590509855394
DNAH3	0.011206899528996
ALS2CL	0.0127084889974405
SDCBP2	0.0132607234856186
CACNA1B	0.0132923807742794
BPIFB3	0.0134608642036501
TPTE2	0.0135895029511256
IFI35	0.0138804746109399
ELOVL2	0.0143948186520712
HRNR	0.0145972760630929
CCDC40	0.0171212805644605
AVIL	0.0194034042603439
CEP250	0.0197350498712417
NOL7	0.0198035545144791
PLCD1	0.0199204834736546
MLNR	0.0208336165057792
GRIN3B	0.0208474635523069
NXPE2	0.0215964527598608
ZNF571	0.0219589511615123
C1QTNF8	0.0225256124669365
SSBP2	0.0230709479766743
DOHH	0.0232047269921538
GFRAL	0.0232048159895171
TEX14	0.0232129517009412
MROH6	0.0233119316725725
SMIM17	0.0233794594518975
FRAS1	0.0233877348161051
PARP3	0.0249532326879325
RGS12	0.0251502666038788
DEFA6	0.0260987854650173
CD72	0.0263682868331955
SFXN3	0.0264451595309934
ASTE1	0.026923878021777
CHAT	0.0276928869874989
FAM161A	0.0279963776108754
OR4F17	0.028194636989027
CCDC9	0.0288823880961064
LRP8	0.0289762481866496
HAUS3	0.0297157250989115
SULT1C4	0.0304265563320633
ECT2L	0.0314707531562942
NTN3	0.0318060919716465
IGSF22	0.032799981858431
PPP1R3A	0.033804759983616
ANKRD30B	0.0349909581674803
IL17RC	0.0350757118394295
SLC25A24	0.0365320404195397
MAN2C1	0.036784716581527
KCNK16	0.0380137781635894
CCDC144NL	0.0391511019057018
MSR1	0.039207217550051
ARHGEF37	0.039249118459241
RIPK3	0.0393565905145888
ZSCAN31	0.040220556757405
TSGA13	0.0406881559281343
MUC6	0.041234866474572
DDX60L	0.0412932996312194
BTN3A3	0.0420886229064595
LMAN1L	0.0429162193757903
URB1	0.0430516480178835
USP49	0.0430828663968713
AHI1	0.0437269435361656
FKBP7	0.0445568880933636
SLC4A1AP	0.0454064470413251
WDR87	0.0454197933638116
FCRL3	0.0457175410562008
FAM174B	0.0463398758925868
ZFYVE19	0.0465944766342073
MYCBP2	0.0467685638117556
ITSN2	0.047198364818256
EFCAB6	0.0473542445277903
PACRGL	0.0479008268403374
CPT1B	0.0479228518159749
PZP	0.047962894146194
SLC15A5	0.0489431708574514
LTN1	0.0490333513462802
OR6C70	0.0493803363161885
CUL9	0.0499118262054059
SLC24A5	0.0499867828064116
FAM13A	0.0500631546104198
MYOM3	0.0508368053962057
ECH1	0.0509055044173033
FMO3	0.0514091178291948
CCDC38	0.0514312398836536
EFCAB5	0.0514827474759388
ART5	0.0517206175698812
SLFNL1	0.0517656533402878
PAICS	0.0531741798538874
TMEM209	0.0536015893741203
LRTM1	0.054044002308099
C9orf152	0.0543194527237163
DACT2	0.0544114859810041
SPTBN5	0.0552114837605463
SKP1	0.0553303687251051
MYH4	0.0566592285514429
C11orf65	0.0568808621146634
CCDC146	0.0571383224784808
SPZ1	0.0573219932126145
VWA8	0.0577653592049122
DDX6	0.0578300812039499
ATP11B	0.0580693711310603
PKD1L3	0.0586054367458451
AIP	0.0592034027477136
CCDC171	0.0592361823702663
TMEM110	0.0597809996701334
SERINC4	0.0598051654874233
FOLH1	0.0598347886643767
STK33	0.0606801317059099
PRSS33	0.0614240798855469
SPP1	0.0620900279888308
LRIG1	0.0624900365099784
UBXN10	0.0625786761784375
IMMP2L	0.0627775246940422
TNFSF9	0.0633912725857716
ACAD11	0.063905740159229
MME	0.0639489561073542
GHDC	0.0643005375997441
LARP1B	0.0644101191431806
GPAT2	0.0650863859105084
CES2	0.0653429231148234
C4orf46	0.0654158990451248
CRELD1	0.0658043111075333
SSPO	0.0662377991195904
SRD5A3	0.0669118386034961
ATP1A4	0.0670473784457218
KHDC1	0.0670538550813997
SLC45A4	0.0676964462740888
YIPF1	0.0678375057136442
TMEM144	0.0679473681579917
TSHR	0.06932045357746
APOLD1	0.0696192409891853
SI	0.0696438231990022
SLC8B1	0.0708030888184588
SLC25A2	0.0708618753151316
SLC10A2	0.0716473250118789
AP3S2	0.0717966120054553
USH2A	0.0725741605154063
CEACAM20	0.0727903469954285
CBS	0.074308972087972
ZNF662	0.0743413723852386
FBXO16	0.0743886509863676
IFNA4	0.074431458924108
NQO1	0.0758904680183105
ZNF195	0.0760288401840399
ZRANB3	0.0766822203118395
PDE1A	0.0768650740179547
ESCO2	0.0773632821257374
OR51M1	0.0780409935628489
ANKRD30A	0.078048805958902
ZNF318	0.0791052561396058
C9orf85	0.0796339592338089
WNT10A	0.0809408860998042
C7orf69	0.0817938028004944
TGFBR3L	0.0819969013839903
FUT9	0.0821431507209076
TESPA1	0.0831051848165779
SLC22A10	0.083222408989478
HTN3	0.0834105349011204
OR4F15	0.0870301134016668
ZNF488	0.0872293149762404
CCDC27	0.0874565654966684
NAT1	0.0874613368607127
TLDC2	0.0874729539554462
GNB3	0.0879526138210711
ZNF530	0.0879996132218913
GML	0.0881543248214065
OR51H1	0.0881881378822422
WDR64	0.0896571413341937
ANKLE1	0.089703057792265
CYB561D2	0.0900558473349041
OR13C9	0.0904954675015892
MCF2L2	0.0906271714436102
TP53AIP1	0.091935201305966
GOLGA6C	0.092113325547459
CWC22	0.0922352131367923
TTC5	0.092662945944539
RDH13	0.0928067922750442
SLC26A8	0.0930415064859166
HEXA	0.0935441561253321
WDR35	0.0935954163820013
PXMP2	0.0951413932524563
SNX4	0.0954723623786283
NUDT19	0.0956084789782302
FBXW9	0.0963812061395338
APOB	0.0972894860761191
ZC3H3	0.0974188212159885
GLB1L2	0.0974707987806489
PNPLA1	0.0985012437249597
CCL26	0.098729150379669
PLA2G16	0.0996217294774036
HSPA2	0.100249648774638
CNNM1	0.100912840744107
RGS11	0.101241235711666
BBS10	0.101922546689823
ERV3-1	0.101923120669475
NCAM1	0.10346227438736
FAM184B	0.103870241346699
STEAP3	0.104642527513901
ARHGEF16	0.104650812476311
DDX31	0.106224531783535
TRHDE-AS1	0.106447656293116
TP73-AS1	0.106621588676467
FER1L6	0.107292451336842
ZNF474	0.107417527774826
METTL27	0.1076279080458
SCNN1D	0.107642113440922
RTKN2	0.109000824245038
B4GALT7	0.109450450083498
MYPN	0.109748857708299
PRUNE2	0.109833465977141
ZZEF1	0.111119982141063
CSF2RB	0.111523502968687
PEX6	0.113096995111896
CNPY4	0.1138548670108
SPAG16	0.113904708002386
CHEK2	0.114187746649683
SUPT3H	0.114293195754845
MCEMP1	0.114727131519435
ELP5	0.114989597378252
KRTAP10-3	0.115774026974398
DHX58	0.116026573497615
TLCD2	0.116034533908654
RASAL3	0.116863313221935
PTBP2	0.117168579394796
RAPGEF5	0.11744503111474
GDPD4	0.117665932424888
PPP3R2	0.118703416140194
HBZ	0.118872028468687
NLRX1	0.118964200162098
KRT81	0.119132453366379
SUSD1	0.119233571717858
LOC105375787	0.121009542104843
TIGD4	0.121189683091016
RGPD5	0.121385577263998
PIEZO1	0.121510043337679
POLN	0.121781855290899
ERMARD	0.122743725915526
PDZD7	0.123773374009087
KDM2B	0.123804691099181
C19orf35	0.124014882244978
EML3	0.124609932200965
KRTAP1-1	0.12607264232233
SLC25A38	0.126144494754492
OR6K2	0.126534516839775
AXDND1	0.127983939987091
DUOXA1	0.129027906229305
PDZRN3	0.1291846583768
ACADL	0.129188603800922
ASCC1	0.13017562120541
TEKT3	0.131173522702055
C22orf39	0.131251336704067
LAMA2	0.131426815958376
GRAMD1A	0.131941239214733
EGFL8	0.132371335157659
ZNF232	0.132462751270789
ZNF594	0.133059840591021
CLCN1	0.133953523581845
FANCM	0.134333388791495
PDE5A	0.134815776594902
IGFLR1	0.135033639621085
ATP9A	0.135197984158876
FAM234A	0.135459122381191
ZNF888	0.135487537162586
HNRNPU	0.135686224243498
XAF1	0.135774791459416
ANO9	0.138991818294427
KIR2DL1	0.139638977751583
PCDHB1	0.140442726283424
INPP5B	0.141245045578455
PITRM1	0.141339657484007
UFSP1	0.142148488042034
APPL2	0.142945233019404
DHX34	0.14301041341235
USP40	0.143034618769053
MUM1	0.144430226133766
ETV2	0.144782421412432
ACOX3	0.146579721828318
SPG7	0.146586769604277
SLC26A4	0.146979872739307
TPP1	0.148525559528102
COX6B2	0.148554470168269
TRIM77	0.148698879832453
PKN1	0.150022851703777
PRDM2	0.150704215404433
USP8	0.150753373150498
OR52K1	0.150954637396319
PARP4	0.151336883982552
C19orf57	0.151616040044975
UEVLD	0.152108685005964
ZNF124	0.152235969629502
C19orf71	0.152366754182408
IFIH1	0.152627700185514
UPK3A	0.153186131381857
MYO18B	0.153649979186753
TNFAIP8	0.155006851209862
ATP6AP1L	0.155209038285389
NPL	0.155365730484445
CD300C	0.156459450110253
NDUFV3	0.156740825577425
SPAG1	0.156769851764819
FCRL6	0.157314609837439
PRSS36	0.157349021697411
ACOT8	0.15743196923574
C11orf21	0.157922158442061
SERGEF	0.159194088691935
SRPK2	0.159203562240312
