gene_name	p_value
ECT2L	0.0028286593384232
DMGDH	0.00285300437901161
PPP1R3A	0.00361601308727186
SFXN3	0.00374096681862317
ABCA5	0.00391547670652494
HRNR	0.0047710762573878
RNF157	0.00767039260071578
IL17RC	0.00775908454020932
IGFBP1	0.00790425239226209
ECH1	0.0084238390125847
DNAH3	0.0087085236815109
MME	0.00891811461752889
BPIFB3	0.00980246986772051
CEP78	0.0104946989266042
MAST4	0.0106608243721656
TUBGCP3	0.0113537437912342
CCDC158	0.0116548314859505
SLC8B1	0.0133000196321241
C1QTNF8	0.0133365561528831
MYOC	0.0138972209004614
CCDC146	0.0140487752628352
CCDC180	0.014627561520054
FMO3	0.0150717031666671
UBASH3A	0.015336835039567
AVIL	0.015599616211395
DDX6	0.0163781145525974
CCDC191	0.016436542494671
CRELD1	0.0169475873176871
CNGB3	0.0187783165228743
SPAG16	0.0193287918724646
NBEAL1	0.0194256629463234
MMP13	0.0195146705032183
URB1	0.0217707631803671
ALG11	0.0221092957688165
ERAP1	0.022387839289833
CCDC27	0.0225992379642473
CLCN1	0.0226125065117038
ZNF568	0.022884452185152
PZP	0.0229982885628965
SLC16A8	0.0230433256675841
CYB561D2	0.0251454826489345
YIPF1	0.0265402074033521
C2	0.0266754384195702
CHP2	0.0269790889606145
FAM161A	0.0279138232105891
BNIPL	0.0285300269709236
PKD1L3	0.0288504026488761
PODN	0.0289474192801519
RHBDL1	0.0290878788301296
PLA2R1	0.0302313418792607
CCL26	0.0307157980034723
FBXO16	0.0308768341069348
C11orf65	0.0311479087141507
NOL7	0.0313403496384751
SEMA3G	0.0317634239654416
AKAP9	0.0320073878616127
SMIM17	0.032119582511187
PAH	0.0323006568907954
LOC100129083	0.0323825746162444
C19orf35	0.032766437315796
ZFYVE19	0.0329796580507268
EFCAB5	0.0331078543908193
SETD9	0.0335587301075309
GML	0.0340776955965911
PLCD1	0.0344229399544779
PTPRM	0.0346480217663243
CRYM	0.034722645294305
CYP2D6	0.0349987306080161
FRAS1	0.035019609759006
POLR3C	0.0350817673469403
SLC25A24	0.035213176222832
SPOCD1	0.0352758390656598
PLA2G16	0.0356493062942259
LTN1	0.0356885142158952
TRIP6	0.0359101231072745
ABCA7	0.0371733375276183
SLC25A41	0.03848296842432
FAM174B	0.0395535974361168
FRMPD1	0.0396880877699741
ATP2A1	0.0401638097157985
HLTF	0.040216290071293
HEPHL1	0.0403691591047434
KRT81	0.04058418978929
SLC4A1AP	0.0406003268626353
PRDM2	0.0414818581066239
ZNF730	0.0415463459658218
MUC6	0.0421541565666069
ZNF90	0.0423690556951061
STYK1	0.0426010908533792
OR10R2	0.0427020594642161
NLRX1	0.0433335517223195
HIST1H4K	0.0441871103352948
ADGRV1	0.0463592112968607
ATP11B	0.046518228184897
EFCAB3	0.0471915758169394
FAM234A	0.0477090198799342
USP40	0.0483835305869562
MYPN	0.0494176161231018
CCDC102B	0.0496312017125071
SAXO2	0.0497276513824331
METTL27	0.0497720509140825
FAXDC2	0.0499100398484275
ALS2CL	0.0499376784069818
ASCC1	0.0507888162019264
GNRHR	0.0508767822557181
USH2A	0.0522576421148847
KDM2B	0.0523649853940049
MYO3A	0.0525579333726324
KLLN	0.0531326980505599
BRCA2	0.053183839986242
SLC22A10	0.0548604223285006
B3GAT3	0.0555035856050597
KCTD18	0.0561550604233488
MCF2L2	0.0566816990597986
OR13C9	0.0566895248380581
SCN10A	0.0568611774456015
FAM221A	0.0571280792521112
SDCBP2	0.057325195885437
CUL9	0.0578083566428377
ABCC12	0.0580920349808334
C22orf39	0.0588883545041639
NEK10	0.0589993379488256
GLB1L2	0.0602434191218705
FMN1	0.0603461955167046
SLC35E4	0.0613938339270141
LRP8	0.0620952399833307
DUSP27	0.0622881148439723
SPP1	0.0630198828288998
SFI1	0.0631643117849306
WASHC2A	0.0632740325949084
PAXBP1	0.0634260219671753
ITGAD	0.0638783873186751
COX6B2	0.0644595904859045
KLHL33	0.0646120167238115
NPC1L1	0.0646946188004973
