gene_name	p_value
POLN	0.00540598925138248
CFAP100	0.00623840340831758
GRAMD1A	0.00899130539556253
ACOX2	0.0106834266152704
SNRPE	0.0120429812497513
IFIH1	0.0137493234236769
GOLGA8M	0.014278556599942
PLSCR2	0.0181454783427686
C9orf85	0.0264609126394877
MYO1C	0.0285022722504461
TRPM4	0.0290304069082603
ABCA7	0.029389234518265
DCHS2	0.0296718438243508
FGGY	0.0310988953688199
PXMP2	0.0323872204310153
HIST1H4K	0.0336122079711462
LYST	0.0344610447671868
TPTE2	0.0348110746633528
EPX	0.0380828512350945
C19orf71	0.0381766699415491
IQCB1	0.0395317380569202
LONP2	0.0402588744912492
DUOX1	0.0420762453497679
FOXO6	0.0421345885125571
PHKB	0.0433627590352683
APEX1	0.0435413721852377
AFMID	0.044217073716058
PKM	0.0471357804640055
CMYA5	0.057049935912094
CD44	0.0614444484396284
ACAD11	0.0630619967407601
RBKS	0.0660160706698442
PSMB11	0.0661783851824318
LCNL1	0.0693965207832713
GGN	0.0694774866716849
IP6K3	0.0751286710657696
GH2	0.0766861094500561
NUP214	0.0772114265784453
KIAA0930	0.0776132611799779
TMC7	0.0786544489197571
OR10AC1	0.0790567178964282
SULT1C4	0.0846325942968146
AIRE	0.089783144197169
MPG	0.0924330056834739
KLHL35	0.093525146734693
CPA2	0.0937136084844729
OR4D10	0.0953197263465477
C11orf65	0.0967236976484948
DYNC2LI1	0.0969618707966218
ZNF83	0.0992087765351569
URB1	0.104475877125152
COX18	0.105795316559095
IGFLR1	0.106651346811547
ETV2	0.107049262536187
C1orf105	0.107992656520777
RABEPK	0.108236701570669
ULK4	0.108287475656743
SNAPC4	0.111124429035167
ABCC12	0.112871284583932
DERL3	0.12018315517312
ASB6	0.120846145796035
KRTAP24-1	0.120950037494262
FAM129A	0.122220348653298
COL23A1	0.124413610844985
C17orf97	0.127024066937955
DBF4B	0.127968313195459
UNC93A	0.131588964724449
MGST2	0.133177804772188
GTF2F1	0.140366771837397
CEP89	0.140371356107645
TLDC2	0.144467681974977
OSCP1	0.149302728973838
LPO	0.149795587496961
RCN2	0.150286066359256
CWH43	0.151973096320456
NIPSNAP3A	0.15679390190843
ANTXRL	0.156957878530883
ANKLE1	0.158564646926137
NINL	0.15906434696458
SNRPN	0.169108313333119
PADI2	0.171136098311756
TYRO3	0.171231724961346
RNASEL	0.171402119870746
C7orf69	0.172992852008305
GALR3	0.173027554748491
C11orf40	0.174574136550504
STAP2	0.178008649971549
IFNA5	0.178725517071905
ZNF749	0.180550716021743
XIRP2	0.182137190543663
HDDC3	0.18564224053404
SLC22A10	0.185940085527404
ATP2C2	0.186200872562337
UBE2U	0.186203814046764
KDM2B	0.186494811961113
OSBPL1A	0.192433800222179
PIWIL3	0.193953764381461
PRDM2	0.195592250631538
PON2	0.199434083154735
EPB41L2	0.203512104349491
C6orf222	0.204741945058155
SECTM1	0.207085848341604
MUC22	0.207898350620646
CHAT	0.208513978983303
OR5M3	0.211297562343005
UGT2B10	0.211368917612102
GPNMB	0.214190938328123
C1orf168	0.221878693673752
SLC13A1	0.223436725156053
DPYD	0.22512307022638
CUL9	0.227088257203661
SIGLEC7	0.230239051932081
ASPM	0.234134000436204
UPB1	0.234803144976061
ZNF845	0.235077788831867
RGL3	0.239139804567561
ZNF599	0.242777145237963
OSGEPL1	0.245690798092988
ZNF440	0.246295212256587
ATP13A5	0.248306767204807
VIT	0.248796875195361
PRB1	0.249182148023135
ZNF100	0.251827579626781
ZC3H8	0.253794044698541
KIF19	0.254558556620905
PIK3C2G	0.254622579528825
ZNF486	0.254663953512428
GCNT3	0.256969937977032
ABCC9	0.267262261921653
PRM3	0.275125216379372
GLB1L3	0.277420112405934
FAM107B	0.278137011427261
SLC22A25	0.278961564566518
SLC39A7	0.284930679855598
LMO7	0.287300805794494
LENG9	0.288182713345913
FAM221A	0.289825387881823
MMP1	0.292162565250204
ABCC11	0.293413497897633
GALNT9	0.29763789188417
P2RX6	0.303203470742389
PPP1R3D	0.315274453582011
ZNF318	0.316357104972256
ADAM2	0.317104700139291
MRI1	0.319013521775994
NBPF3	0.324019234752761
GOLGA6C	0.326478918276722
OVGP1	0.327276406249962
DEFA6	0.327939092447597
CD36	0.331915638584755
PIEZO1	0.333169473056474
ADAM18	0.333839787680499
ABCA9	0.334746890809252
HLA-C	0.336469522877462
ANKRD18B	0.338444434846758
MTMR2	0.338444434846758
TRIM15	0.338530097180037
MROH2A	0.343882047751666
C2	0.347117945254492
HABP2	0.352316904428207
ESF1	0.352442662141641
FBXW8	0.353688945910332
EXO1	0.353913408356109
WDR66	0.354918212077566
FAM227B	0.356048231705123
C4orf46	0.357516167852598
GPLD1	0.35927238459218
FRMD5	0.360812700579912
OBSCN	0.361110561324132
SPTBN5	0.363190280024247
PVRIG	0.364122661749135
KANK4	0.364343321736296
RADIL	0.366155974491148
USP54	0.374495873997085
CARD9	0.376724864417295
C10orf128	0.378592153135352
TRIM58	0.380326713857195
STON2	0.385117281042069
CCDC87	0.385215130570027
ZNF585A	0.387408734222507
DNAH2	0.387488939116333
FUT6	0.391276690499062
CAPS2	0.391522962175833
ASPSCR1	0.39781343359647
IGFN1	0.400891542926224
