gene_name	p_value
ANKRD20A1	0.00105863599244999
IFIH1	0.00160414742510939
GOLGA8M	0.00195695882580972
DUOX1	0.00339511130889592
NIPSNAP3A	0.00440716155786304
OR4D10	0.00533307607768054
CMYA5	0.00552132872118094
TRDN	0.0141669911938772
AFMID	0.0174769935646267
OR10AC1	0.0188446214236734
PLB1	0.0219960916491456
PADI2	0.0225261536434738
GGN	0.026237639236706
LCNL1	0.0264239876902595
SLC39A7	0.0297005659668613
RRP8	0.0327141507478917
SLC25A2	0.0336482499725173
FRMD5	0.0377941554818986
FAM221A	0.0500460031277822
MSS51	0.0544059106388788
SLC13A1	0.0560710306417026
ZSCAN31	0.0625273334763442
RAD50	0.062977034367969
CDK5RAP1	0.064407964025493
PLA2G4D	0.0685173485477018
GFRAL	0.0685745555368147
ZNF765	0.0698973211591635
TRIM15	0.0734415570981226
DERL3	0.0769351491652795
ADAMTSL4	0.086199352209435
CARD9	0.088011228656673
ZNF417	0.0881909822819712
BTNL2	0.0925627313161841
ALG8	0.0931472404618808
NANOG	0.0931646878462988
COL23A1	0.0958548599694643
RNASEL	0.0960460927183939
ZNF655	0.097220466486059
ABCB5	0.0987137019848365
UBE2U	0.102044314673872
TEX15	0.102759244235529
TRIM58	0.105442982012942
TPPP2	0.10608163600231
PCDHA8	0.10705557621097
NUP214	0.110331144501333
GH2	0.111795867181907
FUT6	0.112278555805531
LONP2	0.113706045238177
KLK10	0.114122514263369
MROH2B	0.114301397603178
PIK3C2G	0.11546660042143
SNAPC4	0.115473548057855
CAPS2	0.118412859957502
MUC17	0.120157726301525
ZC3H8	0.121332269311725
ASPM	0.123843366864978
SLC16A8	0.12685169972189
ABCC11	0.129666059002703
ADCK2	0.129728248022973
PKM	0.13123253139731
USP49	0.131864527450015
ZNF107	0.13230489162728
IFNA5	0.140868723797894
ORAI1	0.144256198769233
PDE11A	0.144373995819001
COX18	0.144991506346888
CWH43	0.148660657357579
MFSD6L	0.157756690865911
MUC4	0.158412722699983
NINL	0.159972015050377
RGL3	0.161750458331696
