gene_name	p_value
LOC100129083	9.66779387050981e-05
PHLDB3	0.000816250949705055
PLA2R1	0.001141018046384
RABEP2	0.00171624393099447
BPIFA2	0.00268217771200162
MROH2A	0.00268557501245048
FAM221A	0.00276769838022872
GPR63	0.00312584468602402
RCN2	0.00606598995207985
KIAA1257	0.00615824398197062
PSG6	0.00642767064699001
ASCL3	0.00728987432637307
PKD1L3	0.00782880054282092
OTOP3	0.00812800971772243
SHC1	0.00850540495795205
FANCL	0.00922317782422619
LRRC43	0.00963085639531379
OBSL1	0.0101113580369141
PAXBP1	0.0108069966110478
ELMO3	0.0113570989882942
ERCC3	0.0115222746376141
PP2D1	0.0115371310087989
PSG11	0.0115939616626982
ABCA7	0.0119703166046913
OR6C68	0.0127806834919635
LOXHD1	0.0134847975865995
ADAP2	0.0135048021442448
PCDHB13	0.0139364996027176
WDR3	0.0141425376987436
HTT	0.0144634845956154
GSS	0.014625527973153
EFCAB12	0.0148512778021458
TLCD2	0.0148528421573093
ARL6IP4	0.0152734381171183
LLPH	0.0153497121910842
FAM83A	0.0161590796492378
NPFFR2	0.0162617066281185
ITGAE	0.0163551405657527
CFAP65	0.0165348904009761
RPL3L	0.0166412206936304
RAB34	0.0167555224369412
RASA2	0.017165463532347
PGK2	0.0172491866916084
ALOX15B	0.0173068975077512
GML	0.0173144726531991
SEC23IP	0.0177133502651391
SPATA32	0.01783118570262
ZFYVE19	0.0180924444096522
MYO1C	0.0181277646480862
GABRP	0.0182314620735381
SLC25A48	0.0187987299190474
CDH23	0.0188629935580135
ATP13A5	0.0189196319791554
ANKRD30A	0.0190958906189819
FAT2	0.0193903444400338
ACOT4	0.0196919661394489
PLEKHG5	0.0206039481660331
CEP290	0.0208261008619387
ZNF124	0.0210767936473597
LRRC46	0.0211241705963339
TRIM72	0.0213201639967047
DNAH1	0.0216082012721834
ZNF844	0.0219251214922248
RADIL	0.0222664998486085
CLCN1	0.0233171147623397
SLC4A1AP	0.0235062462177692
TNN	0.0235273812174273
FER1L6	0.023689219104156
OR51G1	0.0237757535163687
PRAMEF4	0.0242575198171027
MAN2A2	0.024352157364523
CFAP58	0.0248242989296168
KCTD18	0.0250430748093694
PLCH2	0.0251345375099606
OTOF	0.0256614456595066
ZNF266	0.0261974667795665
EXOC3L4	0.0267507801895461
IL4I1	0.0277301494093118
C14orf37	0.0277943971187005
HIST1H2BL	0.027891382240972
FDFT1	0.0283045088257355
ZNF649	0.0284965373696834
OR2G6	0.0314070836915666
HIST1H4E	0.0314676079710683
SEMA4B	0.0318551719756944
TYRP1	0.0322990210512099
KIAA0930	0.0330937630579207
FMN1	0.0337569387171941
C1orf56	0.0340938709704294
TRMT44	0.0344626487109021
CD1B	0.0344862442925535
ANKRD31	0.0344890000976434
ETFBKMT	0.0347197304694028
AFM	0.0349876600463531
PCDHAC1	0.0358082288138639
ASCC1	0.035831731420459
MTHFD2L	0.0375527910909832
MYO1H	0.0375680379521276
KLC3	0.0376768206676287
C20orf202	0.0378492042989044
ATP7B	0.0386127074564498
CENPW	0.0392844879244015
TRIM15	0.0393469521927431
UAP1L1	0.0393612896825369
NPC1L1	0.0397842046398947
HPR	0.0402684321137347
PPIP5K2	0.0412120465822082
SCN10A	0.0414276007964338
DUOX1	0.0416127570105931
TRPM5	0.0419327684419057
RGL3	0.0432995607610788
BCHE	0.0434144880179459
ADCY4	0.0442231071601819
CYP2C18	0.0444708109811852
VPS9D1	0.045038524463902
IQCB1	0.0456740750012331
EYS	0.0461539107919827
CFAP100	0.0462965638776218
ADAMTS20	0.046411158632688
ATG4C	0.0469741696435637
DNAH11	0.0476877669529384
HIST1H3A	0.0482508526462486
TARP	0.0486552114542853
LRRC74A	0.049596548343372
IL17RC	0.0498531055040744
SERPINI2	0.0514058634489742
TRPV1	0.0515216536035789
GSTA1	0.0515774024394263
THNSL1	0.0524824875507541
VPS13C	0.0526010349625734
CHEK2	0.0527767590705477
KCNA7	0.053689300983966
VPS33A	0.0537435713624864
GEN1	0.0537702099433779
ERV3-1	0.0554481039418317
TMPRSS7	0.055667783997599
PDIA2	0.0558115127464651
RNF212	0.0558572978332986
SLCO1B1	0.0567816882474069
MST1L	0.0573848147515058
RIC3	0.0576310114121656
ADAM29	0.0576803858666194
BABAM2	0.0577323625632281
ZNF852	0.0577863091052827
PTPRG-AS1	0.0579251191419738
SRRD	0.058107275977781
MYOZ3	0.059070231985055
ADGRE3	0.0593983745190894
TMEM247	0.0601536442493774
OSBPL1A	0.0606558826723726
WASHC2C	0.0613003761130292
SFXN3	0.0618238072277216
DUXA	0.0622371985665552
VWCE	0.0626433232709419
NPHS1	0.0632874263505205
TAF1B	0.0638161997986776
TRIM42	0.0647360017384109
MCEMP1	0.0651268895676888
XIRP2	0.0652929658516053
ZSCAN22	0.0655591828763205
SLC6A13	0.0658965192528599
CBX2	0.0663616453710656
MGAT4D	0.0665374055536762
PASK	0.0666696208735379
KRT82	0.067178989755467
KRTAP29-1	0.0681004365170071
HIST1H4B	0.071444264052476
LTB4R2	0.0715893248681138
MYO15A	0.0719135616039265
SECTM1	0.0726852813560254
OR5T3	0.073822382137527
BEST3	0.0741871933369253
TOGARAM2	0.0748571427012324
MICB	0.0751669005060293
SPSB2	0.0752638607845005
CRYBB3	0.0760887172073304
TTC6	0.0763460319345821
RFX3	0.0763587545931472
ZSCAN12	0.0772927235129253
FLG2	0.0779050795364163
RRBP1	0.078073005986497
MLKL	0.0781831133228369
ITGB3BP	0.0789512158172556
TGM1	0.079802891290453
C2	0.0804714744066825
TDP1	0.0816588760243212
GRAMD1A	0.0821882833737752
FAM217A	0.0822263812272068
EFCAB2	0.0822743385937798
ADAM33	0.0823456385544881
PTBP2	0.0828618924237985
CEP295NL	0.0830317448714629
KPNA7	0.0831778890060734
ABHD18	0.083553246344863
FAM161A	0.0837863509387009
TMEM183A	0.085372803776757
SPDL1	0.0860899422140486
ANO6	0.0864744021613417
HDAC9	0.0866862774908025
ZNF142	0.087049081002502
C4orf46	0.0872642379987942
FBRSL1	0.0873736529463373
SAMSN1	0.0886367900038981
IGFBP1	0.0890776486084414
PLBD1	0.0897210871126884
C22orf15	0.0900150677195503
MMP13	0.0906013773483364
CCDC102B	0.091208308049705
CASP4	0.0924417238293012
SLX4	0.0929207061548581
ZNF318	0.0933348127861213
TPRKB	0.0938851455011466
ZNF71	0.0948397991520435
SIGLEC11	0.0960654793710621
WDR90	0.0961065591580024
CELF2	0.0961803352653689
NLRX1	0.0962406195836032
FAM198A	0.0970496030287301
TP53AIP1	0.097977556169301
