gene_name	p_value
NQO1	0.0031180811968888
RCN2	0.00522173631625507
MUC6	0.00883841566974185
ACOXL	0.0111099615113186
LRRC43	0.0123330195980204
IL15RA	0.0131793355937353
GJB7	0.0132981015455742
CEP295NL	0.0140632293859983
COL16A1	0.0151779270560063
UTP14C	0.0154533965184874
EYS	0.0168132005113546
UPK3B	0.0171811884166018
KCNA7	0.0175653804685223
CELF2	0.0178250103755968
MLKL	0.0187962606580507
KIR3DL1	0.0191306207553462
GRAMD1A	0.0194656939507778
DUOX1	0.0203835217174428
TLCD2	0.0215252857138737
CFAP58	0.0221205188727184
ZNF114	0.0221258547998507
IFNA4	0.0225101483483773
PEX6	0.0226046605876249
OR51H1	0.0227803365898259
PLA2G4F	0.0241173480305143
SLC35F5	0.0243031824634792
USH2A	0.0243426211571333
MCU	0.0244130961990867
FER1L6	0.0248639062711247
GEN1	0.0249806990815326
ATP7B	0.0254319112945051
PAPLN	0.0256469234083851
PSG6	0.0273841071617207
MROH6	0.0276588822807413
TEX14	0.0276588822807413
NCF2	0.0279625373569309
PLA2R1	0.0280559015303343
DNAH11	0.0280587069281298
CES2	0.0291476004188879
MCEMP1	0.0292323952972041
ERICH6	0.029668687984371
NANOG	0.0297083392890301
ESYT3	0.0301923795037879
FAM173A	0.0309707094272783
PDE1A	0.0320049626538771
GMPR	0.0320157834671046
SLC10A6	0.0324007123835163
PHLDB3	0.03266372143933
FAXDC2	0.0327888632673629
COL6A6	0.0327968224674045
ABCA7	0.0340940936769967
METTL27	0.0343253186896792
GML	0.0350988283251068
USP6	0.0352310304321194
CEP95	0.0355471230431708
TMEM247	0.0356884328956776
CCNI2	0.0358527255707592
SFXN3	0.0367237946511837
GPR162	0.0368124718830922
MCF2L2	0.0369630635996817
CEACAM21	0.0370546739978919
OR6C76	0.0372411778669548
WDR90	0.0377443115431679
RTP5	0.0380238473747513
TMEM161A	0.0384573158587243
PCDHB13	0.0384885253951077
ZNF227	0.0386938792064371
ARV1	0.0393735541106155
ADAP2	0.0394146974624254
CHEK2	0.0394939063181055
THNSL1	0.0395150876241784
EHBP1L1	0.0396437293089343
ELMO3	0.0397166243735099
ZNF555	0.0399584902050631
HOXC4	0.0402442062652777
TRIM42	0.0404433634446374
SECTM1	0.0414439797028584
LTB4R2	0.0414469427696286
OR4F15	0.0426657128931345
SEMA4B	0.0430219206965432
MYO1H	0.0434305978795112
ITGAE	0.0436265098203721
SPATS2L	0.0439211523795218
PRUNE2	0.0439353732273724
SLCO1B7	0.0454359181274394
UPB1	0.0459922998534154
LAMA2	0.0461817773178444
ATG4C	0.0461846496665471
GFRAL	0.0463199645711095
SURF2	0.0470395705042999
ABCC2	0.0481429974433195
CACNA1B	0.0491697173855531
EMP2	0.049560017150848
CDHR4	0.0498326438457422
TNFAIP8	0.0499002216966921
SLC34A3	0.0503656939191786
PARP3	0.0513979050788138
CALML4	0.0522069450166346
DKK3	0.0531443772207391
APOL3	0.053727485359904
DCDC1	0.0538892280018645
FAM161A	0.0543976869253061
DDX52	0.054425147073461
CLK1	0.0546588148053353
PDZRN3	0.0548571570626027
RNF212	0.0548643177333912
ZNF649	0.0557389498488796
FCGBP	0.0559611331399041
OR10AC1	0.056247500962993
FCRL3	0.0565092375959028
EFCAB2	0.0565503589427646
RNF224	0.0566485170743505
STK11IP	0.0572874562199997
ATP5SL	0.057502898446339
PGK2	0.0579189213284926
PLEKHB1	0.0579513649624008
LLPH	0.0581168595987477
KRTAP29-1	0.0582081129019621
ABCA8	0.0583295702967374
RNPEP	0.0584878945500349
ANO5	0.058595723274172
SLC25A24	0.0588463022102565
NOSTRIN	0.0602410496511035
GNRHR	0.0603715599171239
CD36	0.060966147116516
MROH2A	0.0611517416185168
PCDHB14	0.0616813036786589
ZC3H8	0.0617795179156293
OCM	0.0622102153760749
NEB	0.0633581847223619
ZBED6CL	0.0634510474067587
AMZ2	0.0635898067071432
LRIG1	0.0646027651564037
ZNF584	0.0650206743688267
XIRP2	0.0651419049934548
OXR1	0.0652739071221852
IQCB1	0.0653225604234668
HAGH	0.0655027072569147
MAN2B1	0.0656096356264844
ECEL1	0.0664133584093176
FUT9	0.0670306740142709
HEATR4	0.0675980782050955
B3GNT4	0.0681348103552863
PASK	0.0686546395686933
METTL24	0.0686953000959605
ZNF717	0.0691740459291886
SLC6A13	0.0693789526658127
LMBRD1	0.0694801275123999
ZNF845	0.0696664041122505
CUL9	0.0698435040975302
BTBD1	0.0703871587667912
BLK	0.0712592142545279
CEACAM20	0.0715971512190265
NUDT9	0.071745543071867
SSNA1	0.0719127302727987
ANTXRL	0.0722100092672065
ZCCHC4	0.0722168906532133
OR5AC2	0.0723746874052327
DDX6	0.0724800366791456
EFCAB12	0.0726404679705447
SLFN12L	0.0730825871724412
LEKR1	0.0736396924246195
ACOX2	0.0737854352752318
MYO3B	0.0737860927272758
MAST4	0.0741292881323744
C20orf141	0.0741322498702197
ASB2	0.0744389478309491
DERL3	0.0746250106084987
MYO1C	0.0749622097305956
SLC25A13	0.0753251414435293
RANGRF	0.0762187345801509
UGT2B17	0.0774404997442444
PBXIP1	0.0775952085395491
PABPC3	0.0785390894574227
GAS2L3	0.078759606305645
ZNF585A	0.078909688504377
SIGLEC11	0.0790090966960756
MMP19	0.0797107126231731
MGAT4D	0.0799295455235488
FCRL6	0.0805342587456907
CCDC196	0.0806080619658649
PLSCR2	0.0807722154618196
FAN1	0.0809724655503659
MYEF2	0.0810007230685493
ANKRD30A	0.0812470638499814
OR7G3	0.0817070902667926
ABCC10	0.0818567372349823
IQSEC1	0.0818867374019798
SCNN1A	0.0821076796817845
SLC10A2	0.083555191097805
RAB34	0.0836777398573323
CEP78	0.0837611802631593
ZNF790	0.0840906505800415
ZSCAN12	0.0842417867645327
AGAP3	0.0848411901747264
TNFSF9	0.0856791483895142
ADCY10	0.0873750583509277
ADGRG3	0.0878772967369156
SHPRH	0.088236439010763
MIB2	0.0885632032521347
UBQLN3	0.0892634292895349
FAM198A	0.0896400719732883
DNAH1	0.0898227106743362
C1orf56	0.0901559222370482
COL9A2	0.0913813862145671
APOLD1	0.0915358522173291
SCCPDH	0.0916144775400181
MYCBP2	0.0916224202270679
GLB1L2	0.0922282815661628
VPS9D1	0.0923447977595837
ACADL	0.092730317603522
RBCK1	0.0928974062928337
PSG11	0.0932406295924961
MYO15A	0.0937683334728263
LCA5	0.0940506329181248
ANKRD31	0.0942259928342227
FAM129A	0.0943339430398139
HPS3	0.0950636196346442
PAXBP1	0.09553012942827
CEP290	0.0956719984565753
C20orf202	0.0966481595876762
SPTBN5	0.0974107123672645
MPL	0.0982811069452788
CPSF3	0.0985674919168044
DHRS7B	0.0986235388356734
NINL	0.0987959674784649
CRISP1	0.0989860419175031
NTN3	0.0997989948497018
CARF	0.100168815528492
KRTAP1-1	0.100251353300726
ZNF211	0.100441827977698
KRT81	0.100518591645273
MDM1	0.101358513890716
IQCE	0.101847072877231
SSBP2	0.102155099859749
OR1D5	0.102444487266414
OR6K2	0.103309438105241
GPR63	0.103737697428977
TYRP1	0.105037850138938
CFAP46	0.105077057687131
MTTP	0.105641527336788
ZNF667	0.105893875807224
ATP8B4	0.105929103222199
LRRC56	0.106401076252938
PLEKHG5	0.106478023965926
AKNAD1	0.107068571043922
FAM107B	0.107108381733007
DUSP16	0.107373621226958
UPK2	0.107632067775377
IGFBP1	0.107662063272694
OGFOD3	0.10770510054705
DNASE1	0.107970390167894
PADI2	0.108142479802087
TKTL2	0.108386917997749
OSCAR	0.108451425284292
XRRA1	0.108721136440039
FAM217A	0.109131917365062
TDP1	0.109858648972707
NPFFR2	0.109898657492665
TRIM50	0.10991301237248
ZMYND15	0.110796428991461
DNAH6	0.110819957757894
RABEP2	0.111167143741226
CWC22	0.111408802316719
ITGB3BP	0.112035064936017
WDR86	0.112090784326716
NUDT19	0.113261559531416
RNASE2	0.113655016482197
IL17RC	0.113847921914298
TMEM116	0.11481176545493
FBN3	0.115063774713504
BTNL2	0.115453140395327
PRDM7	0.115909718377225
ZNF446	0.116622976305233
MAN2C1	0.116668000740139
TSNAXIP1	0.116794209683167
