gene_name	p_value
LOC100129083	2.33932534421876e-05
PHLDB3	0.000785305315758267
PLA2R1	0.00296479414184803
BPIFA2	0.00298028965812265
MROH2A	0.00303137325936287
PKD1L3	0.00336585716024973
FAM221A	0.00353677112610895
PSG6	0.00381349809034293
FANCL	0.0041107993669091
ASCL3	0.00484568093125404
RABEP2	0.00498207959109118
LRRC43	0.00573589582098128
RCN2	0.00582238098528409
ZFYVE19	0.00759231055031362
GPR63	0.00815191018005529
ANKRD30A	0.00847336282826938
PSG11	0.00863651230273695
GSS	0.00889353855272945
PAXBP1	0.00913426990778723
HTT	0.0091917411480788
OR2G6	0.00937350376893065
SHC1	0.0096661082719266
RADIL	0.0117777965844675
ELMO3	0.0124738821595486
FAM83A	0.0125047498857771
CBX2	0.0127056242186341
OTOP3	0.0130061471683538
OBSL1	0.0133518279067245
LOXHD1	0.0137364629591418
KIAA1257	0.0138550636989723
RGL3	0.0146863821812282
ERCC3	0.0150008445249856
FER1L6	0.015525780603737
PCDHB13	0.015571510585768
OR51G1	0.0157135028248924
ITGAE	0.0158711642250257
LRRC46	0.0160388057858778
GABRP	0.0165639873329548
PP2D1	0.0168018717382407
LLPH	0.0179089634290375
PGK2	0.0179615441865398
SCN10A	0.0184392369099357
ASCC1	0.0198865152106445
MYO1C	0.0203550207412821
ADAP2	0.0209018260549739
FAT2	0.020937894220285
SERPINI2	0.0219393748918323
KIAA0930	0.0220840153080325
EFCAB12	0.0222451691553193
RPL3L	0.0222491022597274
UAP1L1	0.0228140555460628
OTOF	0.0229353175422302
SLC4A1AP	0.0229917487507112
CFAP65	0.0232499311892016
SPATA32	0.0232606105854521
DNAH1	0.0241649490680707
ZNF124	0.0250246904502045
THNSL1	0.0256661143409707
WDR3	0.0259720605492528
SLC25A48	0.026273225730342
TLCD2	0.0276306464509791
CDH23	0.0287095055888424
ABCA7	0.0287514071195297
NPFFR2	0.0289770916941761
GML	0.0289954598457267
EXOC3L4	0.029223669457516
CCDC14	0.0294393951676051
ALOX15B	0.0299593652021363
ADAMTS20	0.0299626172741951
