gene_name	p_value
RCN2	0.00513251885707156
GRAMD1A	0.00519210613850185
NQO1	0.00560144530883005
TLCD2	0.00817576708235798
ACOXL	0.0108624558775665
LRRC43	0.0118709558063425
GJB7	0.0118930963461196
PCDHB13	0.012507956022768
ATP5SL	0.0130240299425293
EYS	0.0142348301916685
ITGAE	0.014783430236114
ABTB1	0.0156277145181662
FBN3	0.0177669876764991
UGGT2	0.0194177703537231
GEN1	0.0197260662749917
PEX6	0.0199218916877005
PHLDB3	0.0204462726887877
UPK3B	0.0212589394380416
ZC3H8	0.0219562464502864
COL16A1	0.0239797525170356
SIGLEC11	0.0239887130547461
C8orf74	0.0240525512963959
DSG4	0.024504677862122
LTB4R2	0.0248267143076043
MCU	0.0253912929392223
PSG6	0.0257291155807056
ERICH6	0.0259440093038414
ZNF114	0.0261014204509902
FER1L6	0.0261079844531578
SLC35F5	0.026280753255068
KCNA7	0.0265921777142012
XIRP2	0.0266742782754818
OXR1	0.0269069622673557
KIR3DL1	0.0275736352904047
CEP95	0.0284870922125862
GPR162	0.0287465536489856
FAM217A	0.0287537213708463
METTL27	0.0291370993571143
CACNA1B	0.0292063398553723
BTNL2	0.02926708617294
ADAP2	0.0295605834520988
ATP7B	0.0298906886987033
NCF2	0.0299236306536
GPR63	0.0306712852199594
DNAH11	0.0307593475272896
ELMO3	0.0314731494474239
ARV1	0.0315951347534831
CES2	0.0323104268687451
ESYT3	0.0327167487553257
MCF2L2	0.0328276075239133
USP6	0.0331091652695866
SLC10A6	0.033491959902051
FAM173A	0.0341175483318608
PLA2R1	0.0346496706379349
GCKR	0.0347657886375727
TMEM161A	0.0351165003980016
CHEK2	0.0357560912698965
TMEM212	0.0360143379326275
TRIM42	0.0366566529167337
LAMA2	0.0366637517549085
CCNI2	0.036756293540356
PDZRN3	0.0370393322035266
ZNF227	0.0374549501985332
FIGNL1	0.0375601599038678
ATG4C	0.0378754577350293
PRUNE2	0.0379516558465541
FANCL	0.0393087491904262
FUT9	0.0398159331780959
RNF212	0.040212949711988
IQCB1	0.0403051507260747
UPB1	0.0405103537686047
ABCC2	0.0406816567263734
DCDC1	0.0410584789997166
GMPR	0.04127801667519
EHBP1L1	0.0413111919206138
PDE1A	0.0420269066577506
ABCA7	0.0452709821485133
THNSL1	0.045426302715956
MAN2C1	0.0459344343654572
IL15RA	0.0460881008976291
CEACAM21	0.0461979873913456
GFRAL	0.0469717643970158
OR51M1	0.0473087953262534
FCRL3	0.0477345369238373
LLPH	0.0477608975367884
DKK3	0.0478420258659413
FAM161A	0.0482373357716917
ZNF649	0.0484496845859798
ANKRD30A	0.0488396873713896
EMP2	0.0495268629333086
OR10AC1	0.0496160596371891
FMN1	0.0498567430822154
SLC34A3	0.050117953905188
ARMC7	0.0503269230730105
ZNF717	0.0503538482144229
MYO1H	0.0504922809031825
OR6C76	0.0511937853144076
PLSCR2	0.0513493862617199
CDHR4	0.0524113151672599
SECTM1	0.0531205383931241
ZNF318	0.0540034551727549
NAPRT	0.0540502736652934
PGK2	0.0547566815006973
RNPEP	0.0548224528434346
URB1	0.0554542709369984
SLC25A13	0.0560152773460994
HPS3	0.0573884211322254
FAM83A	0.0575703526632914
NUDT9	0.05833721844017
PLA2G4F	0.059104487733506
CLK1	0.0599897003341273
ATP8B4	0.0600953302375584
DDX52	0.0601966401418701
FCRL6	0.0602235255967804
EXOC3L4	0.060335941445355
SCNN1A	0.0606408152055539
CAPS2	0.0618490000434687
NOSTRIN	0.0619597825570456
TMPRSS7	0.0622405328853399
C20orf141	0.0629033752830519
ABCA8	0.0629390803449004
SURF2	0.0632439783778342
SPOCD1	0.064005602308317
SH3TC1	0.0642320791148441
C1orf56	0.0643241840840771
CCDC158	0.0644576081908362
B3GNT4	0.06484940205702
PAPLN	0.0653328512686195
PABPC3	0.0659328442558147
HAX1	0.0664838771489158
ZNF584	0.0665755017249235
PLEKHB1	0.066845506184462
TTC31	0.0668953631329189
NEB	0.0677282665115232
TYRP1	0.0677770347073536
SOAT2	0.0678781497074074
BLK	0.0679552188783318
TGM1	0.0680903315348956
UTP14C	0.0690287461283519
ASAH2	0.0690496345216796
HEATR4	0.0692852770288234
BABAM2	0.0707735101922072
OGFOD3	0.0708791631186463
RNF135	0.071466388619056
PCDHB14	0.0715993396006568
EFCAB12	0.0717285123395745
DUSP16	0.0723410142943052
CC2D2A	0.0725697608565605
OR51H1	0.0729279620849722
VIPR1	0.0734011362298627
HAGH	0.0735804347552257
NLRP14	0.0735979128698614
FAM129A	0.0743950987357079
MYCBP2	0.0748046950015932
ZNF780B	0.0766143379681791
SERPINI2	0.0767902562123852
TPTE2	0.0783285058546461
METTL24	0.0784292014964852
SHPRH	0.0786521479070528
DERL3	0.0797997418530076
RANGRF	0.0798754575908874
DDX6	0.0804264216450076
ASB2	0.0805341521850789
USH2A	0.0806353255493408
CEACAM20	0.0806910399512783
TET2	0.0820386896243351
NINL	0.0820441800930937
ZP1	0.0838792852384893
ANGPTL6	0.0843983233278988
GRIN2C	0.0848538101252422
PARP14	0.0849699341155289
SPTBN5	0.0849808680944554
ZNF676	0.0852505368609395
ZNF585A	0.085266998970993
SEC23IP	0.0855653002839925
FRAS1	0.085624846027137
ACOX2	0.0857407441880191
SCCPDH	0.0859261619881847
MRI1	0.0869615744242157
GAS2L3	0.0878276791441795
MIB2	0.0878625320882208
DNAH7	0.0880562871728457
PSG11	0.0881444663570413
UGT2B17	0.088218591493615
KIR2DL1	0.0906228666266189
RP1L1	0.0908916115509531
DNAH6	0.0913941197358958
CEP78	0.0915539748571189
NPFFR2	0.0921596175998074
KIAA0040	0.0927332462309821
ATP13A5	0.0935812760270915
FAM198A	0.0938169575067519
IGSF22	0.0938506210491061
GPR142	0.0938890500464662
ENPEP	0.0943964987804153
HSD17B8	0.0943992361128489
HLA-DQB1	0.0947730918377024
SLCO1B7	0.0949217865690666
PDZD7	0.0951941373496669
LRRIQ1	0.0958405317967568
MYOZ3	0.0962957896424469
MAST4	0.0964775896335781
CCDC196	0.0966020196302961
MROH2A	0.0980975151253193
TRPV1	0.0981961855479327
COL9A2	0.0983906604353991
RBCK1	0.098794527733443
LRRC40	0.0990270213429433
TTF2	0.0996806135636182
MCEMP1	0.099844657772366
CNTLN	0.100858746632671
CYP26C1	0.101377035822158
VWF	0.101522010164504
SLC24A5	0.103191349237059
ZNF211	0.103432161555571
OSCAR	0.10393540892589
MAN2B1	0.104129505801815
FCAMR	0.104440993930572
CFAP46	0.104570776796148
SLC35E4	0.10466914786265
NANOG	0.105404567151037
ZBED6CL	0.10561855703224
AMZ2	0.106577595301044
SSNA1	0.107063413346193
CRISP1	0.107547423341856
OR10AD1	0.107681042705463
OR56B1	0.107800544989846
GLB1L2	0.10944159918314
DNM3OS	0.109952011771241
HTN3	0.11095756693381
ZSCAN12	0.111046641477052
FAN1	0.112188135765686
MPL	0.112568509197634
CALML4	0.112807860794675
ABCA10	0.113510052305829
PLEKHG5	0.114097383995672
AMY2B	0.114230319872442
DPY19L4	0.114574006173309
MROH6	0.115170743706377
TEX14	0.115170743706377
TFB1M	0.115910401746781
ZNF555	0.1165293267676
POMGNT1	0.117298297955522
DMRT2	0.117332384055018
GCNT3	0.118026027201926
PADI2	0.118031770963659
TOGARAM2	0.118499205875732
ANTXRL	0.118533168885852
MEP1B	0.118734551965201
CFAP58	0.119221183188946
RABEP2	0.119240165575138
OR4F15	0.120614586429126
TNFSF9	0.120983600985207
PTCHD3	0.121039870594888
OSBPL1A	0.121346924071097
TMEM54	0.121853867148251
KIAA0930	0.122779989656125
MMP13	0.123079438149026
PRSS21	0.123382785474041
NRBP1	0.123597550229733
TUBGCP3	0.124537508227605
POLQ	0.124648246646337
PLEKHH2	0.124887958555864
OR6C4	0.124989982715214
C20orf202	0.125493696274075
DPYD	0.125794603167072
ZNF852	0.126341815303538
MICB	0.127016346183516
EFCAB6	0.128228894716738
KNOP1	0.129492762224777
FAXDC2	0.129548717885904
NTN3	0.129726619296119
NUDT19	0.129885042967008
PLA2G6	0.130211182971743
ZNF527	0.130445010851496
MRNIP	0.131801120576157
ALDH1B1	0.131863481122278
SPSB2	0.132139287409938
BAG5	0.133769689378553
ITGB3BP	0.133869656584433
NLRP9	0.13418299841877
KRTAP4-7	0.134659979428721
MYO1C	0.135318963605341
COL23A1	0.135404452134941
CFHR3	0.135511759838196
PRSS36	0.135944398186512
CCDC27	0.136456624181381
SAMSN1	0.136944819045071
PDE11A	0.137554877296518
DENND2D	0.137747350691231
MYH13	0.138103696049702
BTD	0.13881449648973
PLB1	0.139007754230519
CNPY4	0.139479419543817
SZT2	0.141131037695489
VWCE	0.141342322850339
