gene_name	p_value
PKDREJ	0.000539285701842807
TEKT3	0.00248765215102644
BRSK2	0.00455196674044378
PADI2	0.00843387117319488
ENTPD2	0.00946409858080588
C6orf222	0.0107548534919055
SMIM17	0.0151319118999367
KIAA0040	0.0170674420418953
RPL27	0.0194959627138287
C19orf25	0.0224016196071574
C19orf71	0.0236338080617187
TLCD2	0.0243153785210376
ENPEP	0.0247014834597132
SLC10A2	0.0254961210741981
ZNF440	0.0304876692506596
C8B	0.033006207274799
RNASEL	0.0337290548132609
LIPM	0.0342782573410692
CRB2	0.0350310932556093
RPUSD4	0.0351981310725068
CTSE	0.035430064726615
SKP1	0.0355873609541142
TDRD6	0.0365601104328711
FAM166B	0.0396401659181742
TMTC1	0.0402162824746209
CFAP157	0.0403635496816654
ADAM2	0.0403885451502404
GPR142	0.0427283418979596
GML	0.0459204225048814
CENPW	0.0470925566919797
KIAA0141	0.0472180065131566
CEACAM21	0.048300155011192
ZNF717	0.0483931763202359
CLEC4A	0.051688564429894
ATP8B3	0.0526745522782532
OR51G1	0.0532202637661605
PCDHA8	0.0553095899214446
ADAM7	0.0562311221694158
C20orf202	0.0573524917934839
PSMB11	0.0589757710459737
ADAM29	0.0600207416668536
UGGT2	0.0617454595558089
KIAA1257	0.0646871891533892
FAM81B	0.0699336764443984
GLB1L	0.0702753218343558
MED10	0.0717372369655048
RRP8	0.0738201124242129
RADIL	0.0754950892626246
SYCE1L	0.0777437167484936
APTX	0.083001018358745
MAMDC4	0.0832590449721601
ZNF749	0.0833289151279564
MMS19	0.0833823252681259
GABPB1	0.0835070863654767
ACSM4	0.0843113281044101
ZNF776	0.0854831809883388
GABRP	0.0908371426827986
CPA2	0.0955926716377798
ZNF676	0.0989465650009164
LMO7	0.104802141578344
DNAH17	0.105948889035184
GPLD1	0.106779689137589
SYNE1	0.107541745463937
ITGAE	0.108707302059358
FRMPD1	0.108881921154653
PIP5K1C	0.108920661269203
ABCG2	0.109264507003696
MICU2	0.11030396391017
GPR162	0.111537370161833
RAD50	0.112295767591698
GLI1	0.112963201663554
CLHC1	0.11443436515846
MCU	0.117961994786002
AADAC	0.11866034277024
C8orf44	0.121098960143759
TRIOBP	0.129269585370781
GTF2F1	0.130552255287122
IFI44L	0.132241276675373
ATP2A1	0.132431743708464
ANO7	0.13427190616472
ZNF599	0.13496568670473
ZNF844	0.136620533634487
CNGB3	0.13726439327248
CCDC154	0.137701777371353
IL15RA	0.138367710880106
HS3ST6	0.139182210120044
SVOPL	0.141190995361994
EGFL8	0.142573401785684
SERHL2	0.144814035909337
ASCL3	0.144987700271459
GTDC1	0.147074706008966
KRTAP13-1	0.149531882235869
ATP2C2	0.152212888077479
KIAA1328	0.152949128651299
AGMO	0.155172881863194
YWHAE	0.156798251128401
SKA3	0.159781830711699
P2RX6	0.160894593995541
CCDC17	0.161629907781855
CLEC11A	0.161847740719067
CFAP52	0.162834359591899
FOXO6	0.163848105596896
OR10AC1	0.170923965705981
CCDC40	0.175350786465727
P2RX7	0.175426430949317
AFP	0.175576945898135
ATXN2	0.17583165773569
NKX1-2	0.177758222605474
IL17RC	0.178236939186296
PLEKHH2	0.181533154536724
HSD17B8	0.18283860395337
RIMBP3	0.183365002850938
OXA1L	0.183804043215829
PCK2	0.185524886933856
CYYR1	0.188334173319048
CYP2C18	0.189260468341886
HOMEZ	0.189839294905566
NUDT13	0.193689141884398
KIAA0586	0.194025372946187
GFY	0.194027522476863
SLC26A8	0.196554316432238
AGBL1	0.197100072819339
MDN1	0.200126252836501
COL25A1	0.200411380981465
SLC25A41	0.200648499242917
FBXW8	0.203286908321822
TPPP2	0.204465977243352
USP45	0.208453766219805
ZC3H8	0.208898882047312
LYST	0.209666461653974
ABCA8	0.212245381798009
FSIP2	0.212897326481906
INTS1	0.214881121722421
USP16	0.215602594800851
SLC4A1AP	0.219602913215769
ACOT8	0.220150437976188
PATJ	0.22092512282635
STK11IP	0.222336984688276
DNAH8	0.222950209403388
MTMR11	0.223256238972888
SPATA31D1	0.227666036468867
PRM3	0.228016078703602
GBP7	0.230104519774503
FCRL6	0.232014076984714
LIMS1	0.232841542802335
RPTN	0.234293980506222
ZNF726	0.236446911071745
USP54	0.238187454068598
HNRNPA1L2	0.238360973214596
ZNF837	0.239626893171357
MUC16	0.241461487708379
POTEC	0.241801553204581
SPOCD1	0.24180191873566
ZNF544	0.242452780395464
OR6K2	0.242573230782868
BTG3	0.243647827070146
ZNF655	0.244221391995198
DCHS2	0.245644592063406
ZC3H3	0.246613044682031
OBSCN	0.24724628441069
