gene_name	p_value
RGS11	0.000995034456029784
SRD5A3	0.00192140870392084
OR6V1	0.00245666208091258
ZFP69	0.0026922147522878
MYL1	0.00271393374578401
PLSCR2	0.0045102427376823
MUC4	0.00759328328935049
C12orf54	0.00799494772670969
ITGAE	0.00893796348411624
ZNF214	0.00935079521524413
DPYD	0.00955843293275516
LRRC38	0.0109326873834409
SH2D4A	0.0129328994700856
HYAL4	0.0169125997751073
C16orf74	0.0169956508866786
UGGT2	0.0172245560547251
LRRD1	0.0181543249936635
UBA7	0.0185581011445599
C6orf52	0.0193089386153309
ADAMTSL4	0.0201825300107239
TRIM34	0.0203403042341909
ZC3H3	0.0214461304387643
FAM227B	0.0215564492910023
OR10C1	0.0218162438024422
CRNKL1	0.022483626742242
PXMP2	0.0279116706325008
DPY19L4	0.0291521529445481
ASB13	0.0291847274500455
IL33	0.030619229111892
BBIP1	0.0316142588034911
WNT10A	0.0317944332490617
RRP15	0.0323956954288923
ZNF318	0.0326347586201469
MEOX2	0.0330336191180118
CCDC168	0.0344911653091858
KRT74	0.0359778082972839
SERPINB8	0.0359778082972839
CNTLN	0.0364459879269515
IQGAP3	0.0369893019256188
SMARCAL1	0.0402400172631002
TUT1	0.0404528631642953
GPR32	0.0405573764089941
ODF2L	0.0405593132061787
DCXR	0.0406584914150168
ADAM32	0.0415522003897008
KLK10	0.0433202813933124
NOSTRIN	0.0437718461946761
CSNK2A3	0.0438944321859801
SYT15	0.0444198855135969
AARSD1	0.0458707252341763
TMEM247	0.0459471380435622
CWH43	0.0461292604462768
OPN4	0.0514542823782786
C4orf46	0.0528729911354316
EPX	0.053455029258508
YME1L1	0.0539952047335314
PLB1	0.0550053770222118
CALML4	0.0559471685105559
ZNF772	0.0567264942187817
TMEM128	0.0580221149845094
LENG9	0.058151630987221
DHCR7	0.0591728640006903
RP1L1	0.0622168096940058
PRSS12	0.0662827569752777
TTC6	0.0665549046857793
SIGLEC1	0.0678557595550102
TNFSF18	0.0687708830679356
TRIM15	0.069998508489465
ECHDC2	0.0700004404760629
C8orf74	0.0709239755089269
CCDC113	0.0710535288513752
OXA1L	0.0727700993159373
ABTB1	0.0735599204242564
SNAPC1	0.0736813915456902
BGLAP	0.0737801751824212
DUSP18	0.0748132009750256
UGT2B10	0.0750039305526243
CWF19L2	0.0750677259895478
PATJ	0.0751725732764225
TCHH	0.0751725766268033
FBN3	0.0756802403920123
OR52K1	0.0757595897848788
ZNF749	0.0776513926300035
USP49	0.0778935849836911
PARP3	0.078436149076099
DNAI1	0.0786472144164434
NOC3L	0.0798648092474185
TMEM232	0.0818726986024825
TCTEX1D4	0.082267410583902
FYB	0.0833733147936441
CARF	0.0839767078926418
ADCK2	0.0842417036013196
HLA-DRB1	0.0847799306995784
CASP10	0.0851259719120256
URB1	0.0855764075754719
CDK5RAP1	0.0869894395568087
CLEC4M	0.0869938694977723
TMC2	0.0886760132534956
RGPD3	0.0923548860013303
MTTP	0.0934540441060441
FAM173B	0.0940532296058707
MUC12	0.0951347815672281
HSPA6	0.0961916475993749
METTL6	0.0964190581271954
LRRC37B	0.0970488468546988
CCL26	0.0975768671357015
ZSCAN32	0.09884064747653
AMZ1	0.0999411860128042
KIF6	0.10097587810634
NKX1-2	0.102834158276053
CHRNA5	0.102897732930911
IQCB1	0.103237687993969
ACOT8	0.103852904056205
CCDC121	0.104131709897232
BLK	0.105884802002955
JSRP1	0.106246100451845
DNAH10	0.106898081624746
FUT6	0.107890397350588
HHLA2	0.109382249474682
PDCD1LG2	0.111687092374791
FCGBP	0.115166617110085
ANO9	0.117923112989433
UBQLNL	0.118342229888944
LIPJ	0.119550899933339
TMEM249	0.121036125823923
C17orf97	0.122203980699603
CDRT1	0.123149887014921
SBDS	0.123615326511557
ENPEP	0.125179007931956
NBPF3	0.134329981400397
WDR41	0.134916580795166
USP54	0.138603826694007
EMC2	0.138932412000797
NBEAL2	0.139506580671219
ADGRF3	0.142537875716109
MDC1	0.14583274991286
C17orf80	0.146465010915342
LMAN1L	0.149550137371391
MC1R	0.150208382412011
MYO3A	0.150397716225774
CDHR4	0.152196718959542
GAPDHS	0.15223143860166
DUSP16	0.152850231255924
ADAM2	0.153460710551045
ZNF556	0.153608885202497
MANEAL	0.153650907735144
FANCG	0.15513426997262
