gene_name	p_value
SERINC4	0.000868559887083786
ZNF506	0.00122260590172973
ACAD11	0.00317633103639503
M1AP	0.00359898943020942
SIRT1	0.00379560611279162
SKOR1	0.00413271864912742
SPOCD1	0.00635024965880371
FAM173B	0.00663782993364925
GBP5	0.00703292308903514
CPM	0.00738937035524145
DCLRE1A	0.00750761231301108
TRIM74	0.00782413950109229
RBKS	0.0094399718309629
POMGNT1	0.00978081669515025
TPRKB	0.00989171627676522
SERGEF	0.0115353961654051
USHBP1	0.0126027811829367
PCDHGB3	0.0143838982093968
PCDHB14	0.0145543301838843
ZNF211	0.0153318296294297
PSMB11	0.0159928557069891
STK36	0.016523036258229
STK33	0.0168262372242696
ZSCAN29	0.0170433346065217
ZNF713	0.0172352131762082
ZNF229	0.0184460881887043
SLC26A2	0.018549446461393
SLC26A4	0.018792719770649
GBP4	0.019187917176761
CHEK2	0.0196785265319951
OARD1	0.0198947236962402
GJB4	0.0199952983586504
STPG2	0.0208901731268031
USP54	0.0249438746208435
NRIP2	0.0249875184922788
RNF17	0.0250629386778045
SERPINB4	0.0259364052588721
PARPBP	0.0265945683440393
UPK2	0.0270033646025147
MYCT1	0.0277188403720627
B3GNT4	0.0277986428440152
GDF1	0.0280571366488082
TMEM110	0.0284263162765825
KHDC1	0.028637019357778
MANBA	0.028972603300454
NLRC5	0.0290553107519667
DHDH	0.0301377453756865
TAF1B	0.030142420249621
JMJD8	0.0302915697346865
ANKRD30A	0.0312143363797125
OCM	0.0312973719984982
ZNF268	0.0315898113151817
ARID1B	0.032390510335343
SIRPB1	0.0324016202264664
UAP1L1	0.0325486763518034
MAPK15	0.0326482357817813
LRRC74A	0.0329037678283923
SLC22A31	0.0334612863543036
ALPK3	0.0334905894494665
C1orf167	0.0336788834953622
EML3	0.0337411538689215
XAF1	0.0341487658911354
KCTD17	0.0359307879847728
KALRN	0.0365779930986409
FAM47E	0.0366298473810365
DOK7	0.0366572569815584
ISX	0.037166641218064
GML	0.0390132211171735
ZBTB40	0.0393479154210347
LOC105375787	0.0399771163181699
ZNF665	0.0410245262022797
LTV1	0.0417300280341152
SPATA31D1	0.0422349641727163
LRRC47	0.0429307117662535
MSH5	0.0431738099996283
HABP2	0.0437896700980324
CCDC87	0.0437991312074703
PLSCR2	0.043886599359119
TUB	0.0440473662118173
SLFN12L	0.0441145441344538
PUM3	0.0441318627484882
