gene_name	p_value
CNTLN	0.000560225678774118
MYL1	0.00134473776786028
OPN4	0.0026944957389822
C6orf52	0.00289520686770883
HHLA2	0.00408170932855775
PLSCR2	0.00556702382326779
PLB1	0.00689892591694852
WDR87	0.00984641043255507
TUT1	0.010180454352571
NIPSNAP3A	0.010416943670854
ECHDC2	0.0105831860967465
RGS11	0.0116455552860717
TMEM232	0.0122956402261985
ZNF107	0.0128140521832495
TMPRSS9	0.0128942872821909
NOSTRIN	0.0147054870359221
EMC2	0.0150867233528193
DPYD	0.0153643000949458
FAM173B	0.0172649388431239
SMARCAL1	0.0185098917646323
MUC4	0.0192616876030421
SRD5A3	0.0207429224402717
CDK5RAP1	0.0226782791928677
GDF1	0.025962013785687
C17orf80	0.0267602434417634
TRDN	0.0271018199222387
NOC3L	0.0276706111482357
COL9A2	0.0277610868198744
ZNF333	0.0279960084067226
ZSCAN32	0.0300639082152192
C4orf46	0.030214102655706
ZFP69	0.0332188099947985
ADAM32	0.0333554850783186
PATJ	0.0349257527804528
RRP15	0.0352332116278563
SLCO1B7	0.0369259255375709
LRRD1	0.0370066816336096
HYAL4	0.0379391279961483
KRT74	0.0398539327118806
SERPINB8	0.0398539327118806
OR6V1	0.0403064998657955
FYB	0.0408417926163036
HIST1H4K	0.040973237442016
GNLY	0.0417009891228295
WDR27	0.0436614537775341
CCDC87	0.0437986756556117
PFKM	0.0443667572632411
ZNF525	0.0454996120205624
ARHGEF38	0.0491006801537059
MUC19	0.0493800868278715
CFAP52	0.0500512998086624
TMEM249	0.050116928691808
C4B	0.0505671990002952
UBQLNL	0.0524652999977568
RAD50	0.0554423677356616
SLC13A1	0.0560264426167537
DCXR	0.0586781451854412
L3MBTL1	0.0588836401646439
DNAI1	0.0593565184620223
KRT9	0.0619288426483186
CWH43	0.0621077145282976
OR8S1	0.0626112311006372
GPR32	0.0630947013120426
ZNF214	0.0631636208966899
FBN3	0.0641899772249667
PARP3	0.0643316315829285
PTPRH	0.065307955107904
PLEKHA8	0.0680571676816973
HMCN2	0.0693114030099807
CALML4	0.0696755838433727
DUSP18	0.0709314297347964
RP1L1	0.0717029394284901
ZNF211	0.0735768910694792
SFXN3	0.0763980966022165
TRIM15	0.0767089492650848
DNLZ	0.0772753041721907
CCHCR1	0.0780463812913232
PRSS12	0.0797793667747912
C12orf54	0.0805935412394759
PRB1	0.0808489896218341
UBA7	0.0811270084160177
HSPA6	0.0813907456619095
ACSM2A	0.0816910128204105
C10orf53	0.0822745151480549
ITGAE	0.0839300192233793
LENG9	0.0875459337481372
ADAMTSL4	0.0890026550194497
EXTL1	0.0920591026559286
OR6F1	0.0930817048001238
CYP2C18	0.094731684416056
ABCA9	0.0952425745187776
VGF	0.0952536272139105
LRRC14B	0.0955317473616332
SNRPE	0.0955341401303915
TNFSF18	0.0964059191922481
ZC3H3	0.0966995605327913
FAM129A	0.0979744555268427
SSBP2	0.0989964014606879
HIST1H4E	0.0994744673540162
IQCE	0.0996226499867105
CCDC121	0.0997348610306136
GAPDHS	0.100790703834568
ZBED6CL	0.101096252635327
SH2D7	0.102005653639458
POM121	0.102606798979125
ASB13	0.104277884954782
RYR1	0.106672045688008
CCDC154	0.108031066237992
SNRPN	0.112113350869253
BTNL10	0.113368818095622
FANCL	0.114024294201252
PXMP2	0.114171816600941
BTN3A3	0.114691951439109
ANO9	0.114820672340694
HSPA2	0.116138007586998
ZNF585B	0.116419616700356
TMBIM4	0.117097135645641
DHX8	0.119238111190027
NEURL2	0.11963155995499
SH2D4A	0.120497031591629
CD44	0.120763584304469
MUC12	0.122128970386251
METTL6	0.122822667319138
LIPM	0.124243716260025
SYNE1	0.124546316444019
SLC26A10	0.127092062005457
TKTL2	0.127130772725277
KIAA0930	0.128062182782164
KLK10	0.12806247080764
ANKRD20A1	0.128532034961777
TARP	0.13167068197634
CCDC81	0.131977664695873
KIRREL2	0.132609852548711
ODF2L	0.133773103202136
C16orf74	0.134001484502157
CARD9	0.1342861557052
EPB41L2	0.134504878317315
GALR3	0.137537339592937
SBDS	0.139668492042093
ZNF528	0.140280653336735
IGFN1	0.141055805639557
UTRN	0.141425861276668
CCDC105	0.141797773620288
IQGAP3	0.142385369587257
MUC6	0.144851055354968
CDHR4	0.145341428711888
DHCR7	0.146295321109524
CLEC4M	0.148100107319854
MGST2	0.15082729598746
CRNKL1	0.151216532940535
GAL3ST2	0.151301264077286
FGL1	0.151339116823772
IFIH1	0.152284794963075
ABTB1	0.155067123240438
MEOX2	0.15538501962472
VPS50	0.156980068577721
TTC6	0.157834120263877
WNT10A	0.158596890641724
ZNF624	0.160902169522886
COQ6	0.165118283098588
TAS2R10	0.165411892397135
ZNF534	0.165747865077717
ZNF318	0.166214352617706
MUC17	0.16920302614748
M1AP	0.169385040220392
CEP78	0.173079329762685
SSPO	0.173361901139798
MCMDC2	0.174508689524991
FUT6	0.174931846231985
PCSK9	0.17790224480346
ZNF763	0.178778954137566
EHBP1L1	0.178913657315842
MRI1	0.179078991527648
ADGRF3	0.179087309567161
ARSI	0.179495310561719
DUOX2	0.180686113149909
DBF4B	0.184372059143881
ULK4	0.185022039441836
ERCC1	0.185370714750414
NANOG	0.185584985086566
CPA2	0.188841841726302
JAKMIP3	0.192158229064411
FANCA	0.192171662810735
NKX1-2	0.193402100439196
BLK	0.19383697819645
ZNF556	0.194575462043191
C6	0.196246757957343
ZNF506	0.196850228999818
PCDHGA10	0.197884943624378
PTPMT1	0.198275480031658
EXO1	0.198574775241109
XRRA1	0.199427180523443
OR10C1	0.202113711616445
ANO5	0.202583006755627
SPZ1	0.202751730839536
ATP6AP1L	0.202751730839536
DPY19L4	0.203214271849574
SBNO2	0.204487893694058
ASPM	0.206497681431442
TRIM34	0.206634497630772
ZNF226	0.206885197170985
ZNF100	0.207389873433995
SPP1	0.208392865864396
MS4A12	0.209235731418331
CLCNKA	0.209318410958697
FANCG	0.209859922498759
C1QTNF9B	0.211376338258779
COL15A1	0.215344886496365
CASP10	0.217725992799428
TCHH	0.219038086167402
URB1	0.219522281350615
EIF4E	0.220107958203166
GOLGA8H	0.22351205593943
ANKRD18B	0.224109682192616
DDX55	0.225481991096555
HIST1H4B	0.225696706721945
CCDC168	0.226341799809782
PDCD1LG2	0.22745670684136
RSPH1	0.22748860367792
BGLAP	0.22799781504368
OGFOD3	0.229354822886866
CDRT1	0.230400653608042
NDUFA5	0.231003826716137
MCM7	0.231607658751342
ZNF254	0.232098952082581
EFCAB6	0.232323249563085
C19orf71	0.232743190433836
TBC1D2	0.233680494784615
SPATS2	0.236124674416603
OR10A6	0.236188363473824
ZC3H8	0.236285638771571
C8orf44	0.236967379161039
KPRP	0.23872058511845
ACSM1	0.239923239683331
ABCA7	0.242293715134103
ADAP2	0.242344523826999
GPR151	0.243655646588543
SLC39A7	0.245515675462959
ART5	0.247933110905658
CEACAM21	0.248455500086137
CCDC113	0.248811928728831
CWF19L2	0.25015692679771
GPANK1	0.251834389249129
KIF19	0.252377831288501
DOLK	0.253117362603512
DNAH10	0.254847317091291
MC1R	0.25675941384618
PSG9	0.256802536190124
DPEP1	0.257033399713427
NBEAL2	0.257495816160909
ABCC6	0.257573257141891
DNHD1	0.264022065719473
APTX	0.265829189843941
PDZD9	0.266098757787261
PCTP	0.266458077318797
HSD17B13	0.269711503601056
TMEM247	0.270005901285889
ACADL	0.27026272621065
NEU1	0.270615795454115
SIGLEC11	0.271359863204783
STK32C	0.271488245481185
CHMP4A	0.271535710438573
MROH2A	0.272137861976969
ADCK2	0.272475123922959
ZNF587	0.273172811188713
PTBP2	0.273550613794843
ZNF845	0.274386864857116
CCT6B	0.276352608614627
KIF6	0.276658222383655
BANK1	0.277970356796457
ZNF772	0.278780638838045
SLFN12L	0.278860997714313
GSDMC	0.279279380847177
MUC16	0.279602347669944
TARM1	0.280079588332582
OR6P1	0.280181748473749
C1QTNF8	0.280558815172891
FER1L6	0.281089473190576
LRTM1	0.283915404499231
HDDC3	0.283932785226071
C8orf74	0.284529007309865
GPR179	0.285599886828099
OARD1	0.285976080057667
ZNF488	0.28681272257724
MUC22	0.287128790459784
B3GAT3	0.287190655043868
BLZF1	0.287997708001725
OR2T12	0.289756259322325
PHRF1	0.29058770987683
PKHD1L1	0.290762252397575
RORC	0.290799790239597
TCTEX1D4	0.291457848839087
AIF1L	0.292212023597318
SLC6A13	0.29278152740652
ABCC3	0.296036506383155
WDR41	0.296562940335204
KIAA1614	0.298200290974868
ADAM29	0.298217232171764
LTK	0.298691203560924
CCDC191	0.2987467883157
GPR142	0.301030260622144
ATP8B3	0.301159128532311
CSNK2A3	0.301350543849996
ENTPD2	0.302045514845882
C22orf39	0.302121938082125
RBKS	0.302233448810392
KDM2B	0.302435187459067
ANKLE1	0.302494661233734
CCDC66	0.302598103194393
PHLDB3	0.303408740221456
DDX60L	0.305716229115812
CD36	0.306078159208103
CEP95	0.3069131770145
