gene_name	p_value
MYL1	0.000894052231566539
CNTLN	0.00147850450934395
RGS11	0.00260357628006902
SRD5A3	0.00287134077353474
PLSCR2	0.00335889650704424
C6orf52	0.00465846593707253
MUC4	0.00643335588996408
OR6V1	0.00741422232541298
TUT1	0.00747115784051977
OPN4	0.00752574689187752
ZFP69	0.00883902915739576
HHLA2	0.0107482490821148
DPYD	0.0115190374534633
KRT74	0.0124006670073565
SERPINB8	0.0124006670073565
RRP15	0.0154154928092157
NOSTRIN	0.016275984261894
LRRD1	0.0169070612915752
HYAL4	0.0170709302590448
C4orf46	0.0192601631332948
PLB1	0.0192697083344171
FAM173B	0.0194225263870871
C12orf54	0.0229918102540116
ADAM32	0.0237962266733379
ZNF214	0.0242429567304435
SMARCAL1	0.0257844737385742
PATJ	0.0266051297307468
TMEM232	0.0280142193511514
ECHDC2	0.0286842482777553
RP1L1	0.0288713090437136
CDK5RAP1	0.0294374854916828
ZNF318	0.0305578229290118
ITGAE	0.0311270522057318
ZC3H3	0.0315802443558165
ASB13	0.0322652927390406
UBA7	0.0339918683134932
DCXR	0.0346533295970411
KLK10	0.0369389085884573
ZSCAN32	0.0378718352105353
NOC3L	0.0391391925904337
PARP3	0.0398381487369547
SH2D4A	0.0418243522457494
TMEM249	0.0429636345582031
TMPRSS9	0.0444142123896701
PRSS12	0.0448081632306451
ADAMTSL4	0.044810102076095
EMC2	0.0473535099101139
WNT10A	0.0487684773478882
DNAI1	0.0488170393729668
CALML4	0.049141131553288
C17orf80	0.0511770881760401
C4B	0.0516511715255873
UBQLNL	0.0516562308592617
MEOX2	0.0547853711312586
DUSP18	0.0550266375992233
GPR32	0.0566968322038571
CWH43	0.0571767092172334
PXMP2	0.0609422439710944
OR10C1	0.0625685910425859
C16orf74	0.0633631835188471
IQGAP3	0.0635375346740723
TNFSF18	0.0638959723559132
FBN3	0.0658304436750877
FYB	0.0662756270655488
LRRC38	0.0694580183515294
CCDC87	0.0699434045536326
DPY19L4	0.0704273111463772
ZNF107	0.0705768391116349
LENG9	0.0706035247742386
DHCR7	0.071236433942361
CRNKL1	0.0720770752582432
ARHGEF38	0.0726596605681299
PTPRH	0.0731210453449681
TRIM15	0.0732782395992231
UGGT2	0.075623210527997
WDR87	0.075635761352865
CASP10	0.0758351518599918
ODF2L	0.075855536821902
ABTB1	0.0761255904045739
URB1	0.0767972721713003
CCDC121	0.0813567845143691
HSPA6	0.0825534645730773
CDHR4	0.0852407118196263
TCHH	0.0853449441749863
COL9A2	0.0860705326093975
NIPSNAP3A	0.0863017532992585
CLEC4M	0.0885668761591543
WDR27	0.0895767123660096
EXTL1	0.0904347330186639
MUC12	0.0929163021804584
TRIM34	0.0933288447612969
ZNF333	0.0941218958295732
ZNF772	0.0941308159020767
ANO9	0.0953801258395789
GAPDHS	0.0981619183019601
VGF	0.0985210729806935
ZNF211	0.0986963910569904
METTL6	0.0990633405513698
BTNL10	0.0990758405857441
SBDS	0.0995980513060289
TMEM247	0.100713830516987
HMCN2	0.101367462312407
TTC6	0.101903108841228
GDF1	0.103403021676291
ADGRF3	0.104707351375932
LIPM	0.106412080683032
BBIP1	0.107947706507307
ABCA7	0.108083571164819
TARP	0.110978462045205
C1QTNF9B	0.112297830532076
TKTL2	0.112476318144161
FAM227B	0.113180534539814
AARSD1	0.114044400002569
HIST1H4K	0.114149594054483
CDRT1	0.114614651711955
ZNF585B	0.114680383168873
CWF19L2	0.114823137869942
TRDN	0.118050040341828
C8orf74	0.119052820862569
DUOX2	0.120732799926725
ACSM2A	0.123372634895878
PDCD1LG2	0.12402102784831
RAD50	0.124201874684336
OR6F1	0.127045840700596
ZBED6CL	0.127491599181313
SSBP2	0.127671322067165
KIF6	0.127896650575644
HLA-DRB1	0.128666361284929
CCDC154	0.130581777074168
OR8S1	0.132386548116209
PRB1	0.133248744092901
USP49	0.135198884627103
CCDC113	0.135317605865754
IL33	0.135402566394592
HDDC3	0.137136386253193
FUT6	0.138008491499093
BGLAP	0.139174896223513
CSNK2A3	0.139279594462445
ANKRD20A1	0.140642635499534
NKX1-2	0.140768050672101
HIST1H4E	0.145072177321163
C10orf53	0.146507240866395
IGFN1	0.146607020531401
POM121	0.147683010333523
ZNF556	0.149567069287262
MC1R	0.152249058380552
ADCK2	0.152820467289241
TMC2	0.153622483254741
ZNF528	0.156098158203656
PCSK9	0.157618797730912
L3MBTL1	0.158026539762325
IQCE	0.158996755912985
SIGLEC1	0.16036522931547
TAS2R10	0.162311857193268
TMEM128	0.162875058278162
GLB1L3	0.163083070539386
IFIH1	0.163557331176145
NBEAL2	0.164135927413741
SFXN3	0.164165775733811
TCTEX1D4	0.164326189847691
CCDC168	0.16602719493549
SPZ1	0.166937481015195
ATP6AP1L	0.166937481015195
RSPH1	0.167916147571781
OR52K1	0.169086025958758
OGFOD3	0.169094683804155
KIRREL2	0.169665191854818
MTTP	0.171659623989511
ABCA9	0.171712669379968
STK32C	0.172307212772943
GNLY	0.172533670391172
GAL3ST2	0.172586657432683
C17orf97	0.17279832820932
SNRPE	0.173020196467971
ULK4	0.174671111226771
