gene_name	p_value
CYR61	4.99520830143929e-06
DDX59	3.02011530965984e-05
ZNF90	4.06927716892769e-05
TRMT10C	6.03133479259998e-05
ZNF678	6.92353770953558e-05
PAPD7	7.03518665560177e-05
ALG11	7.06714865956748e-05
TYSND1	7.67768689781123e-05
GTF3C1	0.000117718413191636
ATCAY	0.000117956036528422
ZRANB1	0.000133386453495588
PPIL6	0.000176430826591911
CLDN7	0.000189573247696861
ACKR2	0.000199434847376834
RAPH1	0.00020416426319847
LONP2	0.000205385173377981
ANAPC16	0.000205978827074627
KRT79	0.000207454188513423
ZNF501	0.000280164415344175
HJURP	0.000354551239381773
C2orf16	0.000354711320535217
ARPIN	0.000368109865139687
SSTR1	0.000375751999627631
CRYM	0.000390169086362913
ARHGAP35	0.000390911044296227
VPS35	0.00041201294178228
AKAP3	0.000418041888601173
BPIFB1	0.000428492032751082
ANGPTL1	0.000444625643939656
NUDT4	0.000482115456615887
C11orf65	0.000500749071807527
C9orf85	0.000504611257664656
ADORA3	0.000506462009541075
POSTN	0.000564985775863169
PRSS45	0.000583444747161654
DIRC1	0.000614373888615627
PDIA2	0.000652190376173256
ACBD7	0.000656034646501295
CSMD1	0.000682053329996046
CDS1	0.000716272747982805
SPECC1	0.00073142865258502
LRRC52	0.000734446405274092
ACSL5	0.000759715205126743
ARHGAP12	0.000784999697447164
SLC25A15	0.000866391599189442
LSR	0.000874114036150786
ITIH4	0.000875639826420249
BAG2	0.000963126684553561
CCSAP	0.00100989336182489
ZNF736	0.00108795030921638
IL20RA	0.00108846078167024
CERK	0.00109684934178067
CLRN3	0.00121936902842856
WDR92	0.00129577945827775
SLC16A14	0.00131544345205514
KHK	0.00133270190454826
KIFC3	0.00133898231019625
SIX1	0.00138147195495053
FAM92B	0.00142352937073331
FEZ1	0.00145259184098778
CENPF	0.00146693533792241
METTL23	0.00147906632208872
CHRM2	0.00150263739433409
FOXK1	0.00151460173101159
ITFG2	0.0015543391021684
KRTAP29-1	0.00160428244316313
OR1I1	0.00162805750870931
YAF2	0.00172168080390778
TCP10L2	0.0017263603620058
CYP26B1	0.00173323932303415
XCR1	0.00184142941220344
SLC2A10	0.00188185581537226
IRF2BP1	0.00199560066142579
BICD2	0.00207800731789864
ADCY3	0.0021388307169653
TRIM42	0.00216203279278715
PDE12	0.00231206418088226
TSLP	0.0023161680318079
NUDT16L1	0.0023630963561474
ADCY9	0.00244026542880527
PGP	0.00244225273304033
NKX2-3	0.00246012557328357
SIRT4	0.00247846715166278
TPH2	0.00254986075741837
PTCD3	0.00255661910979632
UMPS	0.00261303634072396
CPEB4	0.00264838788911448
PDCD6IP	0.00270547139519239
TXNDC2	0.0027473323397279
ERVV-2	0.00278250339179942
OS9	0.00278957009694836
TMPRSS4	0.00289363543658683
DNAJC30	0.00293629160457709
SERPINE2	0.00300069863964425
RPL5	0.00310711921127826
PTPRO	0.00312722521811137
PRSS57	0.00314097599719176
DUSP7	0.0031503789738957
SNX25	0.0032006295242244
