gene_name	p_value
PRSS57	5.16387162022827e-05
SPECC1	0.000195048201856794
DTX3L	0.000217648679432933
BICD2	0.000407290698590982
PDE12	0.000566040838869207
ADAMTS12	0.000595699487223156
LRRC52	0.000731689929503822
PRELID3B	0.000795398750482557
SETD9	0.000813750891525468
CLDN23	0.000858358166341632
FCRL1	0.000875904975896261
MALT1	0.000907927967529328
DBT	0.000940672525054419
AMIGO2	0.00101754668062851
NKX2-3	0.00106019334111457
COL6A2	0.00125271041231545
PI15	0.00134886292022448
FAM161A	0.00139448063415258
PARP12	0.0013948744790499
TNRC18	0.00145649332129394
KLF13	0.00160191617940446
CFAP97	0.00166209526563835
PDGFC	0.00186435843762326
SMCO2	0.0019961311506032
RPL5	0.00202661502746521
TMEM201	0.00204254101488666
PCDHB13	0.00204521370032016
FGF6	0.00214583669995573
ANKRD61	0.00240401369497979
C11orf70	0.00241112068357352
HMGXB3	0.00250411972012259
CEP192	0.00251787199307729
PLPPR2	0.0025528951713997
FANCD2	0.00277463137220981
NF2	0.00281184970093446
NAT1	0.00283941880796425
ACKR2	0.0029576696650775
DIRC1	0.00296050597252864
KHK	0.00298010158639077
SPTBN4	0.00304162364588301
BICD1	0.00318387305096684
ERAP2	0.00322597338286896
MARCKS	0.00323168083772816
FNTA	0.00330178614453082
INSL6	0.00356693492391688
SUPT6H	0.00356886268199892
PALM	0.00362452045040917
PELI3	0.00364015668569876
TLNRD1	0.00376769118454501
FICD	0.00377204840700666
CD302	0.00377639103741182
TMEM53	0.00378175809356812
SPATA17	0.00390000706672229
BAIAP2	0.00401083561068082
LRTM2	0.00402827956434431
THSD7A	0.00411310531339569
ECT2L	0.00411519046373435
PPIL6	0.00414649540048804
LONP2	0.00418027785735432
TANC1	0.00420009025382417
ALG11	0.00428264357638085
TMEM207	0.00429531405421718
NLRC5	0.00441196032689798
RAD9B	0.00448010280506274
OR51S1	0.00462911958766183
CMPK2	0.00467109416857663
MMP13	0.00467569618254986
ZNF76	0.00468430220710005
TPI1	0.00477035696093717
SOX8	0.00487709586865259
NSD1	0.0048900667147155
OR10Z1	0.0049381514404611
CDK15	0.00494536321255114
KIFC3	0.00500799827383273
COPA	0.00502023409597347
SLC38A1	0.00506492948183207
KRTAP5-10	0.00507987142794256
KCTD3	0.00525788319072175
OR10A4	0.00530771164303048
SULT1E1	0.00530926589908063
TFAP2E	0.0053418634861626
KRTAP4-9	0.00535181415988677
RLN3	0.00537342981381017
CRYM	0.00542933716378257
NOD1	0.00545521466643612
MED13L	0.00548276841696013
SLFN5	0.00550825904702725
SSC5D	0.00554434358491784
DLX3	0.00564308338020166
ZXDC	0.00565967511129385
SMARCC1	0.00565977245385061
FAM149A	0.00574321280278057
ZNF564	0.00581763448295633
WDR54	0.00588674122528087
EXTL3	0.00600065397307155
GTF3C1	0.00603542918705525
GOLM1	0.00606898751481808
CEL	0.00610727358739056
RND3	0.00619227563470689
RAPH1	0.00625419771238584
KDR	0.00629052725188308
ACTN2	0.00630063775468616
TRABD	0.00649102940911332
ART1	0.00649708016828887
SHPK	0.00654993125578022
NUDCD3	0.00676130011961508
SERPINB8	0.00691497536454479
KRTAP29-1	0.00707719176869821
VAX1	0.0071477047790607
DNAJC30	0.00720621659044061
CACUL1	0.00724029765794885
RALGDS	0.00724937280558599
LIPH	0.00727140505964209
KDM2B	0.00733574884022999
WARS	0.00770648933381344
CARTPT	0.00787705140057872
GSR	0.00794143870089294
ELAC2	0.00806870729816542
LRRD1	0.00822528392469839
MTG1	0.00826986854244642
ANXA1	0.00832740718698472
ZNF473	0.00839040636693275
CYB561D2	0.00841982467159978
ERVV-2	0.00844945673680785
ZNF684	0.00846932849150242
ZSWIM4	0.00853832689411805
PRR35	0.00863319026184174
NUP160	0.00867654191869453
PCED1B	0.00881022885485407
LIMK2	0.00883044257636861
PHF2	0.00888206394261621
PIGT	0.00899045304671049
ZFP91	0.00915350571960174
RPL7L1	0.00916631328257717
NANOS2	0.00922285319593345
ZNF571	0.00932456947685075
CENPF	0.00935455151827425
USP15	0.00942876394977132
LRRC61	0.00943769419015694
C1orf87	0.00946675645856973
OR10X1	0.00956207356702875
OR9Q1	0.00957945728804173
FRMD4B	0.00959611702995946
CYR61	0.00972895581418626
TMTC3	0.0099329091225959
SUCLG1	0.00993957409835098
STC2	0.00998148431896454
PEAK1	0.0100434123479801
HDGFL3	0.0100478341655099
HRNR	0.0101621868917962
PEX7	0.01026040702753
JADE2	0.0102811469112207
SLC16A8	0.010392112431636
UBR1	0.0105169368689911
LCORL	0.0105402552577964
TRMT10C	0.0105921871082082
NOP56	0.0106641730699983
CTR9	0.0106878745445741
ZNF765	0.0108002231464443
PCLO	0.0108022920135032
CDS1	0.010846401619193
IRF8	0.0109375972476755
GTF3C2	0.0110161394837039
CDK19	0.0110557997283946
FGF14	0.0112210626442888
ZNF730	0.0112651885546894
IFT81	0.0117732229731005
CD300A	0.0117773903582268
FAS	0.0118548524499258
HYAL4	0.0118721109895612
TAAR8	0.0118848238161832
MEMO1	0.0120760326943255
CFDP1	0.0120831067006279
NOTCH3	0.0120918797622223
ZNF44	0.0121250376115932
ASB1	0.0122870951735732
RWDD2B	0.0122971541279034
SERPINA12	0.0122977054149921
SAMD12	0.0124482127388888
IQSEC1	0.0124505959431803
HEY2	0.012463272845513
SLC30A8	0.0125524694782722
SCAP	0.0125534440685015
REXO2	0.012558021698328
PITPNB	0.0125639697335718
ZNF655	0.0125912720578082
NKX2-8	0.0126554024815055
ARPIN	0.0126933288358723
CARD11	0.0127117545580704
FAM13B	0.0127321577772262
NAV2	0.0128765982966881
DUSP6	0.0128886850875968
SUZ12	0.0132016864426655
MORN5	0.0133128506920777
KRTAP10-12	0.0133832755087358
KBTBD11	0.0134083956697466
SLC1A4	0.013470850418325
SF3B3	0.0134890260057963
MKS1	0.013542513802973
KIF5B	0.0136763771231796
GUK1	0.0137298069170977
ACBD7	0.013887748963903
RHBDL1	0.0140285254051508
RHOA	0.0140914770364807
XAF1	0.0141591708790553
GDF5	0.0142862741027808
COL14A1	0.0144257199479133
RARRES2	0.0144541235455433
ANG	0.0144693670927407
PPARA	0.0144997997993567
AGBL5	0.0145697992616747
LRP11	0.0145813127174132
INPP4B	0.0147173438831812
HTR3A	0.0147400418578171
OCSTAMP	0.0147768785024228
ZNF574	0.0147826002755786
NKX1-1	0.0147847538684995
LOX	0.0149217535098354
HEMGN	0.0150335621927315
PPP2R5E	0.0151060721724887
HECTD1	0.0154332033817561
SGO1	0.015490208348855
CHRDL2	0.0155284825901663
NUP205	0.0155869174202573
PPT1	0.0156256045162281
CTNNA3	0.0156426276267965
NUTM2A	0.0157043545865228
RPS6KA5	0.0157101728158936
GPR17	0.01574017649222
C16orf92	0.0158705238787558
HSP90AB1	0.0159211061787593
GDF6	0.0160438470064579
PFKM	0.0160974165837183
RIN1	0.016099326329879
WISP2	0.0162179871719319
TMEM121	0.0162302154830259
RNF25	0.016250180235345
HPCAL4	0.0162620316732781
TDRD5	0.016266199539261
CLIC4	0.0163128690621072
DDX6	0.0163781145525974
PUS10	0.0164097466690857
ANKRD17	0.0164879291378511
SCG3	0.0164897609885964
MIEF1	0.016600463840237
ZFP69	0.0166897537609436
EBLN1	0.0166944150743842
C15orf53	0.0167612826315073
GLIS1	0.0168514035762884
KRTAP4-3	0.0170570277733617
SLC24A5	0.0170589282379623
HSPB6	0.0171908602880992
AFF3	0.0172120936824046
GGPS1	0.0172839064209215
TGFA	0.0172908149136674
VPREB1	0.0173666784125437
TMEM105	0.0174245285443181
TYROBP	0.0174778941750285
OR13D1	0.0175816513639368
CENPE	0.0177604577197955
RAD54L	0.0178084082524751
ADCY9	0.0180386964213936
TUBGCP3	0.018085079610887
OR1A1	0.0181820392617989
B3GNT5	0.0182219650354245
OR2L5	0.0183465984656528
MYH14	0.0184688890807453
PCDHGA1	0.0184744696662913
TNKS	0.0186936923899795
MATK	0.0187563179827385
SPRR2A	0.0187672284882209
FAM71A	0.0187709495261517
MANEA	0.0188015152351829
ZMIZ2	0.0188247306010716
SGO2	0.0188721879566732
OR5D14	0.0189252474692498
ORC6	0.0190383294291902
BNIPL	0.0190991392844303
PLEKHS1	0.019209686764955
