gene_name	p_value
PPARGC1A	0.000412518080087021
KANSL1	0.00096368439961201
OGDHL	0.00121477786972191
ARHGAP9	0.00163699774034509
C7orf34	0.00194057050489212
ERCC6	0.00234813834832437
MXI1	0.00253538915644314
LMNTD1	0.00281752003573044
UMPS	0.00295764956350597
PTOV1	0.0031579789377455
MS4A4E	0.00329673813557074
TMEM53	0.00339715034831245
DNAJC17	0.00390963482262252
VANGL1	0.00408077834150422
ME2	0.00435833358143467
CCBE1	0.0044857380864689
GH1	0.00465822239808256
LARS2	0.00482915379570903
HTR3C	0.00508530686449182
RARRES1	0.00516818794703089
PPL	0.00520993193762898
TM4SF20	0.00556800462269191
NTN4	0.00563931024190401
PRSS41	0.00568152187819171
DHRS11	0.00630927769944511
RHBDL1	0.00679644749546771
LONP2	0.00693771151090106
ZC3H12C	0.00733542459344572
SGTB	0.00766001514662643
BEST4	0.00788805991174424
ROCK1	0.00822220636246984
CYP2A13	0.00830498223351639
POLN	0.00876010167022612
LYST	0.00888687332620441
GRAMD1A	0.00899130539556253
PHC1	0.00922502957627147
GSN	0.00992531290346677
KRTAP5-3	0.0100893142884053
WBP11	0.0101167235886516
CUX1	0.0101280346161983
L3MBTL4	0.0102034324467274
SYNPO2L	0.0102417996972627
CACNA1A	0.0102809564043135
COL4A3	0.0103194908416506
PRDM11	0.0103797192234758
TDRD9	0.0104573942600035
RCOR2	0.0105482044441401
MEST	0.0106504574148808
KRT18	0.0108320346978292
BRI3BP	0.011115594264453
C1orf127	0.0111733562023585
BNC2	0.0112801128706977
ACOX2	0.0112931546903823
ANKRD1	0.0113565767229713
WASL	0.0114437534073752
PHKB	0.0116322627730586
SNRPE	0.0120429812497513
ATG3	0.0120514796978042
TNFRSF21	0.0121220459097527
VPS26A	0.0121477459604287
HBD	0.0123242395245975
KRT6B	0.0126551653489632
AAR2	0.012734570426816
ALDH18A1	0.0127798404188724
MRI1	0.0129655250531365
RTFDC1	0.0129666851665481
PUM2	0.0131267323028678
GRB7	0.0132133014505428
PNPLA7	0.0133911628614526
C11orf21	0.0134294586399984
SAMD9	0.0134574724995775
PBX4	0.0134589452669041
AXDND1	0.0135039108374476
C5orf22	0.0138137047489218
DTNBP1	0.0141831811375492
ARMC3	0.014228858091981
INCENP	0.0143052213590535
NOP58	0.0143302572656795
R3HCC1L	0.0145315036289817
SETD5	0.0145698476820944
SKA3	0.0146730815122285
FAM149B1	0.0146868954367132
TET3	0.0147493982590401
CPNE2	0.0148541897442495
KLC4	0.0150860567149609
LRRC7	0.015479875609738
GOLGA2	0.0154942974143979
LUC7L	0.0156459435482397
CEP72	0.0159817885968733
C1S	0.0162597542227822
CCDC27	0.0164457159608472
IDI1	0.0164495891228974
SERPIND1	0.016637465800725
VSTM5	0.0167482590731383
SLC36A4	0.0169382005391977
TFAP2B	0.0169721464518325
RGL1	0.0170000907666385
SH3RF1	0.0171015011970926
RAB11FIP2	0.0172928123723726
ATP4B	0.0176360283641831
ECD	0.0176968901479769
LRRC46	0.017730636452411
GPRIN1	0.0179155487763809
TEX37	0.0180425225815007
MIPOL1	0.0180630006971323
ZNF354B	0.0181561198417641
DACT2	0.0184192136429574
RLF	0.0184434709376412
KRTAP6-3	0.0184775992905004
CDV3	0.0186380254535794
NCOA2	0.0188964880795212
LARS	0.0189018147328501
C11orf52	0.0190438734924575
ARPC3	0.019048528505866
TLR5	0.0190921585348989
ATP13A5	0.0190992860240198
FOXO6	0.019240600562352
CNTNAP5	0.0195120760056292
PBRM1	0.0195562373907139
ACSBG1	0.0197903964372536
MCCC2	0.019836421647526
OTOF	0.0198487036106613
RHBDD1	0.0200014091742978
SCARB1	0.0200091869802627
TG	0.0203324545873401
CLN6	0.0203396810444836
APC	0.0204391690142363
PPP1R3G	0.0204631797773549
RANBP9	0.0205030179093164
ZNF790	0.0207272688922573
CCDC87	0.0211044638814629
RNF144A	0.02124417929083
TTI2	0.0213378257478955
TNFAIP8	0.0214756076949769
IFNA7	0.0215062936406361
FZD9	0.0215724516753989
NRG3	0.0218471263048755
PIK3R5	0.0219800296864058
KIAA2012	0.0220948371529264
SLC27A5	0.0221121546332687
