gene_name	p_value
PLA2G4E	0.000117554185701141
ANKRD20A1	0.000131381922369944
COQ8A	0.000545127266786682
SPHK1	0.000713945645763214
CHMP4A	0.000717451192898122
KRT83	0.000732509640157253
CCDC74A	0.000802432509363626
RLF	0.000815470741562185
ZC3H3	0.000973038622385625
HEXDC	0.00100956582737111
SPAG17	0.0010143972824701
CCBE1	0.00104695159780122
PPL	0.00112529574373854
RPS6KB2	0.00131704919314846
SERPIND1	0.00137668003318159
FBXL12	0.00141786964912383
C9orf3	0.00143947869456507
GALNT16	0.0014768238388595
DPP9	0.00152901253367344
CC2D1B	0.00168359423670827
KBTBD13	0.00168543986427661
ATG13	0.00177098800473885
SNRNP200	0.00183459482886794
DZIP1L	0.0018794231465572
CARNS1	0.00191277294857406
ACAD9	0.00212460890200938
ARSK	0.00215697537700887
C3orf33	0.00215697537700887
ZIC4	0.00216238865637086
C1orf127	0.00221716387299831
DTX4	0.00241901979068326
BCAS4	0.00243481470483775
DYNC1LI2	0.00243481470483775
ANKH	0.00248457289695458
TPRG1	0.0025545400734881
DIP2A	0.0025776466577131
EAF2	0.00259407722199534
DCAF4L2	0.00269867637276744
CLEC16A	0.00277945936194357
GBE1	0.00284728118173683
NOS3	0.00285100068204858
ZNF804A	0.00288111883896824
RARRES1	0.00290407435887818
GBP7	0.00293758985890735
OTOS	0.00293758985890757
PPP2R3A	0.00297155145572092
A2ML1	0.00300290489799215
GTF2E2	0.00306657977074845
PRKCD	0.00306657977074845
LUC7L	0.0031291219374614
PHLDB1	0.00336615136813445
SEC22C	0.00342866963308097
EXOC4	0.00348305128624204
TRPT1	0.00354804591999647
SAPCD2	0.00370917902919288
NRDC	0.0037266704461224
CHD1	0.00379273156512328
ASB16	0.00384532641096846
SPNS2	0.00387290930988293
ALX3	0.00394557321456634
PLEKHS1	0.00398184514381217
BRINP1	0.00402653975039924
PCYT1A	0.00410403238568302
IDI1	0.00412111780461466
SON	0.00422927009740226
ARFGAP1	0.00431666540783293
SLC35G2	0.00431666540783404
PLPBP	0.00458484230597977
PLOD2	0.00465297720189828
AKAP3	0.00467438318390601
UBN1	0.00470257836710886
ZC3H12C	0.0047083288427201
CPNE2	0.00473984773935976
PSMC3	0.00485097865205997
SLC36A4	0.00494275095555841
A1CF	0.00498860617711949
NADK	0.00502631103608686
SIVA1	0.00512125363880411
OR4D10	0.00533307607768054
OR5A1	0.00533307607768054
KDM5B	0.00542243701199197
PRR22	0.00547041169702545
PPP1R3G	0.00547812372409828
SETX	0.00563250216923772
NKPD1	0.00565977850216137
CEP162	0.00568393926271105
RIOK3	0.00569924475060879
TDRD1	0.00571450606181922
DNAJC4	0.00572022040009101
BCAM	0.00583622272276985
SREBF1	0.00599887288169265
IGIP	0.00616241546620183
ACVR2B	0.00621369095618562
RAD54L2	0.00631413306819573
AGRN	0.00642351212665604
KIF3A	0.00649624674516813
AMDHD2	0.00654430071275747
WASL	0.00654659675935509
RAB3B	0.00669310027871839
SVIL	0.00671140731117303
PRSS41	0.00679116605818442
HBD	0.0067943986334581
ELFN1	0.00686317783320545
KLC4	0.00693989715552523
CCAR2	0.00704300358595644
BAD	0.00705541819357436
ATP2B2	0.00724018091809109
TLN2	0.007244887436053
PLA2G7	0.00730911821416202
KLK10	0.00739451786440715
SMTNL2	0.00742776198334871
KIF24	0.00751322776822638
PIGG	0.00769346357977441
RFX7	0.00769522602631434
POLQ	0.00772623906988656
FOXP1	0.00784552373424374
CILP2	0.0080301549879559
MS4A4E	0.00806569043914762
PADI1	0.00810933303793582
SERPINA1	0.00811701291944322
MSTN	0.00823929371860377
ARHGAP29	0.0083184629095574
HAO1	0.00831908500181888
SOX1	0.00855167491355946
MRPL53	0.00857446159023824
EVI5	0.00859790888890444
NT5DC2	0.00878119549708201
SLC12A7	0.00912417911803098
SCARB1	0.00915455849296742
