gene_name	p_value
SNX1	0.000140203259442084
BCHE	0.000143603177943818
COLGALT2	0.000179063755964437
FAM181A	0.000183334309278194
ZNF746	0.000190534387990327
LOC100129083	0.000205395672032371
MMRN2	0.000357220425772686
GDPD4	0.00040415524721471
ZIC2	0.000410045501333944
ZNF718	0.000514467092982751
ABCF2	0.000521376332153434
POC1B-GALNT4	0.000548554623753472
NEU4	0.000549942826493788
OR10G8	0.000567047797650932
ALPP	0.000581055548950715
PPL	0.000589973969702728
OR6T1	0.000596855077890535
SAMD14	0.000610528605975769
EPB41L4B	0.000643849701786214
GATB	0.000772362682616268
HPX	0.000796669987473075
CDH13	0.000808980762365241
GORAB	0.000839237578271201
SIPA1L1	0.000865439473210605
LIN28A	0.000901910000496109
UROS	0.000949174672935538
SGCA	0.0010795634028764
OR10G9	0.00124921624243035
ZAP70	0.00125050153621831
CCDC28A	0.00125279492301711
OR10G4	0.00135028208597066
GAS2L2	0.00140720242538916
GRID2IP	0.00140888657480642
FAM221A	0.00141445725578315
IL16	0.0014251729030933
KRR1	0.00144187892860981
RNF141	0.00144545235079363
HES3	0.00145172270038807
STMN1	0.00170787467803929
GLDN	0.00176655448037455
ABCC4	0.00188246000647563
STK3	0.0018928218387797
EN2	0.00201529580125526
MTFR2	0.00202050878371196
TSC22D2	0.00204822805707283
WDR48	0.00213420615784687
RINL	0.00214568574588736
GBE1	0.00217835143593137
DALRD3	0.00225393107406813
CDH23	0.00226619189411659
LACTB2	0.00227299405560299
PSMB9	0.00228199953378838
CARMIL1	0.00232722684966824
MBD3L1	0.00233431078481128
NRBF2	0.00234745594801455
BTN3A2	0.00240145128741487
CPS1	0.0024306192562521
PSRC1	0.00247643163696776
ENTPD4	0.00250636578977481
MED27	0.00251030649832388
SLC2A3	0.00257573076684792
PRRT3	0.00261756649128764
SEPT14	0.00262491262566822
XIRP2	0.0026358453749048
CYP8B1	0.00264128286809473
RGS12	0.00286732920237076
MYCT1	0.00292298706531846
EXOSC8	0.00292806548300761
GOLGA8F	0.00297007493348111
LHX1	0.0030768224683636
ZNF836	0.00311395545838156
IFT27	0.00313415329309319
VWA5A	0.00317150554943824
MMP3	0.00318129453210114
ACSBG1	0.00336458213738633
AKT1S1	0.00336633913279949
LIMS2	0.00348655418210408
TMEM168	0.00354475951617206
PARD3B	0.00356458601635545
RCN2	0.00365521108236722
CHL1	0.00372682591186879
OR1J2	0.00372728767990205
C16orf62	0.00376409930554611
DPP7	0.00378506468474205
YOD1	0.00382791723995413
NAALADL2	0.00385490887976059
VPS45	0.00393520545091985
CDH18	0.00427812604520739
WSCD1	0.00438564624129212
TMEM151A	0.00443914566877623
OR10A6	0.00444879376608587
ITPR3	0.00446440208568444
CEP164	0.00450869477366067
OR4N4	0.00458852264241916
ZNF764	0.00464399059517973
CEP250	0.00465246604271585
MMP25	0.00466697867789467
ASPG	0.00474390128425473
CFAP65	0.00484869177342884
ZSCAN30	0.00488874383952809
LILRA6	0.00495452027097276
PPP1R1A	0.00500593225800339
TRIM22	0.0050948884140396
UNC119B	0.00511195410558984
NXPE4	0.00516310348044879
TRIM59	0.00519694033339713
DDHD2	0.00522629382233841
CCDC89	0.00524516102752093
POMGNT2	0.00527565692653487
ITGAE	0.00565917601991528
PCGF6	0.00567067896629403
GPR63	0.0056825598638226
ADGRG3	0.00587853378542091
CHPF2	0.00591825716907879
C10orf88	0.00591937336685722
ARHGAP33	0.00601640676262027
MOSPD3	0.00603984750341069
MZF1	0.00605698843093816
SLC25A48	0.00607840914910063
TGS1	0.00615565100873317
TAF1B	0.00616712225966587
STN1	0.0063569098297902
MPP7	0.00643565720227701
TRPM4	0.00646620695801514
DUSP28	0.00659863178132936
GPR162	0.00665385210432312
RABEP2	0.00689741570413682
SHF	0.00694376447450518
HBD	0.00698827627907561
HYAL4	0.00703869327686557
MRVI1	0.00716663123656303
NIM1K	0.00722040108602695
PALLD	0.00747613479577203
RPS6KA5	0.00750613872977168
C9orf153	0.00759599212412892
LTA4H	0.00764593711109285
EPN2	0.00768838876360878
TRPC1	0.00769092039196917
VAC14	0.00769243369219197
PKD1L3	0.00782880054282092
SLC6A7	0.00783043071734357
SYTL3	0.00784905926484281
GNG11	0.00786990641134633
PHRF1	0.00797321523915284
OBSL1	0.00805291945596887
C6orf89	0.00811913683330112
PCK1	0.00812389067330432
IQCE	0.00816926763295933
CXXC5	0.00824683328293907
FKBP6	0.00827617044744688
MAN1A1	0.00830074428188643
ZNF567	0.00830085357725674
CLCA4	0.00837524419019531
