gene_name	p_value
GDPD4	9.18227958633636e-05
ACSBG1	0.000147320723507414
PPP1R37	0.000192883455475718
CAPN9	0.000261238899377963
ADGRG3	0.000439092649757569
STK3	0.000496365992369098
BCHE	0.000503420895917574
CNTROB	0.000554864795968887
CCR10	0.000560238147940937
COL1A2	0.000695584340695004
MYO7A	0.000728278810959049
CCDC89	0.00089746874017514
LPIN2	0.000965276545869432
SNX1	0.00111970083451665
RINL	0.00124634353896591
ESPL1	0.00124762193717359
RPP30	0.0014893599287081
MAP7D1	0.00158149223972683
C1orf112	0.00173918532918857
DAO	0.0018615736348033
RCN2	0.0018645306943594
CARMIL1	0.00186934535392816
SIPA1L1	0.0018929340845172
BMPR1A	0.00196727357133829
CNTD2	0.00217439709948553
HPCAL4	0.00222646459544007
SAMD14	0.00241651350776997
ITPR3	0.00246215513441519
NPBWR2	0.00249460201449373
AKT1	0.00263029540692775
PSG5	0.00277739418424727
RPAP2	0.00288895603169884
GORAB	0.0029046145265244
PFN4	0.00298530680146237
CLDN19	0.00307416667119218
LOC389602	0.00310922387701966
RSPH10B	0.00312604874258781
ZFHX4	0.00313377216334043
FUT3	0.00348358748382895
SHC4	0.00352203399539921
HEG1	0.00379627478868415
CST5	0.00388307011454491
LZTS1	0.0039029487868932
SWI5	0.00394586424294905
OXR1	0.00399587863482364
ZNF236	0.00405808129182233
PTOV1	0.0041323318534481
LOC729159	0.00441684614097062
GML	0.00441927245065422
FGFR4	0.00447017407852097
SERPINB12	0.00447277570942922
MTMR2	0.00448186651321725
INMT	0.0045317317326549
DBX1	0.00489295139446888
ETNK1	0.00493463129711898
TECRL	0.0050793909012262
SH2D4A	0.00514656597838683
PAQR8	0.00526826738701083
BTN3A1	0.00533628019812734
PDX1	0.00549198316559454
STRN4	0.00551379433511746
DLL1	0.00551517957035099
DPP7	0.00572876524917993
PCK1	0.00579211884384652
SEPT9	0.00591316406174877
KLF13	0.00599608082296257
CDK5R2	0.00604252051376682
TC2N	0.0060977249792512
FNIP2	0.00623639995493598
LMNTD1	0.00627835118413531
NACA2	0.006337144259479
EPB41L4B	0.00635294724551147
MLH3	0.0064618318754564
C10orf90	0.00650973438830493
CLCNKB	0.00652062060604008
KNCN	0.00654542408717582
TRIM59	0.00659010088692743
MAEL	0.00665732345854858
