gene_name	p_value
LOC100129083	5.56490854971559e-05
SNX1	0.000160220002976996
BCHE	0.000203511039428395
ZNF746	0.000267342429940087
POC1B-GALNT4	0.000285713261779064
KRR1	0.00029545389710961
ABCC4	0.000410455544734734
SAMD14	0.000450885187371797
NEU4	0.00055565416313974
MMRN2	0.000559722884039604
COLGALT2	0.000604921238322786
ALPP	0.000799855870099897
GDPD4	0.000804256191284769
UROS	0.000826373706508954
ABCF2	0.000897730303979882
HPX	0.000937637476115305
FAM181A	0.000945759553684589
SIPA1L1	0.000967559303915566
LIN28A	0.0009694687640871
STK3	0.000977379190937433
ARHGAP33	0.000985881878977857
OR10G8	0.00106110318913433
ZIC2	0.00107717052950429
OR6T1	0.00116211060596449
EPB41L4B	0.0012924852819024
GAS2L2	0.00148452446548175
FAM221A	0.00154555853998695
MBD3L1	0.00178965860785874
ZNF718	0.00178998556936627
RGS12	0.00179890521843962
LHX1	0.00179995329320937
PPL	0.0018141720199587
CDH13	0.00182398057877331
IL16	0.00190365886228416
SEPT14	0.00199925972475434
ENTPD4	0.00206980351380015
GRID2IP	0.00219472167120272
OR10G4	0.00224581437677884
CEP250	0.00225381428025395
DALRD3	0.00225644766316557
LIMS2	0.00225956712380104
WDR48	0.00230256035562171
RINL	0.00242205570627696
NAALADL2	0.00242773423430076
LACTB2	0.0024621013156414
OR10G9	0.00254271841850351
CDH18	0.00260904175120524
RNF141	0.00262888600708633
DPP7	0.00264114912197499
HES3	0.00273027658086378
ZNF764	0.00279704131690384
SYTL3	0.0028178687536895
OR1J2	0.00287268391776607
RCN2	0.00290978875880099
CCDC28A	0.00295585187779168
BTN3A2	0.00301973325336191
MPZL3	0.00303230231196705
EN2	0.00304367249832604
ZAP70	0.00315035625499349
CYP8B1	0.00317093219356845
GLDN	0.00318714860629044
AGAP2	0.00321888411971616
MARCH2	0.00322772103719993
CHL1	0.0033206242793411
HMCN1	0.0033222688216954
TRIM59	0.00333253784053411
NKX6-2	0.00335747329982061
PKD1L3	0.00336585716024973
MED27	0.00341438879587072
OR10A6	0.00345954429791495
PSMB9	0.0035484782647105
TMEM151A	0.00359505135672067
NRBF2	0.00376609090982793
GORAB	0.00389274392650529
CCDC89	0.00393762269495979
PARD3B	0.00403338589224467
EXOSC8	0.0041267897997469
ITPR3	0.00413559182798617
PEAR1	0.00418392889206465
HOXA9	0.0041845162845483
KCTD10	0.00419373656968203
VWA5A	0.0042106043545882
GBE1	0.00423493162121946
ZNF836	0.00429075465272144
HYAL4	0.00446020595854335
MPP7	0.00449433974917479
PCGF6	0.00467462857909351
MMP3	0.0046937290313952
SGCA	0.00471531544532777
PPP1R1A	0.00474071764273254
GPR162	0.00478587354978988
TRIM22	0.00492784780128996
MTFR2	0.00492791622191835
STMN1	0.00493005300902043
IFT27	0.00500402711177395
ADAMDEC1	0.0050181927881684
GOLGA8F	0.00502265631104903
DNAJB14	0.00507695531269403
CHPF2	0.0052459184854986
OR4N4	0.00533901416967442
GNA13	0.00541944233757496
AKT1	0.00542625265532803
ZSCAN30	0.00547013944708286
GNG11	0.00550484984164878
CCDC179	0.00567293523399115
CPS1	0.00572776511402462
ACSBG1	0.00573540788487803
MOSPD3	0.0058061513184503
FAM171A1	0.00584761410217116
PCDHGB2	0.00585370009328101
IRGC	0.00600238577118384
C6orf89	0.00602077982044014
USP36	0.00612060605037024
ODC1	0.00619883849710157
C16orf62	0.00624195645740955
SPRTN	0.00624785441157893
PRRT3	0.00627371513390662
CDH23	0.00630105263887815
LTA4H	0.00632326921675264
DDHD2	0.00639737552304254
GATB	0.00644021174551579
CASC1	0.00650548590483646
UNC119B	0.00654789649272203
VAC14	0.00664184733732542
CNTN4	0.00665094350798678
ASCL3	0.00669576472563072
VPS45	0.00671094584778742
AKAP3	0.00685791551945425
KCNK5	0.00691351250392058
ZNF770	0.00711098598417026
DNAJB11	0.00715434740405163
TMEM168	0.00726757573257564
HBD	0.00729344107829966
AKT1S1	0.00736993587255774
CCDC39	0.00744835370262731
TRPC1	0.00749020650983567
UBL7	0.00750418870455716
MYCT1	0.00751744897763817
SETMAR	0.00758817374634524
CCDC14	0.00771323149773606
PCK1	0.00773441439097977
XIRP2	0.00775763818601216
MAN1A1	0.007767718565026
UBAP1	0.00778252091103238
SP4	0.00781166738640693
SLC2A3	0.00783817275094811
SHF	0.00798024069397052
TMEM128	0.00798651183149379
FRA10AC1	0.00816823070208739
GPR148	0.00821207287732983
CARMIL1	0.00828693674143699
SULF2	0.00833196260171598
MMP25	0.00850440942778685
WSCD1	0.00856232083241659
ITGAE	0.00857502297962165
IWS1	0.0085879216190613
ATP13A5	0.00863439691461809
HIST1H4B	0.00864046312692968
MDM4	0.0089555080951389
EPM2A	0.00895816727593846
FAM3C	0.0089615434703687
BCL11A	0.00896560381196077
TRPM4	0.00904605174517936
CXXC5	0.00914941690673432
DDX31	0.00919668093626314
ZNF383	0.00924304672822585
ZNF567	0.00930430039772689
RRP12	0.00954985032883693
TC2N	0.00958735334425498
GLE1	0.00969285091872607
PHPT1	0.00971076822944994
ZNF365	0.00984942043420578
ADGRG3	0.00986534151032914
TEX47	0.0100332416357278
KCNG2	0.0100363839584395
PRADC1	0.0100373156299363
C10orf88	0.0100392053161701
DIP2A	0.010041662795751
STEAP4	0.0100903699922142
YOD1	0.0102406028632032
ZBTB45	0.0102633264054952
TEX101	0.0103066341055563
C11orf21	0.010687834188165
SMN1	0.0107851861227375
ZDHHC14	0.0108374737107136
NIM1K	0.0108841536202118
GSTA1	0.01096547791071
CLCA4	0.0109775902870669
YPEL3	0.0110092319159213
BMP4	0.0111165333521276
NXPE4	0.0111312956112427
SST	0.0111465614304619
URAD	0.0111817652152332
C10orf67	0.0112297166381514
BMP2	0.0112875633445142
OR2G6	0.0113375131422828
MRPL45	0.0113586937043715
PSRC1	0.0114091864776521
C1S	0.0114783448861564
ECI1	0.01159382782355
WDFY4	0.011644027673464
KRTAP9-9	0.0116781928336819
EFCAB12	0.0119464347856197
ABCA7	0.0120046954758306
TAF1B	0.0120052427148885
C9orf153	0.0121051711077464
LCE1A	0.0124403974095524
FAM149B1	0.0124571456359182
DUSP28	0.0125181417425233
PALLD	0.0125430109309228
RPGRIP1	0.012616108079602
OR10A4	0.0126618698245659
RTL1	0.0127114343012299
KRTAP4-4	0.0127904595699265
ASPG	0.0128442623825836
TTC8	0.0128481934806661
MICAL1	0.012866235227454
TMEM9	0.0128754365598697
ATXN7L1	0.0128798756228268
FKBP6	0.0129266540855497
PRCC	0.0129637618489233
ASB14	0.0130401433768403
NTF4	0.0130671111515036
TYK2	0.0131277014691337
LY9	0.0131508479874091
CEP164	0.0132369451245271
GCNT1	0.0133201619996095
INF2	0.0133328331347162
CDADC1	0.013379958262944
NKX6-1	0.0134449035986497
POMGNT2	0.0135287684525398
LRRC7	0.0135937487527357
SH2D4A	0.0137808958589122
KDM4A	0.0138237657794262
TRIM71	0.0138261271729538
MZF1	0.0138578011303265
SNX9	0.0139014885297534
SLC2A9	0.0139377021157535
USF3	0.0140463603321203
ZCCHC7	0.014161157895322
MC3R	0.0142155344181693
OTOP3	0.01427785574913
INTS6	0.014291196299794
C5orf51	0.014338752104981
TJAP1	0.014366814415113
SLCO4A1	0.0144438362511498
PLEKHG5	0.014568655098618
SH2D5	0.0146306873310387
KRTAP4-9	0.0146493835006797
ASCC1	0.0146698670329802
ULBP1	0.0146797426485313
METTL11B	0.014724497895567
ACVR2B	0.0147538110888474
DAPP1	0.0148167383531395
SAE1	0.0148210833363954
TPCN1	0.0148839979122841
DYDC1	0.0149019533539521
DIABLO	0.0149546905530843
C2orf71	0.0149719947840991
TMEM79	0.0149732223028275
CFAP65	0.0150201998126249
FABP1	0.0151573616527442
ACO2	0.015171683774495
DCLK3	0.0152097166532755
C22orf24	0.0152116504157163
DLGAP4	0.0152523900683638
IQCE	0.0153633933805017
AP4S1	0.0154334734364615
AQP12A	0.0155177604252027
