gene_name	p_value
CYP8B1	1.95474175725168e-05
GDPD4	0.000129601062650386
PPP1R37	0.000151010681300173
STK3	0.000223060902210533
SAMD14	0.000333456000699261
OCSTAMP	0.00039702493184146
ANPEP	0.000414255931027415
CCDC89	0.000629943999202961
MYO7A	0.000747878645265598
ACSBG1	0.000903524494326053
NAALADL2	0.00101944747069806
RINL	0.00119828683866801
SIPA1L1	0.00143065091858134
GORAB	0.0015025797822112
SP4	0.00162408799844422
OXR1	0.00180583487895232
ETNK2	0.00191923460641594
GCAT	0.0020426458900483
OR51Q1	0.00205515719515624
BCHE	0.00212648890565557
EPM2A	0.00220543138012138
PFN4	0.00225990689646267
MAEL	0.00249520129865378
PRKD3	0.00253923406160016
DOK7	0.00260437627834306
KCNH7	0.00272885127067356
USP36	0.00274074149145398
DYDC1	0.00278826567628023
PTOV1	0.00280180584473551
DIP2A	0.00281588235065038
FOXC2	0.00289764790444236
LIN37	0.00290310136244206
DUS1L	0.00296713196826409
CYP2C19	0.00304244609295243
SH2D4A	0.00307500269480367
NOX5	0.00309530806267972
AKT1	0.00312317298346015
KLF13	0.00316560367889031
TPK1	0.00328160601217074
RFX8	0.00336621681935139
LIPE	0.00338371359972145
C9orf142	0.00347187424536675
SPDL1	0.003476994371696
MMRN2	0.00395846129017236
ANKRD30A	0.00399623016954054
ZC3H15	0.00411911059926662
AHCY	0.0042696010760363
C4orf19	0.00427443766161427
EPB41L4B	0.00444154726913047
ZNF70	0.0045033577022246
DPP7	0.00455274852626182
TRIM5	0.00456311451841593
OR10AG1	0.0046567174948511
CATSPER4	0.004713889468869
MCCC2	0.00479752457851698
CST5	0.00488757883832195
TMEM143	0.0049185932272887
GCGR	0.00494174731459012
FAM129A	0.00499144944591489
FUT3	0.00514736750297493
CCR10	0.00529221089552791
SPACA7	0.00532241547020855
DMPK	0.00535118812561036
PCK1	0.00544324336270219
BTAF1	0.00551639229337661
RCN2	0.0055175800709084
NKAIN1	0.00560634660795447
DTX3	0.00573636267504025
ZNF654	0.0058283340050134
TECRL	0.00582988584004879
SERPINE2	0.00585714629723898
PPP2R5C	0.00588735354195514
ZNF138	0.00609316356311708
CFAP65	0.00612194272169542
HPS3	0.00627506407064769
LMNTD1	0.00627897229609387
ANKEF1	0.00632765651356514
GRAMD1A	0.00635179132658562
POLE3	0.00635775021087838
MAP7D1	0.00637056347683381
AKT1S1	0.00640262822481759
CCDC14	0.00660769384520237
CLEC4F	0.00662930672016113
MITF	0.00678083698021982
SYTL3	0.00678763327625035
SUCLG1	0.0068570788653742
AGAP2	0.00690538177519427
CHRND	0.00700399298228617
POMGNT2	0.00715946810329768
C2orf40	0.00717617077077322
CHL1	0.00717769386454774
RBM6	0.0072022490551791
ZNF282	0.00729368800939984
BTN3A1	0.00729938494870512
SNX1	0.0073065900386075
HAUS5	0.00732869729130671
CEACAM8	0.00734509730307419
KPNA7	0.00745844067178664
CCDC3	0.00750889483372948
SERPINB10	0.00760206999203608
INMT	0.00760208533797491
CLDN5	0.00778609329519099
FAM107A	0.00789933349530117
PAQR8	0.0079449097568865
PCDHB15	0.00803731233138061
STEAP4	0.0080763879186215
SERPINB12	0.00810705759890451
MGAT4B	0.00812649619151272
VSIG10L	0.00812907463072217
ZNF710	0.00817722745430158
LOC100996842	0.00837321124564392
CHRNA7	0.00839321847254786
C1orf112	0.00843378360901209
MMP3	0.00843918392788561
MAPK6	0.00848694177540493
ZNF414	0.00850043261833174
SEPT9	0.00850768442899374
MRS2	0.00880901746529243
STARD3	0.00897522805979073
HEPN1	0.00901792555147035
NUTM2A	0.00911649941737996
ELSPBP1	0.00925295261899064
SHC4	0.00926595764294611
SPATA1	0.00931469468695528
SKOR2	0.00932102633741544
KMT2E	0.00933149938296302
LRRC56	0.00939025249719226
PALLD	0.00940270496678182
ELN	0.00951968526233385
STX3	0.0095437024335548
RPAP2	0.0095934490746457
PEX5L	0.00971346751219832
NUTM1	0.00974760487806767
EPPIN	0.00976365505331579
L3MBTL2	0.00986420927357899
SPTLC2	0.00988707364444497
KIR2DL1	0.0100413719487288
NACA2	0.0100450039480701
AP1G1	0.0101228923685908
ABCB4	0.0102029864514046
KIAA1755	0.0103596226447127
SYPL2	0.0103691554128312
MRPL44	0.0106533241976517
LTB4R2	0.0106829460847907
IKZF1	0.0107367144008955
CDH12	0.0108556373045938
PEX11G	0.0109035892250765
NPBWR2	0.0111262929742313
SGSM2	0.0112940881610176
DOCK2	0.0114296975574814
NBPF6	0.0114415427924055
PFKM	0.011522161073324
ZNF846	0.0115354730630855
SAMD5	0.0116858022421097
BUB3	0.0116918504100635
LHX1	0.0117712757746162
CD1C	0.0117725312639948
PEX26	0.0119570243672162
MIPOL1	0.0121018960388451
SGCD	0.0122492095571359
HSPA14	0.0122754281923773
CCDC85C	0.0123927401041762
WDR64	0.0124130567442635
ISG20	0.0124140554252607
GART	0.0124222253213391
PPP2R3A	0.0126402270335688
HTR3C	0.0127423034202445
