gene_name	p_value
CRB2	8.90584612323053e-05
TSFM	0.000140711763097823
CPSF3	0.000266012374259605
BICD2	0.000306413113850379
EIF2AK3	0.000335894333860387
PRR22	0.000381282063309896
KPNA2	0.000398065079342036
ELMOD2	0.000408422494721838
MDM4	0.000423124469318248
KLK13	0.000527663043230042
MAFA	0.000535204630997099
FAM208B	0.000557301859630654
PALM2	0.000605575503425251
GGNBP2	0.000815787559874326
TRIM63	0.000912427467185561
FOS	0.000961800509660216
PCYOX1L	0.00100203892209993
ZNF682	0.00109287144887615
CFAP73	0.00118076321944792
ZNF112	0.0015898365004382
C2orf71	0.00164012312798312
ADGRG5	0.00166611542869688
BPI	0.00169155349039862
FOXD3	0.0017361953734194
NOS2	0.00173645587560545
IGSF10	0.00174598292371775
KRT74	0.00178928852907201
POGZ	0.00182495077686073
SIGLEC16	0.00192556367249674
ZNRF4	0.00193169839378815
TRIM60	0.00194894057721662
SRRM3	0.00195746352714776
EPHX3	0.00231258364118792
APBB3	0.00232865128322723
NR3C2	0.00234014458042997
RLF	0.00235427968962498
RSRC1	0.00244683524719724
FAM78A	0.00248825360331795
CACNA1S	0.0025462254797094
EFHC1	0.00260804957890581
NCAPD2	0.00262694140360353
TIAM1	0.00266016184897222
BRSK2	0.00272057115827873
PCDHGB4	0.0027710953873038
PAFAH1B2	0.00287842177822417
GNAT2	0.00288764981871314
SLC22A16	0.00289089466335413
FH	0.00299681057383161
PRSS58	0.00307006016236688
UBE4A	0.00318242535993429
SLC9B2	0.00327161737658943
EXOSC1	0.00331150807677165
TRIM36	0.00346949732120172
TCAIM	0.00347796846067316
MYO18A	0.00351241907049282
TDRD10	0.00352835241613991
NXN	0.00356871801880398
EMC7	0.00360555334547374
KLHL1	0.00361141779665375
KRTAP4-11	0.00364286733038222
SLC22A25	0.00365323160696052
CD79A	0.00371778973782688
TMEM200C	0.00376960636750023
ZNF493	0.00378834864358168
GSK3A	0.00383173469798537
C1QBP	0.00387627015740055
SUCLG2	0.00392070913255405
ZNF649	0.0039836192122904
DAXX	0.00402708361886728
QRICH1	0.00404321035798516
PLD5	0.0041249691958225
PXYLP1	0.00414386048327176
KLK11	0.00428451206209335
ROBO1	0.00442408226828783
GTF3A	0.0044409382766224
RAB27B	0.00449428966229537
ENDOV	0.00454280407765772
SYNJ2	0.00458978147686473
PKP4	0.00463608602749199
COX11	0.00464612420464139
EVI5	0.00475385276123508
ARHGEF38	0.00478236046047331
SPSB3	0.00484853467119162
PRMT9	0.00488864407361411
ALS2	0.00490208640465961
SLC25A39	0.00495923222336392
CR1L	0.00499576681289116
TMEM41A	0.0051356300018377
ALOXE3	0.00527309920442087
PRPS1L1	0.0052948520458943
TEX261	0.00539299852790054
BACH2	0.00539859149986643
HCLS1	0.00553348064370807
DNAJA4	0.00557848624809587
OTOP1	0.00567587163869854
TAL1	0.0057420406155397
RPH3AL	0.0058720213001926
TEKT3	0.00588649559982168
SZT2	0.00594602621517382
SDR42E1	0.00607142558252627
TRIM66	0.00615629541195906
FAM229B	0.00626299972370893
TBKBP1	0.00631106285843441
SPDYE3	0.00649044744266618
KRTAP4-6	0.00651288462156707
GPLD1	0.00666519817022126
HRG	0.00683363648509072
SLC2A6	0.00692531503700811
ARHGAP17	0.00702438296939845
BTN2A2	0.00709534486421903
SHISA6	0.00713142326757066
ACTR3C	0.00715408744348303
TRABD2B	0.00721141529841574
SPEN	0.00738298957300532
SAA2-SAA4	0.00742634790063632
PCDHA5	0.00747392279624259
ZNF37A	0.00783171016246054
CAPN9	0.00787886441612051
POM121C	0.0079024856998724
CFAP206	0.00798537924574849
RDH16	0.0081037225663747
ENKUR	0.00830579989789082
SLC15A1	0.00834024467104366
EMILIN2	0.00849553589202878
FAM181A	0.00877407136687669
GBE1	0.00894768237981081
PWP2	0.00921582645726293
WDR34	0.00924703578255659
FSTL4	0.00947153711936233
RFTN2	0.00948563876260988
OR10V1	0.00955753445934004
RAI1	0.00956908911960586
CMYA5	0.00967586969600298
ANKRD18A	0.00970509013683263
RARB	0.00973651643754081
ANKFY1	0.00973756507551493
C4BPA	0.00988290589871773
CHD9	0.010104854680856
CROT	0.0101866727466525
RALGAPA2	0.0102461388157405
YIPF2	0.0103795451213518
ZSCAN29	0.0103890703705593
PDGFRA	0.0104119891789936
MANEA	0.0104394958116414
CRB1	0.0105980743576639
LARP7	0.0106614775299326
FSIP1	0.0107088225712803
ARHGAP9	0.0107252382241166
CCDC177	0.0108904557799844
A1CF	0.0109838718130082
ELP1	0.0110046045439067
DSC3	0.011064735522181
CCDC102B	0.0110945617033612
HABP4	0.0114295947974564
EP300	0.0114929959994321
CCP110	0.0115255615972405
ENPP5	0.0115421169839176
ADH7	0.0115750742598598
CNTN2	0.0115921162369185
PLAU	0.0116178036741428
CLDN5	0.0116467381559999
NAIP	0.0116621942418396
LRRC20	0.0117186856642554
ABTB2	0.0117374972064614
TSTD2	0.0117986235724011
C5orf24	0.0118715425251437
PIGO	0.0121472044018278
MUC4	0.0122093153393574
SELP	0.0122878226433679
TTI2	0.0124412377012347
PACSIN2	0.0124499773498595
BCL9L	0.012634150385623
WASF2	0.0126518386411848
DUXA	0.0127530221447567
GPR150	0.0127540275102639
DPEP3	0.0128053817881989
CLGN	0.0128198073842815
TRIP6	0.012823761301626
TCF12	0.0128455935249574
ZNF782	0.0131311394535553
SULT1C2	0.0131783967955001
BATF	0.0131829919386179
C1QTNF9B	0.0132502179494645
ACBD5	0.0133002566617275
SMIM17	0.0133955866536773
LRP5L	0.0134979041690145
SLC25A41	0.0135219293769742
YPEL3	0.0136454355313447
MCM4	0.0138737433699156
CRYGD	0.0139973328439772
ELOA2	0.0140340107960669
C10orf88	0.0142802876857234
OR6C4	0.0143113604766572
CPTP	0.0144760506407388
DUOX1	0.0144957984602683
NAPSA	0.0146717885261268
CCL3	0.0149696937855593
SH2D5	0.0152609555075501
RCBTB1	0.0155829572473914
BTN3A1	0.0155974551683518
EPC1	0.0157798188930055
CFAP46	0.0158249051070997
DCTN1	0.0161426701918951
STARD7	0.0162398623680671
CISD3	0.0162776884513177
CATSPERD	0.0163284138528313
PRKRIP1	0.0163817786290649
SLC14A2	0.0164976918972164
TPP1	0.0165254368950127
NRIP1	0.0165862619778581
GLT6D1	0.0166562822302753
NKG7	0.0166729373184
ABCA1	0.0166976975494788
UQCRC1	0.0168823524757815
RASSF8	0.016984865662676
COL17A1	0.0170151619777692
KIAA0040	0.0170674420418953
CTTNBP2	0.0173050220630372
ZNF761	0.017403896216736
MSTN	0.0174642331217392
HEATR4	0.0176782769288218
PFKP	0.0177547984582359
NUDT9	0.0178404790866005
CPEB2	0.0179220333211678
PTPRK	0.0179864166657731
ZNF729	0.0180828315074838
SLC10A2	0.0180891270229122
DDX52	0.0181499510905113
OR4C16	0.0182930187865211
GAS2L2	0.0183906241446526
CXXC5	0.0185512814744749
DNLZ	0.0185653900713376
ZFYVE9	0.0186230235091683
ZSWIM2	0.0186283878476435
CD3EAP	0.0186301956689795
HIST1H4B	0.0186361129820043
ZNF837	0.0190900254570112
DRAXIN	0.0192578007562304
DAB2IP	0.0192720638370631
RPL27	0.0194959627138287
TMEM145	0.0195940495499509
MSR1	0.0197408628984362
AKAP13	0.0197526230339893
PPIL4	0.0197872489164908
STX3	0.0197877407451122
HEY1	0.0199035154851851
ZNF512B	0.0200680132451848
GPRC5A	0.0201195930529456
DISP1	0.0202408027683748
TDRD6	0.0202883573237105
NETO1	0.0203092733556111
ECT2	0.0204809961645146
SLC25A1	0.0205686196362161
SUSD5	0.0205804872504386
LOR	0.0206302041930428
NPFFR2	0.0206641589884899
KRTAP13-1	0.0207549693157154
NUBP2	0.0208401919705812
MRGPRF	0.0210169909824522
KHDRBS1	0.0211114019952787
CDCA2	0.0211449942206213
GPBP1	0.0212084573751612
LAMA2	0.0212616322152355
SNRPC	0.0213194142159967
PADI2	0.0215552931770542
VTI1B	0.0216244066459748
ZFP36L2	0.0216839822791171
F10	0.0218239392815812
INSRR	0.0218396470702418
KNOP1	0.022177586401149
ITGB7	0.0221901567094909
NOP56	0.0221960880609587
OR7C1	0.0222068921507386
KCNH7	0.0222622461159464
VCPKMT	0.0222829142520231
ASCL4	0.022331803346609
CECR6	0.0223847122160791
C19orf25	0.0224016196071574
RRAS	0.0226507442976608
DEFA4	0.0227429422651425
AMN	0.0228064891026514
ZNF440	0.0229550187652759
RNASEL	0.0229777420804748
TOGARAM1	0.0230475673868274
C7orf50	0.023400613221159
PPARGC1A	0.0234847093942178
NOX4	0.0235273151662068
TBATA	0.0235344421154402
NCAPH	0.0236243145334681
RNF114	0.0237221945821301
SPATA16	0.024021745181449
ZC3H8	0.0241152313210748
KLK10	0.024143242376532
ST14	0.0243368590814287
DUSP8	0.0243572621254982
TULP4	0.0244172552484789
PDLIM3	0.024508436047987
GBX2	0.0245686587062643
IL6ST	0.0247498336193164
NAGS	0.0248064876558701
DSC2	0.0248717148323067
NAV3	0.0249280841730445
CRAT	0.0249410137288685
CERK	0.0249588909712929
ATP2B2	0.0250360791989966
KIF18B	0.0253303130362988
UNC119B	0.025374740941542
SLC44A2	0.0253873931719922
HLCS	0.0254947540384877
MAS1L	0.0255187650156613
PIDD1	0.0256814633344007
ZNF554	0.0258766461043753
GBP2	0.0258787985732108
SMTNL1	0.0260586828000367
PLCL1	0.02610837078374
ANKRD66	0.026120365286841
KMT2B	0.0263537034502923
NBAS	0.0266587589339125
EIPR1	0.0268390093200941
TMEM168	0.0269524069418011
KCNMB3	0.0274091174083606
ZNF525	0.0274380455031886
TSPAN17	0.0275963686954234
SMIM25	0.0277226973953582
TREM2	0.0277386741000815
RPUSD4	0.0277424664166963
QRICH2	0.0277666541837822
TNIP3	0.0279655632202357
ZP1	0.0281680839813836
MARS	0.0281729807645402
OR5P2	0.0281848793436327
MED13	0.0283031543265231
RAB13	0.0284895785181298
C19orf71	0.0285846975726571
XAB2	0.0286198811340141
RASGRF2	0.0286647978632448
PODXL2	0.0288689603298322
STARD3	0.0289614598492129
SIX5	0.0290981923952448
NELFCD	0.0291787012090875
IL1B	0.0292248290420184
NFU1	0.0292248290420184
MICALCL	0.0292484421351383
TMEM186	0.0293153568483339
MRPL2	0.0293828280816515
VEZT	0.0294237239167146
IRX3	0.0296110765304444
MFAP5	0.0296780042673692
FAM92B	0.0297898987317528
CARNS1	0.029906347570607
FAM129C	0.0299441342932624
R3HDM4	0.0299662549333406
ANKRD36	0.0299829720563374
HIP1	0.0300595740581736
CLDND1	0.0300730531762829
SLC9A3R2	0.030367342440085
HOXD12	0.0306479586507385
DCC	0.0307462632082028
SKOR2	0.0307843218456185
PRKACA	0.0308214060096831
PAPOLB	0.0308397620615513
OR4D6	0.030860189641862
ARHGEF2	0.0308662436834769
ZNF583	0.0310512461037254
CTNNAL1	0.0310594338488764
F2RL1	0.0310780415762549
PINLYP	0.0310780415762549
NUMA1	0.0312519325658136
POLK	0.0313354944968899
LPCAT2	0.031557513321071
OLFM3	0.0317119912941867
SLCO5A1	0.0317161856756646
TMPRSS11A	0.0317378248662302
GCAT	0.0318368149297144
R3HCC1	0.0318411637796523
KRTAP3-2	0.0323689209180053
SEMA3C	0.0325425422289523
TRIM3	0.032661668262464
COL5A1	0.0327267512166386
GLIS1	0.0327274775276659
ZNF286B	0.0327997284627122
LRRC10B	0.0329333685257521
IGSF6	0.0330126491921059
ZNF691	0.0331580750656286
TTC28	0.033158221615511
ZNF623	0.0332542633892109
ZNF681	0.0333908658267502
MACF1	0.0334462099789048
CKAP2	0.0335064647125777
ARAP2	0.0336379070142008
ATG4D	0.0336877219955239
NUP133	0.0338089765559612
PHF21B	0.0340128383232786
OR52N4	0.0344241255168776
CENPH	0.034489294907077
POLR1D	0.0346500022128734
FOXM1	0.0350462057946925
LHX6	0.0350945025200392
ADAM7	0.0352922224516357
DPP7	0.0353471590416323
ZNF7	0.0353890450529649
TRIT1	0.0354678484302744
SKP1	0.0355873609541142
PLGRKT	0.0356032476856865
IL4R	0.0357692700410699
PGM1	0.0357724316131033
ZNF688	0.0358445891897035
RAPGEF1	0.0358699927493091
C10orf35	0.0358910980422245
UACA	0.0358910980422252
PAPLN	0.0359891718314272
PDPR	0.0360538789717157
OGFR	0.0360817309055914
DYNC1H1	0.0361274232190562
CERCAM	0.0361476008967219
CARMIL1	0.0361652661266171
SAMD5	0.0361973668170602
RMDN1	0.0363286431438197
TRIB3	0.036386397902724
LITAF	0.0363988458279314
SCGB2B2	0.0365601104328711
PRR23C	0.0370628681907493
TRNT1	0.0370919879858477
CST8	0.0371075171299554
KRTAP1-1	0.0371092663415697
NFKBIZ	0.0371122854350735
ATP8B3	0.0371211700448837
HDAC9	0.0372908988918865
SIRT6	0.0374163480055184
PCDHA12	0.0374865378356986
ARNT	0.037742229593085
C5orf64	0.0378546478204029
FUT11	0.0379775511692462
PROCR	0.0381269516366237
TTC39A	0.0383520737424768
ZNF341	0.0383580299366619
SEC16A	0.0384578371330278
ZFR2	0.0384675790088559
DCBLD2	0.0385386024992765
UEVLD	0.0386872871441126
FAM13B	0.0387118548053065
SFI1	0.0387176583272555
AGAP3	0.0389914651373309
GTPBP1	0.0391419917738285
ZNF331	0.039251039680841
FJX1	0.0393453225501678
EPB41L2	0.0394069301611077
ELFN2	0.0394213170323815
SMYD4	0.0394750931769955
COG8	0.039516983984928
ZNF138	0.0395269863359287
USP30	0.0395415003821257
NIN	0.0398630746462988
OR3A2	0.0399010607011704
CCDC82	0.0399081238579212
OR10H1	0.0399645805684935
PGBD1	0.0399952064076463
FLNC	0.0401653694110933
SHROOM1	0.0402048097839433
ZC3H7B	0.0403020860875818
EPOR	0.0403674954797186
SEMA5B	0.0406046799125788
MFRP	0.0406086523570116
FOXL2	0.0406337433275108
FBXO21	0.0406785268469395
TMCC3	0.0407194572989399
ZNF644	0.0407340748647453
RPLP2	0.0408567817050315
OR4F4	0.0409140842620112
OR51I1	0.0410341289765475
