gene_name	p_value
RNF38	0.000174876909329824
MASTL	0.000340740254818117
UGT2B10	0.000374733507620073
HIST1H2BE	0.000422202222043856
FOXJ2	0.000425772755242471
C12orf54	0.000536210704357609
EYA4	0.000817548410374958
CASP12	0.000879741566513603
ANKRD17	0.000890799787852004
SLC12A2	0.000949249502358529
FOXI1	0.000981761990875629
THAP11	0.00100525796294548
BMP6	0.00103164639241715
C10orf113	0.00104040950607354
OR6V1	0.00112586681733251
REXO2	0.00113059904013435
SNUPN	0.00117480512857726
CDH19	0.00119967836135182
BCAS1	0.00121824260050885
SLC25A29	0.001419944552845
WARS	0.00149483692551122
CLNK	0.00165058780769034
ABHD18	0.00167707640066306
PKNOX2	0.0017668122549378
CCDC116	0.00178483392094009
GUCY1A2	0.00184354845830348
CIZ1	0.00185557765966049
FBXO28	0.00191113284217082
SRD5A3	0.00192140870392084
FBXO31	0.00207306568419308
LGALS3BP	0.00215860844238036
ZNF223	0.00225333758859891
LOC100505841	0.00256473232227439
GRM5	0.00257528321603262
PARP14	0.00260041012833867
MLXIP	0.00280224128078732
MAD2L1	0.00280884540066477
CYP2A6	0.00282227674962499
ABCG4	0.00316812474923978
FGF6	0.00347785361648589
RHOF	0.00352556787559855
CACNA2D2	0.00359137276165089
ATIC	0.00362255368005726
MIOX	0.00383846013422739
C11orf40	0.00392967229275853
KLF11	0.00399249562548276
CARNS1	0.00402564692944185
CNKSR1	0.00405406989055301
CTDP1	0.00428499549210792
RASA2	0.00433770419354695
CLSTN1	0.00439610389495226
TECPR1	0.00456168702739879
MYO1D	0.00456500765623291
CPAMD8	0.00469626379034094
GRIN3B	0.0047569965613713
FOXS1	0.00476768135850991
OR6K3	0.0048009444908087
LOC100129940	0.00491872533562909
TMEM184B	0.00493927906880987
WNT2	0.00500213988808151
MYL1	0.0050733913892449
CPT1B	0.00520023712590101
TBC1D24	0.00540686620601216
ASPHD2	0.00546939612661002
SRRM2	0.00547029532425936
OR51T1	0.00550318661170568
QPCTL	0.00571748169924113
CASP5	0.00574547274461179
BACH1	0.00578571417359852
SPATA8	0.00579836843187187
DNAAF3	0.00583693150127673
PRDM8	0.00596521918462301
ETFBKMT	0.0060046435031057
TTC3	0.00601689405209205
PPIC	0.00601702157365813
ADAMDEC1	0.00603207084416679
OR6A2	0.00604410604938643
WASHC4	0.00605685026982361
SIGLEC1	0.00608461884162903
TSSK1B	0.00613851944294286
RBM4B	0.0062146848316974
PABPC3	0.00625052665391856
DENND2C	0.00644042606216499
SPRY1	0.0065120668488466
SNED1	0.00664200294802908
VANGL1	0.0066750329909544
SALL4	0.00670625338547626
PROSER1	0.00678656211867157
PDCD6	0.00679208232128126
STK32C	0.00680479931429001
BBS7	0.00685900853024934
OLFML3	0.00702223026762427
C8B	0.00708184260381917
ERCC2	0.00711704707197747
ASNS	0.00718287481782443
MEP1B	0.00734209337026559
HASPIN	0.00738040257436889
KAT2B	0.00754466707713808
GZF1	0.0076260629406103
CSTF2T	0.00772192619845413
WDR63	0.00773059674765353
ADM2	0.00802568262643055
ACVR1C	0.00815653096705771
PYGM	0.00820193314901252
APBB3	0.00821320698963446
KLHL9	0.008246239287234
FAM98A	0.00857649133528837
RBM25	0.00870715974252767
SNRNP70	0.00871115513257104
RASSF9	0.008735130783177
IPPK	0.0087698024130004
RDH12	0.00882159613351463
PTPRH	0.00892173292995169
ACOT6	0.00896031510662165
TGM2	0.00906810282892001
C18orf65	0.00954382009468613
ZNF665	0.00991580496979105
SSC4D	0.00999887217810347
SFMBT2	0.0101150317419212
ZNF280B	0.01013944191775
TUBA3E	0.0101912225683866
NIF3L1	0.0102101699687469
ST6GALNAC2	0.0102253298652207
CCDC15	0.0102688270335015
FAM114A2	0.010294313482701
PPP2R5C	0.0103098893558803
TRIM48	0.0103315991011002
BHMT2	0.0104074835352689
LRSAM1	0.010773465837678
FAM161B	0.0108576104611698
PCDH12	0.0109319835352425
TBCC	0.0109636945609342
BIK	0.0110976514766855
HS2ST1	0.0112232142628998
EXOC3L1	0.011241220329106
CDC42BPG	0.0112568271823483
GREB1	0.0112578679124429
EHD2	0.0113848192498207
RHBDL1	0.0113863174008549
PALM	0.0115592210132175
MRPL22	0.0116170744503634
VIL1	0.0117596335338248
CPQ	0.0117795379485958
DGKH	0.0117839341515005
UGT3A2	0.0117860583924485
NUDT22	0.0118992847806617
FAM186B	0.0120645277382421
CD200R1	0.0120710537976152
C2orf72	0.0120788332147344
SNTN	0.0121275473142672
TLE3	0.0123006130022004
TARP	0.0123453338747899
BCL11B	0.0124094530016982
NUP153	0.0124793169633269
AGRP	0.0124802044980416
CR2	0.0125517494856697
SKA3	0.0125687789490605
GLG1	0.0126032815014292
KIF15	0.0126086417997179
NEK10	0.012609290384643
FANCG	0.0126215194462622
DUSP15	0.0127847173214501
EFEMP2	0.0128273486347956
MBOAT4	0.0128280973039027
BTBD3	0.0128884023104939
PLEKHA2	0.0129342947465472
FAM214B	0.0130336888182602
CPE	0.0130554022010523
ZNF302	0.0130640303926657
CALCA	0.0131283197279832
NIPBL	0.0131782347709252
EPHA10	0.013187612578855
C15orf52	0.0132506317412766
NAALADL2	0.0132818072050579
SLC5A11	0.0133841402230426
LOC389199	0.0135843423790561
FARSA	0.013738155397612
IRX5	0.0138224552964785
F11	0.0138601517162474
MOK	0.0140262440995419
TPX2	0.0141047815970468
FEZF2	0.0141178680691616
ODF2	0.0141225397002911
C1orf100	0.0141247006465954
GCKR	0.0141279013690008
CLUAP1	0.0142042583445451
JUN	0.0142208895738273
TLCD1	0.014274043202003
FBXO3	0.0142882850827828
KRT80	0.0144676865015613
FRMD3	0.0144880244610526
LIX1	0.0147297171925725
ANAPC5	0.0147479176045313
OR10G9	0.01475119493582
IFFO2	0.0147528591299827
C3orf14	0.014901795124855
RAB3D	0.0150183873161147
MLLT6	0.0150489156834896
SYT13	0.0151394778656395
RAB31	0.0151401764699134
MYT1	0.0151884765820699
C4orf19	0.01522404202204
CDH16	0.0152339454291589
OR2M5	0.0152813731674836
RTN4RL1	0.0152986296923426
C5orf42	0.0154345550346225
ATP5SL	0.0155176804057108
HEBP2	0.0155254185397087
C5orf49	0.0155988852172958
TBC1D9	0.0157686315326063
AXIN2	0.0158720270767855
BMPR1B	0.0159159366120116
EXOC2	0.0159585383250856
HMBS	0.0160783534745265
SLCO4A1	0.0162063859271886
ANKDD1A	0.0162356441885507
TANK	0.0162867063311897
BTBD2	0.0162912479450433
SLC35G2	0.0163690779787835
CNGA3	0.0164344911689449
ABCA1	0.0165011600949387
ALG12	0.0165124409939482
ZNF669	0.0165222584924991
MDGA1	0.0165497685226754
ZNF821	0.0165728288737583
KRTAP19-7	0.0166132072264472
UNKL	0.0166516643513612
SOX9	0.0166576633968192
UBL4B	0.0167251675573575
GINS2	0.0168441832964927
SVOP	0.0168491840821167
ICAM2	0.0169197762725551
C1orf94	0.0169377267920794
TUT1	0.0170087130010993
SDHA	0.017020289543095
SNRPB	0.0170317505388915
SP110	0.0171279361924492
TLDC1	0.0171505509867073
SDSL	0.0172247977844587
RBPMS2	0.0172716085167171
MTR	0.0173004581256806
HIC1	0.0173068481223889
CHD2	0.017391351395623
UNC45B	0.0175109978917563
RGS9	0.0175659889466855
OR10G3	0.0175674250693878
ZNF778	0.0176271497098717
RD3	0.0176327746511425
STRIP1	0.0176333656615612
GLIS3	0.0177350429587434
BAG3	0.017762166848456
MYBPHL	0.0178222395431683
ANHX	0.0178673313488917
SEMG1	0.017974299700483
NDE1	0.0181024001200806
HGF	0.0181108031270981
OR51F1	0.0181292749173507
EXOSC2	0.0181341778188369
CHL1	0.0182201923607826
ZC3H3	0.0184943499586826
TMEM225	0.0184996213423316
LY96	0.0185079546031809
OR52B2	0.0185513860714571
MED1	0.0185613418787201
POLR3B	0.018599973528809
NXF1	0.0187306735026949
PREB	0.0188766201762161
CCDC113	0.0190272940067386
ZNF736	0.0190545752801557
FSBP	0.0191526031593321
DMGDH	0.0192123617411702
ZAP70	0.0192160415783897
EPM2A	0.0192888045102682
TAF1C	0.0193033074281824
FDFT1	0.0193441370681662
UHRF1BP1L	0.0193548291275064
AP1B1	0.0194274191656725
CD226	0.0196047981672854
TMEM80	0.0196206604052861
PDK4	0.0196393318748517
SLA2	0.0196514145910942
PMP2	0.0198078722948236
TRABD2A	0.0199831186091196
BRIP1	0.0201874323136937
COMMD9	0.0202148388550678
PHB	0.0202894436826201
SORCS2	0.0202936745590928
CARD11	0.0203323858210275
SLC7A6OS	0.0203520601112033
PINLYP	0.0203927155102334
TXLNB	0.0203979694224334
EPHB1	0.0204659344946727
GRIN2C	0.0204892032945984
GNB1L	0.0206048319051076
C6orf52	0.0206276825471938
LXN	0.020813030581968
RIPK4	0.0208707742927227
OR8S1	0.0209781788835895
DNAJC6	0.0209956244247507
FDPS	0.021015043378365
AAGAB	0.0211458989789329
SORCS1	0.021181495245416
C17orf78	0.0212907557297546
RBBP8	0.0213140974300727
ZSWIM4	0.0213387742916753
TMEM126A	0.0213437698165799
RHPN1	0.0213844019317633
C1orf109	0.0215527254411872
MROH9	0.0215790509618727
FZD1	0.0216355589139156
GNAS	0.0217002600621828
OR6C3	0.021785053588868
TRAM1L1	0.0218941762816447
NDRG1	0.0219016824342285
PIEZO2	0.0219328012365232
CLDN19	0.0220803599021224
KIN	0.0221092485585668
PPM1H	0.0221175598431994
WASHC1	0.0221669080162302
GPR137	0.0221939921962591
RGS20	0.0223441634519955
EOMES	0.0225556414618363
RBPJL	0.0225987270829282
LNPEP	0.0228112098982342
OR2L2	0.0228594873367363
PIK3CB	0.022976186915446
MROH2B	0.0230611473032448
TBP	0.0231507328392935
LCP2	0.0231576937756314
RINL	0.0232565177503031
RAB15	0.0232602729170356
DNM1L	0.0232899148532222
OR10C1	0.0233182953555219
NKX2-8	0.0233397962550487
STAR	0.0234352361906278
IL33	0.0234496431804179
DHCR7	0.0234701933793651
SLC25A51	0.0236460265204317
SLC3A1	0.0236628071860899
ZNF44	0.023839476585687
GALNT13	0.0239032722511683
GDF10	0.0239188639969928
ZBED4	0.0239346703527596
VN1R2	0.0239455234786201
LOC100130451	0.0239760821413045
OR2Y1	0.0241192032175513
SGCB	0.0241968233424289
IGSF9B	0.0243463080556747
ZNF462	0.0243823839659129
KEL	0.0243865988299872
NXNL1	0.024547213719629
DHODH	0.0245559622142588
ILDR2	0.0246616114231146
PRDM1	0.0246770875952322
CEMP1	0.0247856352815561
MOCS3	0.0248029552208596
CHPF	0.0248871872359723
OR7D4	0.0248881593959152
ADRB1	0.0249039427883228
MBD3L3	0.0249179810201122
KIAA1549L	0.0249390701788542
KBTBD3	0.0249806157069308
ETV3L	0.0250331183450994
SLAMF7	0.0251932373227172
KIAA1468	0.0252405470588952
DSG4	0.0252713342187774
POMGNT2	0.0252716047952533
AQP9	0.025556690827752
APCDD1	0.0255738182244292
GLTPD2	0.0255795625420766
AASDH	0.0255983092501531
IL27	0.0256805112031691
SIRPB1	0.0256819102067983
GYG1	0.0257052412753092
FAM76B	0.0257110585777693
MRPL15	0.0257424969800412
