gene_name	p_value
VIRMA	8.90741146527541e-05
CCDC177	0.000169011139901643
EXD3	0.000273556352740956
SCPEP1	0.00041330375472215
TPH1	0.000511660660307167
SENP7	0.000755550187060194
STOM	0.000814691323808292
AHR	0.000885840809635274
PPRC1	0.000995665349775576
UBTD1	0.00105313564979537
PRSS55	0.00109208079364675
TMEM185B	0.00113129358433672
MSRB2	0.00118031551946618
SDS	0.00122298387948727
SULT2A1	0.00127975823350124
SERINC5	0.00130077389406946
AHNAK2	0.00132427307968552
CRTAP	0.0014541486428028
PLEKHH3	0.0017124085931397
NCL	0.0018069847070431
TRH	0.00193205472454594
CLC	0.00199900628246774
OR8K3	0.0020216989605274
PTPRA	0.00206480566859224
MUC6	0.0021382385529608
GSDMB	0.00244853730515182
ARL14	0.00248514089984864
STPG2	0.00250472618533559
SERINC4	0.0026158396761885
MINDY2	0.00273337667328255
CNKSR3	0.00275550730964258
KAT2B	0.00277760441970332
IFT57	0.00279801471505858
ITGA3	0.00285214967186997
GLT8D2	0.00290867321730637
EML3	0.00293261416739587
TNRC18	0.00314141900247278
PALLD	0.00330899648425997
STX3	0.0033190187171791
NCKAP5L	0.00335532353023194
RNF43	0.00350293920798783
UQCRC2	0.00355215689038224
C17orf53	0.00355304465017126
ALS2CR12	0.00356195863699138
FAM71E1	0.00383540817330874
APOL6	0.00387652782866221
VSTM5	0.00398016791624145
SLC26A8	0.0040455072143748
FAT2	0.00415175135619139
RBKS	0.0042698927174204
BCL3	0.00430663974010115
LPA	0.00430707701256883
R3HDM1	0.00434952179330406
FAM171B	0.00438299572789891
LAMC1	0.00444609446470923
NUDCD2	0.00452178867163977
GPSM2	0.00454346732237265
RTCB	0.00454420496991137
TP53INP1	0.00496250160546596
PLBD2	0.00503744635241998
DHX9	0.00505528302205882
TM2D3	0.00506075514415494
DSE	0.0054147297165662
MON1B	0.0054399024741949
CMA1	0.00545024066236988
CREB3L3	0.0054629593129446
LRTOMT	0.00553651709986569
IFT81	0.00557946689659239
ZNF586	0.00560283395317107
DCHS2	0.00566620572644272
LAP3	0.0057521504159368
KLRG1	0.00581678311593159
ZNF708	0.00586247703329423
NCOA6	0.00612686692995856
UAP1L1	0.00617306161834086
CSNK1D	0.00619559181067031
PCDHGA1	0.00626492079719243
MC1R	0.00635083140657122
