gene_name	p_value
TUT1	0.000149836904721923
HSD17B1	0.000222515767504761
ODF2	0.000715632376793174
HOXC10	0.000918544752426587
CLDN3	0.00125536602531451
RAB6C	0.00137435986954848
PPIC	0.00157793280321739
ANKRD17	0.0016094678840024
NXF1	0.00169658396450234
RHOF	0.00175317423893961
GTF2IRD1	0.00176165347588031
C10orf113	0.00187674509676072
P4HB	0.00194996749815257
PIK3R4	0.00206446060254728
MYL1	0.00214312403131545
ZNF131	0.00216933559943222
CCDC27	0.00232377738854594
DSE	0.00237607120416727
ELOVL4	0.00241482188601365
KLHL6	0.00249730149240868
HTRA1	0.00261314708666049
SYCE2	0.00274771011924935
SRP14	0.00283675940978712
TCF19	0.00294242715348847
SDCCAG3	0.00295528755169983
USP6	0.00305314333094775
NOC2L	0.00317930711981329
ATXN1	0.00319908407839753
CRYGD	0.00326458724518297
SLC25A29	0.00334657801495508
ASNS	0.00338127792302489
CARNS1	0.00348363504568605
C10orf105	0.00355701168033229
PPP4R4	0.00357792451274996
C19orf12	0.00368161161021274
C6orf52	0.00371609604674983
OPN4	0.00378851302846495
CC2D1B	0.00391088111434523
BEND4	0.00399933602132596
EYA4	0.00408901244833815
ZFYVE26	0.00418035292354491
DRICH1	0.00438173180452191
C3orf14	0.0044197420373201
POTEF	0.00446576025761358
TBCC	0.00452512742935784
OR10G3	0.00456912370446516
OR13C4	0.00475227251852206
ANAPC5	0.0047727107938843
RNF225	0.00480357430264178
IL27	0.00483238350652959
LMTK3	0.00483588329501417
GCNT2	0.0048923764898281
PRKAG3	0.0048948734426606
BAD	0.00491247847177556
OR6K3	0.00502860431299668
CYP2A6	0.0050641624070773
ARL6IP4	0.00510834167173058
CCDC97	0.00516634552473827
CNTLN	0.00529257487425505
PLB1	0.00535420438948819
NOL10	0.0057263484212613
IFNAR2	0.00594862257496753
WARS	0.00595202364348513
CA12	0.0060522760800007
KRT9	0.00607495693769111
MLXIP	0.00609614499302258
TSEN2	0.00615024245117701
RGS17	0.00622321934098669
NXNL1	0.00625396817289015
OTOS	0.0062720356000423
STRIP1	0.00646139371178567
VPS54	0.00649919339082757
CLNK	0.00662890277113104
FREM2	0.00668289487122309
OR4F17	0.00671271725274025
GRK2	0.00673926239222078
EXOC3	0.00675569956351629
RD3	0.00685413570905513
NFE2L2	0.00691858895246478
THBS1	0.00700556030417054
TRDN	0.0071777068180281
FDX1	0.00726403562302269
TUBA3E	0.00742272755833462
CER1	0.00751477922505173
CDT1	0.00751982234504112
ETV3L	0.00753325402677507
GSC2	0.00756816452706016
TMEM54	0.00757983629472914
PSG4	0.00762435512625148
PITRM1	0.00762503148755922
AZIN2	0.00767733709015361
AHRR	0.0076826564928747
SNRNP200	0.00781628905439602
ZNF574	0.00792155673535211
XAB2	0.0080416650365861
GBP7	0.00805334189384133
STOX1	0.00807683244690605
THBS3	0.00828481526603364
ANKDD1A	0.00833544843833238
TGM2	0.00836957307222064
KIF6	0.00845323810738985
MLXIPL	0.00848103492786978
HHATL	0.00850195460813075
NUDT22	0.008551544283662
AZU1	0.00856295335474577
PNMA2	0.00859957818632984
FAM26F	0.00862034380914911
LCE1F	0.00862609963234928
SLAMF7	0.00867728970680681
CARD10	0.0086895322471261
HMGB4	0.00877310445525104
LEAP2	0.00885711331680794
PTGFR	0.00890395266777677
GK2	0.00901453722730294
CHRND	0.00906662165467298
ANKMY2	0.00907977118554226
ARHGAP1	0.00919708446267953
ZNF607	0.00929283355121091
PRKACA	0.00935236106017789
HNRNPUL2	0.0093689317997796
DZIP1L	0.00951803633211434
FANCG	0.0095298264727548
TMEM74	0.00956787852740759
MAK	0.0096343140758115
CD8B2	0.00968584634667435
ZC3H3	0.00977196775284717
DENND4A	0.00985108854394734
ENPP6	0.00994980466088757
GRIK3	0.00998578228765956
SBK3	0.0100021638573882
PVR	0.010239185991169
MDFIC	0.0102922178805165
SNRNP48	0.0103740634552971
GFI1B	0.0105441179711361
SIGLEC1	0.0106502550640961
CSF1R	0.0107080203121208
SVIL	0.0110009203326941
CACNA2D2	0.0110371642752206
TXNDC5	0.0110592189910399
BMP6	0.0111502544155233
VDAC2	0.0111991298028096
FAM71F2	0.0112646388568671
ANKRD13A	0.0113131177465764
C1orf56	0.0113134250266366
FOXP4	0.0113477085121143
ETFBKMT	0.0115280331995314
LRIT3	0.0115719825909628
FRMD4B	0.0115754220905631
NR1D1	0.0116871645295785
SIVA1	0.011722352903126
ANXA6	0.0117426811153349
KRTAP2-1	0.0117754149024
GLE1	0.0118287489518867
NEUROD1	0.0118430145241973
PINLYP	0.0118829720168691
NTNG2	0.0119807990221822
DDO	0.0120980550121955
NFXL1	0.0122156138979425
CYB561D1	0.0122956402261985
MBD6	0.0124258095871754
ZFYVE27	0.0124748898865567
TONSL	0.0124832082027223
SLC2A11	0.0127481869041129
C1orf137	0.0128140521832495
SLC25A51	0.0128406109491487
ZNF217	0.0128802450896909
PLOD3	0.0129253089868073
UGT2B10	0.0129762091688317
CDH19	0.0130396155028935
ASIC4	0.0131491422140791
HS3ST5	0.0131981225922537
OR6A2	0.0132531081900285
PCSK9	0.0132678918532044
DNAAF5	0.0132839934982342
ADAP1	0.0132855605513514
SPATA31E1	0.0133489899888444
NAPG	0.0134129350205157
CHRM2	0.0134304752063493
CYSRT1	0.0134626637043903
APBB3	0.0135710396899005
BIK	0.01366277661362
A2M	0.013961214747707
SDSL	0.0140208632045342
SFMBT2	0.0142651344548885
CPT1B	0.0142771115470524
LSP1	0.0142925487170623
SFTPA2	0.0143158232736074
DHX57	0.0143206073876103
LARS2	0.0143798412467964
TNFRSF11A	0.0143804407689506
TMEM126A	0.0144215442750758
CLSTN1	0.0144606908527892
PPFIBP1	0.0147908006606071
USP53	0.0148053956731959
FSD2	0.0148652076012943
SFSWAP	0.0148653393770704
SWSAP1	0.0148881940659018
KBTBD13	0.0149355888413645
EMC2	0.0150867233528193
IFT57	0.0150867233528193
TARP	0.0154156530953192
CFAP52	0.0154890035336114
EXOSC10	0.0155364954656108
SLC45A3	0.0155985468727307
CNGA3	0.0156425703055575
CDC42EP4	0.0157205343775794
KRT72	0.0158567343885219
SETD5	0.0158750242791152
ZNF462	0.0159400730761058
CPNE5	0.0160406651068267
MASTL	0.0160616147431093
DSEL	0.0163047387409708
ATR	0.0163763573167668
SLCO1B7	0.0164185564378092
GLB1L2	0.0164885773630493
GMNN	0.0166022464073385
RAG2	0.0166617868059259
LTF	0.0167244388435979
C3orf56	0.0167709704803172
GTF2H5	0.0167764717797413
CSPP1	0.0168120544315783
DCAF13	0.0168673148678194
F11	0.0168952109685276
SPATA8	0.0169298002500271
CCDC116	0.0171367131203329
FAM173B	0.0172649388431239
BRSK1	0.0173074491222479
VCPIP1	0.0173818633244075
LGI3	0.0175476962554306
SP6	0.0175637145584608
NDRG1	0.0176685296787721
AASDH	0.0177329871146823
GUCY1A2	0.017788171065744
PRSS48	0.0178450176497549
RNF38	0.0179597392328147
MEI1	0.0179931179896359
PITPNM2	0.018091864134532
SLC4A1AP	0.0181629182766376
GALNT16	0.0181718755985851
TRIM48	0.0182722657027112
ZNF669	0.0184744804043023
KLHDC1	0.0185642255580527
PSORS1C2	0.0186461164090042
FAT3	0.0186510571377926
PCDH12	0.0188319438250746
MYO1E	0.0189581982121999
RGL1	0.0190331747598366
NCF2	0.0190465104012927
CCM2	0.0192717089868336
VSTM5	0.0193767126463078
SHARPIN	0.0195080532651059
ZNF684	0.019531009491212
NCKAP5L	0.0195692452076053
MRPL15	0.0196565277557027
ALG12	0.0197835366837273
C6orf229	0.0200956922973389
PFAS	0.0201156357338592
TMEM237	0.0201161460047447
CRTAC1	0.0202194903117824
SLC12A1	0.0202260979472844
NCR2	0.0202282813316749
UGT2B4	0.0204839935041135
ANP32E	0.0205947614752835
DENND4B	0.0206499788943433
SRD5A3	0.0207429224402717
MEF2A	0.020793107253538
BMPR1B	0.0209099116171562
BHMT2	0.0210488485567109
TMOD4	0.0210763269514391
DHX8	0.0211768193864741
FZD7	0.021235522624293
CNKSR1	0.0212955633038554
OR10A7	0.021409543868688
SIN3B	0.0214555466915418
COL4A3	0.02167952459936
ARHGEF12	0.0217114767497369
ZNF503	0.021775502524837
CIZ1	0.0218168323841809
UTP18	0.0218319475269665
C12orf54	0.0219542473528862
PDCD7	0.0220433058632545
PPIE	0.0220639305759981
PKD1L1	0.0220649245505843
MED18	0.0220974521260807
MACROD1	0.0223723641553416
PTPRH	0.0224527901084955
RXFP2	0.0225943588224476
ABHD18	0.0226114669979891
LXN	0.0226242596650469
NDUFAF6	0.0226764417444921
BTNL10	0.0229164620431621
TP63	0.0229647810460584
HHLA2	0.0230117441015188
DEPDC5	0.0230703017061467
THAP11	0.023157123843402
FRMD3	0.0231825923459263
VPS53	0.0233520363615239
OR10H1	0.0233779264548548
CCDC102B	0.0233921050027008
TRAF3IP3	0.0234298399621221
NCOR2	0.0234542440320591
SNTN	0.0235399347427486
EHD2	0.0235454603395626
MFSD14B	0.023678198449313
PRM3	0.0236907909408152
GLIS3	0.0237032675270165
KLK15	0.0237940733781777
ESR1	0.0237961956136271
MICALCL	0.023897081495652
EFCAB5	0.0239153294787318
WNT1	0.0240853746074343
CELSR2	0.0242529139608469
WWOX	0.0243393897298988
ACAD9	0.0244046190144034
CLDN5	0.0245357658219199
ZNF843	0.024737755015541
MOGS	0.0247572593362325
THNSL1	0.0247587569287158
LAYN	0.025177589720244
ADD1	0.0252543369930258
RARRES2	0.0253601113048453
REXO2	0.025368440441831
FAM83E	0.0255148368276283
MATN4	0.0255213960208378
CCHCR1	0.0256638948273422
TP53I13	0.0259962525581209
CHRNB1	0.0261669340896257
HKR1	0.0261679813042051
ADRB1	0.0262185143970166
TANGO2	0.0262391007371733
MYBPHL	0.0262555591746129
PDLIM7	0.0262730982369019
TECPR1	0.0263884492571594
CDH26	0.0264175815034906
APOBEC3C	0.026531724006355
ADCY7	0.0265952801042021
MAN1C1	0.0267934649637223
FDPS	0.0269461647971972
RIPK4	0.0269634316554976
BCL7B	0.0270154863593643
PBX4	0.0271218809307524
POR	0.027146686893126
COQ6	0.0271842343440982
CD44	0.0272031622467508
BCAM	0.0272072939027441
PLSCR2	0.0273798282531125
CSTF2T	0.027405045652496
ZCCHC11	0.0274284351974843
IL18BP	0.0276600226436517
TMEM200A	0.0278047093830392
NSUN5	0.027879413153292
PROKR1	0.0279294059792282
ADAMTSL4	0.0279518052608319
DLG2	0.0282036476152369
CPQ	0.0282499813502612
SLC18A2	0.0283520524642995
