gene_name	p_value
TUT1	0.000383176415375996
EYA4	0.000661506894031993
C10orf113	0.00074423556466463
ANKRD17	0.000845180275788171
PPIC	0.000936125980865454
MASTL	0.000969617136950762
SLC25A29	0.00123716682320119
CLNK	0.00125987085555268
BMP6	0.00126264485974292
RHOF	0.00126339612550053
MYL1	0.00129150689052648
RNF38	0.00132856309573048
UGT2B10	0.00137553970759741
WARS	0.00156163449551949
C12orf54	0.00160288399170005
CARNS1	0.00211346415739533
ABHD18	0.0021268484220347
MLXIP	0.00220406543356644
OR6K3	0.00221046275950865
ODF2	0.00234752010250061
ASNS	0.00259323734502614
TBCC	0.00275078034902143
SRD5A3	0.00287134077353474
HOXC10	0.00291730333642515
HIST1H2BE	0.00292805299942564
CASP12	0.00295378149088132
NXF1	0.00298342445710054
CCDC116	0.00307437248982612
CYP2A6	0.003139316374006
GUCY1A2	0.00320916854362474
CDH19	0.00344120617660804
CLSTN1	0.00365868434514638
ETFBKMT	0.00401884112535763
THAP11	0.00408201084122262
FGF6	0.00414254430827599
NUDT22	0.0041784576953855
OR10G3	0.00428725601601077
CACNA2D2	0.00451047701630725
CPT1B	0.00460594979702067
FBXO31	0.00468571826726161
RAB6C	0.00475688591821755
KLHL6	0.00497005080811241
MYO1D	0.00501488166039943
CNGA3	0.00504913442074029
C3orf14	0.0051806287905648
BIK	0.00544984460800413
CLDN3	0.00545863697306093
C10orf105	0.00545878645880993
SIGLEC1	0.00546050924826247
ANAPC5	0.00550741975482094
C6orf52	0.00554635536893178
SLC12A2	0.0056256966768039
SPATA8	0.00572831784167294
STRIP1	0.00578710220882928
TGM2	0.00579706417353609
SRP14	0.00584967980690876
PIK3R4	0.0058621676289714
SDCCAG3	0.00597537141771787
SFMBT2	0.00602898874343483
APBB3	0.00614958559842982
REXO2	0.00629816851424292
SDSL	0.00638619572497001
TECPR1	0.00639300039506463
SLC2A11	0.00642891130498524
ZNF131	0.00646807937703398
RNF225	0.00650526262125672
HSD17B1	0.0066439834178198
OR6V1	0.00665376150562202
PDCD6	0.00688471735714025
ANKDD1A	0.00705704383626013
EHD2	0.00721969606973072
OPN4	0.00740115703164357
P4HB	0.00749047140547721
IL27	0.00756827913216862
SNTN	0.00769517754217008
FREM2	0.00777407552627207
DENND4A	0.00784675250031397
ASPHD2	0.00784991926253698
CER1	0.00785624662248563
FOXJ2	0.00818053558702503
MLXIPL	0.00827905889966063
ZNF462	0.00829861839079693
TMEM184B	0.00830243415045584
TBC1D24	0.00846973179773625
CIZ1	0.00859024535736108
SLAMF7	0.00871622138985217
ZC3H3	0.00875642884656813
FBXO28	0.00885606564412378
NXNL1	0.00887851254777139
TUBA3E	0.00900174348572003
PKNOX2	0.00909174309329164
ZNF669	0.00920530174834278
BBS7	0.0093352103408979
CNKSR1	0.00944454809358242
ST6GALNAC2	0.00964308708785278
CNTLN	0.00970329492942146
FANCG	0.00973985139500777
MRPL15	0.00976686435824325
EXOSC2	0.00997185223467822
TARP	0.010112261113412
KIF6	0.0101973110966472
PRKAG3	0.0102184462494583
ETV3L	0.0102237267784183
AASDH	0.0102832918710537
ALG12	0.0104052163572267
CSTF2T	0.0104416656539693
OR6A2	0.010479022336466
C19orf12	0.0105095099462114
TMEM74	0.0105304342800707
F11	0.010531213076461
ELOVL4	0.0105327965809222
PINLYP	0.0105383655822402
ZFYVE26	0.0105813314861081
KLF11	0.0107695016318953
CCDC97	0.0107810027098301
ABCG4	0.0108783372668089
OLFML3	0.0110193947863965
RD3	0.0111600192799867
PYGM	0.0111795535066959
WASHC4	0.0112080808169464
DSEL	0.0112246677882388
SYCE2	0.011266522585539
ACVR1C	0.0114983929580342
MIOX	0.0115475492456688
TRIM48	0.0115737237310608
KRT72	0.0116230297946636
CCM2	0.0116382112392812
GTF2IRD1	0.0116430046412683
BHMT2	0.0117072423869754
NDRG1	0.0117905234030156
MAK	0.0118776568025944
ADAMDEC1	0.0119858110098477
CYSRT1	0.0120377967142218
SLC5A11	0.0120962575981002
PTPRH	0.0121099650761827
MYBPHL	0.0121101170888356
DNAAF3	0.012149643864773
DMGDH	0.012269724451363
BTNL10	0.0125990148266797
ANKMY2	0.0126617755471529
RGS17	0.012739078559957
CRYGD	0.0127835187875051
TNFRSF11A	0.0129431430355976
DNAAF5	0.0130558597208804
DRICH1	0.0130595317927475
LNPEP	0.0131164981512583
ZNF684	0.0131961980023046
