gene_name	p_value
PLA2G3	0.00180952341623705
FAM151A	0.00279329228234737
MR1	0.00453251420706319
CARD9	0.00723495957968475
DUOX1	0.00737022394136348
SLC7A11	0.00817490030474733
NDUFA5	0.00853348144776595
SP100	0.0116770233557444
GNPTAB	0.0121248489119705
VEPH1	0.0142098279100077
GGN	0.0153402583425526
USP8	0.0172275226200057
DBH	0.0201031228562555
CCDC40	0.0205215178518008
PRRT4	0.0208227903207992
SLC26A10	0.0218148045032469
ZC2HC1C	0.0228779004610364
CD36	0.0232003365238446
ARL11	0.0242672859191243
C4orf26	0.029065932481494
BFSP1	0.0304176008274243
CHCHD2	0.0307059609532711
UMAD1	0.0307366010534101
ASIC3	0.0335366565107848
CLCN1	0.0337353991689442
CCDC59	0.0340535773181659
CHEK2	0.0354245458671283
ADGB	0.0380526488111223
EXOC3L1	0.0392816040757164
SPHK1	0.0394561897706306
FAM221A	0.0394858418501612
PRSS33	0.0406835532229986
PCDHB11	0.0407284456823031
FAM216A	0.0408540022463474
SLC17A4	0.0444349553908728
COA3	0.0453144205410502
C1orf141	0.0484453739070855
TPTE	0.0489366808539094
EQTN	0.0502693869664421
UPK3A	0.0516885905260516
IFNL2	0.0555649665330009
CFHR2	0.0559195719671556
RAD52	0.0586587062365067
KLLN	0.058781516852133
ZFHX3	0.0588319624878611
SLC41A3	0.0594598233242821
B4GALNT2	0.0595757347915911
CD177	0.0600164836703253
CEP290	0.0604329263372687
HLA-DQB1	0.0610082983647503
NGDN	0.0620345602580024
NUP214	0.0626194222804889
DUXA	0.0637790453324778
ZNF772	0.0644306983563782
DOCK2	0.0666826937473235
CLCNKA	0.0701222031891449
OR3A1	0.070413682201888
ABCA2	0.0705200353900088
LARS2	0.0715719556215499
UFSP1	0.0724458889065125
UBQLN3	0.0724604952623795
SORL1	0.0726422378882801
PKD1L1	0.0730690733830511
ENTPD3	0.0737100909510502
ZBED2	0.0741206068751016
NAA16	0.0750938623497464
SERPINA9	0.07585951403953
SLAMF8	0.0785284648460644
TTC23	0.0785963076097204
PUM3	0.0825088866159967
OBSCN	0.083184923459444
CFAP57	0.0858063756843679
SEMA4C	0.085861696265279
OR2M3	0.086025424063379
TRPM3	0.0878086428240777
NKX1-2	0.0880950254019232
ZNF212	0.0887127003473442
PAPLN	0.0927101097078538
CRYBA4	0.0937588883187353
C4orf45	0.0939617416374286
GNLY	0.0952037458154017
MYH7B	0.0954619970271515
SERPINA10	0.0958348624358832
MTUS1	0.0968226310792523
COL6A5	0.0971130754756183
DALRD3	0.0975667118088841
TAS2R46	0.0981807530019763
C17orf77	0.0994044890973715
HAGH	0.0996887362813603
TNFRSF10A	0.100007694243905
DCLRE1A	0.100421330067992
LMBRD1	0.104556926333046
RHBDL1	0.104993615885289
ADCYAP1R1	0.105487133515893
CALML4	0.106283402358386
MMP10	0.106546171134795
ADCY10	0.106575774712003
WNK2	0.10763743464312
LRRC42	0.107838235710443
PRRC1	0.111045599533197
CASKIN2	0.11238154980358
CHMP4A	0.113880032277628
CEP95	0.114134151822581
DZANK1	0.116280898909344
RBKS	0.116602518926892
FBXW8	0.117037470415664
VPS37C	0.11757752610888
LRRIQ1	0.118102663080814
IQCE	0.120936333338119
C12orf80	0.121105157284
CYHR1	0.126371141271519
ASCL3	0.127836766357231
DHX58	0.128675653359867
EPX	0.129308179706058
GIMAP8	0.129568183805276
KRT77	0.13013259226135
SEC31B	0.130254489264296
ZNF90	0.131946091926396
CD3EAP	0.134316517231621
MTMR11	0.134634168382861
SLC25A2	0.135314912014953
KRT26	0.137200168965007
TNNT3	0.137734629660174
DHTKD1	0.137843298606264
ZNF324B	0.138156896053622
PAXBP1	0.139010174878927
ALMS1	0.139055288218489
SLIT2	0.139090813111503
SH2D4A	0.142195899575436
MYO19	0.142641428511121
SH3TC1	0.142722812597105
MMRN1	0.142825981794997
B4GALNT1	0.144489507466607
DNAH10	0.147161466362566
OLFM4	0.147853680070023
NLRP12	0.148572904906382
PLD1	0.150554437153558
SLC1A5	0.152035054937027
FSIP1	0.152205877019848
VPS13C	0.152817097542272
TLDC1	0.153061480143397
RGL3	0.153460372318099
MYO5A	0.154623387551229
KRT76	0.155172180683075
PPP1R3D	0.155583850731166
SEPT10	0.155884533896957
ZFHX2	0.159092505559611
TIGD5	0.160275466138285
ADGRV1	0.160617302481636
NR2E3	0.161039060894616
OS9	0.161273595703265
LDHD	0.161476020578208
MICU2	0.162373390262185
OGFOD3	0.162621479905232
ABI3BP	0.164066902876278
SEC14L3	0.16511499944166
IGSF5	0.165442132625424
CHIA	0.16609450869766
CWC27	0.170286828215148
STAC3	0.171396026362034
SGSM3	0.17147003368127
UNC13B	0.171717335114235
FCRL6	0.172027767463591
ZNF311	0.17219072703505
HRNR	0.172831003420821
CTBP2	0.173639535630989
STK11IP	0.174512089217722
CLCA4	0.175631898551373
CD8A	0.176049836621947
FAM83A	0.176092085593898
PRDM13	0.176092085593898
FUK	0.176789205257542
OR5I1	0.176879474126399
MARCH10	0.178132133416968
KDELC2	0.178444647428132
ERCC6	0.180821911164796
MCM3	0.182045643410893
HEXA	0.182235518490282
SBF2	0.182622686137743
ENPEP	0.182980922376457
LMNTD1	0.183574611739432
MAP3K6	0.187206766714711
ZNF737	0.190463303016885
PIGV	0.190572385345386
EIF5B	0.190586570876011
NUDT8	0.1912370779988
SYNPO2	0.191769898338296
TJAP1	0.192784176514667
SERPINA12	0.192861736190386
ZNF862	0.193302421027338
LFNG	0.193951960736613
PALM3	0.195709202717887
NAT1	0.195797752106167
ANKDD1A	0.195979951937227
BPIFB4	0.196793602441852
SKOR1	0.198206362489169
CXCL6	0.198748947759053
SLU7	0.198771684091675
SCARF1	0.199941847680607
C2orf16	0.200275017703732
MYEF2	0.200670796498075
ZNF747	0.201859625217104
ACOXL	0.202332978026484
MGST2	0.203529659243966
MLKL	0.20620700623479
DRC1	0.207088619409605
UGT3A1	0.207105970646694
PPT1	0.209532176546997
OSCP1	0.20956348568877
TMEM206	0.209871556322618
CAPN9	0.211498627074976
GPR155	0.212120111572449
SZT2	0.218390658174493
CCDC39	0.221420499984885
CHP2	0.221718630119966
ABCA7	0.222424393419946
GORASP1	0.225591996148388
TBP	0.225709382146457
NEU1	0.227067441564628
OR10C1	0.230222134100418
TLDC2	0.231665137532841
TC2N	0.23215029393299
EEF1D	0.232483563561323
SULT1C4	0.236099278421064
PIGZ	0.236588934121386
MCTP2	0.237273171921717
OSBPL1A	0.237451579222372
MAP3K19	0.237539497592545
TTK	0.237630154687408
NME1	0.23817529924504
FAM173B	0.238801965873354
FCGR1B	0.238840778527581
PLOD1	0.242111854938097
AMER3	0.242809985209522
NME8	0.243924677105261
ARVCF	0.245019802176304
KLC3	0.245144473885418
RIPK4	0.246971211493394
RPS6KB2	0.252561029250068
RERGL	0.253199664128021
ANKRD18B	0.253717414578904
OR4D1	0.254864835768864
PTCHD3	0.25616016350264
ZFR2	0.25676644097865
ASPH	0.25834922315757
TPD52L3	0.259394358060167
CD300C	0.26029034718449
WDR87	0.26111754669593
CEACAM1	0.261885641192157
TSNAXIP1	0.262148593831635
ADCY7	0.262432360149536
TBC1D32	0.262442352110111
PARP3	0.263802968266644
CEACAM7	0.265392312343332
NBPF14	0.268411969375645
C12orf56	0.268621878603357
TMEM161A	0.26969842697122
XRRA1	0.269842952073759
SLC22A10	0.271901835539618
SAPCD1	0.273108728149982
GJB2	0.276638435077324
ARID4A	0.278006608446517
SPDL1	0.278944550217361
AKNAD1	0.279467194471331
IL33	0.279995868526293
ADCK1	0.280249326978762
XAF1	0.281241934832064
VASN	0.281730830019096
TSPAN4	0.281860150115559
FLG2	0.282429160256417
NOL3	0.282508079946374
CALHM2	0.282863814530578
SSH1	0.28409094281922
ZNF233	0.286612917746864
POLQ	0.287575098180117
MSR1	0.288885990611497
AUNIP	0.28897702503232
GCFC2	0.290940008859692
SLC25A25	0.294162772924137
ZNF280A	0.294581568665054
GYS2	0.295269240030966
PTCRA	0.295512522358217
CFAP46	0.297002829801404
MGAM	0.297327606057581
SHQ1	0.297516711710291
IGSF10	0.297756391403034
DLEC1	0.29880843618049
ULK3	0.29995152422291
WDR5B	0.300357460590905
ZNF396	0.309407467783742
ULK4	0.309918333863019
SUCLA2	0.310900432234246
C2orf76	0.311857067182802
ADAM8	0.315709869830247
USH2A	0.315926441392281
WRN	0.317675052208246
CWH43	0.317913942207428
NOD2	0.31801349261726
DNHD1	0.318063103211563
PXK	0.31875468607832
RGS14	0.319280181037195
VWDE	0.320533079393495
SPAG8	0.322513053482608
RNF186	0.324552320900454
TBC1D8	0.325327991602765
ANO9	0.326491332077321
SPZ1	0.327930008622533
KRT82	0.328436716453344
GRID2IP	0.330133051389906
C15orf52	0.33014691891745
RABEPK	0.331183181481491
GOLGA6L2	0.332560564539278
IGSF9B	0.33427060628728
AGMO	0.334425027544272
KRT40	0.335222437115715
FAM186A	0.335396755610957
ACTL10	0.335826003191227
DIS3	0.335838135523258
INPP5B	0.336118467986682
GSG1	0.337161821627449
CAPN5	0.337700861230697
TDO2	0.337892408842779
LIPT1	0.338937553234707
PARP10	0.339176148047597
TGS1	0.341291340860487
EXPH5	0.341667532948467
C8orf59	0.342570746552037
GMPR2	0.343842576882052
GZMM	0.344214254462347
PKD1L2	0.344227724901972
ALDH1B1	0.344737851195248
ZNF676	0.345052094543703
DEPDC4	0.345303770316183
TXNDC8	0.34614286236881
PRAG1	0.346178526508069
CYB561D2	0.346408823797302
SPATA31E1	0.346678728476671
PSMB11	0.347479943104867
IL17RC	0.349006479277722
NOL8	0.349690350848481
SCIN	0.353103895070916
C9	0.354445061763837
ULBP3	0.356259239222313
SLC27A3	0.357558642391394
ERICH2	0.357841694618336
DCAF13	0.357972736117804
HHLA2	0.358108992745058
VPS33A	0.358343239386031
KALRN	0.358696134975547
TTC5	0.358762830304208
ACSM3	0.359148678018192
SPNS3	0.36053266328033
CFAP99	0.361283916762853
FAM109B	0.362738205275649
DBF4B	0.364077564494088
MPO	0.365569819019562
KRTAP24-1	0.365827669487538
SLC22A25	0.366420360955048
DDN	0.366690716999294
TOGARAM2	0.366817577195069
KRT83	0.366924925904792
RETSAT	0.367788806114597
LAMA3	0.368112050083964
FNDC7	0.368670000298635
KCNK16	0.376176076563766
AGBL1	0.377242402353829
METTL3	0.378136647669753
AFP	0.379360778633897
CCT6B	0.379468283741639
C8orf74	0.382063798278287
OLFML2B	0.38252194797251
PIK3C2G	0.383265263902086
LY75	0.384876230449953
NCR3LG1	0.385883027830648
APOC3	0.385983990498413
TYRO3	0.386129981219521
PLEKHH2	0.38619607662238
PRRT3	0.386196462296702
GPR151	0.387007639463413
IMMP2L	0.388062252694732
