gene_name	p_value
DPYD	0.00108847389799355
ATP8B3	0.00136907572703171
TTN	0.00137817795138628
SEC31B	0.00204752714127809
ATP13A4	0.00374431273791587
C8B	0.00539659228395362
CTBP2	0.00898426718170954
B4GALNT2	0.00965221096898139
ABLIM1	0.00965805468753456
HABP2	0.00969166996646508
IFNA5	0.0100061065293777
APBA3	0.0105227293803881
MYO1A	0.0127498370774626
COL6A5	0.0156180545374731
DNAJB7	0.0162798435643491
DNAH7	0.0171728602259542
HIF3A	0.0173661857462485
TLDC1	0.0180283495641891
OSCP1	0.018575208399442
ZBED2	0.0187359064700154
INTS2	0.0198224961371992
AMY1A	0.0224935421697986
NCOR2	0.0228425513856391
TMEM161A	0.0228559724580734
ECT2L	0.0252107559849022
COA3	0.0259129272568696
GTF2F1	0.0261465832648546
NME8	0.027279582677979
MAGEF1	0.0295130974682163
ANO7	0.030567705106416
OBSCN	0.0314006076943966
DMGDH	0.0340953533426294
PLA2G4D	0.0344071951135924
CCDC30	0.0349626383090456
WASHC2A	0.0353535119660325
PYGM	0.0383488685410561
C10orf91	0.0383860736837318
OR4D1	0.0385471911966349
MFSD9	0.0404896116768517
CDC7	0.0416310616812736
SLC13A2	0.0425330995184995
CD36	0.0443712922118154
OR4D5	0.0444287227921887
OR52R1	0.0453998555715913
CCDC39	0.0472213989507197
SLC22A10	0.048851060439102
VPS13C	0.050367749981456
RIC1	0.0516261283107012
CHD1L	0.0525621489780898
UFSP1	0.0529995901244027
KALRN	0.0539967267596165
IQCE	0.0564978648077805
EFCAB5	0.0566441670589758
PIGZ	0.0568722482277277
ABCA8	0.0608316132290874
UNC13B	0.0608802174155968
INPP5B	0.061320324705686
AXDND1	0.0621500945178259
RANGRF	0.0643481657788907
MAP3K6	0.0654083143181187
PDE11A	0.0654918992318989
SGK494	0.0669547070531503
GJB2	0.0672759365649327
IRF7	0.0676981712372179
TP53AIP1	0.0686427062459742
ZNF226	0.0696067911189777
ZNF778	0.0705297922115195
POLRMT	0.0712281582474383
PCM1	0.0722524919892795
ASPSCR1	0.0730093217206677
ROPN1L	0.0757285664062456
EFCAB3	0.0785235065125044
OR3A1	0.0796837558162195
ACSM2A	0.0817886102433599
MBP	0.0819463534690018
SLC8B1	0.0823567708915111
C7orf69	0.0840371658588167
MAPK15	0.0843371992610885
KCTD18	0.0858522304056512
C1orf123	0.0865730205200486
SH3D21	0.0871922738043193
PALM	0.0877166378361558
C15orf52	0.0881314438893215
VWA7	0.0909929291240478
PKD1L2	0.092256428306712
CCHCR1	0.0923677856195049
BMP2K	0.092483844421282
C1QTNF8	0.0935325712326239
CYYR1	0.0971258154783863
AFP	0.0986036277643945
OR2T5	0.10544398340745
CLCN1	0.113841894045498
ALMS1	0.114335624851826
PRDM15	0.114882042586785
ASB6	0.116122623472821
MAP3K19	0.116859462397527
HYKK	0.117145436753984
GPATCH2L	0.117841821794906
MIA2	0.120854062733295
PAXBP1	0.122418222149534
PVR	0.125360840867152
GPN3	0.126546942791978
MCTP2	0.127229629813699
INVS	0.128098547257565
PPT1	0.128427466661566
DCLRE1A	0.129107501881728
LIPT1	0.132513863564595
CLCNKA	0.136459846114356
FASTKD1	0.13794677808181
CDK12	0.138825989720921
CCDC80	0.138896210563486
MAD1L1	0.139105944497986
MYH13	0.13975327164947
ZC2HC1C	0.140484458358622
USP6	0.140727920784169
SLC22A25	0.141243215105789
MYOM1	0.141441383888981
TTLL10	0.141855892627892
BABAM2	0.141925464664655
ART1	0.144828331044773
C8orf44	0.144887087054212
DBH	0.144932613398701
SLC16A8	0.145665685587981
CES2	0.146443295527959
CSH2	0.150387562616398
SLFN12L	0.150852927904392
FAM83H	0.150930656976137
AGBL1	0.151166633400133
TUBD1	0.155358484778658
RHBDL1	0.156292359228247
MAMDC4	0.158233427552108
ZBTB4	0.158762036162994
ZNF563	0.158889287707124
OR52L1	0.159318348784648
TNFRSF10A	0.160536457456959
KCNRG	0.162389500637432
STAU1	0.164691746993961
CALML4	0.164843401796159
ZNF695	0.16612329372633
CRYBA4	0.167368300999656
FEZF2	0.168064713473945
DLGAP5	0.17156738706972
MFSD12	0.17227994904801
TTC3	0.17271183072729
MPST	0.173232087565878
LMNTD1	0.173314284214792
EPX	0.174516556219921
COL14A1	0.175214124468808
ZBED6CL	0.175775086737064
SMLR1	0.178307289562887
BTBD16	0.18052867049038
SLC16A11	0.182208889625832
COPS4	0.185770609881706
ZNF680	0.189465985666841
NEURL2	0.193804891417459
FCRL6	0.194289985179528
CD72	0.194812495345368
CCDC81	0.200046189211218
ORAI1	0.200905878497555
KCNU1	0.203530508213209
CEP78	0.204265899366235
KIAA0040	0.205380976580935
SWI5	0.206090097004318
CYP3A5	0.206590537837528
HMCN1	0.207106358326993
IL17RC	0.209935536703997
IMMP2L	0.210666606331998
ZFHX3	0.212317569551147
MMP1	0.215352802876054
IFI44L	0.217472044450292
ATP13A5	0.21793247313242
ALDH1B1	0.219829692899026
PKHD1	0.222174749473009
GZMM	0.223069605340242
TAOK2	0.223195487582843
PRPH	0.224033587482145
IGLL5	0.224588956357161
UMAD1	0.224733558023862
SVOPL	0.225033815916759
IRAK2	0.225105783786384
HGFAC	0.225893424723033
NOXA1	0.227357098921423
KRT77	0.22844298231421
PRM3	0.228547865514844
ABRA	0.229025372210164
PACRGL	0.231723106149852
TMC2	0.233763295085985
RBKS	0.233803970169982
ADAM8	0.234870303347095
RPEL1	0.238830492975486
TMEM247	0.239769801916003
OBSL1	0.241882217440773
THBS4	0.242593010867622
GOLGA6C	0.245002915675124
LMBRD1	0.247460120550416
OR7G1	0.248337054789745
LEFTY1	0.248896301971201
WDR97	0.250466466966082
TEX14	0.250690896827237
C19orf71	0.251366654808168
CFHR5	0.254728386220013
FSCN2	0.255316077225805
C15orf48	0.257551997276794
OR4D10	0.257696749295006
MTHFD2L	0.260019911333263
PXK	0.260397291658872
TLDC2	0.261037759953646
DNM3OS	0.261384115199815
OR5V1	0.264846180566033
TGM7	0.26485695729178
PDE4DIP	0.265121103130736
DCAKD	0.265398252636779
FAM71E2	0.267788310633138
FAM111A	0.269177890847098
RAPGEF3	0.27121632339566
C20orf96	0.276046039032326
SMYD5	0.278307294815295
ZNF211	0.278509553891913
ULK4	0.278629045146656
METTL6	0.281729857780589
MSS51	0.281967805143503
LRTOMT	0.287402058501435
CCDC175	0.289678511260297
SLC26A10	0.289765624837632
C10orf53	0.290080432549155
CHRD	0.290330600729762
MED19	0.290795163958075
SNED1	0.291352574551843
GPNMB	0.294427700376448
SLC27A6	0.294808261515592
CEACAM20	0.294888044684277
NIPSNAP3A	0.294935288434472
PTK6	0.296509722440548
SETD1B	0.299531486851561
SERPINB4	0.299760203792525
SULT1C4	0.300917883048011
KRTAP19-3	0.301730130585806
IGSF9	0.304650935808293
BIVM-ERCC5	0.305732252192115
ATM	0.305764181436757
ZNF530	0.306904754853792
AMER3	0.308434842367295
PGK2	0.315146125316015
FAM186A	0.315249841323534
TRPM3	0.316183406074223
HIST1H4E	0.317826209813671
PHLDB1	0.318108646082602
HDDC3	0.320152622721227
PRAG1	0.320732037921435
ZFP2	0.321495543729256
DNAH2	0.32162718943871
SNAPC2	0.323672482229353
EXO1	0.326550473158181
ZNF534	0.329339535123317
ITGA2	0.332188544771413
NCR3LG1	0.332844263873279
CAPN2	0.333248710894696
KLC3	0.336597049490777
PKD1L3	0.336688558176284
MRNIP	0.341509384042895
PTPRN2	0.343854008802924
C17orf77	0.344164977176312
MAN2C1	0.345830339166106
CABYR	0.34656281745549
PADI4	0.34664239593999
CFAP99	0.347487924493692
KCNAB3	0.347717463826698
CD1B	0.349135590357746
ZNF655	0.350634433753726
ITIH5	0.350979423851043
CWC27	0.351798501651424
HRNR	0.353717128881919
RGL3	0.354370169989076
TAS1R1	0.354754471609504
RECQL	0.355620538644827
TMEM212	0.35668237568751
ITIH4	0.357337735105682
TRPM2	0.359588383303957
APOB	0.361178190217725
FCGR1A	0.36230601549849
LPA	0.36367989600668
SUCLA2	0.363950806055401
SLC17A4	0.366395791481306
DBF4B	0.369029810861751
NBEAL2	0.36933963464432
FBXW8	0.369938932497409
WDR31	0.370133235022896
ARID4A	0.37057070084228
FBRSL1	0.370865055082373
ZNF615	0.372422838764615
CPXM1	0.372422838764615
DNAH3	0.372884784724884
EPPK1	0.374324404016939
ZNF677	0.376698690326361
PRSS57	0.37877276076963
POSTN	0.379297392991825
DZANK1	0.388835715159271
RGPD3	0.389771811989595
SDCBP2	0.390071057021654
PDCD1LG2	0.390547198783341
HSD17B13	0.39410123413738
HNRNPA1L2	0.394681668289602
BCAS3	0.394732925778026
C2orf76	0.395139810589404
FAM71A	0.39593525944445
ZNF599	0.396549445784611
ZNF845	0.397898605225855
ACBD7	0.397984636217677
UPK3A	0.398851708768899
ABCC11	0.399887260584222
MMP10	0.403961373221715
DHCR7	0.404567051043736
DCHS2	0.406010711579665
OR51M1	0.406480905942847
ADGRE3	0.407097636070641
NBPF3	0.407780761695119
CYB561D2	0.41120522991815
ZNF774	0.412622414144814
TBP	0.415054133274795
TAP1	0.415414466703647
SYT15	0.416852856479112
CLEC4M	0.419882829513495
MED15	0.42292115596037
ZNF556	0.4231194848968
SFXN3	0.423237528154649
POTEA	0.423579253727463
CC2D2B	0.424309629760084
USP45	0.425711128808057
LIPJ	0.425892687303204
PKM	0.426447720714875
PNPLA7	0.427454190398788
DNAH14	0.428582381326095
TOGARAM2	0.437547294850942
ADCK2	0.437879081018294
MSR1	0.437983292256853
CFAP46	0.440022721965935
SH3TC1	0.440363002106014
C21orf2	0.441923500904423
TSNAXIP1	0.441975225513617
MAPK8IP1	0.442175288402621
ZNHIT6	0.443572802635909
BTNL2	0.447926010203146
LONP2	0.448077869359992
ZNF440	0.448195542502978
NCOA3	0.450148864256557
CFAP97	0.451927299595557
ENTPD7	0.452293237446329
MMRN1	0.452395988511489
GPR150	0.453533093612352
ADCY7	0.454405385925557
ALOX15	0.455609956837726
FASTKD3	0.457075459611838
KIAA0141	0.461652544391359
TTLL6	0.461999171173258
GHDC	0.466746338403612
BPIFB3	0.466916877758974
ASCL3	0.467732085081045
ABCC3	0.467742272927179
HLA-G	0.468706883654451
ABCA2	0.46916311412698
CEP290	0.469316695537937
PTPMT1	0.477657984318552
PITRM1	0.478504253995249
PKNOX2	0.478919517167153
M1AP	0.481421540657644
OR5H15	0.481800641521191
IGSF22	0.481978512970143
PIK3C2G	0.482120040482791
IDI2	0.483628122354522
ATP10B	0.488947339801968
DNAH8	0.491345455125979
TRIM50	0.496410032725989
STXBP2	0.497146293757932
ALKBH6	0.499743903928325
KRTCAP3	0.501602410786878
ZFR2	0.503039761510065
DOK2	0.503754348262234
DKK4	0.511407452674348
PKHD1L1	0.51152485792831
OLFML2B	0.511539557845122
LOXL2	0.513505097456689
