gene_name	p_value
TLDC1	0.001471278393396
TMEM161A	0.00199599171046849
SEC31B	0.00291538181054896
ORAI1	0.0036785849330246
APBA3	0.00519768290344502
CTBP2	0.00531974340781827
PKD1L2	0.00676878105375966
ZNF680	0.00708885234130685
RPS6KB2	0.00774249898754431
OR4D5	0.00811049115039933
IFNA5	0.0115790784878572
C10orf91	0.0123522332260991
AMY1A	0.0126286574447833
OR2T5	0.0132603179744349
NME8	0.0135417311667879
DPYD	0.0160046017816732
B4GALNT2	0.0172306269893637
MAGEF1	0.0172938766301105
EFCAB5	0.0180427885383422
OSCP1	0.0189233527436147
KCTD18	0.0215957012613901
VWA7	0.0225256391470636
FASTKD1	0.0248336960333666
MYO1A	0.0260304614988492
IFI44L	0.0262634255923629
CHD1L	0.0271663940863087
COA3	0.0307843151558763
BABAM2	0.0341547014394757
C1orf123	0.0360149282731888
ASB6	0.0399138206688411
ABLIM1	0.0417767583794776
SMYD5	0.0422750765085133
CSH2	0.0426802617437473
INTS2	0.0434094421941325
FCRL6	0.0464030274712888
POLRMT	0.0467464701226941
M1AP	0.0470742449224817
HIF3A	0.0475868881439456
MFSD9	0.053822446294105
OR4D1	0.0549408360547714
PDE11A	0.0561866981757084
SGK494	0.0565404778519824
KALRN	0.061184814768301
MAP3K6	0.0649299514333881
SLFN12L	0.0651096541637948
CDC7	0.0761891261840068
BMP2K	0.0764107691348445
MAMDC4	0.0771730851043105
KRT76	0.0776620078510496
TTC3	0.0777852669360054
EFCAB3	0.0783007597684811
OR52R1	0.0783397555300438
HABP2	0.0796720949577276
ZBED2	0.0802992439728359
CCDC81	0.085311538206108
PRM3	0.0859633295212048
MFSD12	0.08621278262303
MCTP2	0.0878390875002877
CLCNKA	0.088484425705138
WASHC2A	0.0884965160908966
TOMM20L	0.0897071000126797
ATP8B3	0.0909094713383262
PCM1	0.0917138487324165
SNED1	0.0946356791099535
GOLGA6C	0.0947702522480832
CCDC39	0.0951053778511073
ACSM2A	0.097236732981025
TTN	0.097834298684836
FBXW8	0.0989890723361019
ALOX15	0.0993331727152176
NOXA1	0.0996315887173322
GPNMB	0.100473360596815
BTBD16	0.10362604022333
SVOPL	0.103694941462835
ARID4A	0.103792641002917
DLGAP5	0.104301746599035
FASTKD3	0.106293966535818
CCDC30	0.106910850925334
GTF2F1	0.107862832978434
CDK12	0.109287252769238
COPS4	0.110132299442011
TNFRSF10A	0.110774532763574
SDCBP2	0.111321990052072
MROH6	0.111859600378106
OBSL1	0.112073025039167
RAD52	0.112818413316443
HGFAC	0.113134084155696
ATM	0.113353644162068
KIAA0040	0.117436903372902
FEZF2	0.11903673152557
ZNF563	0.119680921521352
ATP10B	0.120689458076007
PALM	0.121823132797895
LRTOMT	0.122931825770859
SFXN3	0.126356635206703
DNAH3	0.126393725474543
SNAPC2	0.13122881966254
ZNF534	0.131529766852974
PNPLA6	0.137676735115502
PNPLA7	0.138664357802458
ZNF233	0.138809771430659
DCLRE1A	0.139544326282882
ITIH5	0.141030325715337
OXA1L	0.142082116137191
PTPRN2	0.142439288838841
C8orf44	0.145266338820612
MAPK8IP1	0.145324718368947
STAU1	0.147874156039566
SUCLA2	0.148064881230934
DMGDH	0.152693867074148
ATP13A4	0.15371397216283
IL17RC	0.156728977925359
MTHFD2L	0.157760798336927
UNC13B	0.160945569102796
RIC1	0.16417364571373
SH3D21	0.16822259775276
RAPGEF3	0.16838639168482
VWA3A	0.171667985674973
NWD1	0.173000107322369
OBSCN	0.174648128863913
CEP290	0.174849174348429
INPP5B	0.17502905832286
TC2N	0.175189555348849
PIGZ	0.175947448974059
THBS4	0.176249023808313
PVR	0.178068121780806
PTGER3	0.178090971702737
TPD52L3	0.180087819781406
HRNR	0.182579934697292
ADAM2	0.183378004900518
IMMP2L	0.187023469393099
ABCA8	0.189121420641952
JAML	0.191611106209272
KLC3	0.191900290337219
TECRL	0.192700345323313
ZNF226	0.193060530508851
KIAA0141	0.195578312104607
MYH7B	0.198059666503288
CC2D2B	0.200246433159765
USP6	0.200711123344378
SEPT10	0.202223415700846
PTK6	0.202880713007721
FCGBP	0.203418826322932
GJB2	0.203789496362091
WDR97	0.204039975113498
POLM	0.204364442869807
ADAM8	0.205737401650108
OR3A1	0.206166542899953
APOB	0.208635637595112
KCNRG	0.209005237415257
PYGM	0.209944778208223
TMC2	0.210721221484016
OR52L1	0.211267885665948
CALML4	0.21326170155699
PLEKHG6	0.21552600730507
HYKK	0.221957366581352
SAXO2	0.22237716017403
SLC16A8	0.223941919102679
ANO7	0.231758612049107
CCDC171	0.232748737828171
SULT1C4	0.233680999894278
TMEM247	0.234243244704268
TMEM206	0.235621281728402
OR4D10	0.235809593070527
ZFHX3	0.237745897294473
DARS2	0.239677987953119
SMLR1	0.239903967909688
FAM71E2	0.2442240899878
PADI4	0.244272587583471
ZNHIT6	0.244369862623956
POLN	0.245522010353012
PKD1L3	0.246586682592897
CDCP2	0.247279462214572
BTN3A3	0.249271330680493
PDCD1LG2	0.249454129580045
ALDH1B1	0.249611341669824
MYBBP1A	0.24997974812311
CEP78	0.252281161223354
BCAS3	0.254158016925567
DNAH7	0.254827889957757
DDN	0.255459114818596
C8B	0.255718646520184
WDR87	0.255889168329415
IGLL5	0.257612842621891
ADGRE3	0.258528896152375
C8orf59	0.25926803937658
VPS13C	0.260019928421372
CD36	0.261008177751487
C12orf73	0.262455962708843
FSCN2	0.263299374151818
C7orf69	0.264056277262981
AGBL1	0.26406188299493
HEATR5A	0.264302071823357
ART1	0.265171402485809
PPP1R3A	0.265644406384837
TLDC2	0.273365319700967
RBKS	0.274554547172678
CELSR2	0.274763903599347
KIAA0930	0.275249127697093
MED19	0.280072370384032
MST1R	0.280998927112662
ATP13A5	0.282505055185118
TTC21B	0.283990884483388
TMEM212	0.285421309337215
ZNF599	0.285768911560085
RHBDL1	0.286435043411206
KRTAP19-3	0.287454159824484
CLCN1	0.287525018459033
ZNF615	0.287834365603509
CPXM1	0.287834365603509
PCK2	0.288292088714324
DOK2	0.289452727124253
POTEA	0.289901585216878
MAP3K19	0.291574696766563
PSMB11	0.292632097629453
USP45	0.293607383274778
MAN2C1	0.294610117798879
