gene_name	p_value
TGS1	0.00092639467335065
TLDC1	0.00279933007163014
P4HA2	0.00286202571612026
ATP8B3	0.0047566429759377
ARHGAP40	0.0069145390476707
C2orf16	0.00699513163438759
CEP78	0.00740916825369708
MMP17	0.00749653910169945
HMCN1	0.00868196963850571
FAM200A	0.00895719052828126
ITGAD	0.0101545603024666
DMGDH	0.0109753574066125
DCLK3	0.0120776171227361
SH2D4A	0.0127945180835388
CXCL2	0.0145571369935834
ZNF623	0.0178333469020802
CHD3	0.0186491098059022
GZMB	0.0188455989891331
HAP1	0.018859370018711
CPNE1	0.0189470823816464
TRUB2	0.0207736287765193
IL12RB1	0.0222982728994917
TP53I3	0.0229182516033055
C20orf202	0.0229321416473761
SIN3B	0.0231490277890064
SLFN12L	0.0254076269130141
ENGASE	0.0265370170584122
C1orf123	0.026712286088468
ME1	0.027374081484012
FCGR1A	0.0274581810876476
SH3RF2	0.0276972647443607
LMNTD1	0.0277820190564161
RBKS	0.0281132506293651
LEXM	0.0282953589202062
FKBP7	0.0287087728776424
HHLA2	0.0287234772853055
DUOX2	0.0287253116197703
C17orf77	0.0305731476590898
FRMPD2	0.0307707447805354
ZNF534	0.0308169123502731
KRT83	0.0309584057278319
INPP5J	0.031462055251556
SLC22A10	0.0317481867170982
ZSCAN12	0.0349791386337768
CEACAM21	0.0353398086547066
ZNF747	0.0365414651274716
CALML4	0.0369798838923001
MVP	0.038207770063152
CELA3B	0.0385963337159644
BPIFB3	0.0414646162750181
LRRC66	0.0416877255673596
FBN3	0.0420246494064088
THAP5	0.0424384565837708
RERGL	0.0424858971537599
ART5	0.0426585313779847
C21orf2	0.0427810395767882
C15orf48	0.0428076589951579
DHX58	0.0429083967734202
RAD51AP2	0.0438792680128981
TANC2	0.0439863910139126
PRB2	0.0445462758973897
PPIL2	0.0452496350222852
VPS37C	0.045831511348984
ZNF311	0.045927888011226
RIC1	0.0459403352652738
STARD9	0.0466398543810068
SPC24	0.0488409480293928
LAMA4	0.049619887850291
OR4A15	0.0497588248343633
ANKRD26	0.0497847099317817
TRIOBP	0.0506044750808403
COX6B2	0.0509485486943385
DNAH14	0.0511598420953941
VEPH1	0.0521229071917048
TBRG4	0.0523174000552097
TLR10	0.0531951228577319
BTN2A1	0.0558051801550822
BMP2K	0.0560765577246134
PLB1	0.0565682122257223
CNGB3	0.0574716130303793
FOXK2	0.0589973665198785
SH3D21	0.0594778483546829
CELSR3	0.0600022108993352
ZNF391	0.0627880941581921
HSPA6	0.0633691318751306
MX1	0.0643459555428494
CRYL1	0.0643914342988782
KRTAP2-4	0.0665304785351164
SETD1B	0.0678157134888301
KRT77	0.0689998697091906
DNAH11	0.0700832931487199
CHIA	0.0702506985511811
FASTKD1	0.0705234204901587
OR2T11	0.0705428250309946
TGM3	0.0711173860839732
TMTC4	0.0714873731213646
SLC47A2	0.0731671281486169
ASPM	0.0745296432672918
LTK	0.0747070433916682
ZNF107	0.0747728491245335
GCNT3	0.0772427764015554
HENMT1	0.0779901104636601
VWA7	0.0779959974492178
ADAM8	0.0790187077635838
UGT2B10	0.0801703298701159
KRTAP19-3	0.0814967429940856
GMPR	0.0823072097750566
TRDN	0.0830741419985126
ATM	0.0839771966111506
MS4A12	0.0856250279985395
FCHO1	0.089991272562412
CDON	0.0921931214629766
EXTL1	0.0938898417194126
ZNF324B	0.0947457186446905
PSMB11	0.0960555635073903
RAD21	0.0969727530360442
NEIL3	0.0971476698525231
ZNF544	0.098983213704536
SEMA4B	0.0991955556640438
GPR137B	0.0993662328416247
SLC39A7	0.0997618211277975
EXOSC2	0.100009308859953
ANKRD18B	0.101491725623149
INTS2	0.102509477743897
SLC22A25	0.103120316224879
GJB2	0.104087261984078
MROH9	0.104166313857876
MYH1	0.10434536760957
SYT15	0.104643937465788
POMGNT1	0.10692354618711
CNPY4	0.106975979354753
NIPSNAP3A	0.110437296899933
DCHS2	0.111392649033216
ZNF324	0.111524116139087
C1orf141	0.112244136489212
ADAM29	0.112392203695877
FAM81B	0.114123597133717
RNF186	0.114312148626686
STK32C	0.114562631042967
BPIFB4	0.114836941486127
VPS9D1	0.115414439720711
STAB2	0.116300400316762
ALKBH3	0.117426569463449
GRK4	0.117527996443667
FHAD1	0.118232331872317
SCN7A	0.118727675463027
IFNLR1	0.120994764420068
KIF19	0.122064631459635
FCGBP	0.122125416244219
OR5H2	0.122340411201561
MOCOS	0.123941969348398
AKNAD1	0.125162745365639
FNDC7	0.126767444750095
NPFFR1	0.126866464357428
SH3BP5	0.127523347674877
C12orf80	0.129647740538431
B4GALNT2	0.130526113166761
FAM151A	0.131618620322634
NTN3	0.132040228299496
ZRANB3	0.132397505006546
DNAJC1	0.132844021993458
ATP13A5	0.134243677345867
PUM3	0.13924759006912
C10orf53	0.139775877230626
CACNA1S	0.13997097110943
PON3	0.140066993249402
HLA-DQB1	0.140251205928847
WASHC2A	0.141701301347361
IFNE	0.142200877740894
PMS1	0.142491614954214
PRSS33	0.143452590469715
ABLIM1	0.144637099518036
MRNIP	0.145930365519792
CEP250	0.146255290507975
TTC23	0.146471403055645
OVCH1	0.146550182566834
IMMP2L	0.147610554749844
IMP4	0.14827728223339
PTPMT1	0.14866327172818
C12orf56	0.14906351444076
NOXA1	0.151876964639848
RIC8A	0.152123909293262
ACOT4	0.152524128000748
CCDC168	0.152529827263321
YIPF2	0.152879453168085
TAS2R46	0.153007375951808
IL17RC	0.154358086296226
LTB4R2	0.155145717988211
PADI2	0.155330880254095
RGPD3	0.156581888642731
S100Z	0.1577992752179
WDR87	0.157809561642585
MYBPHL	0.15785955104216
KRTCAP3	0.158104246774665
SPAG16	0.158320606816468
SMPDL3A	0.159374682262667
CASP5	0.160485884969642
BICDL2	0.162301414538484
CCDC30	0.162841604289135
TMEM191B	0.163241530816893
ORAI1	0.163695544842999
RADIL	0.163753165828461
NCOA3	0.164000478246336
DZANK1	0.164177412723496
ITIH5	0.164182670512959
PLCH2	0.164501011889187
MYBPC2	0.166305323036849
ZBTB4	0.168062485259529
ZNF585B	0.169207822430846
COL23A1	0.169628546842041
WASHC5	0.170303948135078
ARVCF	0.172116925240177
OTOF	0.172542780918148
CNTLN	0.172586183450225
LFNG	0.172661353563909
CCDC8	0.175390810904313
LRP4	0.17629935081873
AFP	0.176308550934419
TRIM31	0.177492738253906
TPO	0.17817902865147
EPPK1	0.180568387228479
CLCA4	0.181645513572926
SPDL1	0.185401407839917
FAM173B	0.185971595142874
DBF4B	0.186321813493044
CLEC4M	0.186535901623246
ESF1	0.188000350603605
IGSF5	0.189779098689887
KDELC2	0.190267847345462
LMBRD1	0.190920936697537
RPSA	0.191362251937093
MMRN1	0.191653177950377
FCHSD1	0.192228213435867
SRRM3	0.19325879347023
ASIC3	0.193495211433012
METTL6	0.193859227571673
MATN4	0.193984127165342
HKR1	0.194028753202225
WNT10A	0.19442469695761
SMARCAL1	0.195025733040665
TTC33	0.195684542617203
MIDN	0.196018035008707
CCDC105	0.197987031014882
CDK12	0.199088637165978
PLA2G4F	0.200350785087952
CLSTN2	0.201329105918709
NBPF3	0.201942950388729
MYOC	0.203872119639431
NSMF	0.204080286109747
AMPD3	0.204259090735568
TSNAXIP1	0.204530171704433
RAB25	0.204908839709156
DAP	0.204943950018708
TOR3A	0.205039890594988
AEBP1	0.208445134523365
WRN	0.208818384356936
NAV2	0.209843797534782
USH2A	0.210777869756708
OR2AP1	0.210810729919399
EHMT2	0.211308750545153
MAPKAPK3	0.213347319796606
TIAM2	0.213491032568279
AMY1A	0.213708153827652
PNPLA7	0.214810861303849
ULK4	0.220505640218193
DRC1	0.221326229204246
SLC10A2	0.22226535613403
POLE	0.223307422130388
OBSL1	0.223613021714777
DZIP1L	0.224492320625752
VOPP1	0.224544973401887
FAM166A	0.224934130656601
KRT76	0.225484686338962
ACSM2A	0.226756341862077
UPK2	0.227007236022284
CCDC148	0.227007780963261
SDR39U1	0.227114917187924
LAMA2	0.227599506138348
PALM	0.228686809140804
OR5AU1	0.229505428147834
CTTNBP2	0.231680577197744
APOBEC1	0.232300838334884
CHMP4A	0.232517960746529
MSS51	0.232876709797148
PARP10	0.233548951919345
CCDC146	0.233584516178247
CALHM2	0.23413615626704
SDCBP2	0.23493976504546
ROPN1L	0.235719792264153
TMEM249	0.236554308082306
MBP	0.237093738800982
KRT36	0.237108052392325
HSF1	0.237729307230102
CTSW	0.239098879128275
C6orf183	0.239884893974964
MIER2	0.240148090841787
KNSTRN	0.240884226741017
ZNF44	0.241060788476689
ADAT2	0.241821344051792
GCKR	0.24198363485235
CFHR2	0.2425266666942
HS3ST6	0.243082468723456
CARS2	0.24389505823712
DBH	0.245045642826049
CCDC61	0.24513387399424
SEMA4F	0.245382339579873
C2orf76	0.245781033956364
FAT1	0.246465902189413
CNTRL	0.246851359673087
ZNF486	0.247301979498888
ETFBKMT	0.248015220218517
TMEM108	0.248470631461358
CDCP2	0.248814529358426
DCLRE1A	0.250816918039955
CRYBA4	0.251674698426672
ICAM4	0.251858799016305
TNRC18	0.252924364536398
HEATR4	0.252988609210355
TMC2	0.254249969926667
SEMA4C	0.254625134639683
AARS2	0.256093437664712
TBP	0.258357641830116
SKP1	0.259037957212216
MEPE	0.259784671178839
PRR25	0.261100244987042
PHLDB1	0.262466657467336
RPS6KB2	0.26259829264545
ZNF776	0.262614945674729
SEPT10	0.262849093132393
ZNF730	0.262965280783035
TTLL6	0.264740407927459
RBBP8NL	0.265521842068146
PLEKHG4B	0.265878292442087
GPR179	0.266473759247694
TRIP11	0.26754386782613
HIST1H2BO	0.267731105098076
BRPF3	0.269011069525325
CUZD1	0.269068256147171
LY75	0.270721065134787
ADGRF3	0.271394422205959
ZNF563	0.271675659144553
ANKK1	0.272176904370173
ZNF680	0.272949211640463
OR6P1	0.273119995060658
PKD1L1	0.273236405848345
CYP2C18	0.273462517869998
GATD1	0.275840790215171
DNM3OS	0.278877845237753
ATP11A	0.280498245018487
CPXM1	0.280741401612266
POLN	0.280811326248027
PIGV	0.281318767956839
COL11A2	0.282951592837828
APPL2	0.283979863557685
ZNF772	0.284268563865718
OTOP3	0.284774135032129
FBXW8	0.284961742495431
ANKRD30B	0.286236052903447
GNLY	0.286382148775188
EPN3	0.28656304853949
FNDC1	0.287262594939677
GHDC	0.287511858755961
EIF5B	0.28751246055595
TBC1D32	0.290095004514096
ATP7B	0.290236146410649
TTLL10	0.290312510260604
UMODL1	0.292934655473188
SCIN	0.293151693842725
PLEC	0.293258351228056
OR7G3	0.295551214174152
HNRNPA1L2	0.295616200470023
SPTBN4	0.295809587675694
TTC3	0.296855565935514
ADAMTS14	0.297162990121881
ZNF600	0.29735141255264
CAVIN2	0.298043724320044
