gene_name	p_value
OLFM4	0.00650845731399007
PCDHGA10	0.00893950600495518
CLEC4M	0.0115943541402643
PLA2G3	0.0130156835274764
GCKR	0.0138368500575918
TTC23	0.0143783975893047
MFSD6L	0.014744848356235
CASP5	0.0155683595626041
ANKK1	0.0183459557365265
COPS4	0.0196425720238846
ALS2CL	0.0220078438452496
MYH8	0.0223217732718067
SERPINA12	0.0223852366315015
HEATR6	0.0233159335224927
PFAS	0.0241361746280223
CCT6B	0.0243084925938372
TMEM191B	0.024840364372933
NTN3	0.0251977531587546
HHIPL1	0.0259230454570225
FCGR1A	0.0278521879536391
CCDC154	0.0296371558164869
SURF1	0.0317214499903069
ZNF655	0.0320559608688182
EFNA4	0.0334311516701757
MS4A12	0.03370430405835
ZNF774	0.0341286862837994
CRB2	0.0343265919197088
CFHR1	0.0355363661160551
DNAH11	0.0363954562036864
AFG1L	0.0369627813772597
TBRG4	0.0375736317538643
PXDNL	0.0387850798169648
DBF4B	0.0392296891755755
NSMF	0.0397108055354161
DOLK	0.0400771575267821
DNASE1	0.0419658940743116
CXCL6	0.0420535777879807
NIPSNAP3A	0.0429006228401251
ZBTB4	0.0430553333399206
IDI2	0.0440389427353947
LAMA4	0.0465754154694454
KANK4	0.0467040147127651
OR7G1	0.0492414696494149
ZFHX3	0.049538390510991
ZNF747	0.0499055446561891
VPS16	0.0499599539809995
RILPL2	0.0514935030226058
FAT1	0.0515259662611502
HIF3A	0.0516761088577421
CEP152	0.0518715697157732
POLN	0.0526446139378397
ANKRD26	0.0530374942066633
FNDC7	0.0530735357220813
CCDC59	0.0532287224586684
RADIL	0.0544352174056797
PADI2	0.055531049777998
SETD1B	0.0556129024852625
COL9A2	0.0567750341483704
EEF1D	0.0592293099548466
KDM6B	0.0599813537830384
PIK3R2	0.0604793891944415
CLCA4	0.0605941264134261
PPIL2	0.0613158567160318
PHLDB1	0.0625309759015006
TTC33	0.0630764386819963
LAMB2	0.0640914609239179
PCDHAC1	0.0641466126477257
TMEM218	0.0646506587442474
CELSR3	0.0646562280945998
NGDN	0.0653658356346595
