gene_name	p_value
COPS4	0.001095709154633
ERCC6	0.00375184993553601
DNAH1	0.00375229166429414
PLEKHG6	0.00405814257822246
GPR155	0.00412582277408935
IL12RB1	0.0042669999382377
MEPE	0.00469966990557862
C6orf203	0.0053031230997569
FAM173B	0.00533180171248682
TRMT1	0.00552322756499413
ARHGEF37	0.00580142867032609
CASP5	0.00581566384018894
NPC2	0.00609049829521368
UNC93A	0.00680035301507487
MICALCL	0.00893059107748695
ZNF655	0.0093987150225836
NEIL3	0.00968666284517838
AUNIP	0.00976908281948419
OR2M3	0.0115491776612863
TGM3	0.0128668393472029
LRIT1	0.0142787385202342
SLCO1B3	0.0150663267239321
GZMM	0.0150981189770351
GRTP1	0.0151388593707793
DHCR7	0.0175081326412112
SSPO	0.018330906327735
BICDL2	0.0191208683372955
KRTAP24-1	0.0193673705685332
APIP	0.0203665365495248
HAL	0.0206841312012321
ZNF211	0.021528439995471
FCGBP	0.0219717152889516
IFNA5	0.0224151472909018
CDH19	0.0225167058076833
COL7A1	0.0244891303102653
CARD14	0.0251045643846121
KIF13B	0.0253642762062173
PLEKHB2	0.0258646502707993
FBXW8	0.0265437022732709
CBX2	0.027113347886994
AAED1	0.0285613817570636
AHSA2	0.0292586159861836
CD8A	0.0305967003750355
KRT83	0.0308030289996847
CCDC168	0.0318037506740629
MBP	0.0319030587591747
NME3	0.0371837097373851
LILRA2	0.0378594512777575
SNX19	0.0380377803269708
ICAM4	0.0383984076122951
AGBL1	0.0385528153733059
MARCH10	0.0405744351215839
AOC3	0.0409363954216063
FCHO1	0.0412886491862497
CEP170B	0.0420189502520143
GANC	0.0426992656194631
KALRN	0.0438886022739671
HMCN2	0.044182535797751
C16orf74	0.0449262754728614
GGN	0.0458917701825654
FAM174B	0.0466758573695391
GORAB	0.0467103485495574
ASPH	0.0469288726295633
TAOK2	0.0477930562210028
RSPH6A	0.0499277765173333
EFNA4	0.0507998801394625
PAXBP1	0.051545766230515
ENO4	0.0524369331419161
ENGASE	0.0525310434766325
ZNF284	0.0541040456296163
FERMT1	0.0542063395027577
PLA2G3	0.0544945884319247
PADI2	0.0556064211992445
CAMTA1	0.0560777819264187
CFAP46	0.0565566634284416
SVOPL	0.0565756069710977
SETD1A	0.0569229523407879
ALDOA	0.0572134474690632
HNRNPA1L2	0.0576962914635396
RUBCNL	0.0591930385853163
PCM1	0.0601226235784524
PAGR1	0.0601437990545409
OR4D1	0.0605393869582456
SNAPC1	0.0607303193657018
CAPN5	0.0620963640106296
POTEC	0.062964433793672
HKR1	0.0644108598063811
ZNF692	0.0649853682564704
ZNF257	0.0659942134555456
ESYT1	0.0662264221113043
SH3D21	0.066362000594833
TPTE	0.0664341367746278
TSPAN4	0.0676605538360597
SFXN2	0.068765985769345
OR56B1	0.0699559453450789
ELL3	0.0699899373698702
PRRT4	0.0705442903497543
ATP2A1	0.0723084837268945
RNF175	0.0727046184999715
NLRC3	0.0743320544072976
CEBPB	0.0772526733422438
XRRA1	0.0775665958576687
RAPGEF3	0.0792033486015687
ABHD14B	0.0797264109698628
CEACAM7	0.0797861898571828
MST1R	0.0798285619189504
OXA1L	0.0802133798064334
IGFLR1	0.0804223699867757
ULK4	0.080527955425874
CEP250	0.0810603344086351
BTNL2	0.0813224301604609
MYH15	0.0813541133110909
HAP1	0.0814701225230863
MCM9	0.0822704742257293
LY75	0.0852096768054393
ENPP3	0.0854163205371216
DNALI1	0.0873762752876828
ACSM2B	0.0883336123165328
PARPBP	0.0883351998718128
UNC5CL	0.088726581322974
LMBRD1	0.0888176793906439
GCNT3	0.0892316375404288
SLC15A3	0.0898888732651136
SIRPG	0.0899294478653471
METTL3	0.0908639418102385
IGFN1	0.0921047734728343
KCNK17	0.0925584124926755
OVGP1	0.0932921833649359
ROS1	0.095699774898501
HEATR4	0.0960000027951622
SERPINA12	0.096325809138798
UNC13D	0.0965382516978537
RPSA	0.0985270330925098
ADGB	0.0990840167393611
SGSM3	0.099193253129359
ITGA7	0.100275053186302
ERICH2	0.101160816255299
DLEC1	0.101239092646143
KIAA1614	0.101329264174532
KIAA2012	0.101745825195251
NDUFA5	0.102161995720241
ABCA13	0.104338486162888
PDE5A	0.104464522939733
POMT1	0.104465219122162
PAPLN	0.107383979392592
CFHR3	0.107984119394016
MUC4	0.108320638898302
PRPH	0.110970808703832
PDK1	0.111453373547282
CEACAM1	0.1132445878814
RIPOR1	0.114918804785336
GCKR	0.117246808631448
SOCS5	0.118512969778609
ADAMTS14	0.118587112434092
MAN2B2	0.119091448761627
CCDC171	0.119658625772315
XIRP2	0.119941620544087
TAAR2	0.120731779939076
HRNR	0.121060619435745
GPR151	0.122742364697408
CRB2	0.123290559338918
ZNF311	0.123894757603484
FSHR	0.124728116459536
FLG2	0.125286682775038
GP2	0.125687737081101
CCDC148	0.126210097968909
ATP8B3	0.12973876757832
DNAH7	0.13111177953247
ABCA9	0.131913452433153
ZNF268	0.132591121782403
USP19	0.133321191614014
MAPK8IP1	0.13393679267714
MYH8	0.134095493801012
RIC1	0.134514398971495
TBC1D32	0.135290122181709
MSR1	0.13553249632434
NAV1	0.135729719593761
C1orf141	0.135947132980441
TXNDC16	0.136932046406957
MTHFD2L	0.136972457256695
SLC22A11	0.13728273617086
CYYR1	0.138033267981603
MFSD9	0.140910773532475
MX1	0.140958190461943
NR2E3	0.141393949886913
C4orf45	0.141486978594239
SLC39A7	0.142230796122782
OR3A1	0.142829753545733
ZNF544	0.143085168052599
OBSL1	0.143596226417694
RAB44	0.147032811844202
ZNF226	0.147358205302799
PLA2G4F	0.147975875613746
OR51G1	0.149930870529534
C19orf71	0.150083758306353
GTF2F1	0.151271520317639
CTSW	0.1524192460975
CARD9	0.154656425145414
WDR5B	0.155648292822802
S100Z	0.155803166727188
NEB	0.155838235146349
DCLRE1A	0.156962784743527
C8B	0.156990199156663
CFAP99	0.157273768372246
DHTKD1	0.15798803723211
ECT2L	0.158105296722142
CNTN3	0.15878096315867
ITGA2	0.159841607084074
FAM227B	0.160691706957865
GPLD1	0.16103069740151
OR5B12	0.162270343915276
SRRM3	0.164581926422898
KIF19	0.16535303738828
AES	0.165418981953853
ERAP2	0.165687792135864
ANO7	0.165998059104848
PRR25	0.1661723260701
ZNF528	0.166392263756083
ZNF334	0.166541064874848
SMYD5	0.167912956996953
OR10V1	0.168975624926791
FAM109B	0.169179720890332
BTBD16	0.171291080900469
ZBBX	0.171444305514698
CMYA5	0.171627045801217
METAP1	0.172588523680351
CUZD1	0.173115877133426
AARSD1	0.175121480071365
RPUSD4	0.17555415769959
ME1	0.175866988166532
BRICD5	0.176395290323647
TRPM2	0.17736729758018
SYNE1	0.17739685958811
C1orf186	0.178209034051541
GOLGA6C	0.178397151857788
SYNPO2	0.178796967614567
SEMA4B	0.179495041976912
TOMM20L	0.182250730971966
ZFR2	0.182436385631327
LDHAL6B	0.184885247842002
PIGZ	0.18578821417996
MYEF2	0.186808278439329
IRAK3	0.187492438340605
PRDM13	0.188536523896421
FAM200A	0.18867562314446
LPO	0.188700982107158
NME6	0.188976544493411
TRPM4	0.18934157771516
EEF1D	0.189493664983389
UGT2B10	0.190213884018543
GZMB	0.191578004370027
FAM83A	0.191690761246743
PRELID2	0.192989023803805
LRRC19	0.193674109814143
DZIP3	0.194089188751222
SPNS3	0.194135023439028
ZC3H8	0.195167828210579
PRDM2	0.196057984786059
NRBP1	0.196266088232756
TOR3A	0.196753081228963
HGFAC	0.19690972622863
FAM186A	0.1971762237349
C14orf105	0.200448794723921
ZNF461	0.202175037521548
CROCC2	0.203220151179401
TMC2	0.204192504494922
DHRS12	0.205122072385658
SPDL1	0.205734854760728
LARS2	0.205997091417826
SRRM5	0.206103040329496
ERVMER34-1	0.206316304832537
OR5AR1	0.20837915418719
BDP1	0.209499047184272
ETAA1	0.210109192292292
ABHD12B	0.21042828807974
POTEA	0.211125668697646
P4HA3	0.212356267063633
ALS2CL	0.212923904022192
CNOT1	0.213538283814241
VEPH1	0.213605556509063
LMNTD1	0.214256079171074
MROH9	0.214562046132577
ZNF574	0.215642634303477
ZGRF1	0.215875455798325
CCDC105	0.216162472226257
OXR1	0.217545486978533
CES5A	0.217648674121017
ASGR1	0.2183707181848
C15orf48	0.21897221837172
PON2	0.218982102448243
MSS51	0.219596329856543
TP53I3	0.220266290326197
PRAG1	0.220433669867558
SERPINB3	0.220567341746764
PDE3B	0.220819400185765
SI	0.221565590245634
RNF13	0.222790330016372
RBKS	0.223391379776683
SEC31B	0.224377287846411
EPPK1	0.224408303029634
PCDHB11	0.224586833263785
KCTD18	0.225889683492766
RGPD5	0.226066470429466
SPATA31E1	0.22654563543404
SIN3B	0.226675101233162
EIF5B	0.226978844107186
ERMARD	0.227177374717209
PTCRA	0.227240026526355
UBQLN3	0.228896147547538
RAD50	0.229687711949664
KIAA1257	0.230108721586043
ZNF229	0.230167865033236
FCHSD1	0.231996973236446
NEURL2	0.232268954192642
ANKHD1	0.233696157876769
SGK494	0.234118475498104
AK9	0.236378903965853
DOCK6	0.236886396236194
CFAP57	0.237530041808443
TMEM87B	0.238366128345897
OR10C1	0.239859506536069
NGDN	0.241700163010945
LRRC55	0.242001468895503
STARD9	0.242827737864584
ANKRD20A1	0.243171758496047
SPEG	0.243752166758857
SLC22A10	0.244471169283615
PLB1	0.244602936815506
LY6H	0.246271014279487
TJAP1	0.246607340980162
ZNF785	0.24819387787232
TMEM261	0.249317961642865
PDE4DIP	0.250583351771687
ADCK2	0.251095048724749
ACOXL	0.253992273583331
HPSE	0.254071673850716
CHIA	0.254276904569101
DUXA	0.254851671411693
ITGA5	0.256376257040948
GEM	0.257074912041844
UCP2	0.257075782630115
IMP4	0.259747144736243
UGGT1	0.261256340848752
TBRG4	0.261741054528188
ACSM2A	0.262247968739988
WDR97	0.263833059102034
RRP15	0.264454472037496
CES2	0.264727291048806
VOPP1	0.265248226316389
SEMA6C	0.265252999361159
ZNF669	0.268077241309358
FLG	0.270053379910325
PTPMT1	0.270110000762054
HS3ST6	0.271004175889864
SDCBP2	0.271081278341943
GYS2	0.271210855084223
OR10AD1	0.271337960942807
RBM43	0.271797204558225
NUP214	0.272196392370158
C6orf52	0.273139209713155
DTNBP1	0.273356794192371
DNAH14	0.274795107601844
PADI4	0.276529370782255
GPR137B	0.276759268188944
PTPRH	0.277031740985487
NINL	0.277445087265046
KRTAP2-4	0.27748403497365
TLR1	0.278347688522816
MROH2B	0.278607555558515
TRPM3	0.279301627626285
MYH4	0.279511067411738
NSMF	0.280060235207297
DNAH10	0.283721043459407
DHX58	0.283746491647264
LTB4R2	0.284048711268818
FAM221A	0.286263590509106
TBC1D5	0.286379536463174
PADI6	0.287202124296617
CHD3	0.287415667743167
ZNF585B	0.288905932778283
TMTC4	0.289354045844735
ZNF774	0.290092579925416
ZNF90	0.290920197901925
NLRP2	0.291605682399156
BMP2K	0.291697693637186
C10orf91	0.292815248121076
PNPLA7	0.292832063386717
GBP5	0.294516157780392
GPN3	0.296080364061028
RPGRIP1	0.296487030338837
MYOM1	0.299240304860657
PLEC	0.299391529105217
CDCP2	0.300044948652538
ADAM8	0.300308661307055
SMYD4	0.302076169893052
SHQ1	0.30394533852243
ZNF418	0.304464865104561
CLCA4	0.304523627098062
IMMP2L	0.304599996790945
ALKBH6	0.307249943293898
TRUB2	0.307431062820871
TMEM54	0.307755917924837
MSC	0.308609399778331
LOC101928841	0.308642355112245
HAS1	0.308819547257394
KRTAP29-1	0.309123032549754
SLC4A10	0.30956083949514
CDC7	0.31006705222284
INPP5J	0.310735424263875
CACNA1A	0.311066066332008
SLU7	0.311421699954275
SLC41A3	0.311947757889851
ABI3BP	0.312617989717954
CEACAM21	0.312683565297013
ASPM	0.313287164681015
SLC26A10	0.314074865697681
MIER2	0.31461447169989
NACAD	0.316042283449409
INS-IGF2	0.317059633915203
VIL1	0.318278544044267
SPINK5	0.319753993618598
CXCL8	0.320674446348296
ANO5	0.321489009397831
OVCH1	0.322324710912674
GAL3ST2	0.324017152307815
SERPINA9	0.324455834095548
A4GNT	0.325031283047683
BTNL9	0.325156213411327
FNDC1	0.325218687511785
C9orf66	0.326492660090609
KRTAP19-3	0.327032422539591
PRM3	0.327747509165521
FANK1	0.329775377713435
C2orf76	0.329980054526703
PROZ	0.33105384302186
RPS6KB2	0.331127871845743
C8orf59	0.331153287463563
GRK4	0.331490314880894
CD300C	0.331534544857976
KLHDC7A	0.331829461078008
IFITM10	0.331943419389264
MTX1	0.333458893272125
ABCA5	0.334135215905487
