gene_name	p_value
SAXO2	0.000784835422782215
PROM1	0.000961041184664809
ALKBH6	0.00252918622048391
ASCL3	0.0028779197791869
RPSA	0.00367162586729316
GANC	0.004468852129697
RPS6KB2	0.00456212168775227
SLC22A10	0.00468582292063248
ARMC4	0.00474275790171985
BTN2A1	0.00536900555293629
WDR64	0.0057156829208812
PRR25	0.00583324661966711
ZNF28	0.00590223176039961
EEF1D	0.00664731768941629
SEMG2	0.00665475290113959
ZNF680	0.00671724211286218
MCM9	0.00680452566127554
DUOX2	0.00704819144279345
RNF13	0.00754211150919115
RAD21	0.00786576077368782
TMEM108	0.00802767357088885
CFHR1	0.00843129622063177
NME6	0.00983744087424387
PRB2	0.00991976884795368
CARMIL2	0.0100485525831389
GLI1	0.0106383997853405
PCM1	0.0111137678463512
ITSN2	0.0111846043249248
SULT1C4	0.0114132219562832
SP9	0.0115028464022516
TDRD9	0.0127628109389611
TMEM218	0.0138370323115199
ZSCAN12	0.0144316392057166
ZBBX	0.0147337466741061
GGCT	0.014753272496899
GCGR	0.015353122318317
SLCO1B3	0.0157169861612064
ERAP2	0.0172928794413546
CFAP54	0.0202087258437054
MOCOS	0.02039795790068
TNNT3	0.0212670761209472
PLCH2	0.0221530399005971
MST1R	0.0224381391888052
NLRP2	0.0225408119001115
ZNF782	0.0230562567149726
HSPG2	0.0234780193996798
CSH2	0.0239857727101065
SLC22A25	0.024355364276148
APPL2	0.024773806371029
HIST1H2BE	0.0248543895861912
TMTC4	0.0248731208193326
CENPW	0.0249307318040908
JSRP1	0.0251657688506162
DENND4B	0.0253369975098231
ITGA5	0.025567528890057
MSR1	0.026262359777864
PAPLN	0.0280943247004456
RNF175	0.0288933152497227
NUP62	0.0290060442870309
PADI4	0.0291509203851914
TSTD2	0.0302787481835839
KRTAP13-1	0.0310213577069099
ZGRF1	0.0313989077866358
PADI6	0.0317441802855377
LY6H	0.0326086542530564
ATP13A5	0.0345357111636866
FAM173B	0.0347648473027833
PRAG1	0.0350460064046787
RIPOR1	0.0352788240083166
