gene_name	p_value
SLC39A7	0.000835086407552552
PCM1	0.00137792958978888
OBP2B	0.00210693418846827
NME3	0.00337242052122733
CAPN5	0.00387804335613283
FAM173B	0.00527346196814216
FRMPD2	0.00596895732522773
ERMARD	0.0061102016050768
SLC22A10	0.00681442939912512
ELAVL3	0.00682110739075793
PADI4	0.00769206979873138
EEF1D	0.00771093172244319
ENGASE	0.00841960374886319
APOC3	0.00914448148826275
ELL3	0.00933203058018685
IGFN1	0.0101618831533601
MEPE	0.0107454938049982
ULK4	0.0107918969450189
TMEM54	0.0123835180435389
CD8A	0.0125131648491356
GANC	0.0137020375257491
SMPDL3A	0.0142311491100582
MYO5A	0.0144205253985387
CRB2	0.0150084022976558
ZNF692	0.0151776539828347
FCGBP	0.0152052681672483
ERN2	0.0165712524356724
MCM9	0.0175826384658764
OR2T11	0.0180383111910811
C7orf31	0.0189605733134283
USP45	0.0232301901888733
GPRIN1	0.0257199279064937
FBXW8	0.028691041442974
XRRA1	0.029050478632864
LEXM	0.0291331482286865
IFNA5	0.029240335925788
GZMB	0.031098533932187
CCNI2	0.0317278357084964
TRIM50	0.0319360429160684
PWP1	0.0324632859425367
HAL	0.0338322733310266
OR10AD1	0.0368101618771168
TTC33	0.0373225314007608
METTL3	0.0386054708336402
OR56B1	0.0405524739208256
ABHD12B	0.0406340018721029
IL12RB1	0.0407879319626593
TOR3A	0.041100851231313
SLC22A25	0.0411388362677857
BCLAF1	0.0439186274397746
APIP	0.0441007746682895
SYNE1	0.0449066957154707
ERCC6	0.0458719611516358
AK9	0.0473414792928185
ZC3H8	0.0509823666654689
METTL24	0.0514002028251225
S100A13	0.0519211504310167
ZNF528	0.0522848069224889
CLEC4M	0.0524539213470082
OR5J2	0.0528578283344202
UNC93A	0.0552706995936998
INPP5J	0.0559270087740511
CEP170B	0.0564741160929282
SEMA6C	0.0565276080974787
C2orf76	0.0570949970775034
ASPM	0.0571604190137596
ADGB	0.0574175377827867
SLC25A2	0.0577403633415274
TLDC2	0.0593857835875565
SIRPG	0.0594877613866783
ZNF774	0.0597050112431007
DHCR7	0.0597377910911448
SH3D21	0.0603045156984499
SP9	0.0603614531250609
ABI3BP	0.0622278932030332
CNPY4	0.0629979769971827
SPNS3	0.0638862804728944
NUDT8	0.0639866093272544
SORL1	0.0644822833492694
CHIT1	0.0652413239351385
TMEM247	0.0659363659342908
MOK	0.0672600449691263
SYTL3	0.067311206882914
CDH19	0.0686413853366166
DNASE1	0.0686977074258645
C16orf74	0.0690050584584058
FKBP7	0.0694115752369375
TRIOBP	0.0702083842878098
COPS4	0.0705452821245517
TAOK2	0.0711380007001238
LRRC19	0.0713920231799991
DNAH14	0.0718513866954367
BRICD5	0.0728710448753408
DZIP1L	0.0737052563296259
TXNDC16	0.0738420627900214
IGSF22	0.0755183775486567
AOC3	0.0766105911259392
CNOT1	0.0771623673264927
GGN	0.0775388269604865
DOK7	0.0780619996018999
TRAPPC11	0.0782714145785877
SKA3	0.0800796431372146
SLC22A11	0.0804750367309368
PACRGL	0.0805929274577718
PLEKHB2	0.0807008475599091
ZNF324	0.0817769250094357
ASAH2	0.0841869633684726
RPGRIP1	0.0845177096757544
CCDC17	0.0846755459494435
FSHR	0.0846795732895029
TMEM225B	0.0848483901195222
WRN	0.0849815150652462
TDRD9	0.0860175007959546
UCP2	0.0863441519795557
C1orf185	0.0871089318005071
PNPLA7	0.0878079621731837
MYH8	0.0884649322844834
NGDN	0.0886759685310546
ERAP2	0.088900107618703
SERPINA12	0.0896994034059376
MROH2B	0.0902740280581106
SLAMF8	0.0910388883555112
KRTAP24-1	0.0912446447784841
ADGRV1	0.0916444690099842
LY75	0.0926252167512022
ZNF2	0.0929775315302522
GZMM	0.0929815356245957
AUNIP	0.0939089999999465
OR4C15	0.0941157785885681
TJAP1	0.0944721291953093
UBQLN3	0.0955694759704194
PAPLN	0.0956279489216993
PDE3B	0.0956919536787995
PARP15	0.0957337170744401
MUC4	0.0969872013357898
TAS2R46	0.0985398932829838
TGM3	0.0996289165726854
FAM81B	0.102058069379069
ARMC4	0.102501622812791
HIST1H4E	0.102807837397032
ZNF334	0.103883074414615
CES2	0.104010909311672
DUSP16	0.104364009216034
KCTD18	0.105079719913453
ENPEP	0.105461530147781
CES5A	0.10630222089459
TRPM3	0.106750923616698
PLEC	0.10785427285717
AMY1A	0.10839469387403
PUM3	0.108921891368533
SERPINA9	0.109011460369185
LDHAL6B	0.110809482179788
HAP1	0.111062397412432
PLA2R1	0.111889123127217
SLCO1B3	0.112222580353669
GP2	0.112563611898053
ABCA8	0.112788715607311
COL7A1	0.112797060097948
DBH	0.112897943400267
SNX19	0.112979419834261
ERMP1	0.113273919327194
IGSF10	0.113993649597044
ROS1	0.116019072101439
CARD9	0.116713245963238
SFXN3	0.117077659160221
CUZD1	0.117774372327959
AKNAD1	0.11883287265984
ITSN2	0.120003414502698
OR5AR1	0.121488042347802
OVGP1	0.121630447543403
UNC45A	0.123041675361418
SERPINB3	0.125534763776523
DVL1	0.127397915131515
ZNF266	0.127595301571406
CSAD	0.130219253305226
ZNF211	0.130954226281676
TBC1D8	0.131830824953427
RPS6KB2	0.132330890102245
SAPCD1	0.132724576446091
NLRP2	0.135308899775937
LIPJ	0.135372315835423
TRIM38	0.135957433059151
BTNL9	0.136061161651181
GBP5	0.136470376281007
INVS	0.137026832048593
RGPD5	0.137960430014991
SCIN	0.138610313165372
PADI6	0.140316202502256
C6orf52	0.140452228007597
GCKR	0.140582242908031
GAL3ST2	0.142030601799112
PTGER3	0.142491058629842
ABHD14B	0.142662525910889
ZNF782	0.143431479706262
DOLK	0.14459677707165
MRNIP	0.146984678399168
ZYX	0.14751562679609
BTBD16	0.147904516330772
ZNF655	0.147934566955719
MEGF6	0.149289179666196
ASPG	0.149885940157618
KLC3	0.150486620754364
ZFHX3	0.151469127759018
CEP55	0.152896942945897
CDRT1	0.153119910987107
MSC	0.153169521067787
UNC13D	0.153624005841316
KNSTRN	0.154195524568149
WDR64	0.154321206367378
PTPRN2	0.154345934549391
CREB3L3	0.154593137494248
GORAB	0.154836068768386
NAV2	0.158465718970301
GPR151	0.159138133785507
S100Z	0.159144645520899
TMEM191B	0.16033910287695
NAALADL1	0.161257137313745
PLA2G4D	0.161831181424508
HAGH	0.162014104341913
KRT83	0.163921302631476
CCL16	0.163931282834625
IFI44L	0.16696014197996
WASHC5	0.167574981166574
PRELID2	0.167579355701327
NME6	0.168334813882331
HSPA6	0.168865563190451
SFXN2	0.170202205962303
ESYT1	0.170224680936294
HPSE	0.170451175481567
KCNH5	0.170697241446471
MAP3K6	0.171056716778642
MARCH10	0.172469043454086
FCRL3	0.174176003178127
ERICH2	0.174193338142815
C9orf66	0.175568020000922
ALMS1	0.176012316745167
MAN2B2	0.176095824812061
CFHR5	0.177426513265857
PMS1	0.178220714066301
RIPOR1	0.178544362494173
MED1	0.179509083416348
BICDL2	0.179691241255977
CACNA1S	0.179875514399437
GCGR	0.180811198070768
NEU3	0.181038367463814
CBARP	0.181572725179415
XIRP2	0.182642931072829
SYDE2	0.182702804716276
CRYBA4	0.182788672298835
APOBEC1	0.183110101005724
SETD1B	0.185458121794495
PTK6	0.185884152415867
MYBPC2	0.186183488982849
PTCRA	0.187649330320483
ZNF785	0.18828994057825
ZNF615	0.188941515987433
ECT2L	0.189271887762195
C2CD6	0.191655109793759
KRTCAP3	0.191680924830843
TMEM261	0.193407471984526
MMRN1	0.194962759424013
TMEM249	0.1949881962363
CPXM1	0.195441990654187
ART1	0.196144728084794
HNRNPA1L2	0.196202188288522
NR2E3	0.197021993759056
C8orf44	0.197151702415961
JSRP1	0.19928344686011
OR3A1	0.200713805957018
RPSA	0.201328432823765
CD44	0.202845446242122
PRAG1	0.203456789226522
WFDC2	0.203829345526614
MYOM2	0.205485013734776
NPVF	0.205623549547511
KRTAP1-1	0.205758945403613
SIAH3	0.206390568805072
VPS33A	0.210112671955669
MYH15	0.211893150510171
KIAA2012	0.213003723896898
DNALI1	0.213483511528282
SDR39U1	0.214362936696808
ZNF142	0.21541580196914
FHAD1	0.215482056177252
CCDC171	0.215590632343453
P4HA3	0.215844804739692
DTNBP1	0.216133293891949
ANKRD30A	0.217490956055117
GPR155	0.21753010649368
RIC1	0.218546306457327
RNF175	0.218555991873163
LILRA2	0.219970315900095
ZNF486	0.220872708089524
IGSF5	0.222614240372682
SRRM5	0.223272517114573
LRTM1	0.224224140309298
THNSL1	0.22581977107428
TPRG1L	0.229165378907963
C7orf69	0.230131961727058
ACSM2B	0.230667130236727
CARS2	0.231062167964845
