gene_name	p_value
GPRC5D	0.00828529256209726
ARID4A	0.00921074450288927
ELAVL3	0.0110256821470328
METTL3	0.0117203318801371
DCAKD	0.0125291904812817
SLC39A7	0.0145549306145329
COPS4	0.0160902434163389
UNC93A	0.0209749721656522
GPR151	0.0217247504898226
ULK4	0.0225103662256867
CDH19	0.0241562618932979
FAM81B	0.0243577539556216
CNTRL	0.0258575284094514
KRT76	0.0277652087539773
BTNL9	0.0283563154754474
ACADL	0.0287430400928366
OR7G1	0.0306257017421378
DZIP1L	0.0321813671015451
TAS2R46	0.0330859495815614
APOC3	0.0342296254194456
DHCR7	0.0350577034733472
IGFN1	0.0351993828883278
DNHD1	0.0363983455262542
MFSD9	0.0366783759743971
MYBPHL	0.0395209333634571
ZNF528	0.0403270682227993
PCM1	0.0425040391916511
TRIM63	0.042694984248649
PDE5A	0.0436658556205974
WDR90	0.0438930870631409
SETX	0.0448454650205318
ZNF655	0.0448818957882091
INPP5J	0.0457587239144928
NPVF	0.0468677059489493
ZNF785	0.0471885980249798
ANKRD18B	0.0472358341160987
OBSL1	0.0473383802158333
ACSM2B	0.0477352125212816
CSH2	0.0477631238654562
USH2A	0.0481733571341467
NSMF	0.0498415944003997
FAM200A	0.0507050961803871
TMC2	0.0507355825051369
KRTAP1-1	0.051195991177696
AMY1A	0.0516642736433634
NDST1	0.0519653074428313
ZNF544	0.0531245702193551
SLFNL1	0.0533646206672949
ABCA8	0.0533843811413122
CNGB3	0.0533918504532373
LAMA2	0.0540194582630887
TMEM249	0.0541557692684137
KRTAP24-1	0.0547238990974564
CCDC183	0.0552547012401645
C1orf56	0.0553587052561727
APPL2	0.0555178681859789
IQCE	0.0557364536012793
ADAMTS14	0.0557645449970172
TRIM50	0.0560689908008307
SIAH3	0.0566154624772249
TXNDC16	0.0567921085165889
NCAM1	0.0581192531949366
KRTCAP3	0.0593669684816521
AARS2	0.0597497750751252
OR51G1	0.0598416736862055
PTPRH	0.0602821230971389
BCLAF1	0.0621755522311563
ABCC12	0.0626781753177892
UBQLN3	0.0627684764330222
GRTP1	0.0638136034590154
HPSE	0.0639019495557233
SERPINA12	0.0640520010504782
FCGBP	0.0640834074909799
CSAD	0.065950893740756
SCIN	0.0669907897861457
LILRA3	0.0691465619424069
DUSP16	0.070127297539766
SIRPG	0.0708744300279251
TNFRSF13B	0.0712970647937851
CDRT1	0.073011180894244
ZNF324	0.0734088247015142
