gene_name	p_value
MROH2B	2.7710734009645e-05
BCLAF1	0.000775496110103757
EEF1D	0.00225321923781274
PCM1	0.00258002896143628
FCGBP	0.00264607661897254
CNGB3	0.00342399108589789
GANC	0.00378007303781923
FRMPD2	0.00418135322807267
ATP2A1	0.00483815487954986
OR10AD1	0.00513595289680224
ENGASE	0.0055757045641136
CSAD	0.00664334858838586
PLA2R1	0.00714623833682781
FAM173B	0.00747702272784578
CAPN5	0.00850436298408069
TRIM50	0.00987327317998155
RPSA	0.0100796321870297
CD8A	0.0102185610782136
MEPE	0.0103670520805297
MUC16	0.0105560480465771
KCNH5	0.0107878931696569
IL9	0.0108331949423027
ABI3BP	0.0114326119878703
IL12RB1	0.0114477936075216
PARP15	0.0122267403570909
FAM111A	0.0131546377989066
HNRNPU	0.0135345198345406
HIST1H4E	0.0147329825729022
IGSF22	0.0148239614538733
CARD9	0.0150584734038901
ULK4	0.0160580305243403
MYO5A	0.0163199945466279
IFNA5	0.0183476206995816
PAPLN	0.0188638044676688
MCM9	0.0196772286680968
DHCR7	0.0200932709535446
PASK	0.0202229997066572
PLEC	0.0205004187467708
TTC33	0.0217662688239462
CDRT1	0.0218369656787901
ZNF692	0.0218580000778136
UNC93A	0.0226656915952447
NME3	0.0241339228823888
FRAS1	0.0243873215773127
TAOK2	0.0271918245778179
DOLK	0.0281123597016311
OR2T11	0.0285112279412408
NUDT8	0.0290293761870991
TRPM3	0.0306494039932902
INVS	0.0323666962911873
TLDC2	0.0329954309168342
ZC3H8	0.0332048905091097
SERPINA12	0.0339772598624315
MAN2B2	0.035306747813619
SH3D21	0.036918101852822
AOC3	0.0372247392675484
GORAB	0.0380207099866368
TEX14	0.0385268964350207
S100Z	0.0391683332623844
ALKBH6	0.0407656457946738
ADGB	0.0412767504154896
SLC39A7	0.0448404449079459
LILRA2	0.0449468278747684
OR5H2	0.0453816776149449
PROZ	0.0465076615919285
PDE3B	0.0475585222439301
TMPRSS9	0.0475780612448787
S100A13	0.0475988155107032
GAL3ST2	0.0476118279917683
RGPD5	0.047888445117818
OR56B1	0.0487073570926169
SORL1	0.0492831028701441
UNC13D	0.0497087271359196
HEATR6	0.0505716341910841
TRIM63	0.052004634429242
C15orf48	0.0528826573278139
SLC4A10	0.0531302054365273
USP45	0.054170869132922
PTGER3	0.0544695360161219
ABHD12B	0.0551924378770959
TMEM54	0.0568456798185345
FSHR	0.0579106101013004
OBP2B	0.0583541618671083
LY75	0.0586975677655198
RP1L1	0.0594723709800926
RIPOR1	0.0595268833048563
CNPY4	0.0597116394874636
