gene_name	p_value
MROH2B	0.00421813012710012
SLC39A7	0.00779335678497597
DNHD1	0.00833389122100642
MUC16	0.00851757799842344
IGFN1	0.00874388404930724
OBSL1	0.0172985907397367
ZNF528	0.018692173301835
LAMA2	0.0207365279145731
LMBRD1	0.0216897627698791
IFNA5	0.0235610839052751
KRTAP1-1	0.0236293849165444
DNAH14	0.0246973220573654
HAP1	0.0258912180305112
PPFIBP2	0.0260518717523689
PLA2R1	0.0283122613629554
SLCO1B3	0.0290693240823052
LDHAL6B	0.0292901245349248
ZFP69	0.0293516335744893
CNPY4	0.029878024731042
CCDC183	0.0298999400108473
THUMPD3	0.032210798408342
MEGF11	0.0330694280965117
CSH2	0.0335831747852178
CSAD	0.0349405917751901
SKA3	0.0355513123666901
MYBPHL	0.0358948581651006
ULK4	0.0369939800223459
DHCR7	0.0371840137290497
CDRT1	0.0374716755061592
METTL3	0.0381948674372909
DPEP2	0.0384809340472581
NGDN	0.0396930487925076
SDCBP2	0.0398422754313769
DOCK6	0.0409485880069927
TMC2	0.0410146837852974
RNF175	0.0413803523614408
GPR155	0.0424662209535714
OR7G1	0.0424969718247564
TXNDC16	0.0430797634584049
BCLAF1	0.0431363082122532
TAOK2	0.0433020743575342
S100Z	0.0436725439524596
C16orf74	0.0439072700970657
RPSA	0.0451497156253586
SCIN	0.0452309716391341
SPATA31E1	0.0452688218565385
PCM1	0.0454309169966703
LRRC19	0.0469414064480147
CNGB3	0.0472779433437277
AARS2	0.0489039126629807
RPEL1	0.0489655753464543
IGSF5	0.0490754811936418
MST1R	0.0494920322651992
HNRNPA1L2	0.0495892319870243
MAP1S	0.0501038367586773
OR10AD1	0.0501199380408292
CDH19	0.0503005625107939
GPR137B	0.0506460715241386
MCM9	0.0506480978545311
CASP5	0.0514826313157602
CARD9	0.0521769570977156
RSPH6A	0.0533604084207649
CD3EAP	0.0542285091822309
KRTCAP3	0.0547419599195062
LAMA5	0.0555677597326642
CD8A	0.0558199280705377
RNF213	0.0558981396463315
MOK	0.0564229071290849
OPTN	0.0566936076679035
COPS4	0.0598617213277815
SHROOM3	0.0606652548264964
SGSM3	0.060993095644508
OLFM4	0.0616466716745361
R3HDML	0.0616703295722323
LONP2	0.0621550978341654
FCGBP	0.062397697999819
POLR3C	0.0665109092783816
SORL1	0.0669390044757772
FNDC7	0.0681886433982289
HEATR4	0.0688656168906486
RAD50	0.0691502720221108
GPATCH2L	0.0693682737879949
LFNG	0.0710620162725665
UMAD1	0.0717692306545392
HIST1H2BE	0.0724836774378988
PRELID2	0.0726514529387466
SLC22A10	0.0727171295669948
SERPINA12	0.0728446933957447
UBQLN3	0.0730571386397855
USH2A	0.074207417516278
POLN	0.0742530301522144
POP1	0.0745455079042608
EEF1D	0.0749401398377603
GSG1	0.0754919079608146
C1orf123	0.0755747905996376
ENGASE	0.0776380205202177
SEMA6C	0.0791314732797621
ASB6	0.0795335100981754
LILRA2	0.0798762078362946
PIGV	0.0809225048612114
XRRA1	0.081978041001298
BRICD5	0.083504307338108
TTC33	0.0844574973446403
NME3	0.0856520693779682
ALDH3B2	0.0879324392343226
ACOT8	0.0883144152527258
DCLK3	0.0886755875022451
OBP2B	0.0894155234644824
CCDC146	0.0898183262289956
ACSM2A	0.0900875886043178
HPSE	0.0914075316398201
APIP	0.0918051422984151
DAP	0.0918503995506208
C9	0.0934326641127207
ZNF280A	0.0937381852186534
SP100	0.094565085762916
C6orf52	0.0950852648587239
SETD1B	0.0955055759256385
ZNF623	0.0960746037283556
ABCA8	0.0965530093425838
SERPINB3	0.0969774122966336
DOLK	0.0973719412679134
MTX1	0.0974328182405256
SYDE2	0.0983313899760212
ZNF692	0.103698985751568
KRT76	0.104514496911634
NEB	0.104802887822656
DDTL	0.10480835353476
HGFAC	0.106026611307482
SLFN12L	0.106178984592338
DNAJC1	0.10698004045218
PCDHGA10	0.108164802493684
FASTKD1	0.109004846231056
TRIM63	0.109680341772441
SLC27A6	0.11006473929221
WDR90	0.110595385530351
TTC3	0.111732968716281
IMP4	0.113119644331944
WDR27	0.113155480761495
ZBED6CL	0.113298783297043
ABTB1	0.114913936660354
ZNF284	0.115232758579029
MAPKAPK3	0.117410538050632
TPD52L3	0.118155141996975
TAS1R1	0.119195080214055
CFAP46	0.11965053303454
ARHGEF38	0.120731145967037
ZNF563	0.123227785500629
MARCH10	0.123718909570404
CFHR1	0.125110580862151
RAD52	0.125226492022809
A4GNT	0.125715435769793
ARL11	0.127227332821848
INPP5J	0.127760849707068
C1orf116	0.128166969603988
PIWIL3	0.128194126734966
SLC22A25	0.128926475523562
C19orf71	0.128991310456866
TMEM249	0.129031809679162
NLRP2	0.130236358324536
SP9	0.130754188990298
GCGR	0.131124376341993
CUZD1	0.131677062639086
UGT1A1	0.132267764886585
ADAM8	0.132473178267038
UNC93A	0.132669487892848
ZRANB3	0.133624617964372
NRBP1	0.134494432606626
ABHD12B	0.135794546345695
DZIP1L	0.135916514298119
INPP5B	0.136548064994288
ADCY4	0.137110736023648
UCP2	0.137520224884617
IL12RB1	0.138594043358228
GPR142	0.139644475816091
TEX14	0.140198657699386
IGSF10	0.140513514189647
KIF19	0.140874957563857
FAM227B	0.141947320041941
DVL1	0.142936437454843
MIER2	0.143158020879625
DCAKD	0.144024234585878
ABCA9	0.145163089575691
CD5L	0.145274136864162
POTEC	0.145862919003487
M1AP	0.147356213288451
C20orf197	0.14816733886097
PNKD	0.149125339567574
NSMF	0.149426452576239
CCDC154	0.150001864759672
MGAM	0.150175174287412
LILRA3	0.151215189763533
DLEC1	0.15124096502021
CHMP4A	0.151917901918764
RNF13	0.153926031400064
CALML4	0.15486445534592
ALKBH6	0.155073766449201
ZFHX2	0.156193241294717
CCL16	0.156803214935071
ASPH	0.156822497987939
KRTAP2-4	0.157399669348579
ME1	0.157955165921666
COX6B2	0.158245577340669
SIN3B	0.160475961677136
TP53I3	0.160475961677136
UGT2B10	0.161043306027969
IFI44L	0.161454052553773
HNRNPU	0.164269260553506
FRMD5	0.1643854621206
DNALI1	0.166159379899783
ZNF544	0.166220367039162
MUC4	0.166584545919144
LRRC66	0.16690041035976
KCNRG	0.168499574793219
AMY1A	0.169139554455406
WDR5B	0.169350044732021
ANKRD18B	0.169542372037408
SPATA33	0.170028177414467
GCA	0.171740720614875
PXDN	0.172979996956371
STK33	0.173515781275695
SAXO2	0.17457306493157
B3GNT4	0.17576665868032
UNC45A	0.17656455563444
PSMB11	0.176608821936104
OR2M3	0.178082455616377
MX1	0.178250018183769
CDH15	0.179676434247092
BTNL2	0.180040992544932
ATP8B3	0.180617063994261
ZNF600	0.180627137811823
CD300C	0.182852569876822
CRB2	0.183717853719625
PNPLA6	0.184286480654485
C2CD6	0.18528142092758
PASK	0.185660112220327
ANKRD30A	0.186784524771544
KDELC2	0.187691882274014
TMPRSS9	0.187719357068548
TAF4B	0.187844046123352
LEXM	0.193241211684794
SPZ1	0.193753113964182
ENPP3	0.195215039042785
ECT2L	0.195223297480789
FBRSL1	0.197070004268703
SLC15A3	0.197411366564838
