gene_name	p_value
ZBTB4	3.93387274726376e-05
SPATA31E1	5.64375536429676e-05
TUBD1	0.00301919068484124
HNRNPA1L2	0.00328793508395416
ZNF77	0.00445506373748493
CAPN2	0.00488216635231664
TGFB1I1	0.00503978669231431
EPPK1	0.00537734402615531
NIPSNAP3A	0.00812321122977833
ZNF324B	0.00826448133213231
MCM3AP	0.00889692429189159
USP6	0.00892245111127679
KCNAB3	0.0092492785295395
COL24A1	0.00942578335302591
PIWIL3	0.00993744405822727
ZNF506	0.0100126951507385
MIA2	0.0101376973270773
PVR	0.0103500826336739
SEPT10	0.0105447809113852
HSF1	0.0109163342700841
AEBP1	0.0119373020579804
PKHD1	0.0120008111782599
GHDC	0.0121521258045398
SH3BP5	0.0127126994681227
CHEK2	0.0130499579440817
MYH15	0.0131569725832055
INTS2	0.0134019959338434
MINK1	0.0135666852624917
TXNDC16	0.014311758243419
CELSR2	0.0145913386185499
CCDC18	0.0146869432708704
ABHD14B	0.0153563126111006
SEZ6L2	0.0164835315414417
RAD51AP2	0.0166315977109975
FCAMR	0.0172246990690375
SPTBN5	0.0177155603412418
CALML4	0.0186833778069545
UNC93A	0.0190484159089541
ZNF676	0.0193583928222893
ITGA2	0.0194261108803551
ITIH4	0.0198808774420191
PHLDB1	0.0203846603488123
CACNA1A	0.0204840083768334
SEMA4F	0.0208745713337898
ACOT11	0.0209458387201836
CAVIN2	0.0210325146606186
UMAD1	0.0211994178922104
DOK2	0.0220758088522077
UCP1	0.0229701167245031
LAMB4	0.0239487611438702
LAMA3	0.0242458495877382
EXO1	0.0244337086076049
ADAM15	0.0244434299108961
ZNF747	0.0251635161389355
OR52R1	0.0255981005304002
UNC13B	0.0258571523683682
CEACAM21	0.0260241440056007
RNF13	0.0261177251616183
COL6A5	0.0261456781433675
EFCAB6	0.0264860272570175
PIGZ	0.0265556206949398
C20orf96	0.0268940996576135
RIC8A	0.0269946626544317
TRPM2	0.0294894791789443
MROH2B	0.0298227611780202
C21orf2	0.0318870157040619
MLKL	0.0328426466231958
MYH7B	0.0339553930251149
ITPR3	0.0351251031918948
ZNF528	0.0369881543258949
MIDN	0.0373593802572288
IDI2	0.0373996292098597
PALM	0.0378069305247378
THBS4	0.0384013169596534
ITGA10	0.0388212141416576
ANO7	0.0389757542042583
APOC3	0.0392048979485082
DEPDC4	0.0396961103225921
TTN	0.0422784876967235
FAM151A	0.0436917322078149
MSS51	0.0438553504963016
ESF1	0.0476078404035293
ARID4A	0.0481446581455735
SERPINA9	0.0481682632961022
COL11A2	0.0488932639047498
SLC8B1	0.0504972528196391
BTNL9	0.0505890527067338
FCGBP	0.0531646654843396
TLDC2	0.0532476913595531
TMEM206	0.0532642486056261
RUFY4	0.0539052371329416
C9	0.0540616203983134
GZMM	0.0551123898103838
ASB15	0.0594316142476461
MCTP2	0.060560591849313
ANO9	0.0617925446418343
LILRA2	0.0623321120900126
MRNIP	0.0626996478399791
ETAA1	0.0650110867820537
PRSS57	0.0655840498699307
SLFN12L	0.067277036015812
FAM208A	0.0691251731961208
KRTAP24-1	0.0739536997276293
IGSF10	0.0746151338147797
LONP2	0.0747913822528739
JAML	0.0752863131879591
ZNF730	0.0772592888545464
TOGARAM2	0.0774953882242521
SYCE1L	0.0780281229369929
MAPK8IP1	0.0783628894388335
ROPN1L	0.0814030284335386
NLRC3	0.0815845172282783
NEB	0.082053178611187
C7orf69	0.0824284284493467
CASP4	0.0827783235193244
PADI4	0.0833500136268968
NBPF3	0.0833892297547684
ARHGEF11	0.0840196167213833
DNAH11	0.0840540039608694
OXR1	0.0870568071530059
DNAJB7	0.0871276087874448
HDAC10	0.0893109621860775
SVOPL	0.090260928419595
TAP1	0.0906290487357033
FCRL3	0.0932219584347422
GCFC2	0.0933347984108612
ITIH5	0.0933971841002216
EFCAB5	0.0951648011619707
LEXM	0.0960894241527806
CCDC191	0.0961861244327933
NDUFA5	0.0970054351545235
VOPP1	0.0974658934923661
EFCAB2	0.098009022927094
B4GALNT2	0.0981149911799832
DBH	0.0984859567895629
CYYR1	0.0991073906515685
IL36B	0.0993952707152913
PARP3	0.0999399376509211
ANKHD1	0.10152863991387
C15orf52	0.102079278842964
KIF19	0.102963394976291
SPZ1	0.103096074143202
MPZL2	0.107133741123758
ORAI1	0.108044309644772
TMPRSS9	0.108613754295065
HS3ST6	0.110180630709461
TMEM247	0.110828924258297
DNALI1	0.112246640604848
ATP13A5	0.112552694001199
GMPR2	0.113117714206191
PDZD3	0.115287376767862
DNAH7	0.117485419578096
ECT2L	0.117533394449695
