gene_name	p_value
LPA	6.33728316135063e-06
POLM	2.0446078534242e-05
ARFIP1	0.000371376651222598
ADGRF3	0.00117389915504521
MED19	0.00256664752731908
ZNF506	0.00265242470561533
RAD52	0.00287858870981981
C15orf48	0.00381835427422583
ULK3	0.00457967872462006
USF3	0.00457986883635986
FAM173B	0.00503705950084962
PNPLA7	0.00798934026430642
TMEM161A	0.0116169920393711
ZNF181	0.0123851242327228
POLQ	0.0141644498084846
C6orf52	0.0152217393370487
TRPM4	0.0153928519843476
BABAM2	0.0155335833104967
MOCOS	0.0155377475637962
MYO15B	0.0173331970823903
CELSR2	0.017978730170957
GHDC	0.0198145147292278
MCM3	0.0221415681870337
IFNA5	0.0224287365716756
TTLL10	0.0225740485159595
ITIH5	0.0269003453233978
PDE11A	0.027159467018241
TTN	0.0298266862234626
GOLGA6C	0.0308809125392425
VPS9D1	0.0310998192015412
NTHL1	0.0322893443655438
TTC21B	0.0356494869286372
GSG1	0.039333329535814
BCAS3	0.0449401539791041
PDCD1LG2	0.0493476910552536
ERMARD	0.0509552169523025
MYOC	0.0521766419132474
SETD1B	0.0530558394151061
ADAM15	0.0539941078183265
MIDN	0.0545138841635009
ASPSCR1	0.0548980578497257
ANGPTL6	0.0550088012158356
COL14A1	0.0583482279699981
IRAK2	0.0587343748260084
OR4D10	0.0588046313493221
SPNS3	0.0600476428234048
SLC26A6	0.0638762511053068
KRT77	0.0651078036494078
DDX60L	0.0676624187679066
CNGB3	0.0684804077686735
GH2	0.0692841265649436
ZNF831	0.0699406273206141
DNAH14	0.0701315210325467
C1orf141	0.070733030253612
MROH2B	0.0714730437915024
DNAJB7	0.0746393266278247
B4GALNT2	0.0786472360851775
VPS33A	0.0793776781834459
ADGRE2	0.0798681550065933
APBA3	0.0801473338102078
COL6A3	0.0814859907420175
GPR151	0.0818269059440302
BTN3A3	0.0849934122525847
SFXN3	0.0861340013891294
RIPK3	0.0866680311519479
POSTN	0.0893815922231233
FLG	0.0896886061482288
