gene_name	p_value
C2orf16	8.15292557672098e-05
RBKS	0.000118109900919761
ANKRD26	0.000518415664018557
SLC41A3	0.000910275005595929
OR5I1	0.000922733418834643
GORAB	0.000972887705807723
DOCK2	0.00106218686185833
SEMA4C	0.00112022480441132
UBQLN3	0.00119093548738403
TSTD2	0.00121308153499417
LDHD	0.00124650401995319
FSIP1	0.00127259920819101
GGN	0.00173779940609298
SLC25A25	0.00175536303431612
CLCA4	0.00236824142539105
AMY1A	0.00247938817943895
MUC17	0.00251062651105449
ATP6V0E2	0.00255249034800388
DUOX1	0.00298993681019033
PLIN3	0.00321700912431611
MFSD6L	0.00342312270419221
COX6B2	0.00362826397572627
USH2A	0.00440116941204116
SPHK1	0.0056301830261406
VIL1	0.00592985382955624
LAMA3	0.00620382546443299
SDR39U1	0.00820241118402031
FER1L5	0.00844920914517722
ZNF311	0.00875945822258983
ZNF233	0.00968856033002654
USP17L4	0.0104307208714134
CASKIN2	0.0116519726891934
CHMP4A	0.012140497226683
MEGF11	0.0123360614792757
TNRC18	0.0126148154797232
SLC17A4	0.0126966638437189
ASIC3	0.0127469492194074
FLG	0.0127585103217164
OGFOD3	0.0129788779311312
NGDN	0.0135196910857325
TPO	0.0139386848919735
ZNF266	0.013988603549842
WRN	0.0141762918095703
ZNF28	0.0158198965441488
XAF1	0.016239004214211
FCHSD1	0.0164049988376489
CFAP157	0.0166523883047063
GMPR	0.0167439067282502
IGSF5	0.0172019582699411
SRRD	0.0179175756164694
GLIPR1L2	0.0181591240730629
MAPK8IP3	0.0195783950896236
TGS1	0.0199762723279221
ZNF90	0.0200935809120549
PKHD1L1	0.0206677297618273
CLCNKA	0.0212745282000104
MYOM1	0.0213250731033892
DZIP3	0.0226414224651011
PLA2G4D	0.024108255729973
PIGV	0.0241175401246917
NDUFA5	0.0246400288224976
CYYR1	0.026732902025532
HSPA6	0.0267348197504439
SLC7A11	0.0295278790469845
PPP1R3D	0.0305439319727391
HIVEP3	0.0313073006404767
MSS51	0.0316233837833303
CEP170B	0.0317131052605926
TMEM249	0.0325922162541006
CWC27	0.0333256750039067
ACBD7	0.0358449277247559
SLC4A5	0.0365123763711983
HMCN2	0.037221017771887
BAG5	0.0376198955321865
DUOX2	0.0385465117394377
DNAH14	0.0386016713564803
GMPR2	0.0416765041506783
CEP131	0.0417582890883132
SERPINA10	0.0424904926387291
NBPF3	0.0436458908898917
IGSF10	0.0438883907760619
PLB1	0.0441719592157597
PKM	0.044558237202244
MICU2	0.0447326335587388
OSBPL1A	0.0467927790094549
IFNE	0.0481931557934589
OTOG	0.0500385233795909
ZFR2	0.0503738200735692
CREB3L3	0.0503955528286653
SPNS3	0.0505859690562823
