gene_name	p_value
C1orf123	0.00429006405929455
BTN3A3	0.00463351453323589
TMEM161A	0.00538509028668022
OSCP1	0.00557490835744223
EDN3	0.00621119407732882
BABAM2	0.0073169305869812
PROSER2	0.00889787339523684
RIPK3	0.00926116528754639
EXOC3L1	0.0100367696311082
POLQ	0.011998955679119
ITIH5	0.0138199179917693
MOCOS	0.0157994726226984
TRIM31	0.0160692432292393
FASTKD3	0.0184238455306786
RAD21	0.0187847604705796
CLCN1	0.0196670729972497
MYH13	0.0197162831906497
KNSTRN	0.0197884312269887
HLA-DQB1	0.0210839488208083
C15orf48	0.0218945958798736
TSNAXIP1	0.0225266513929533
TTC21B	0.0227787006182857
ASPSCR1	0.0231742339952589
MFSD9	0.0235435658953531
NME8	0.0238724270120409
TRPM4	0.0244666504160878
USF3	0.0289414239797405
FAM173B	0.0299284346814272
GRTP1	0.0328332344736644
GOLGA6C	0.0339031418151572
BCAS3	0.0364900646112434
SLC22A10	0.03761749403902
MUC12	0.0393575341538752
TOR3A	0.0394394841163719
ZNF772	0.0429406951147616
PTK6	0.0432554952278948
ZNF181	0.0457628431734013
ZNF528	0.0464080332870203
SEC31B	0.0466156951227708
C10orf91	0.0467555566080887
FEZF2	0.0472545060640747
TRIOBP	0.0488789523161037
IL36B	0.0512154768274784
MAP3K19	0.0516035083519841
IFIH1	0.0522296957783898
NBPF3	0.0522917830232745
CFAP57	0.0532309919350422
KALRN	0.0539591863811324
FLG	0.0551916373866452
NDUFA5	0.0563984793727463
CRNKL1	0.0564060185921237
TTLL10	0.0573384475428848
CCDC175	0.0579787248293632
KRT76	0.0580532317598269
CELSR2	0.060873663838128
RAD52	0.0612096620315957
IFNA5	0.0617250153957578
MFSD12	0.0621901131072919
ENDOG	0.062820007352281
C1orf116	0.0629221249005106
VWA3A	0.0631009758230668
ERMARD	0.0632738826294409
EXTL1	0.0641778844363096
KSR1	0.0652958220315602
M1AP	0.0658279694754122
SKP1	0.0668405675574946
GH2	0.0672479361170479
NTHL1	0.06791285269395
SLC22A25	0.0697498598265156
CAPN14	0.073693495482099
ENPEP	0.0739109652447081
PPP2R2C	0.0739963228025017
PKHD1	0.0749307607327578
SERPINB4	0.0770774951892992
TMEM249	0.0785990281074008
SEC14L5	0.0837801138387547
GTF2F1	0.0842769901212532
OBSCN	0.0878375281730461
APBA3	0.0887835512796861
ETAA1	0.0903285507258265
