gene_name	p_value
TMEM161A	0.002821085464491
BABAM2	0.00484768761322286
POLQ	0.00504259252118157
FAM173B	0.00557491017450616
C15orf48	0.00709463385167119
RAD52	0.00801390466416203
IFNA5	0.00824853819081739
TRPM4	0.0100029928325158
ITIH5	0.0105979833002926
USF3	0.0110530990821244
ULK3	0.0112819916105145
OSCP1	0.012433332418775
ZNF506	0.0143752844385107
GOLGA6C	0.0154840021342181
RIPK3	0.015517813239104
ASPSCR1	0.0179841889294958
ZNF181	0.018049327687373
BTN3A3	0.0189789117489192
PROSER2	0.0191404603527916
MOCOS	0.0204682679909383
MCM3	0.0207998332657614
C1orf123	0.0216263180589609
CELSR2	0.0226990108120401
FLG	0.0238802753157348
MYH13	0.0269002420312205
NTHL1	0.0278396793812462
ARFIP1	0.0314508290203619
TTC21B	0.0317840626207141
BCAS3	0.032729108061769
EXOC3L1	0.0337402736134356
APOB	0.035673277005299
ERMARD	0.0363036374211507
EDN3	0.0364975911132495
FASTKD3	0.039185555896994
GH2	0.0410195109238194
NUDT8	0.0418701093430569
ABCC11	0.0428790033475398
MYO15B	0.0438466664641146
TTLL10	0.0449346223853992
CDC7	0.0469171932047942
ADAM15	0.047790169861292
C10orf91	0.0484936057141795
CLCN1	0.0488732252768559
DNAH14	0.0488777275039648
PDE11A	0.0501868850706736
CCDC175	0.0508074308181349
ZNF862	0.0515478426600204
MFSD9	0.0515645529904871
HLA-DQB1	0.0539535284178938
TSNAXIP1	0.0594616120118873
ZNF528	0.059684569344262
SLC22A25	0.0610936700456799
APBA3	0.0613448233784797
PNPLA7	0.0616300174418146
NUDT16L1	0.0627716409097727
KSR1	0.064618979942301
FEZF2	0.0662119456621789
IRAK2	0.0675706528103874
MUC12	0.0721349236912958
SLC26A6	0.0724309698226921
CRNKL1	0.0727757645501872
DNAH2	0.0743418753900349
GHDC	0.0743857196300953
PKD1L2	0.0758916812120718
ENPEP	0.0802241036518426
MAPK8IP1	0.0807105777727556
ITGAE	0.0823089244855212
DNAJB7	0.083274778690928
COL6A3	0.0834326905707751
EXTL1	0.0846393332201022
SEC31B	0.0849575827247079
RECQL	0.0873837207087919
IL36B	0.0877277306326946
NME8	0.0880386653596613
KLC3	0.0897857720908154
GSG1	0.092547152481441
M1AP	0.0925476652285021
C1orf116	0.0929768733363208
WDR97	0.0952855745678053
COL14A1	0.0985045857638025
DNM3OS	0.0999782214191923
ZNF534	0.0999843116469812
MED19	0.100377498033828
TRIOBP	0.101202402053082
TOR3A	0.102031926561021
PTK6	0.102615348360181
VWA3A	0.102804737642542
MAP3K19	0.10312873447788
SLC22A10	0.104251837944153
PKHD1	0.106020490724819
PDCD1LG2	0.106444507166731
POLM	0.107042252344721
KALRN	0.108330236531557
RNF13	0.109398720959905
VPS9D1	0.110730386902681
CCHCR1	0.111818917100147
ELAVL3	0.112420013679186
ENDOG	0.112479541091464
ZNF543	0.112603988455237
ADGRE3	0.112664354978581
CD177	0.113043944246606
NBPF3	0.113050394171283
LPA	0.116272255436979
SFXN3	0.116286018247236
LAMA5	0.116505845380513
SKP1	0.118745731403217
CD1B	0.119176221558984
CAPN14	0.120187243468487
BTBD16	0.120323316678038
ARHGAP40	0.120863398141242
NPVF	0.121066200073383
LMNTD1	0.121193628251652
KNSTRN	0.122446305100476
MROH2B	0.123296790095861
OR3A1	0.12442301813257
GTF2F1	0.124691975062348
OBSCN	0.125581456426061
TTN	0.127378158183234
RGS14	0.128620119018048
TMEM249	0.128620606699325
FAM221A	0.129627097839127
CUBN	0.131271796716509
COL6A5	0.13414839819709
GRTP1	0.134257189043952
ZNF215	0.135822730600457
KRT76	0.138927155553199
ADGRE2	0.139395835100896
SBF2	0.14073246578668
TPRG1L	0.142922852421729
OBSL1	0.143696103571472
SMYD5	0.145639932398522
VPS33A	0.147656795742628
IFNL2	0.147838184606928
CPA4	0.148327490201516
KRT40	0.153955893648124
MIDN	0.154204738350618
CWH43	0.156937253338743
KIAA0930	0.158538130985809
TSPAN4	0.15950881838122
NDUFA5	0.1609371041765
ZNF772	0.162600298404008
PTPRH	0.163787764755933
LOC101928841	0.164368067521615
ALOX15	0.16817615704106
GAL3ST2	0.169108344578781
SETD1B	0.169453455708974
POSTN	0.171142525516498
PVR	0.17270103203715
MROH6	0.173222149161221
APIP	0.173337064234177
DNAJB1	0.174173080719322
DMGDH	0.175503896580567
B4GALNT2	0.176375671380469
SLC16A8	0.176863799336238
DDX60L	0.177047784710418
ZNF563	0.177092158531593
RAD21	0.178617365236127
ZNF77	0.179495439835143
SRRD	0.180687025273759
LEXM	0.182246327735739
PPP2R2C	0.18321130469284
DNAH8	0.184419127740348
CCDC168	0.185238187362852
MKL1	0.185966033102868
LAMA3	0.187162223562214
TECRL	0.1891919388543
SEC14L5	0.189363020777906
MYOC	0.190750060558035
TRIM35	0.195374851493329
TTC3	0.197725011451171
ZNF831	0.197941127946796
PAPLN	0.198402870595243
GZMM	0.199228495270537
AXDND1	0.199287432501064
TPD52L3	0.200372868787168
CFAP57	0.20332528934164
IRAK3	0.20438247485694
ZBTB4	0.207236382944254
OR4D10	0.210100328033487
MFSD12	0.212694675159497
RTTN	0.213008642020653
ASCL3	0.214153647797815
SPATA33	0.21734064219741
CCDC87	0.217802900751465
SDCBP2	0.219284877152326
PACRGL	0.220104789421286
TLR10	0.220995618957039
OR2T5	0.223473176741322
LFNG	0.224471128485944
HEATR5A	0.225864091642546
HLA-G	0.227584216398553
CNGB3	0.227780257129115
ABCC3	0.22877834493257
MIA2	0.231711262923224
ANGPTL6	0.232020948888273
CXCL6	0.232950744655597
CEP290	0.233841360036192
ITPR3	0.234125410994971
SWI5	0.235177944892265
MINK1	0.235805956024624
C1QTNF8	0.236428133324141
SIRPG	0.237218592231094
KRTAP29-1	0.23760397754552
TUBD1	0.238663998903035
TRIM31	0.239534555077934
COL11A2	0.239781118607864
SPNS3	0.242237441329334
HGFAC	0.242656234916828
CSH2	0.242664715420348
C1orf141	0.24333724788966
ASB15	0.245978118043066
GPR151	0.250033519267421
C10orf53	0.251441762541095
KIAA1328	0.251747939720104
TRPM1	0.252083191208631
SERPINB4	0.252397292406072
LY75	0.253295145232134
RAPGEF3	0.254334860108255
CASC1	0.254371075572331
CC2D2B	0.256845659900888
IFIH1	0.257279765981469
TTC7A	0.258665773354804
ASAH2	0.258746588697519
SCN7A	0.258928763932858
PCDHB11	0.259171119455849
DOK2	0.25941647303413
TRMT44	0.262310773145107
CRYBA4	0.262622260779072
CCDC66	0.262859684991347
ADGRF3	0.264362127202658
C2orf76	0.264637502664187
EEF1E1	0.269368050534364
ABHD12B	0.270806826618661
FCAMR	0.271480431102767
CTSW	0.273255165695662
PRDM15	0.273461144321515
ZNF774	0.273546144575929
OR51M1	0.274642165635381
MED15	0.276650560636078
IRF7	0.276765568100105
C6orf52	0.276909563242676
PTPRN2	0.27731157733502
OR4D1	0.278044194933874
ANKRD30A	0.28246157975157
BFSP1	0.282591473546581
UPB1	0.283744537591557
UCP1	0.28574653709023
HSD17B13	0.286941378534728
PPP1R3D	0.288088287042517
ABCA13	0.289701670526097
SYCE1L	0.290493692839827
CCDC18	0.291756130792349
PIGZ	0.293099777344897
OR52L1	0.293575110133865
MBP	0.294828520256297
STARD9	0.296944336617783
SKOR1	0.297292379964002
CHIA	0.297362752341843
CHP2	0.29760128699597
JAML	0.298971146154934
WASHC2A	0.300935556243996
GIMAP8	0.301802738354884
SERPINA12	0.304214273336429
ALMS1	0.304513076641856
C17orf80	0.305255987372496
KRTAP19-3	0.305617028532664
DST	0.3073078598698
INPP5B	0.308453602247041
C21orf2	0.309297116025536
ZNF599	0.310278216675023
DZANK1	0.312151679973828
MZF1	0.312958979960362
UNC13B	0.313129087010572
PTPMT1	0.313543417593574
CCDC154	0.31678912376408
PDE4DIP	0.319049506939056
AADAC	0.320355880918021
SLC4A5	0.320550292272278
GPR150	0.321777549406292
ULK4	0.323452808595562
SH3TC1	0.32610137238243
OAS1	0.326475020704059
ERCC6	0.327756393900972
RHBDD3	0.330012299574444
OR4C15	0.330759306114809
TRIM38	0.332349545422341
CES2	0.333071882226103
AMY1A	0.334107714370791
VOPP1	0.336772937777738
GMPR2	0.337966601389912
FBRSL1	0.338327883300137
KCNU1	0.338625267721666
CFHR2	0.340451025083775
SLC16A11	0.340698021567937
MYBBP1A	0.341461899123381
PLEKHG6	0.343756480228974
DPYD	0.348867402232836
CYB561D2	0.348876588983365
WDR90	0.349837352043498
GPR137B	0.3505784450662
SH2D4A	0.352419811255735
OXA1L	0.353585456619175
ARHGEF37	0.35401512592423
TMPRSS9	0.354717693217686
ZNF324B	0.357742379677477
GJB2	0.35815474278983
NIPSNAP3A	0.359326499056274
ZNF142	0.362851593619637
CCDC191	0.364682603295436
SLFNL1	0.365282680782662
SULT1C4	0.365915966539531
ABRA	0.369673493660444
HS3ST6	0.369692050309304
MSS51	0.370557526045418
ZNF680	0.371446274619815
CAPN9	0.373346194602778
TMEM150B	0.374525064323898
CNKSR1	0.375477509427823
IMMP2L	0.376759498864334
KCNAB3	0.37858314761
TPTE	0.382075642623557
BIVM-ERCC5	0.383650847029949
TOMM20L	0.384745259849032
ZNF695	0.388199630326416
SYT15	0.389762490056228
SPATA31E1	0.395002565304466
ADCK1	0.395910668657907
PCNT	0.397575603325079
ZNF440	0.398941837058294
KRT77	0.399268034078088
SLIT2	0.399966288766944
SUCLA2	0.400926078618918
TRANK1	0.405532153418673
CD36	0.406643765251798
PLA2G3	0.406662971676527
RILPL2	0.408609485160908
FCGBP	0.409410341505924
ADGRE1	0.411051475721143
PRAG1	0.411572681710252
EPPK1	0.414869588280993
IQCE	0.41508064742673
CTBP2	0.417355595022955
ATP11A	0.418482846666264
MUC4	0.420807877289401
WDR27	0.421690171923516
HABP2	0.42375399501727
KLHDC7A	0.425078160916505
ARID4A	0.425143621450002
ZC2HC1C	0.42636612758603
DNAH7	0.427336709985761
ERAP2	0.430676294815872
CCDC17	0.431201975629006
PCK2	0.433460137575038
IFT140	0.433895595924075
RECQL5	0.435162978683531
ABHD14B	0.435567496527522
GJB4	0.436486300940739
TTC33	0.436878344792626
HMCN1	0.437267925888571
LIPJ	0.438180186738961
IGFN1	0.439875777386697
STXBP2	0.440466868752407
AGMO	0.441020031711928
ABCB1	0.441131597716641
DSTYK	0.441364915744856
UPK2	0.441487182117191
LILRA2	0.443139210048718
CCDC81	0.445383907087061
CHRD	0.44590423385981
PRELID2	0.446000744895064
EPOR	0.448193275837521
ITGA10	0.448420843911432
PRPH	0.449142080621513
PTGER3	0.449160629194081
LRTOMT	0.449540433782658
ASPH	0.452143517140092
C15orf52	0.453061378349894
EFCAB6	0.453766289510067
TBP	0.454206335031329
MTHFD2L	0.454341523717562
ZFYVE26	0.45483687645827
FAM71A	0.455671318261677
SLFN12L	0.460986655595405
PHLDB1	0.461094284934818
TGFB1I1	0.461485959198111
ZNF747	0.462614760114219
CLCNKA	0.462732521170958
RPEL1	0.462745556462754
PASK	0.463075528475244
DDN	0.464098734651836
GRIFIN	0.464257240251093
TLDC2	0.464471272408444
NEB	0.466320829683963
PALM	0.467296062535775
TTC6	0.467423606521518
HYKK	0.468755332285609
ABCC6	0.469607080102676
DNHD1	0.471364926413398
OLFML2B	0.47177110746363
MAGEF1	0.472037376402086
MSR1	0.47211099818275
MMRN1	0.472512893786433
ZNHIT6	0.472519313617804
TXNDC16	0.47336717458886
SMCO1	0.474801545458019
PGK2	0.475576996059574
NOL8	0.476375162772286
ZFHX3	0.478028446486224
UNC45A	0.478667872020955
DOLK	0.478732984262102
ADCK2	0.478980670922508
TMC7	0.482162587460514
IGLL5	0.482571296778735
SLC26A10	0.483169771045787
PFAS	0.483605937120417
ACTL10	0.486176712890166
RHNO1	0.487474087524527
ZBED6CL	0.487621165495286
FAM189B	0.488317850739927
LOXL2	0.48886496918173
MEPE	0.489601775047377
MMP10	0.491660637869221
TVP23C	0.492017697039235
OR5H15	0.492408042789724
CAD	0.494858550215678
MPO	0.495747234517879
GPNMB	0.498238626594468
CEACAM7	0.498643388187629
ZC3H8	0.501293414687527
PDCD11	0.504390003738382
SDR39U1	0.504963794794183
ARHGEF38	0.507203006869657
DUOXA1	0.507813758320369
ZNF138	0.508475963961821
USP8	0.509583655203872
FAM234A	0.511803134220681
ABCA10	0.512147638153399
FAM208A	0.513525720964918
HAL	0.515402857622857
EHMT2	0.516511387327328
PPP1R3A	0.51722384673382
PADI4	0.517569274894186
SEPT10	0.518210802847353
CAPN2	0.51822099627728
C1orf53	0.519402076459669
MYH4	0.521392958067109
JMJD7-PLA2G4B	0.521526844817729
NEBL	0.52160059346344
ATP8B3	0.522536408267729
ZNF233	0.522564049946885
BMP2K	0.523084323980706
MUC16	0.524165354310788
PIK3C2G	0.526691038681383
ATP10B	0.526930720650177
CYHR1	0.527848885836785
FCRL6	0.528173019809706
C20orf96	0.528270282156583
AOX1	0.534290423963815
DBF4B	0.534938403354075
TMTC4	0.535916758223343
TAOK2	0.53671911901334
TAP1	0.537999890066571
PARP3	0.541996126544755
MAMDC4	0.543064256747334
NOXA1	0.544581222653572
GPR142	0.545781579746895
C8orf59	0.545867196727778
ENO3	0.547443660340551
CEACAM1	0.54955208427436
SPTBN5	0.549931611017048
SYNPO2	0.549950720565115
PNPLA6	0.550088777881639
ENTPD3	0.55232767428285
GPR31	0.55260323630043
UMAD1	0.552887225435189
SMLR1	0.553031807711789
C16orf74	0.553266541879252
XIRP2	0.55334513544179
OR52I2	0.554252656170168
CGN	0.55484177069028
MYO1A	0.555696439048345
TMEM261	0.556203511536772
UFSP1	0.558475187870175
CCT6B	0.559770628275837
GUCA1C	0.561095645335698
ZNF343	0.561246181068663
KCNK16	0.562986591346283
CFAP97	0.564734935427589
GCKR	0.5648334013053
TTLL6	0.564922967409619
SPHK1	0.565124635170803
LMBRD1	0.566546440874347
GBP5	0.568973970698358
RAB44	0.569176439482285
CCDC171	0.569761752134141
TMEM225B	0.57118812494769
DNAH1	0.571824443765597
C12orf80	0.572448419779045
ZNF396	0.575538445613375
POLRMT	0.578982872555042
HNRNPA1L2	0.580831653677734
CCDC30	0.581306697692938
ZNF655	0.582762345941771
LAMB4	0.582933530757175
MYBPC2	0.583957449878731
SSPO	0.585344174231435
C1orf186	0.587576214584254
CHIT1	0.588563045002485
CTC1	0.58937918064361
FBXL18	0.589811735217573
ZNF226	0.590250907555029
KRTCAP3	0.590402093733729
ITIH4	0.590404989350046
ROPN1L	0.592303232326189
TGM7	0.592975332607971
C19orf71	0.593966058461116
NCR3LG1	0.595089845965153
PPID	0.595284371789861
OR1J1	0.595358400768371
ETAA1	0.596311485662191
ACSM3	0.597194303109084
FAM111A	0.597999033678731
ZNF677	0.598573141217232
ADGRV1	0.599178419233535
PRRT3	0.600843929624003
DHRS12	0.602557968426526
CALHM2	0.602670696945061
CASP4	0.603392801333053
ROS1	0.606270492301628
DKK4	0.608044528215844
ZNF530	0.608093683607277
SLC5A4	0.610253465110426
AFG1L	0.611056474044425
AMPD3	0.612432318382714
ALPK2	0.613019149931374
CDCP2	0.613134084807048
OR5V1	0.614738335242112
PARP15	0.615104040241127
NBEAL2	0.615427666706363
CHEK2	0.615589825166558
EPX	0.615741240520256
SH3D21	0.616292740580524
GPATCH2L	0.616310458853171
OLFM4	0.617028658484635
ZBBX	0.619766225126672
KIAA0040	0.620848253092473
ORAI1	0.621891510983953
ZNF713	0.626535840512967
TOGARAM2	0.628282669539193
NT5DC3	0.628599227187102
TBRG4	0.629832053798137
MST1R	0.6305745301267
ZNF2	0.630975648632428
CCDC39	0.634966557499101
SETMAR	0.636731993367821
SEMA4B	0.638862786559043
ZFP2	0.639343723193681
NLRP12	0.640440081631226
PKHD1L1	0.641346540341782
STAU1	0.642240912079425
IGSF5	0.642323655290682
CFHR1	0.644610653319605
GCNT3	0.646588960435626
DCLRE1A	0.646918261497183
NUP188	0.647310734775111
PKD1L3	0.649084145527449
OR4D5	0.651072881535678
CYP3A5	0.652742662473849
TCHH	0.65319976289374
ATP13A4	0.654279779081006
AGAP6	0.654801922258604
ACBD7	0.658698067379824
SCARF1	0.6599591387115
ZNF778	0.661273441115601
DHCR7	0.66232335154903
GALR2	0.663001952685189
EFCAB2	0.663661764107599
ITSN2	0.663676385651512
PPT1	0.663854807360793
SLC27A6	0.663924306445866
TC2N	0.666911743443112
CHD1L	0.667050106794036
TAS1R1	0.667151995372304
IGSF10	0.667182130698902
TMEM206	0.668286645962027
FAM186A	0.668449219262963
EGFL8	0.668585358833886
SPZ1	0.669161010957239
FCGR1A	0.66926834456156
PIWIL3	0.670012654781722
CFHR5	0.671129819736765
ACOT11	0.672010330922796
CCDC178	0.672865522109835
RPS6KB2	0.672975286806847
OXR1	0.673825792711485
AUNIP	0.674288248429755
DNALI1	0.674516229641528
CLSTN2	0.675250106325534
ZNF730	0.677084178081588
CALML4	0.677668755144092
