gene_name	p_value
HHIP	0.000154623451753086
VEPH1	0.000203836907558127
HSPA12B	0.000387962076631728
WDFY3	0.000745109161937348
ZFYVE27	0.000862873260143703
TRIM73	0.000865297087957991
GIPC1	0.000938211953789718
ADAM19	0.00098015746884674
CLC	0.00119550414569817
SNAPC4	0.00120869436912844
CATSPERB	0.0012242181995154
C7orf33	0.00125624831937808
IP6K3	0.0014852165282371
GYG1	0.00157461340812808
LIPG	0.00183182817023601
MIA	0.00194153853268476
PARP16	0.00200217467943113
FZD2	0.002161686331663
PAPLN	0.0025120102837326
ABCA9	0.00256139604169285
DHX58	0.00260578556773949
GANC	0.0026611861742511
NUCB1	0.00306714886569208
RMDN2	0.0033182636784244
ZFP62	0.00344474583520097
FAT4	0.00350210313728128
NCAPG2	0.00350878001701584
VPS41	0.00351530871363796
PMPCB	0.00351800768012177
BHMG1	0.00361820516350813
CCDC152	0.00401669233330556
OPN3	0.00407774834793367
FGF10	0.00424601733302045
NAV3	0.00425690343871039
MTMR7	0.0044781871434355
PDZD8	0.00462801481684248
TPRG1	0.0046845925050361
AZU1	0.00520623486318874
FBXO17	0.00546635106721538
GINS1	0.00570714820106191
C11orf88	0.00605454905655043
CASC4	0.00628341872975438
RIMS3	0.00629176992228834
CD93	0.00643397427806383
DROSHA	0.00651969870355629
ENPP6	0.00666515551619121
PPP4R2	0.00678429093908276
IGSF8	0.00678935802336054
SERPINF2	0.00679217909339132
PNPO	0.00726975957781852
MICAL1	0.00735114288152621
FIBCD1	0.00750365188799361
ETV3L	0.0075271904722875
ZNF737	0.00757713480976889
CHRNA10	0.00764365056419617
NEDD1	0.00789554666723497
BLZF1	0.00795317570672223
SLC30A4	0.0080842993715712
OLFML3	0.00816946212120879
FKBP8	0.00824943823130391
PCDHB14	0.00827274192103792
RTN4RL1	0.00829220917048266
NDUFA5	0.00853348144776595
CYP1A2	0.0085557371988888
CHD1L	0.00894975138012809
TSPAN31	0.00902630217184099
GABRB1	0.00924295336575575
TDRKH	0.00926990936113791
CMA1	0.00939235356094339
ZMYND10	0.00941899480744149
RPS6KL1	0.00943915223060661
TRAPPC13	0.00970866940445516
NLRP12	0.00977013653021802
ZNF524	0.00982864356272278
MN1	0.00984299800291716
NEK11	0.0100417389915083
SPINT1	0.0102807540567805
NME5	0.0103242546775654
ARL11	0.0103789694663207
GJB7	0.0105078239750694
OR5B17	0.0105284183758603
CSTB	0.010701327000929
DCP1B	0.0107491142473722
TMC8	0.0107835270429334
HYDIN	0.0107966302490361
ENAM	0.0109828027740007
SLC12A3	0.0110579975476282
ISYNA1	0.0110593257634854
ACAD8	0.0111053846834141
NLN	0.0111185760483895
STK25	0.0113091223486751
SLC27A1	0.0113404561320903
ZNF729	0.0114472503693697
JMJD7	0.0115130694216928
SPSB3	0.0115538233149923
ZNF479	0.0116481277119379
C10orf82	0.0116838697066585
TNFRSF14	0.0117452407708143
NEDD4	0.0117537702363603
HPF1	0.0118837247902714
TRIP6	0.0119166153040512
ABI1	0.0119342923867027
IRX5	0.0120282958835067
PRELID2	0.0120378947435756
PIK3R5	0.0122016720783256
CHCHD2	0.0122832787555693
YIPF4	0.0123839907145769
TTC24	0.0124126862514122
PALLD	0.0125199259586475
CCK	0.0125592606172689
TTC19	0.0126552272404483
ZNF570	0.0126613634897445
CCDC136	0.0127374295201667
TPM4	0.0127617731710854
ACCSL	0.0128607195861249
UTRN	0.01290749268284
HRH4	0.0129380802028602
NXNL1	0.0129639398517253
SULT1C2	0.0129738025333665
IFT57	0.0130497497788924
SCFD2	0.0131127888359247
IFNA2	0.0132277159363577
PTGS1	0.0132999624488459
ACO2	0.0133619347598673
KAT8	0.0134440573963125
CPQ	0.0135187172302031
ELMO2	0.0136893388514822
CNTN2	0.0138044098501619
ARHGEF28	0.0139636295341238
FAM198A	0.0140599844153298
DLK2	0.0141796199712532
GTF3A	0.0142149871172421
SELENBP1	0.0142958167716563
MATN1	0.0143751176532559
PLA2G4F	0.0144512319377498
OR11H4	0.0144991023704523
ZG16B	0.0146587844437412
KIAA0368	0.0146887544434824
KRT72	0.0147878008595886
TAS2R10	0.014925989463666
GCC2	0.0151203637055213
SRA1	0.0151952391472746
POU5F1B	0.0152659335600807
OPN4	0.0153695163474653
ICA1	0.0153847878508633
TATDN1	0.0154247298203211
ETNPPL	0.0154276021901554
RIMKLA	0.0155447861821869
TAS2R3	0.0156429875679824
TMEM176B	0.0157733058055912
PLCD4	0.0158069652403878
NKX2-1	0.0159402178556644
NAGLU	0.0160996891618795
UBQLN3	0.0161336389302859
NANS	0.0161736913587924
CFTR	0.0161810436661006
TEX264	0.0162703355169949
DEFB131A	0.0163390176266292
ZNF420	0.0164046118415547
DNAI2	0.0165044229066796
OR5I1	0.0166067705691044
TYSND1	0.0166356252313698
CCDC69	0.0167309900296548
PDE4C	0.0167968418873498
ARHGAP12	0.0168208384659787
SPZ1	0.0168308568358174
SLC44A1	0.0170166136970477
