gene_name	p_value
WNK2	5.82722894552079e-05
TEX44	8.02783112867633e-05
TDRD7	0.000231160930837637
MACF1	0.000366854601074995
DBT	0.000448009484674494
GTF2IRD1	0.000491266766146747
CCSER1	0.000606216257214132
UGT2B11	0.000702836588947209
ZFP37	0.000844188022746772
EPHA10	0.000864278169530164
OR10X1	0.000897941481807774
CNDP2	0.000943460845227229
MYOCD	0.000966028884012426
BPIFC	0.00109947294377755
ZMYND10	0.00113503873606147
HGSNAT	0.00113846292824904
TRIM47	0.00122218447903555
XRN1	0.00123339486264473
KLRC4-KLRK1	0.00130780492084048
GAREM1	0.00133844860408971
SMG7	0.00149308196886233
ZNF429	0.00157859276262928
OR8K5	0.00160693781039967
ABCF2	0.00161518528126214
TMEM68	0.0017305011022789
SLC25A16	0.00180501878331529
SLCO6A1	0.00187047401994189
ATP8B3	0.00217746570887933
MFSD2B	0.00218556630387934
ITSN2	0.0022691374574072
DPPA2	0.00236731691841088
PLA2G4D	0.00239150318762904
DLX3	0.00240501489091627
ADGRG7	0.00243853286100215
ARHGAP25	0.00252026367845859
UFL1	0.00252098363082154
NBPF14	0.0025626808492708
PHF21A	0.00257890157091256
TTN	0.0026300945340848
SERPINA4	0.0027944884642398
SH3BP2	0.00279559036539789
ST8SIA4	0.00279683510521733
HMGCLL1	0.00289518364622565
MATR3	0.00293172568880484
KLHL31	0.00294339085876116
USP2	0.00317483388013862
DPYD	0.0031864842804874
FBXO15	0.00347557759292449
ITGA2	0.00352010431664906
MAP10	0.00352138513861711
USP35	0.00358860761696367
TDRD1	0.00359101432379372
HACL1	0.0036177878287732
MTHFR	0.00362945069426279
MS4A18	0.00363562894286207
PIK3R4	0.00365007288700336
MED1	0.00380777807376309
TPPP2	0.00383674522511745
C3orf52	0.00384980514928379
TMEM184C	0.00386609696656859
CFAP97	0.00388664661730287
PLAU	0.0040014591044889
ANO8	0.00402115199653541
CYB5RL	0.00417115290684322
SERPINB8	0.00436364075546647
MYO1C	0.0043737494304914
ZSCAN20	0.00444360216355943
C1QBP	0.00444458627520949
COL25A1	0.00445210652771455
ZNF266	0.00461893394526869
TBC1D5	0.00468847547868911
KLHL28	0.00473945030570666
ADGRF3	0.0047978817387383
ATAD2	0.00480404361592301
MFSD6L	0.00533692844430744
FRMD4A	0.00549169574783648
AKAP8	0.00551973005963236
KIAA2026	0.00563105785034523
IFT27	0.00581541861613755
MYOG	0.00585861176330205
TFIP11	0.00586174701817854
SLC18A3	0.00592280254813349
TINAG	0.00597701747824497
ABCC5	0.00609997370424076
DPP3	0.00610326600179811
CCDC82	0.0061105826193939
LIMS2	0.00611951110116604
DECR1	0.00616102654634576
PRDM9	0.00619493444015562
RTFDC1	0.00637469916621014
PIGQ	0.00637648308957639
MYH8	0.00637661401834644
OR6B1	0.00644316641891174
KCNK15	0.0064768788083055
SZT2	0.00652087971663162
C19orf81	0.00652160718301875
EHHADH	0.00658450994481163
MAU2	0.00658962324442355
UBXN4	0.0066235900629813
FAXC	0.00665697615861827
SAXO1	0.00665951320003699
SLC6A18	0.00697363579814037
PHACTR2	0.0069869194695954
LRRFIP1	0.007113818642141
MANSC4	0.00715568779867848
ADAMTS7	0.00724989336722859
FGF6	0.007253670237236
DCLRE1C	0.00725855272177267
FASLG	0.00733058182026373
SLC35B2	0.00736325413275107
TNFRSF10A	0.0074423437588037
PRNP	0.00746040584931529
KRT27	0.00755514311393712
RAB44	0.00771918562662943
CWC25	0.00772722692731009
CEP135	0.00788931770107881
TTC38	0.00794947641670252
ZNF716	0.0080011786231392
PRTN3	0.00800585232571549
FBXW8	0.00804634913162305
GLI2	0.00807602730072787
RAPGEF4	0.00831440477300693
SH2D1B	0.00839469600947331
LYSMD1	0.00846116758804594
SCD	0.00849916090635783
SAA2-SAA4	0.00858381812589393
RGL1	0.00866673921787553
EDRF1	0.00870222182487657
OR5AS1	0.00875235981084832
UBXN11	0.00885360836630777
FOXJ3	0.0088715607324682
TMEM108	0.00897981837896178
NTSR2	0.00899672091677706
TEAD4	0.00904115816359093
PLAT	0.0090970234142651
ADAM2	0.00924906562730277
