gene_name	p_value
ALDOB	8.78564679283045e-05
TDRD1	0.000169162334311412
TMEM108	0.000193549218821309
DBT	0.000222956526581664
SLC1A1	0.000335761163265724
ENTHD1	0.000350520809148436
MYO1C	0.000376965387949846
PXMP4	0.000389540984774839
ZC2HC1B	0.000389540984774839
DAP	0.000450875065895134
OR4N5	0.000472273369441334
CKAP4	0.000520509605522412
FGF6	0.000562465329658091
BPIFC	0.000771276086974471
HDGFL1	0.000771276439752722
TTC36	0.00101322737400411
HGSNAT	0.00112551843594122
AKAP8	0.00116943846764761
ZNF141	0.00117983598527782
ANKRD10	0.00119962854277122
PTPRC	0.00122622999521105
CNDP2	0.00125099719565669
MATR3	0.00134685299150872
SH3BP2	0.00138205107735989
NFATC2	0.00138972311418462
QSOX1	0.00141678923237987
NPBWR1	0.00153288185977174
TMEM161A	0.0015337405012793
ABCD4	0.00162195513222296
COQ10A	0.00165029964565555
CBX4	0.00165655791999808
MACF1	0.00172103506463117
ADGRA3	0.00178722842327761
FBXO30	0.00185920550421725
OR1I1	0.00189390626451501
NRCAM	0.00199765862725965
SLC18A3	0.00200643365937647
CRYBA2	0.00207931293152075
FAM20A	0.00213255262187062
BRAT1	0.0021335617113698
TNFRSF10A	0.00217134769801863
SLC44A2	0.00226959268595384
UROS	0.00238974442437201
OR4A16	0.0024330582846942
NPTN	0.00248086368640743
ABHD13	0.00250340431383578
GGH	0.00260307796936765
SLC8A1	0.00262368207609287
CCDC83	0.00271494312575193
SHOC2	0.00277304010747692
SDF4	0.0028107006655671
ABCB4	0.00291884118478514
LPIN2	0.00299751066820764
AP4B1	0.00299964392298901
C3orf52	0.00308646244234845
WDR19	0.00310445415841787
ERCC4	0.00312738719096661
PRDM10	0.00312951728197752
CSTF2T	0.00327782546152755
IFIT1	0.00336939134327185
BCO1	0.00337057767090454
B3GNT2	0.00338867133277496
CAPN11	0.00340695003303348
LIPI	0.0034650484025931
TRIM55	0.00359058531071454
SLC22A15	0.00359112437871967
CSDE1	0.00387249127752853
CCDC102A	0.00393991953486772
KLHL5	0.00394754054339042
MRPL38	0.00397628742561829
SF3B2	0.00398570306092083
SUSD5	0.0040143115425828
CTBP2	0.00412387477799281
CFAP206	0.00419063263135966
CACNB4	0.00428293546397507
NLRP11	0.00432000548648648
MYOCD	0.00438107106471908
SP140	0.00444503576195354
OR2T10	0.00449626318219676
ARHGAP15	0.00454166312148541
HNRNPUL2	0.004546767756064
RPS6KB2	0.004580804133959
TMEM222	0.00462555668574053
KRTAP9-1	0.00462977292785238
PHGDH	0.00464110810580542
CNPY4	0.00464953369737187
FAM216A	0.00471876195613885
SOWAHB	0.00475021841846679
WNK2	0.00479053528373519
ZNF709	0.0048422897228402
ZPBP2	0.00488942732861286
RUSC1	0.00492398877051314
SFMBT1	0.00499492837804005
RNF39	0.00508059132452521
GINS1	0.0051373167602845
IER5	0.00518091755460626
POM121C	0.00519984593778045
TMA16	0.00536019615245355
HOXB3	0.00536473558544637
CYSLTR2	0.00536721257676365
KCTD20	0.00539768235149551
TRIM10	0.00540315783633538
ST6GALNAC4	0.00541921186229866
ACOX1	0.00551510609462613
ZNF266	0.00577174433930716
SLC9A4	0.00578842685141157
SNCAIP	0.00580382358349341
ZNF792	0.00584189637050381
SYN3	0.0058691760496099
CFAP126	0.00591140325501244
TRIM47	0.00591363915067866
CYB5RL	0.00598295029574814
THSD1	0.00601731517405735
NUMBL	0.00604734295209441
ARHGAP25	0.00609274246122182
BPIFA1	0.00615236456968071
CMTM4	0.00615470410969354
LENG9	0.00615722260700402
GHITM	0.00620519571446387
PRSS37	0.00620838103306975
TSPYL6	0.00629527925351991
N4BP2L2	0.00639853834105009
UGT2B11	0.00651960722571909
DDOST	0.00658389774507628
CTNNAL1	0.00662033305952792
DRICH1	0.00669713449352816
CWC25	0.00670029679289674
ABCC5	0.00673963312077497
TMEM184C	0.00683751867824067
PRNP	0.00689688804438016
USP2	0.00693609002373352
CDC16	0.00704871501947169
POM121L12	0.00704909583579783
ZNF444	0.00710500727785779
DTNB	0.00711901188094177
TTC29	0.00727548901169528
PTPN6	0.00732284926368809
UBTD1	0.00733725523169815
