gene_name	p_value
CHAT	6.99604218609151e-05
MGST3	0.000142611034492339
CPPED1	0.000252277085190489
OR11H6	0.00028531886038663
NUCB1	0.000321380634172086
CCDC153	0.000328863258003742
PCDHGC5	0.000390249149182065
TRANK1	0.000451945490595351
SMG8	0.000541435268005652
EXOC7	0.000575197457735266
ZNF865	0.00060031201379962
PCDHGA7	0.000628326018047964
ARHGEF7	0.000648719459601321
MDM1	0.000699146348784763
RAB12	0.000751169462594389
OR1B1	0.000815441194439659
PNLIP	0.000854645007413946
UGT2B11	0.000860075716816122
TPBG	0.000891653831210593
PHF20L1	0.000909712372484717
METTL21A	0.000913281015486045
PEX6	0.000913667349382252
CFAP36	0.00110771004702614
MICALL1	0.00114583528694412
AMOTL1	0.00117187389809104
FGF6	0.0011982640534165
SPATS1	0.00127238437357824
XCR1	0.00127404403568854
C1orf189	0.00135517608589741
ZHX3	0.00136207512129072
SLC26A7	0.00142027952866441
TMTC3	0.0014953098380458
MRPL22	0.00162638640335622
PIK3C2B	0.00166195474764308
GREB1L	0.0016970819795481
PLLP	0.00177241771860426
SI	0.00181449246508869
TMEM67	0.00192602602596792
PIH1D1	0.00193639334227758
SNTG2	0.0020418492620744
ARHGAP28	0.00208437808867878
OR2T10	0.00208700630658143
GLT1D1	0.00216522862575663
FAH	0.00234862030589944
TK2	0.00236115849109786
IMP3	0.00247444424992815
FPGS	0.00250117200710387
TMEM220	0.00250815578150088
CHRM3	0.00251730418785123
LRRC40	0.00261940529833393
EPHX3	0.00273787088804101
EFCAB9	0.00276924800196687
UNC119	0.00279233394756218
PMS1	0.00279295157288506
OR6B3	0.00291935874705351
SH2D4A	0.00294816703620115
NNMT	0.00296328712892135
OR2T11	0.00296494894004395
SLC7A8	0.0030631816818969
PAX5	0.00308668248834998
FAM26E	0.00311543782778168
FASTKD5	0.00312565132456366
LRGUK	0.00315183838054034
FAM122A	0.00317257550122674
ZNF547	0.00318424940374018
AQP7	0.00319698925280099
ZC2HC1B	0.00324926284109361
TTC6	0.00334541454016446
ADAM10	0.00335601715949607
KRTAP5-11	0.00357233963690462
ZNF567	0.00364866471002701
TAS2R39	0.00369695244902568
USP47	0.00374543816063033
FAM110A	0.00390265409889934
SEC24B	0.00415835863870961
TRAK2	0.00419064798106428
MEF2A	0.00421400792666116
LCOR	0.00428313607421549
RFXANK	0.00436683128866788
YWHAB	0.00437529427836814
ABCD2	0.00458043351481863
DPYSL3	0.00472977947010811
SUCLA2	0.00476693287779195
SLC39A8	0.00476792952274374
RELL2	0.00477987128677027
ADGRF4	0.00478027046322971
FOXH1	0.00483396136884151
RNF123	0.00493933148313697
CLTA	0.00498619755737884
TGIF1	0.0050909072422185
ATM	0.00509109721285095
KIAA0040	0.00512004625635032
ZFPM2	0.00514033597641428
SLC6A5	0.00518794118237342
C11orf68	0.00527482464746976
LPAR6	0.005280196951438
SMAP1	0.00532258086826652
KIF6	0.00540665397302387
AIM2	0.00543379560015911
WNT8A	0.00544873917552824
LBX1	0.00565626246447293
IPO5	0.00567685729362311
CDK5R2	0.00572850636065025
CYB561D1	0.00574411257885865
SHANK2	0.00576782201897175
HAP1	0.00576798133331791
CIPC	0.00579425042649595
SMOC2	0.00580996256152944
TTLL6	0.00606466193027078
MYH10	0.00607381597575318
DNASE1L3	0.00609913387431948
PCDH9	0.00624679503785797
SIAE	0.00627423195804311
MTMR14	0.00628093822241405
CDH23	0.00637034500667633
GALT	0.0063894466348664
GKAP1	0.00639757807141039
SERPINB2	0.00641477647219824
CEMIP	0.00659860305934923
BID	0.00664303565452506
TPO	0.00664752117465739
ACLY	0.00667417701809803
UBQLN3	0.00681733001979401
COL4A4	0.0068480671159038
NT5C2	0.00687081693665159
ASPM	0.00694976471025932
EIF4G1	0.00706486794551564
DCUN1D5	0.00715237086461096
FBLIM1	0.00717317923691851
SPATS2	0.00718440424731781
GYPB	0.00722214539996446
IGSF3	0.00724252356371891
FAM90A1	0.00724309872008211
TELO2	0.00727575917473422
ANO10	0.00731627970390991
TRIM31	0.00732233872847499
EVX1	0.00733376986083656
FGFBP3	0.00740629428123796
NAALAD2	0.00752834508390421
ERCC4	0.00756706765679516
PACRG	0.00767918130749839
GNG12	0.00777055879548605
TP53	0.00777055879548605
MYO3B	0.0077903512366384
ZSCAN12	0.0080643675187847
TICAM2	0.00808920599263219
NFE2L3	0.0081206224021988
C19orf71	0.00812811900561006
FKBP9	0.00819587471399252
CDC37	0.0081972599805058
ACTN1	0.00838340740372523
GZMB	0.008414461800614
PLA2G2A	0.00844252369932329
TBRG1	0.00850102831332222
TMX3	0.00851488235607523
RAB44	0.00863295714315571
NCOA3	0.00877609770689614
NMBR	0.00878245305151204
LRRC38	0.00887924412133878
DNAJB8	0.00891736975371027
MDH1	0.00892969021376089
DIAPH3	0.00902642298219114
FAM174B	0.00903810971786168
LXN	0.00905158101508285
BORCS6	0.00912244741078105
SUN5	0.00921499590487462
IKBKE	0.00922550445189052
PNPLA7	0.0093165926492329
COLEC10	0.00943914132875723
PTK7	0.0094836490971465
NGEF	0.00958726464848814
CFAP161	0.00961228647365808
HIST1H3A	0.00961775189231751
MIER3	0.00963287949482872
NSD1	0.00964247416925701
GSTA5	0.00967916872918451
CAMK4	0.00971572271786336
TPSB2	0.00973937552405235
OR1N1	0.009847474578764
HIST1H4C	0.0099552571308229
ABCB1	0.00996064217295112
BDKRB2	0.00996599171308998
KCNB2	0.00996731328465095
NT5DC2	0.00998745063012185
GZF1	0.0100055357800066
SLC35G5	0.0100105737458784
LRCH4	0.0100276847619514
SLC26A11	0.0102266563060281
STAB2	0.0103519935224998
CCKBR	0.0103792251686946
SIGLEC12	0.0104026347823571
EXPH5	0.0104501957133427
AQP5	0.0105087239735397
FAM184A	0.010588724549949
UGDH	0.0107121013550614
PDE12	0.0108817852163031
MS4A4A	0.0109286944127056
ADAM2	0.0109570369475601
KANSL1	0.0109664925701872
PHLDB3	0.0109822407803297
DHX38	0.0111240186801688
TTC29	0.0111446168902914
CEACAM21	0.011299730352205
CLCA4	0.0113954795211667
ZNF703	0.011528092706479
XPOT	0.0117616314916446
FAAH	0.0118088628862116
LRIG3	0.0118299753297332
TRIM50	0.0118435431114342
AASDH	0.011982954288367
CENPP	0.0119881946217392
NACA2	0.0120300494110084
WFDC11	0.0120366785149706
KLF3	0.0120605755054772
PARP4	0.012094775785505
MKL2	0.0121109538463855
FCGR1A	0.0121682954557031
SLC2A4	0.0121763697365604
C20orf202	0.0123016117875225
AK9	0.0124666723312131
SAMD11	0.0125077513666695
PCBP3	0.012646472950951
SLC18B1	0.0127156240242621
OCIAD2	0.0127725261002327
POMGNT2	0.0128318489904915
TTLL8	0.012890717937308
SIGLEC1	0.0129540503736192
MMP15	0.0130024788595817
TEX2	0.0131086355460286
ZBTB20	0.0132030201536749
TNKS	0.0132689587405715
SLC45A2	0.0132761040642816
PPP5C	0.0133317722503233
KRTAP10-12	0.0133919500419679
ZNF548	0.0134233676008831
ANKRD55	0.0134496118911011
YAE1D1	0.0134549527129237
CD2BP2	0.0134883359668625
HMG20A	0.0135499454706407
MINOS1	0.0136056929096484
NAA30	0.0136187182656026
C3orf52	0.0137026530851793
TPK1	0.014017665279029
RHPN2	0.014018917901771
AFM	0.0141136918456504
MFSD2A	0.014188544694977
TEX43	0.0141972275624613
CMKLR1	0.0142258388523723
P3H2	0.0143205673123081
