gene_name	p_value
TNFAIP2	0.000411199856315283
FBXO38	0.000504152395819794
FCGR1A	0.000729450414302625
BRIP1	0.00113952973146465
TGOLN2	0.00120245542627666
UGT2A1	0.00142875906379711
ATM	0.0015784685438649
LRRC38	0.00166805924958469
IFT140	0.00168531557403953
OLFM4	0.00179383605652727
PLCG2	0.00180987667573663
ACTRT3	0.00181328358820785
TREML1	0.002022597828502
SEMA6A	0.00205817813106173
GPR158	0.00212707627819295
DZIP1L	0.00243100080835923
STOML1	0.00247287828776364
HSD17B1	0.00251950350693071
GPR75	0.00255733931525601
LDLR	0.0025575180841189
MMP27	0.00271976406945205
SCIN	0.00276420547648713
SRFBP1	0.00276849728919091
PLXDC2	0.00276987243568899
CD8B	0.00277690260389869
MALRD1	0.00279042638038496
ABCC11	0.00313513387501469
C17orf102	0.00321665930570746
RAB32	0.00324452890926491
SCNN1D	0.00327611345826607
PAF1	0.00328354075106234
CNBD2	0.00342971429119139
CCDC141	0.00364595860090871
TECPR2	0.00372869797914373
WFDC8	0.00397413323498041
HIF3A	0.00412107807047006
IMPDH1	0.00419785735706974
PCDHGC5	0.00420676050320563
CDHR2	0.00424764612844889
DHODH	0.00426514798535521
ZNF781	0.0042903636906899
FH	0.00429603025473322
ANKRD31	0.00430406498291416
RNASEH2A	0.00437856785697704
RAVER2	0.00441554129753829
PLCH2	0.00445624627107265
PRSS36	0.00449561321926397
NT5C1A	0.00457291460897483
PIP5K1C	0.00476223759507252
WNT5B	0.00486604082972763
CD6	0.00516338423423069
EFCAB7	0.0053976987905933
FBXO7	0.00540626110358851
GNAS	0.00542609025987298
NDE1	0.0058770000178634
CACNA1G	0.00593983050249066
MINDY4	0.00595799781746281
COL27A1	0.00608891349034147
RBFOX1	0.0062776714930942
NTN3	0.00645449915054653
ANKRD54	0.00670562713663708
CLEC4M	0.00692339956448852
LOC729159	0.00698478508241978
NAGLU	0.00701249154005049
TIGD6	0.00718035045468505
FREM2	0.00718704576308205
SHOX2	0.00724280871540554
ADAM17	0.0073351051164254
OR13F1	0.00738605193040266
PLCL2	0.00739414466692722
COCH	0.00744749285569696
SEMA3F	0.00758269307014339
SH2D5	0.00761389560383373
CTDP1	0.00762085678948779
FGFR3	0.00766621560955837
AAGAB	0.00773850291144506
RAG1	0.00783573109210715
PSG4	0.00797908837144467
ZWILCH	0.00814580162772013
SLCO5A1	0.00820391222837184
NUTM2F	0.00822090558953908
RREB1	0.0084273127330202
GRAMD1B	0.00843195713409392
ACSM2A	0.00860271695835045
PAK5	0.00897851653255985
LCMT1	0.00920234245469663
MTHFSD	0.00939251826739479
ZFYVE21	0.00947908059922446
TRIM49	0.0095004287332334
GCNT3	0.00950456814701092
ROBO3	0.00971487217127423
EMC1	0.00981007524411884
ERCC2	0.00981186223549763
ZFP1	0.00995974488226952
HLA-DRB1	0.0100969606024825
IL2RA	0.0101405878953827
B4GALT3	0.0101595858849234
C1orf189	0.0102554542167485
MMP14	0.0102870666094495
KLHL18	0.0104815318981331
SI	0.0105872175535301
NOSTRIN	0.0106605184626922
PDZD7	0.0107340841463175
TTC38	0.0108151720902613
ACTR8	0.0108338991732314
CCNG1	0.0109041697485117
FRAS1	0.0109739012443966
MLC1	0.0110434104755916
ICE2	0.0110684142931958
ILDR2	0.0111836393736996
CLCC1	0.0112076932373272
TCHP	0.0112400763656053
PKD1	0.0112812357197807
TPD52L1	0.0113018890226992
TMEM53	0.0115263974094242
IFI27	0.0118341884023726
MORC3	0.0118847165051559
RFX4	0.0119684669885619
ATP10B	0.0121118473149174
PILRA	0.0121551268966109
TTC23	0.0122920213244529
RABL6	0.0122953521950898
WSB2	0.0123271137648136
DNAH3	0.0123897804316149
RRM2B	0.0126494019153124
SEZ6L	0.0126798370389337
MFSD6L	0.0127927602217622
FGD2	0.0128120585729283
KCNIP3	0.0128284436148841
ACTR5	0.0128699197629685
USP44	0.0129579878347169
BSDC1	0.0129761766195951
PSMG4	0.0129819564918791
GEMIN5	0.0130821326803431
SDCCAG3	0.0131125982787292
FPGS	0.013314791436359
CAND2	0.0133263340767068
ZNF548	0.0133330628676689
CAD	0.0134011089882346
ZNF469	0.0134163207892662
CDH2	0.0134272061499785
ZSWIM5	0.0134488655963013
SUOX	0.0136686217439925
RFXANK	0.0137435123047205
CDH23	0.0137692806826026
OR8K1	0.0138781387249921
SCN1B	0.0138884610989086
PCDHA4	0.0139111718020863
VHL	0.0140497432064671
AIM2	0.0140763816289692
SULT1B1	0.0142820070777901
ATP6V0A2	0.0143261976034613
KRT77	0.0143444134877506
BTBD19	0.0144150243616267
PXYLP1	0.0145408534264066
MICU1	0.0145487340355627
KLHL29	0.0145740691588642
FBXW4	0.0146453353278375
ANO9	0.0146900740235136
IGFLR1	0.0148201178147436
MLLT6	0.0148203991987902
SLC38A4	0.0148854706105693
CACNA1B	0.0149999090026739
TMX3	0.0151334590399338
GZF1	0.0151382515161188
VDAC2	0.0152612294605128
PALB2	0.0152718748563367
TRMT61A	0.0152779792022352
FZD10	0.0153787719511745
ZNF584	0.0154515901996997
GALC	0.0154642451563245
SEMG2	0.0155234645879433
EID2	0.0156143194439004
MAP1S	0.015725632108028
INS-IGF2	0.015887744636294
PRR3	0.0159347507551237
C6orf47	0.0159638972611329
HAPLN4	0.0161051009887563
ANK3	0.0162710798753675
TMEM129	0.0163119772699957
HRNR	0.0163692404967508
APOBEC3B	0.0166048586599424
CCL15	0.0166451795569686
PAPOLG	0.016994169977073
GNPAT	0.0170435009309352
CA9	0.017089447752132
STK32C	0.0170991118568687
TTLL7	0.0172033025709448
ZDHHC11B	0.0173178541164999
TSTA3	0.0174048377302838
NTN1	0.0175410962347425
AMBP	0.0176434578262304
ACSF2	0.0177917994466176
CANX	0.0179313327490511
USP29	0.0179856878970245
CPNE6	0.0180322736671807
TBC1D10B	0.0180718340035165
HIST3H3	0.0180730033978998
ANLN	0.0180988164073051
TMEM186	0.0181719148476517
TMEM125	0.018253363754088
ACADS	0.0183309544529131
AGA	0.0183775329038055
IRGM	0.0184589511468263
E2F3	0.0185252081967264
GPD2	0.0185391052205436
CRYBG2	0.0185627952819674
GGCT	0.0185969956415432
HSPA2	0.018772754737153
ABCC6	0.0188110761992587
TMEM198	0.0188644369029066
CACNB2	0.0189836755472201
CLHC1	0.0190855089648426
TGFBR3	0.019187239279347
STPG3	0.0191916239491785
ANXA2R	0.0192172686483597
EVI2A	0.0192246948881112
SOCS6	0.0192831594123553
HMGB1	0.0193008678163267
KLF9	0.0194944374102021
ZNF561	0.0195742603079104
PEX19	0.0196288749135445
GTSE1	0.0196312100716919
NSUN7	0.019677759336838
PBRM1	0.0197200249989787
ITGA2B	0.0198271136440981
NAGS	0.0198360016487912
SLC19A2	0.0198565229841692
SYT12	0.0200549712429756
EHD4	0.0200836053199924
DUSP13	0.0201104621985847
PEX5L	0.0201126569531483
RNASE4	0.0201510980482254
TRRAP	0.020167153221198
RBMXL1	0.0201711727794308
SLC43A1	0.0201990208057664
PNPLA7	0.0204046011535543
POLDIP3	0.0204491656723757
SLC16A1	0.0204600232273703
PSMB8	0.0205636726747725
FUBP3	0.0206589173457515
SMO	0.0207300652656339
LRWD1	0.0207314840397239
NOP10	0.0211724058896244
CLASP2	0.0212637781646658
CEACAM21	0.0213701156058811
MYO3B	0.0214386892574567
RAB3B	0.0215599667984493
MRGPRG	0.021653774751872
C3orf35	0.0216910698283708
EPB41L4A	0.0217461946077718
PGLYRP2	0.0217684776788955
AGTR1	0.0218197299884292
CCR3	0.0218979948408376
EAPP	0.0219631610792372
ORM1	0.0219635753096637
CNPY4	0.0219767006741151
TXLNB	0.022190130036698
BOLL	0.0222066655075657
CNNM3	0.0223925471874486
CYP19A1	0.0225377579898535
TMEM51	0.0226201900396168
DCST2	0.0229517662442931
LPL	0.0230435156397284
LAMTOR4	0.0231611665419394
TSHZ3	0.0232062615369378
PCDH9	0.0232182573024415
ALS2CL	0.0232269231037283
INHBE	0.0232628276329995
STXBP5	0.0233156491749076
CD33	0.0233481652074593
PQLC2L	0.0234779416427245
ROS1	0.0235677856184876
KCNIP1	0.0237149345941668
GALNT15	0.0239639117180308
PTPRH	0.0241092047194465
RANBP3	0.0241343077253296
OR4A5	0.0241671797818333
ZFP14	0.0241898119934892
CLVS1	0.0241934084975577
ZNF655	0.0242399664604081
RRP7A	0.0243014262442568
GATB	0.0243573531811865
LMBR1L	0.0243590906980259
MT1M	0.0244267569512403
MRPL2	0.0244636070304095
DEAF1	0.0245247636502164
CCDC97	0.0245886547419913
CBX7	0.0246505117140401
PEG10	0.0246803672701122
GUF1	0.0248114765318503
ARHGEF16	0.0248496819663433
RASD1	0.0248719049915726
SLC9A1	0.0248719049915726
TTC26	0.0249276415524796
RASL12	0.0251357535519862
CCDC32	0.0254158455726081
CENPV	0.0254518937455294
ZNF395	0.0254821243315152
FBRS	0.0254864843392698
IGFBP1	0.0254964529659462
ZNF689	0.0255650711247828
TWISTNB	0.0255680899025181
CHD9	0.0258976761192769
G3BP2	0.0259793605014491
PHC3	0.0259997217255705
PRG4	0.0260711588350439
THNSL2	0.0261015259039322
MAP3K1	0.0262190441203851
BTBD3	0.0262753746225075
TAAR2	0.0263032894257902
DSEL	0.0263302718063398
KRTAP4-6	0.0263337580190999
PKD1L2	0.02645664021822
ADNP2	0.0264702772135541
UPF2	0.026475982213173
FAM160A1	0.0266755478712263
ZNRF4	0.0267127810868594
NRIP2	0.0267652272444666
STARD3	0.0268150406086941
ADARB2	0.0268338155288847
CDCA7L	0.026899917408161
CADM3	0.0269578492041819
ZNF665	0.0270599208316888
TUT1	0.0272150839574699
GLIS1	0.0272535082041882
LIPG	0.0272648568278769
CLPX	0.0273262805229862
NOA1	0.0273998519967735
VIPR2	0.0274681834876217
TMEM218	0.0275028484994797
TMEM191B	0.0277663158523258
ENKUR	0.0278158460252066
CTSK	0.0278277397636213
EEF1D	0.0278813355036779
DSCAML1	0.0278957786808091
TMEM140	0.0279214291174659
KLK7	0.0279705859305441
RBM34	0.0280502067641766
FER1L6	0.028057156712968
PF4V1	0.0280658558262799
ZNF80	0.0281085876516313
ESRP2	0.0281979509070757
TUBA8	0.028214967591455
TAPT1	0.0283422063548174
PTPN18	0.0286277502672977
CYP2A13	0.0286787791674072
PMVK	0.0286928716928363
ZNF512	0.028800014696014
CMA1	0.0288986174128588
USP14	0.0290085065244501
BZW2	0.0290227592366383
MVD	0.029039676070173
TPD52L2	0.029121690411961
ILDR1	0.0292194100692
ANGPTL4	0.0292286636908782
MYH4	0.0293409764255245
MAGI1	0.0294369890709073
CPPED1	0.0294387798818104
ADGRG5	0.0294734823702995
COQ9	0.0294797399274429
ANKRD35	0.0294840539810379
TBX5	0.0295050178597724
SALL3	0.029519555418847
TUBB6	0.0297224360183997
ROCK1	0.0297741272917765
KIF14	0.0298946750825031
FASTKD5	0.0299785497140816
BDKRB2	0.0300371311519478
FYTTD1	0.0301201441721219
CHD8	0.0301450227663967
DUOX2	0.0302700943481568
FAM19A1	0.0302773172575996
EPHA5	0.0302870201709515
GOLT1A	0.0303508360714262
STK11	0.0303658964579487
CACNA2D2	0.0303978879081289
GMPR2	0.0304492153291911
IL24	0.0304693838975878
AIRE	0.0306662218218715
GPR22	0.0306788415300431
TRIM55	0.0307204517904955
SLC25A13	0.0307428295122856
ZBTB14	0.0308796977017612
KLK10	0.0309860959958775
MLLT1	0.0309871706653533
ITGA6	0.0311123671984453
ZNF778	0.0311244268987149
EXPH5	0.0311341140957457
LAMC2	0.0312380971372527
IQCB1	0.0312704119749313
ZSCAN32	0.0312815068829344
MAGEF1	0.0313179231153826
MRPL54	0.0314017889515634
SLC35B4	0.0314893456288854
CDS1	0.0315969762808277
ARHGEF15	0.0316734689001861
NUDCD3	0.0318152228982158
EREG	0.0319278883193758
CEP152	0.0319988885942062
POSTN	0.0320003173426237
RTKN2	0.0321442133871301
CAGE1	0.0322729535685078
DHH	0.0323079126079572
EFCC1	0.0323503897751234
UAP1L1	0.0323679486124419
MEOX1	0.0324640297103809
GHR	0.0328968673417599
RCCD1	0.0329483382114027
UQCRC1	0.0330605278760245
MSH4	0.0330750112699879
DUT	0.0330796185434706
ZPLD1	0.0331468499160833
VAMP1	0.0331726675539924
MAD1L1	0.0332444408146942
LUM	0.0332588649071626
POM121C	0.0333304591677782
FAH	0.0333342412513785
CACHD1	0.0333771830619915
MEIS2	0.0334311516701757
HIF1A	0.0335542613174979
FADS6	0.0335718823130531
OR1K1	0.0336478753591427
CCDC88C	0.0339757942219547
MTNR1B	0.0340647137429855
TNFRSF8	0.03412137434083
RIPPLY3	0.0343363893062259
TRABD2B	0.0344179097434712
MCTP1	0.034505043303907
PINK1	0.0345653527186667
DNAJB7	0.034587212937661
CACFD1	0.0346180151970923
MNT	0.0347002353021367
CC2D2A	0.0347147104835359
PDZD8	0.0347730097982807
C3orf70	0.0351830171347539
NUTM2G	0.0352217464205102
OR52E2	0.0352906726197959
SH3BP4	0.0353383806355751
AQP3	0.0353413009524123
STK40	0.0353816862520456
UGT1A7	0.0353995547168156
DUS2	0.0354426949439875
GTF2B	0.0355026346412314
PADI2	0.0355132272126143
CFHR1	0.0355363661160551
MS4A10	0.0356743354050703
IPMK	0.0357956797039455
NMNAT1	0.0358039061125965
DVL1	0.0358176305221677
FABP7	0.0358582702799837
SCRT2	0.0358741947076096
KCNS2	0.0359259166938771
UBE2C	0.0359300503497671
EIF6	0.0359370363347302
MLLT3	0.036015517197996
CCT6B	0.0360818540644518
FERMT1	0.0362355079723667
PPM1A	0.0362548652801525
AMOTL1	0.0362651445012245
TBC1D22B	0.0364626686924719
NOTCH1	0.0365106482344466
HMX3	0.0365587631525499
CFB	0.0365792096650727
SERGEF	0.0365944248342686
DECR1	0.0366694747448564
TRDN	0.0367016632023614
PRR27	0.0368017695988096
TMEM230	0.0368116464224768
PPHLN1	0.0368174267674138
C21orf59-TCP10L	0.0368325449010055
PSPN	0.0369571971895626
LRRC7	0.0369947030571372
EXOSC4	0.0370337711998754
EIF4G1	0.0370339079773538
OAS1	0.037044674444046
HTD2	0.0370954607375276
SMG8	0.0371250053621942
ATF7IP	0.037406528645899
TTC34	0.0374249216532599
SPTLC3	0.0374950814242786
MXI1	0.0375603136004798
ALDH3A2	0.0375969137335478
NKX2-5	0.0376242381247232
ZNF33A	0.0377264145954829
NTSR2	0.0377394484217541
C2orf81	0.0378221874536452
HIST1H2BN	0.0378782783880337
PANX2	0.0379623158632109
OR2T3	0.0380101461741494
DENND2C	0.0382491746480064
EHBP1L1	0.0383474571782268
VASN	0.0383885655364124
CHRM3	0.0384749148293887
SETD1B	0.0384895451540907
MYH6	0.038612589923245
PTPRU	0.0387101226372631
CYP27B1	0.0387407482230146
ITGA5	0.0387691082609219
NKX3-1	0.0389135919132098
TMPRSS11D	0.0389230379187072
CLSTN3	0.0389480909382482
SNRNP35	0.0389841334252461
SLC38A8	0.0390288126700875
ZMYM5	0.0390337789319629
ACOX2	0.0390351125944944
CACNA1C	0.0390646566679114
TBC1D22A	0.0394128132952386
RGP1	0.0394554105294674
NAGK	0.0394887374621808
SLC25A39	0.0395006257917705
NYAP1	0.0396054777756201
TMTC1	0.0396385822027931
PARP4	0.0396948948425369
FABP1	0.0396949632263582
PLCD4	0.0397660766251893
TMEM30A	0.0397668323925668
CFAP36	0.0398311982383442
CAPN2	0.0398679811497652
SLC13A5	0.0398719146348127
BHLHE22	0.0399000160734771
MAML3	0.0399436403662701
TUBD1	0.0400468524215611
EGFR	0.0400833735489438
SUCLA2	0.0401130318330156
PLXNC1	0.040266678745662
POLR3C	0.0403848889114746
FSTL5	0.0404876561173434
ADSL	0.0405964426363514
KIF21B	0.0408397773406187
MFAP2	0.0409047932547164
MMP9	0.040990961687087
C10orf111	0.0410266006771555
PCDH1	0.0411215945487955
USP45	0.0411229621402041
FNDC1	0.0411266402717561
MTCL1	0.041173504957207
NHSL1	0.0411834308365294
RNF139	0.0412058302694291
UGT1A10	0.0413392628249099
IRAK4	0.0413731573954317
CYTIP	0.0414627841396644
APAF1	0.0415062967914483
FKBP8	0.0415699434455343
ATG14	0.0415845315692798
DIRC2	0.0416225265508365
ZNHIT2	0.0418106738621769
SCRN1	0.0419528879890266
CXCL6	0.0420535777879807
CSF2RB	0.0421623520118736
COX19	0.0421912947651581
PBXIP1	0.042257169295091
TWF2	0.0424671162873909
SERTAD4	0.04254493250956
PRPS1L1	0.0427139117557861
MYCL	0.0427336885769914
DIAPH3	0.0428284451198787
ABCG8	0.0428759849978527
KCNK6	0.0429234650256429
ASCL1	0.0429349137146067
PSMD5	0.043004611682351
NOS1	0.0430626345584599
NMNAT2	0.0430699994634276
PLA2G3	0.043097854205627
GFAP	0.0431664334936311
CP	0.0432157926673161
RBBP6	0.0432366594907623
P2RY6	0.0432455443980656
ICAM3	0.0432707717219279
BEND6	0.0433614074550103
UMPS	0.0434896786133889
ACSM2B	0.0435584317842654
GPS1	0.0435731311124579
WDR47	0.043593293676349
TXNDC16	0.0437240989354164
PYCR3	0.0437392451163687
HPGDS	0.0437686176245905
MYCBPAP	0.0438741257554245
KRI1	0.0439835374988587
FZD5	0.0440434920762944
DYNC2H1	0.0440661719146932
ADAM18	0.0441148811733669
PLA2G2D	0.0442002366797247
ZNF747	0.0442198730477561
ABI3	0.0446777077702009
MIIP	0.0447717628531964
MARCH9	0.044846537863447
PRR15	0.0449652961377627
DUOXA1	0.0450190917253356
SLC44A1	0.0450296504606316
DNASE1L3	0.0450724002689655
TRIM4	0.0451375108524287
UCHL1	0.0451535263587342
NAA30	0.0451933708299765
OR9K2	0.0452161110496704
ST8SIA2	0.0452647767975783
SPATA4	0.04527169849992
CSTB	0.0452758728368318
ZNF593	0.0453097746467284
APBA3	0.0453209777284894
