gene_name	p_value
GLB1L2	9.72389717008859e-05
CASZ1	0.000204720666483027
ZNF860	0.000221033709343676
LILRB5	0.00030781661339585
ANGPTL1	0.000390704412493448
MX2	0.000540941377200732
SLC12A7	0.000564536520570758
LILRA1	0.000583698916781006
TCTE1	0.00059151469213703
CLU	0.000710506761374297
FCHO1	0.000767549855396732
SPATA5	0.000822397704659306
MORN4	0.000973910394378552
DPP6	0.00113617037277314
PI3	0.00116529426058321
LMAN1	0.00117290287329164
CDNF	0.00124057430493629
GABBR2	0.00124057430493629
AAAS	0.0012990178986656
NACAD	0.00135096442336757
CENPF	0.00146423898321113
ZNF132	0.00148095685239669
MFAP3L	0.00149349005314858
B3GNT4	0.00152436112360477
PADI4	0.00156995826785122
LMLN	0.00176041101621693
PIK3IP1	0.00176478419395076
TOM1L2	0.0018188797360762
CARF	0.00186725266575638
UGT1A7	0.00193230764664898
SDCCAG8	0.00193282935996331
ALDH5A1	0.00196869213309236
SLTM	0.00205682808330254
BCL2L12	0.00225649238844827
ZNF775	0.00229006780964169
AIFM3	0.00231428018424895
CCDC196	0.00232900708916384
MOB3C	0.00240534887203636
CYP21A2	0.00243103845788328
KDM5B	0.00261524147694259
B4GALT2	0.00275223734250674
ANAPC5	0.00275251837084101
SF3B2	0.00277817643429212
OVCH2	0.0028372315216405
ZPLD1	0.00298171198507258
NUP98	0.00298525391505833
GRTP1	0.00314700128724876
FNDC3A	0.00322683046842098
SYNGR1	0.00336674822260619
ZNF732	0.00353568379354297
MIA2	0.00355244020003642
OR2B6	0.00358154583087922
PSAPL1	0.00359284773208257
ZNF786	0.00365664331578153
TMEM98	0.00367993901732893
OR51D1	0.00369519045906352
SRL	0.003777033552676
DEFA5	0.00395869061774068
ADAMTS7	0.00402632423272709
C14orf39	0.00406125079210751
FAM162A	0.00411761403030175
CMTM1	0.00418145560245187
CREBRF	0.0042574381395134
TADA1	0.00433117360629331
CDH22	0.00435730261090472
KIAA1549	0.00450415019783612
FAM53A	0.00457816531346777
SBK2	0.0045980303240637
OTUD4	0.00465492614857188
PPP1R16B	0.00500638788689556
HOXC4	0.00503019575315744
EIF3A	0.00512499175276404
CAMKK1	0.00530716917807206
HOXD9	0.00536624956103282
ZNF585A	0.0053743894143401
IMMT	0.00550512231333355
ABCB10	0.00557474224820964
TOX4	0.00564853518294317
TTC5	0.00567178995955608
ENPP3	0.00568595938904848
MYL9	0.00569132666141914
ZNF529	0.00580950526942492
RETREG1	0.00592672076394329
GNAZ	0.00597036364063741
UBXN11	0.00599065452842684
SPATA31C2	0.00603151528546653
IFNA16	0.00610853440868786
PTGIR	0.00616771639643954
DPP10	0.00618936458137398
ALDH1A2	0.00629294365008637
MAP4K5	0.00630463677500537
UBXN4	0.00635739490493925
MARF1	0.00638897191205934
FOXD4	0.00641945379937214
FAM169B	0.00651291444031721
NIM1K	0.00651566081471133
STK4	0.00652201858777135
RTCB	0.0065862304811255
FANCM	0.00664032888782184
GSDMB	0.00665066950893045
SPATA13	0.00679775914555647
VRTN	0.00696004803291006
SLC10A7	0.0069890907235971
COPS4	0.00701043885134756
MYBPC2	0.00702900573128773
RNF157	0.00703864636003904
SMARCC1	0.00710245292247991
HPSE2	0.00718125637509393
KDM3A	0.00723524609040083
ZNF100	0.00726588468717526
FBXO7	0.00732352795960756
VEGFC	0.0073924578308977
PINLYP	0.00739621660772793
NUCB2	0.00741720529280365
JMJD1C	0.00757125291522331
SCGN	0.00758666055058888
PPP3CA	0.00758729340801967
PTPRG	0.0076846269824753
EHD4	0.00780522571979048
DMXL2	0.00782268482579196
TNRC6C	0.00792433669886494
ANGPTL4	0.00796153206451067
ZNF701	0.00798608531317313
THAP4	0.00820081505905979
RAB28	0.00826007982361388
WDR66	0.00829138997579826
VN1R1	0.00841579843524609
ANO7	0.00842526088936246
ZNF141	0.00845375628339551
SLC38A6	0.00852480955873536
BIRC3	0.00853286416721299
TGM1	0.00857819960950246
KCNG1	0.00858025553023412
AMOTL1	0.00861359718566956
USP33	0.00869143737381384
SLK	0.00870058867575463
NEDD4L	0.00882916447124193
DDB2	0.00888729884567629
KDM2A	0.00889606633483919
TDP1	0.00889630006263198
C1orf53	0.00891081018325823
EID2B	0.00895982225303493
PLEKHG5	0.00897709769738764
LIPM	0.00901465518387656
KHSRP	0.00911849703322931
CACNA1H	0.00925748650626201
OTUD7A	0.00935934266938188
GPSM1	0.00944826754659944
OR1M1	0.00952412589518437
RABL3	0.00956519399617017
PLBD2	0.00960123689924219
PLA2G4F	0.00962775106223723
ZNF426	0.00986605766317439
AFG1L	0.00987625394904468
C2orf81	0.00990645705651338
SSPN	0.00995441069253256
FAM173B	0.00997574841182725
ZBTB41	0.00998902960146575
ART5	0.0100246612354766
IPMK	0.0102099643973342
CFHR4	0.0102294845796268
ACTL6B	0.0103265689057322
ZNF284	0.0104527751759483
IL17REL	0.0106769439151206
UGT2A3	0.010717017723305
ADAM2	0.0107793858589019
OR10A3	0.0108653875535406
PROX2	0.0108778805556832
SPRED3	0.0109065694843874
NEUROD4	0.0109319700013719
C6orf203	0.0109524498254162
ADGB	0.0109936515775841
PANK2	0.0110267021842303
TMEM71	0.0111316672609884
ME3	0.0111497170883621
ARAP2	0.0112037488282842
TNFRSF13B	0.0113175080829092
TICAM1	0.0113582923306406
MCPH1	0.0113679711184564
SSBP2	0.011388642757782
TMEM127	0.0115097619713312
NIPAL1	0.0115748284937174
KBTBD4	0.0116628347761101
PIDD1	0.0116917739556766
C2orf54	0.0117349608353806
MRPL54	0.0117953514885156
ADTRP	0.0118712052490444
PRPF39	0.0118957715083392
ELL3	0.0121079441662736
E2F2	0.0121693346771042
PRCC	0.0121736115149353
IFT52	0.0122756884667888
KCNN2	0.012277457298744
ABCA9	0.0123281880903749
SMARCAD1	0.0123797219512525
ITIH1	0.012439160863104
NUP160	0.0128643728393647
NANOS2	0.0128882683676306
CENPC	0.0129375875913464
CCDC136	0.0129384328155653
NDUFS1	0.0129871853228463
TBC1D2B	0.0130125046539528
MGAT1	0.0130445781664881
UNC80	0.0130707487442668
COL9A1	0.0131199863778128
CNN1	0.0131235900922727
ENPP5	0.0131579082786304
B3GNTL1	0.0131718196198299
CYP1A2	0.013225785211665
LPAR3	0.0132491320525981
DNAAF5	0.0132841128629781
HDC	0.013308769054283
ADH1B	0.0134437378196612
NPFFR2	0.0135655046554009
LBX2	0.0136068832642746
PARP15	0.0136265322467491
C1orf61	0.013687833546478
GOLGA8K	0.0137218632745414
LIMD2	0.0137427998040059
RBM11	0.0137443687643777
USH2A	0.0137459646101514
ACKR1	0.0138689172869412
PQLC2L	0.0138975240206105
MROH9	0.0141124528089052
ESRRB	0.0141548260632032
FBRS	0.0142526385096324
PIWIL3	0.01432968126496
USP1	0.0143964156493872
ZNF486	0.0145337230120235
JSRP1	0.0145520251276844
GMPPA	0.0145682521153245
MMP17	0.0145852966398639
