gene_name	p_value
NLRC3	1.56123001208153e-05
PLEKHM1	0.000116870504798583
KLKB1	0.000142831869073601
IFFO1	0.00016413822297412
MOCOS	0.000253985902244569
LRRC14	0.000257594085751323
ATAT1	0.00027030432973163
ELFN2	0.000302399633656969
ARHGAP27	0.000308952459617706
OR5M3	0.000347854307965023
WHAMM	0.00042357253620029
KPNA2	0.000522126790815536
SAXO2	0.000552731003303886
DNAJC30	0.00065434043456214
ZNF214	0.000721700870952691
CYSLTR2	0.00075384967631198
CTC1	0.000785899564026304
SLC22A10	0.000820909506933365
PACS1	0.000852372066198259
TNFAIP6	0.000855349512259962
CHAD	0.000857300364609848
FAS	0.000938407152806353
FGF17	0.000955380674034001
GALP	0.00104578321524929
TMEM102	0.00106876805868827
ZNF154	0.00112904401856229
KIRREL2	0.00115274011613287
RBM48	0.00121251412183843
ESYT2	0.00121856580031254
SLC17A1	0.00129332174832786
LDLRAD1	0.00131536063352422
DSEL	0.00134985106604779
ABHD13	0.0013668973207622
C16orf91	0.00137840241034335
TSNARE1	0.00140263626212245
RYR3	0.0014153988368949
NUTM2F	0.00145014720019654
POTEE	0.0015552464874885
CXXC5	0.00158750459178225
ANKRD12	0.00168502337975174
CTNND2	0.00191868917258242
AGAP1	0.00193532184256107
ADGRA3	0.00199776878582891
TTC22	0.0020170681615046
SHF	0.00206600583320815
OR1K1	0.00207205970714952
TAS2R31	0.00209840031593744
HAO1	0.00214309338579977
DDX28	0.00219135316122427
APAF1	0.00219296950782122
AURKC	0.00224671499501783
PRDM11	0.00229850096321049
PTP4A3	0.00251563762246187
CRAMP1	0.0026759506707259
ADGRL3	0.0026927911544673
LOC100130520	0.00273881300406775
GNL1	0.00275615607775104
ANKRD61	0.00282477032520689
TIAF1	0.00284870216422406
VPS16	0.00286018734904081
NDEL1	0.0028602663711409
ASCL3	0.0028779197791869
HDGFL1	0.00289216181923424
OR6C74	0.00293814945197235
ZNF707	0.0031708326541805
ZNF28	0.0032799604670195
UPF1	0.00328230011674402
DCAF15	0.003377704726652
TPR	0.00338918437127178
PPP1R13B	0.00347333684390772
TPSG1	0.00351726797077145
SCRT2	0.00355218571571658
ADAM12	0.00356984815104122
ZNF540	0.00359338826937639
CEMIP	0.0037172524293666
MSH3	0.00376206283398473
ENTHD1	0.00378077710530855
ALKBH6	0.00378835180764137
DYSF	0.00380056490914471
FOXC1	0.00381498963940086
MORN1	0.00385978691089628
CPZ	0.00388110893541627
KRTAP4-4	0.0038895566635696
ZC3H12C	0.00391711101276748
SCNN1B	0.00394790165932346
RASGEF1C	0.00395069835881245
DCAF1	0.00426518601755543
TUT1	0.00429986388017756
BAAT	0.00436117003811154
SLC3A2	0.00446998151449052
TRIM22	0.00449980039392506
C9orf57	0.00454696791371745
FAM200B	0.00465944073569668
SLC22A25	0.00466649797673224
GYPB	0.00466887575368946
CSF2	0.00472809463313652
OR2G2	0.00481365243155396
NR1H4	0.00499230192989286
ITGB5	0.00503188096353391
HSF4	0.00505368934353412
CHRNA10	0.00510385408916592
TRAM2	0.00523101600460252
LARS	0.00537185108652816
GAR1	0.00537893522964472
LMAN2L	0.00542266470463615
ZNF562	0.00544613367852631
FAM229A	0.0054780487016981
MYNN	0.00552426582504462
ANO7	0.00555735183853567
SURF6	0.0056966606763017
PPCDC	0.00572442466428325
NSA2	0.00573044700720748
NUP160	0.00585946490972522
RNF149	0.00587067328966961
PCM1	0.00591779528157399
NADK	0.00594183325879727
ARHGAP40	0.00595556694077182
HMX1	0.00603956830843899
NME6	0.00608385475788553
TMEM87A	0.00609402433730977
JSRP1	0.0061132588602264
AATK	0.00619503068042127
ECH1	0.00626000725466813
USP19	0.00626500178815081
KLHL38	0.00630696239515061
GPSM3	0.00654688679174981
TMEM178B	0.00660057938116543
BUB1B-PAK6	0.00665326431497226
INPP5E	0.00683814376856329
C10orf105	0.00692118290278598
AQR	0.00693879633735317
FMO5	0.00702415940188539
WDR43	0.00703514342710387
JAKMIP1	0.00703528764905037
SMIM21	0.00704575983965106
KIRREL	0.0071091445831799
DAB2	0.00721548822186335
RNASEL	0.00733175757382987
RPSA	0.00755776303057532
L3MBTL2	0.00762066884099266
CCDC25	0.00763543382650811
KLK8	0.00763560604440572
RASAL3	0.00769732003222046
TSNAX	0.00772171795906895
COX7A1	0.00773634690788338
TBC1D22B	0.00773918701166665
UTP15	0.00776073541090605
SUSD5	0.00781587568390762
LPIN2	0.00786510802775953
ZNF417	0.00786708052440943
MAD2L2	0.00789314235842919
CFHR1	0.00843129622063177
ANKDD1B	0.00849989736962642
RDM1	0.00853021308979907
ACYP2	0.00855732775846441
GSDMC	0.00855793950334338
OR2T10	0.00856782656414734
UBE2M	0.0086154529149772
NOL7	0.00871468640425299
KDF1	0.00882719069169779
QTRT1	0.00889832022967485
IL4R	0.00908669122712424
HMX3	0.00925662196543287
C5orf64	0.00931104804126981
ALG10	0.00938112561094961
PCED1B	0.00941921421594527
NAGS	0.00946360379490108
ZNRD1	0.00948038827229469
ARFGEF1	0.00973744126943976
CHPT1	0.0097543333391894
NACC1	0.00977641413429176
TATDN1	0.0097950030863686
SLC25A42	0.00988041200041556
PGM3	0.00990501071026473
PRB2	0.00991976884795368
RAB22A	0.00994146627573478
TPPP2	0.00997241883889688
SPATA17	0.00997720494126408
CARD6	0.00999566950702047
PAPD7	0.0102191624416027
CLDN17	0.0102348792404596
ERCC4	0.0102666382567969
PALMD	0.0103877659565853
ZNF565	0.0104300284644996
SLC1A3	0.0104867767656959
KRT27	0.0106501742271597
KLHDC10	0.0107122738884424
CRYBB1	0.0107754642958768
JAM3	0.0109844835386678
PRR25	0.0111291629677143
CTSK	0.0111435787990243
NCOR1	0.0111490057799178
GRAMD1B	0.011277997066849
ST18	0.0113621161399309
SLC35F1	0.0113775538179807
SPACA3	0.0113970981856445
TAB1	0.0114216797874737
ANXA9	0.0114838886805971
TMEM81	0.0115428568149979
VDR	0.011756992776749
TRAF7	0.0117860367142845
DSG3	0.0117877862636746
STAP1	0.0118918943138646
TTLL5	0.0119499793596074
TMEM181	0.0120112850051587
ZSCAN12	0.0120574888351326
NFAT5	0.0120699226654158
FANCF	0.0121668708480307
RNASE11	0.0121864763185097
ATXN2L	0.0122635364361471
PHF3	0.0122956938458607
RAD21	0.0124671654321689
NUDC	0.0124796950893673
TST	0.0125189260801166
IRF7	0.0125503126016256
FSD1L	0.0125893479938223
CHADL	0.0126044845149849
ZC2HC1B	0.0126357817884871
HTT	0.0126370340182357
PPP1R27	0.0126548146504162
NLRP10	0.0127701408804956
STRIP1	0.012995231496573
FOXP2	0.013003241693743
MTX3	0.0130048669804933
ADSL	0.0132025408462981
CD300E	0.01321446861802
FAM214B	0.013247566249702
FIGNL1	0.0132489637339414
BDP1	0.0133541827992613
CHST8	0.0133986915278279
SIPA1L2	0.0135019284665553
KLLN	0.0135446308683503
PPP4R4	0.013571606041563
PF4V1	0.0136333464645024
C10orf107	0.0136678124999683
ATP6V1G3	0.013678732527338
ELAC2	0.0138764343797687
PLSCR1	0.0138809986115672
CYP2C9	0.0138960187779826
RANGAP1	0.0142021464521573
SLC22A15	0.0142417379525461
SYT2	0.0142922789519568
JAG2	0.0143357910957344
PLPPR3	0.0143620818119022
DTNB	0.0146233298375456
MBOAT1	0.0147560856703376
SULT1C4	0.014758040385613
ZBTB14	0.0147591222742013
MKI67	0.014776928372371
CYSTM1	0.0147794324104006
ASNS	0.0149405660905882
GFRAL	0.0150065511011134
GNRHR	0.0150630020641401
KRT32	0.0150717062352065
PTCRA	0.0150813792312501
APPL2	0.0151057140405855
NR2F6	0.0151451423122206
SPPL2C	0.0152051851951257
POLR3E	0.0152305622926043
KRTAP5-10	0.0152913955598276
DNASE1L3	0.0153117079350971
FN3KRP	0.0153151242248838
OR2H2	0.0153639210445546
ZFP36L2	0.0153781739169144
ULK4	0.0154504317000601
TTLL6	0.0154871243655841
ZNF484	0.01566679779139
NPBWR1	0.0157461850859731
CECR2	0.0157861034415346
SLC25A48	0.0158960095723399
CCDC125	0.0159542847010412
LPP	0.0160014039883429
MGAT3	0.0160318909764942
CCNA2	0.016214649154191
RBM20	0.0162746096490106
ONECUT1	0.0164309446843993
SPAG16	0.0164545920679441
HAP1	0.0164775336380227
SASH1	0.0165312727069525
ASB15	0.0165857816872532
ZNF480	0.0165921428736233
ABCA10	0.0167588191362193
ZMYM6	0.0168222171127697
FAM120B	0.0168395243944715
EGR2	0.0168853034578169
SIGLEC15	0.0169463363010685
NUTM2G	0.0169472203543446
CPSF6	0.0170081536842827
MMP14	0.0170578715731706
FAM114A1	0.0171095454235625
AEBP1	0.0171237957940752
KCTD19	0.0172046442401487
FMO3	0.0172198701828381
ACKR2	0.0172271515318168
TMEM209	0.0172729263972892
DCTN4	0.0172882278121437
SOX5	0.0173695214045045
FAM213B	0.0174363636151672
CLN6	0.0174492373681552
TBX5	0.0175592320246079
SLC35A5	0.0175750822536836
PPP1R12A	0.0175983021312716
ZNF202	0.0176799079885932
OR4C6	0.0177130635701614
NT5C3B	0.0179420612415054
CDKN1B	0.0180483473064217
DLG4	0.0180973406017114
TNNT3	0.0182142976837669
NTSR2	0.018268613899592
MMP25	0.0182768717523843
CCDC140	0.0183990475136886
ADAT3	0.0184913177332943
NANOS3	0.0185295654459481
LEFTY2	0.0185819124396457
PHF20L1	0.0186043807658839
TRIM39	0.0186369731191449
SEMA4D	0.018691624856806
GRK4	0.0187121468281221
ECHS1	0.0187145128219134
C1orf116	0.018789155087631
IFIT1B	0.0188184308123229
USP32	0.0188238643403799
WDR64	0.0188543154749934
APOA5	0.0189261575177017
AMMECR1L	0.0189318936357695
PSD	0.0189693838470545
PNPLA8	0.0189954325674567
TSPAN32	0.0192853617565357
FKBP5	0.0193462253825557
VPS37A	0.0193664258871992
TRMT1	0.0194187711086957
ERMN	0.0194203536996319
ZNF234	0.0194392839922488
PCDHGB5	0.0195228597541336
ADORA3	0.0195274765532879
CARMIL2	0.0196198722667236
ZNF12	0.0196322442652787
FAM173B	0.0196769708474747
LSM8	0.0197277692722584
POGZ	0.0197765523131039
TPI1	0.019858603108452
LOC339862	0.0199151957234682
SPOPL	0.0199371398267768
SSUH2	0.019955491103525
ZNF654	0.0199841867051571
FGG	0.0200724212786513
SLC2A11	0.0201113649794173
PYROXD1	0.0201589972871418
E4F1	0.020287606863353
NIPSNAP2	0.0202878045764151
SPDYE3	0.0203572375459097
CCDC102A	0.0203593414302471
SORBS2	0.0204460316263574
