gene_name	p_value
USP50	0.000178816423689554
ZSCAN5B	0.000219310267486006
MOB3C	0.000397773408078339
ELL3	0.000511851972535227
GNAZ	0.000576715859475052
KLHDC8A	0.000600201679387791
ARSG	0.000716461166525129
LMAN2L	0.000881030672874816
LILRB5	0.00091842667017461
MB21D1	0.00110366302834275
FAT2	0.00114707916021384
FN3KRP	0.00120079147031171
JAM3	0.00122963801321085
PARP15	0.00134867242111203
KIAA1549	0.00141242282025178
OBP2B	0.00152838856445381
C2orf78	0.0015451205725171
TROAP	0.00172449733046054
DCANP1	0.00174601201701563
BCAN	0.00187869558932996
IL32	0.00188896663697835
LGALSL	0.0018986389119432
ZNF136	0.00193679279825398
ATP12A	0.0019500039543302
ZBTB11	0.0019680854585078
OSBPL5	0.00207462067909758
ANKMY1	0.00212804424819701
FLT4	0.00221757818022994
SLC10A7	0.00224919822600433
ST6GAL2	0.00230049657862508
HNRNPA1	0.00243198291264409
CREB3	0.00258051969732231
WDFY4	0.00260915072750778
ZNF781	0.00262514202808417
NCR2	0.00264772085557918
NCL	0.00273220076570602
ABHD1	0.00279761718913485
LIPC	0.00282584700252653
UBAP1L	0.00288991647458103
SOGA1	0.00299962025087963
CEP170B	0.00306126848694888
KIF13B	0.00308626556466374
MCM9	0.00311654845421372
FAM170A	0.00314094550767585
SCNN1G	0.00315274071621718
ZSCAN29	0.00321698133438564
ZBTB48	0.00324367300236683
SLAMF1	0.00324888108321641
PTRH1	0.0033068196758087
AOC3	0.0033827326197623
IST1	0.00357863361808286
FCHO1	0.00367723703459621
IFNL3	0.00368333129662046
NEK2	0.00389710475203342
KMO	0.00395718435008774
PLPP1	0.00409647168130047
AP3M1	0.0041296443739216
GTF2H3	0.00435194565351749
FAM92B	0.00446020714094841
TLK1	0.00446863178034751
TMEM102	0.0045659336850542
HIF1A	0.00468849826587836
CTSH	0.00470217721300459
AQP8	0.0047047240601843
RNF113B	0.00479867741945383
OR2T34	0.0048161234730649
GRHPR	0.00492804314152995
SLC38A11	0.00506391499543812
ZNF229	0.00512236559294421
LPAR3	0.0052505607597938
C15orf41	0.00532093464174799
ZNF486	0.00535217882805195
NT5DC2	0.00545431434353905
SCAF8	0.00561717196816669
SLC1A5	0.00561991845108067
VGF	0.00567952320097387
TIGD5	0.00572169391999633
FAM13C	0.0058427424894375
ZNF585A	0.00584453371549465
ARHGAP21	0.00602453758879351
UBQLN3	0.00606757800077584
EFCAB12	0.00607770364092319
CRYGD	0.0060777911609855
DLG2	0.00611077135441918
OSBPL2	0.00631020330340426
ZNF658	0.00631406258559186
LRRC45	0.00635186496635509
PRKN	0.00637112451460375
SKIV2L	0.00653628870584377
ZNF790	0.00655152426323447
FAM149B1	0.0065603922116817
SMC4	0.00661565168773492
RTBDN	0.00663293255028607
ELAVL3	0.00664994645950323
FBXO34	0.00665201190786835
C3orf30	0.0067267453137505
RFXANK	0.0067694371314726
COL11A1	0.00684833209725222
NAT10	0.00690195435990237
CNMD	0.00703137952669208
DOCK2	0.0070377411176098
SKA3	0.00705075919127707
FZD3	0.00705084813931245
NUPR2	0.00711403572709266
MARF1	0.0071367954640974
CCDC103	0.00714659637120207
AFG1L	0.00720614131297159
ABCA2	0.00731545248909737
SUZ12	0.00733495117324867
CES1	0.00733519411673744
KRT7	0.00744660774882178
NME3	0.00768524597353515
SH2D7	0.00783542811970395
MUTYH	0.00783743407079129
IGF2BP3	0.00789514341179531
ADAM2	0.00789985503391422
NOL7	0.00790387602817033
ZSCAN5A	0.00794000646462534
ARMC6	0.00798059862148426
DNAH9	0.00800576029456823
NUP88	0.00807642254352237
DMXL1	0.00811107927314025
ADH1B	0.00833311417658844
FAS	0.00833775875047527
MCPH1	0.00845782986163057
SYN3	0.00846012561856568
DEPDC5	0.00847551020703785
IFFO2	0.0085786490719032
HS3ST4	0.00861993907195024
TOM1L2	0.00872605870960008
PEX16	0.00886721674829405
OR51B5	0.00901815259391803
ZNF479	0.00902790504775686
FANCI	0.00908990175370517
SLC22A25	0.00910498759313794
CAMP	0.00913911970053249
APOC3	0.00914448148826275
STK11IP	0.00923394700260061
PHC3	0.0092608940031691
NEXN	0.00929546355964073
NSMAF	0.00932702870188207
C2orf54	0.00934953660281224
MIA2	0.00942431659137333
MCRIP2	0.00953034757282145
MORC3	0.00962785002147526
