gene_name	p_value
HIF1A	1.92012007840532e-05
ZNF562	0.000376121038904283
KRT1	0.000398020846573572
HK2	0.000612562162498708
LILRB5	0.000664157435102127
CES1	0.000796948246404596
EPHX1	0.000920102723180896
SKA3	0.001109538395996
TPGS2	0.00140561184921876
FARSB	0.00143954027636988
ZMIZ2	0.00147137122977373
FAT2	0.00186779937674686
SCNN1G	0.00209379991262667
C18orf25	0.00210982896671622
UBQLN3	0.00212352626691703
FNDC3B	0.00225080307593089
BMP10	0.00230766086793073
PRRC2A	0.00238495784680104
WDR55	0.00250085252533807
ZNF423	0.0028555979096192
ALDH4A1	0.00312015606761543
JPH4	0.00330064012576245
KIAA1549	0.00333557869940082
PHYHD1	0.0036272903025336
FSIP2	0.00372803523799559
ZSCAN5A	0.00378973073197805
ABL1	0.00382108347566544
CERS6	0.00394754394646484
NCL	0.0042714424344771
ZNF736	0.00429812337998879
SULT1B1	0.00437435699993239
VEGFC	0.0044008450799373
GDA	0.00445591550083769
EPHA2	0.00461561439121044
BCAN	0.00466250031191229
NTSR1	0.00472862545781235
ZNF559	0.00476721420410335
FAM180B	0.00488456574826753
ARID4A	0.00490278619550763
KPNA3	0.00496195090049923
TNNT2	0.0051375711124358
CCT4	0.0054294220117747
SRSF12	0.00573799688901361
ATP8A1	0.00575625154758937
POLR1C	0.00582698048810071
VCPIP1	0.00586768216554292
PGPEP1	0.00592877652432768
PCDH20	0.00606812581019502
FBXO7	0.00611731218670947
INPP5F	0.0061880230087759
ARHGAP21	0.00622557612679882
ANKRD27	0.00624736073344329
C2orf54	0.00652821660783501
GRK6	0.00674854626598084
TMEM110	0.00676786527052164
C1orf27	0.00688406409941978
NUP160	0.00692362182371093
MIA2	0.00706361224010279
ATG14	0.00706787978891842
NPFFR2	0.00719974022825725
ARSG	0.00750643555025661
TSSK3	0.00758970041252261
TST	0.0077084051168688
TICAM1	0.00801589262786003
CCDC173	0.00805221724569802
DNAJB5	0.00807413868145797
ABHD1	0.00814919292449703
GHRHR	0.00818672044956495
ZFPM1	0.00818750911850965
GPRC5D	0.00828529256209726
CDH4	0.00831893763484955
CCDC171	0.0083542230860304
ADGB	0.00882070604277839
SCPEP1	0.00894968992288619
LOC100131107	0.00905392524424354
MRPS5	0.00924095197566797
SLC26A9	0.0093306070622764
SPNS1	0.00956787341413949
ITGA4	0.0098718723719534
OR10H5	0.00992653582859384
BUB1	0.00994941991933743
CLASRP	0.00995475242473094
C15orf62	0.0100248869344351
PDZD2	0.0101030192897889
TCF12	0.0101096419161049
SBK1	0.0101943735663918
KSR2	0.0102154531762975
MYBPHL	0.0103267257993435
ELAVL3	0.0103855837919621
IGF2BP3	0.0105928928374177
FAM200A	0.0109870824179721
STRN	0.0111899647297566
OR2T1	0.0112816782607958
RTTN	0.0113662793800889
NUPR2	0.0116505700083702
CCDC152	0.011772124426992
HSPH1	0.0120116735316541
BAIAP2L2	0.0120311779964775
TAS2R31	0.0120504556231648
OR10AD1	0.0120749679193156
