gene_name	p_value
SETD9	0.000141829074579163
SUPT7L	0.000297699348785652
BUB1	0.000321391353234168
ADH1B	0.000330988601999649
AP3M1	0.000351169273662744
FN3KRP	0.000558582022605947
ARSG	0.000623410995828966
PRKCQ	0.000625631616790967
KRT7	0.000749560365541524
PARP15	0.000772027876982051
PDIA5	0.000890649670720833
ANKMY1	0.000951893731369391
NUGGC	0.00100700889575522
COL4A4	0.00102170923989542
TBC1D10A	0.00106487970672331
USP50	0.00107741921239124
IPCEF1	0.00109558677429789
KIAA1549	0.00112500147681927
ZNF136	0.00114591322233404
NOL7	0.00122489794868907
NEDD4L	0.00123787819494168
MROH2B	0.00127119701901246
FZD4	0.00128424714847686
MIR1-1HG	0.00144046014360877
MOB3C	0.00144146620222396
VPS36	0.00147006693689722
SEMA4D	0.00147484216414195
C2orf78	0.00157045991115801
LGALSL	0.00157913742646443
SCN1A	0.00159541817434306
DOCK2	0.00172174542499093
TMEM178B	0.0018114437457375
PRKCSH	0.00182277216365878
ZNF365	0.00184456972973257
SMC4	0.00187181839532158
GPATCH8	0.0019291586425294
RAPH1	0.00199356413170093
IL32	0.00208536007787441
ZBTB11	0.00213060768297413
MCM9	0.00213416277652356
SAA1	0.00217464789750188
KRTAP13-2	0.00221015631636434
CRYGD	0.00232261394468991
PCDH18	0.0023281379348119
DRAM2	0.00233154535276092
REEP1	0.00237862589905424
YEATS2	0.00243708434505296
FKBP15	0.00247351254854566
BCL2L12	0.00250121042420226
DCAF4	0.00251104105796651
TTLL5	0.00254149519240499
CABYR	0.00263858932080552
MTFR1L	0.00272327119094551
TDRKH	0.00276002231635697
NFIB	0.00286444179203516
ZSCAN29	0.00288116220432388
SRSF12	0.0029396054862979
SYBU	0.00298047156873993
PARP11	0.00300059443733902
CCPG1	0.00304643322006781
IL5RA	0.0030661313486785
OR4C16	0.00319139292570925
POTEJ	0.00340636524179405
KCTD19	0.00343802447708219
SKIV2L	0.00346473198665409
CES1	0.00346577000971149
CSF1	0.00353576457733773
NUP155	0.00354618668266105
SLC17A1	0.00357028230232437
QSOX2	0.00357765670738897
C8B	0.00360157162508801
PLPP1	0.00361166433834392
SLC48A1	0.00364621998673848
ACTL7B	0.0036519483713412
ELL3	0.00372750978476988
FERMT3	0.00373579924664946
VPS28	0.00375370601933733
SPATA31C2	0.00376748536212557
SOX11	0.00388568632881958
STOML1	0.00400010387036442
PTRH1	0.00413515624827199
CPED1	0.00414512582441173
TACC3	0.00421545492021258
FAM214A	0.00425685543191967
TGFBI	0.00427424601047066
MARK3	0.00435198224463362
HOPX	0.00436780179185181
SND1	0.00439423549264339
MB21D1	0.0044819570438438
CER1	0.004575436026911
FAM222B	0.00463039694929324
RBFOX2	0.00465351811054571
NCR2	0.00466130325238112
KRT6B	0.00482108031468087
IFNL3	0.00483245558126322
CHRNB3	0.00489692212498238
STK11IP	0.00496481337281784
RTBDN	0.00500022838372016
COLQ	0.00504328482030558
HNF1B	0.00510013047928715
NADK2	0.00524148627158028
C2CD5	0.00535752761155273
OR10H5	0.00536162450520239
ZNF658	0.00556423506604486
NUP88	0.00561145999365198
GCNT1	0.00561703402531011
RB1	0.0056312628597418
LMAN2L	0.00572868637794066
FAM159B	0.00575167178185865
ZNF790	0.00576566784045396
MCPH1	0.00579259586751968
ATP8A1	0.00589205816963634
ZNF337	0.00590344871718362
SNX16	0.00609291677419814
ABCA2	0.00610934670101471
HSPA14	0.00631639002623996
DRD2	0.00638184715850343
TTYH1	0.00642082912376329
ZNF479	0.00642327168245649
CHGB	0.00643835883771637
JAM3	0.00656830180228007
STK4	0.00662259721286396
ZNF287	0.00667271088107724
FCHO1	0.00696006962291418
FAM92B	0.00699733865446583
BNC1	0.0070520684826334
ZP1	0.0070725245308173
TTLL3	0.00724786305452141
FAM98A	0.00744272451472294
NPHP4	0.00747856184722695
UBAP2L	0.00757037695383511
NLRP11	0.00762237380272868
UBQLN3	0.00766706667424777
NTRK2	0.00767711365167101
AK2	0.00779712396705701
C21orf59-TCP10L	0.00783718332218919
SMDT1	0.0078570006793971
LINGO3	0.00798293916957327
SLC16A8	0.00800427088819122
ELMOD1	0.00804912162757754
ASH1L	0.00829133608934796
RGS11	0.00835232704169808
WDR25	0.00845542353976736
SH2D7	0.0085722116790713
TRAF7	0.00869357053171838
MORN4	0.00875261148383644
SPACA6	0.00877794132881182
TCN1	0.00886927176360874
GNAZ	0.00891754363138586
DNAH9	0.00909113209668855
ANKRD35	0.009196181289014
MED23	0.00921844667219063
AOC3	0.00930155888631623
RALGPS2	0.00937942216774279
TICAM1	0.00938806987661911
RBM47	0.00949158091458113
TRIM41	0.0095703903366785
CDK5R1	0.00973779521405671
GNA12	0.00984173717855152
CAPS	0.00988493484911068
GRID2	0.00994957616706094
WNT10B	0.0100135201998449
KHNYN	0.0100236047378104
COPG2	0.0100429328464064
HS1BP3	0.0100912609623603
SLAMF1	0.0101157485924519
SLC23A2	0.0101874703329365
ZNF263	0.0102060914209605
ST8SIA2	0.010226155734382
PIK3CB	0.0102305491465248
ATP2A1	0.0102428599058123
PLEKHA8	0.0102452986797571
CES3	0.0103039104404198
OR2T34	0.0103800063949518
OR4A5	0.0104100176947464
SUMF2	0.0104235176126936
ZSCAN18	0.0105283625916309
SLC6A9	0.0105633367134602
PPP1R11	0.0105662526810452
SLC1A5	0.0106107741877093
LIPC	0.0106994734297911
SYN3	0.0107134374785987
PGPEP1	0.010760810913057
SP140	0.0107799089535764
IL9	0.0108331949423027
HNRNPA1	0.0109488533349028
SUZ12	0.0109701226369688
NOSTRIN	0.0111295803237158
CHMP1A	0.0112350930785126
WASHC1	0.0113171328244498
BCAM	0.0113424265649394
THAP12	0.0114151389433897
MINOS1	0.0115272259397613
BRPF1	0.0116835798798399
CDKAL1	0.0117017845836492
CCDC179	0.0117186619989686
AP4E1	0.0117808736327203
TECTB	0.0118347564883251
SLC3A2	0.0120462976413913
PITRM1	0.0121235999822027
RASGRF2	0.0121254391600971
