gene_name	p_value
SKIV2L	7.79797540965714e-05
KIF20B	9.92710997262947e-05
MTHFSD	0.000269801148349229
C12orf10	0.000311462077486781
PODN	0.000327192896043118
GATAD2A	0.000346611812560008
TRIM41	0.000502618951886546
GCN1	0.000556083383929655
TPGS2	0.000603957321224147
BIRC7	0.00069581291836901
BUB1	0.000853568955403412
UBQLN3	0.00107549367939991
NCR2	0.00149136743897126
PDCD1	0.00166034715656886
MTCL1	0.00182560168349537
ANGPTL4	0.0018343268808242
C2orf54	0.00203228013864123
IDI1	0.00223790188672949
TICAM1	0.00292032743102033
RTP5	0.00293957030285592
HAP1	0.00301046407744944
FOXO6	0.00331970061732141
TTC22	0.00344817953176183
MFSD1	0.00346688205048994
GNL2	0.00350509238919175
TFB2M	0.00358010479624209
ZP1	0.00384511276367143
FGG	0.0039128471667795
CARD16	0.00400054312942735
OR10H5	0.00401460772567872
TOM1L2	0.00402507359529057
GAPT	0.00403845208268807
RAPH1	0.00417243272156761
IL5RA	0.00446778085718923
WDR64	0.00466720492678472
TMEM88	0.00481423350474563
POLR3C	0.00502821269745439
MTHFD1	0.00513828937130351
DUOXA2	0.00517114352963112
ARRDC1	0.00541913701282466
PHC3	0.00546044005046734
MUTYH	0.0054627783464969
FAT2	0.00546611724434842
SALL2	0.00550295562251954
DNAH5	0.00552097612738467
PPP1R1B	0.00559103232583152
ABLIM3	0.00563094997144224
EVPL	0.00564537427158673
GRIN2A	0.0057950639913141
B3GNT9	0.00590931751496523
WDR55	0.00621671828537726
YES1	0.00638973278727613
ALX1	0.00664976282133358
LOC403312	0.00668786931191436
CLINT1	0.0067359209804363
SPACA6	0.00676780231462217
COLQ	0.00706171183385853
CSF2	0.00708409163195065
ZNF773	0.00719768910818039
GRAP2	0.00722772950630638
TNIP3	0.00723544808404793
CNGB1	0.00740919528738087
ZSCAN5B	0.00752490777130388
TSGA13	0.00757088344271447
OR2T12	0.00771917061512166
STOML1	0.00779077805620335
C2orf16	0.00779886460172324
TRIM17	0.00794558559910409
COL6A6	0.00805916329245244
CFAP65	0.00811549311505879
SPTB	0.00823628918527562
FSHR	0.00826570642205371
FBXO47	0.00837755054164062
TROAP	0.00840246374793469
MARF1	0.00845006935030131
