gene_name	p_value
TESPA1	7.61428680821075e-05
CHI3L1	0.0001041534117312
PRAMEF13	0.00012843383999106
NCEH1	0.000197066170120497
WTAP	0.000434518710738074
PF4V1	0.000440312947926821
DENND1B	0.000472503318715956
SLC3A2	0.000541586383469128
STYK1	0.00055689919922064
CCDC87	0.000591613675806291
HDHD5	0.000694264047056192
MTHFD1	0.000717471475868425
TRMT13	0.00076371371431605
CBWD2	0.000801258234438551
C7orf34	0.00106782674993822
EPHA8	0.00110529853565122
FOXB2	0.00129731666210586
NLRP3	0.00137073098612173
ATP2A1	0.00143285800814696
SHANK1	0.00160971481930205
APOA5	0.00163186389574377
NDUFA4L2	0.00165475784514524
PPP2R2C	0.00176429193223704
CD226	0.00183747899314102
BHLHE41	0.00193815229657168
OR4L1	0.00203133865190319
ASH2L	0.00206288801525847
CCDC38	0.00210106760103912
OR4A5	0.0021542259061722
GABRA5	0.00223424130876437
AIMP1	0.00239089505310541
ZC3H12C	0.00241282695641432
CLEC7A	0.0026036884743772
PYROXD1	0.00267032842636172
SHISA3	0.00272703762495663
JAM2	0.00277983512636359
MGAT1	0.00281078439951787
GLCCI1	0.00292020159377793
IMP4	0.00302172630049657
PATJ	0.00307913470186416
ZNF479	0.00313629779563651
DEUP1	0.00321666903367268
QTRT1	0.0034563617015051
SLC30A1	0.0035181867458004
CHCHD4	0.00354302108659543
ECE2	0.00355551620490091
KREMEN2	0.00359541225667304
ZNF100	0.00361598505414529
DUSP18	0.00370166411049389
SUMF2	0.00383084265547429
MOCS3	0.00389151902938323
CCPG1	0.00391119642194349
ATP9A	0.00391980933017189
PITRM1	0.00394224765352214
ATP8A1	0.00396585916461778
PCYT2	0.00397021870280423
RASSF7	0.00397035851196315
EGR1	0.0040486033108621
MLPH	0.00409587686296087
HMGXB4	0.00416103004453183
OTUD6B	0.00424331958265223
RIPK3	0.00427211109951753
FOXC1	0.00433263444456311
CD86	0.00439550873907324
UTP18	0.00445544015511878
VSIG8	0.00447492236317681
LHX3	0.00458339046980638
LCN8	0.00462182136852329
BSCL2	0.00471450082291702
POLR2F	0.00476953724713758
SLC22A9	0.00483248823232818
PRLHR	0.00491468581361287
KIFC3	0.00492037245356702
DPT	0.00496307047327638
AGBL2	0.00498166103894859
FBXO36	0.00509879826015625
ACTL6B	0.00515807065478691
LIN7A	0.00519720084045461
KCNRG	0.0052082111250602
TOP1	0.0052932477396537
STOX1	0.00538781803832933
RAB3IL1	0.00539127935537631
BRD4	0.00541931006560126
NAP1L1	0.0055564056077837
DPP3	0.00569942271548873
C8orf44-SGK3	0.00574342434201368
SLC25A13	0.00579945619244981
TBX10	0.00592671851045679
IFI44	0.00603492824741103
USP37	0.00606611796132539
ANKRD20A4	0.00610180069288528
FAM120B	0.00611967907536615
OR51Q1	0.00614598540955869
SUSD1	0.00615750780065971
PAMR1	0.0061917752409647
IPMK	0.00640981103725047
GNA12	0.00652787347750627
SLF1	0.00671615896281175
ZNF823	0.00673163225903828
ABLIM3	0.00681198167169261
MUTYH	0.00689355312720208
RTP5	0.00700299469698229
C8B	0.00705842054440453
ITFG1	0.00709796573901511
ZBTB41	0.00713152650782201
NUDCD2	0.00746541454959559
SCYL3	0.00760482479367186
C17orf49	0.00766495057934486
GANC	0.00783089695011263
OR5M3	0.00791261318267678
MAD2L2	0.00798000768967622
ZNF407	0.00801066645775328
DNAAF3	0.00801706329253404
C1orf109	0.00807673062599656
EFL1	0.00812856364376247
SEMA4D	0.00820622663847914
RSRC1	0.00829780342206454
MAX	0.0083485406743875
CCDC140	0.00839240929415197
CNTN6	0.00849825551104599
ECHDC1	0.00853916028433488
STRN3	0.00862886291582476
BIRC7	0.00885727059969188
AASDHPPT	0.00896784117931171
OR10X1	0.00903608105859854
MEIS3	0.00906633526471168
MMP21	0.00912858875317735
ADGB	0.00929478555855989
SVEP1	0.00943615420122257
FAM19A3	0.00953528764846956
SORBS1	0.0095868321351178
EEF1AKMT3	0.0097025585191538
METTL8	0.00975287804858854
UGT2B11	0.00979720007431406
RAB32	0.00983854992691924
HIVEP1	0.00988841282732789
OR2C3	0.00989686733571971
DSE	0.00997872165333602
ADGRL3	0.00999003345225846
GUCY1B3	0.0101326859893289
EIF3F	0.0102162589195505
NPR2	0.0103440317506651
SPPL2C	0.0103441862352834
SPSB1	0.0104259663684472
FANCC	0.0105151735659312
OTUD4	0.010523118270652
PRPF38B	0.0106103001222723
SLC12A7	0.0106112732261119
PALM2	0.0106548887804799
ADGRA1	0.0107180878869756
ZNF684	0.0108820374955324
SYT3	0.0108996920023209
NFIB	0.0109706055325236
PREP	0.0110464159558857
UPF1	0.0110587935342545
CHRNB3	0.0110930525848811
ABCC5	0.011114118263934
MAN2B2	0.0111724172668333
GCA	0.0112494976360118
CYP1B1	0.0113059801126651
HGF	0.0113503547753686
MANEA	0.0115522067495348
MFSD8	0.0116436277260842
PWP2	0.0118000438185046
ZNF273	0.0118867042731602
SPINK1	0.0118897665416366
IL1F10	0.0119108624873933
ALKBH8	0.0119848686365855
CASKIN1	0.012066575430285
NINJ2	0.0120732789099661
C12orf66	0.0121647645273768
ZNF446	0.0121801294747274
SLC15A2	0.0122504516331225
HSPA4L	0.0122688203071231
LOC110117498-PIK3R3	0.0123751141071822
HELQ	0.0123848742206197
CHRNA9	0.0124212696052943
KCNB2	0.0124389404846119
GKN2	0.012477845952258
PIK3C2G	0.0125358578432202
ADAM33	0.0126748809916386
DENND4A	0.0127065681298153
PSD	0.0127247253763964
EIF2B1	0.0127560772212699
ACAP1	0.0128182326396518
PDCD1	0.0128320616888218
ARMC6	0.0129591166126599
ZG16B	0.0130279932808732
CRISPLD2	0.0131694755854973
OR56A5	0.0132690972944107
LDLRAD4	0.0133018904816362
ECH1	0.0133072078483366
GJA10	0.0133249888863931
MCM9	0.0133842290673961
JAG1	0.0133934466683187
RELL1	0.0135473785607326
TMEM126A	0.013652706263374
SLC17A1	0.0137546194880833
SMUG1	0.0137643643970374
MOGAT1	0.0140278376988406
OR5B12	0.0140344165892309
KRTAP1-5	0.0140987418318637
DRD2	0.0141168750682966
NAPSA	0.0141252940714949
ZNF354B	0.0141913104174962
PNISR	0.0143916449367776
KRTAP12-2	0.014393057781139
ANKEF1	0.0144880873635377
KCNS3	0.0145773680056132
TMEM52B	0.0146331968612859
ZNF808	0.0146866398031016
DNASE1L3	0.0147344222418163
TRIM32	0.0147590797085126
KIAA0368	0.0149054993160606
LRPAP1	0.0149138708850205
FCGR2A	0.0150111531541443
CHRM5	0.0151970454262734
KRTAP10-2	0.0154570570910552
CHST8	0.0155182450731078
C15orf40	0.0156226541631256
CES1	0.0157466337228922
HAGHL	0.0158117229797041
LOC100130357	0.0158119982798294
COMMD3	0.0159779754266037
KIR2DL1	0.0159783115891867
SEZ6	0.0159997102558689
AANAT	0.016201611111918
PLEKHN1	0.0162617266021429
INTU	0.016323065283019
SMYD4	0.0164139228862338
SERPINA12	0.0165774219887372
SULT1C4	0.0165965304299368
PXYLP1	0.0166512197330584
OSBPL3	0.0166696279799298
CSF1	0.0167700656270361
LIFR	0.0169253552675993
SLC5A11	0.0169419346872949
SLC16A1	0.0169857557372204
ZNF214	0.0170593438228305
ZNF701	0.0172492821052671
DPAGT1	0.0173235483031889
SLC9A9	0.0173295585009048
GRB10	0.0173876019509694
RIPPLY2	0.0174518981239467
GPATCH8	0.0174575285269384
HPS3	0.0174605343898063
ANKMY1	0.0175653151980328
TMEM88	0.0175746240016216
HAUS1	0.0176457715135648
ELN	0.0177022127823777
KLC4	0.0177743800041955
SLA	0.0177850942660885
DAG1	0.0178532786708102
NPC2	0.0179183066712552
NEIL3	0.0180438390882086
PHF21B	0.018044739275374
TDRKH	0.0180505145245892
SSBP2	0.018089192660649
PHF10	0.0181515399187049
CNOT6	0.0181994340313771
MECOM	0.0182396444509165
FBXW4	0.0182771546852933
CYP1A2	0.0182970215023037
OR10H5	0.0183243306873659
FGFBP1	0.0183831928274538
ZSCAN18	0.0183891843460308
CREM	0.0186725232765584
TYR	0.0187573334900529
GRAP2	0.0188161248534411
LPA	0.0188531205216466
RASGRF2	0.0189794200809069
CD4	0.0189808434691959
CHRNA10	0.0190054466711547
SSFA2	0.0190885578801173
MYPN	0.0190985365318576
KIF26B	0.0191566795166006
SPATC1L	0.0192533810732265
ZNF282	0.0192795212107747
SEMA6C	0.0193162939275779
ANKRD11	0.0193256268103379
ZBTB3	0.0194324404843486
TDRD9	0.0195395374957704
NAGS	0.0195677619248777
HTR2B	0.0196910093478686
TBC1D30	0.019717095428733
SPRED1	0.0197866171566833
ZNF99	0.019934238546749
TTLL5	0.019950478186848
SYT9	0.0199781550046243
MMP25	0.0199859326529809
CCDC42	0.0200020097553255
ADCYAP1R1	0.0202253486451758
CROT	0.0202397939229484
ZNF91	0.0202517039189619
GLYATL2	0.0202724089353176
AAK1	0.0202838449350489
RGS11	0.0203381713064392
TANK	0.0204119908439392
MUC13	0.0204243550864458
PPCDC	0.0204558282949616
DAAM2	0.0204616688333272
TREML1	0.020501101770088
WDR76	0.0205118106849492
NME3	0.0207359711605994
WDR55	0.0207507350165075
TJP1	0.0207995560228232
IL18BP	0.0208441989324681
COL1A1	0.020932825691428
TRPC6	0.0210552629582842
UROS	0.0210569877042412
GLB1L3	0.0210824375367755
BCL3	0.0212431371699706
ABCC4	0.0212811173669583
TAX1BP3	0.0214547577128317
C12orf77	0.0215015201305165
GATAD2A	0.0215400541361718
RALYL	0.0216779869598102
SEC24C	0.0218613503057878
QPCTL	0.0219359534085432
FHDC1	0.0220038661430694
STK33	0.0220540302237615
KLHL38	0.0220928308833984
ZNF235	0.0221499295618977
POLG2	0.0221998526644139
SERPINE3	0.022329695741414
TSNARE1	0.0223311262554075
ME1	0.0223485535099257
ANKRD13C	0.0223703407162329
SPERT	0.0224141922511236
ZNF766	0.0224341385981904
CHST10	0.0224666171833713
NOSTRIN	0.0226337480633152
VGF	0.0226549997733985
SFSWAP	0.0228311923615234
KCTD18	0.0228960310537155
SPAG1	0.022912599771636
ATXN3	0.0229335869568418
LMO7DN	0.0231522479730176
ZNF687	0.0231553547112038
THYN1	0.0231884598578131
GPR158	0.0233071469742095
TGS1	0.0233519890185153
KDF1	0.0233689898385177
KRT37	0.0234636085967159
IMPDH1	0.0234783310356993
ZFAND1	0.0235681378513601
NFE2L2	0.0236749413448547
NCOR1	0.0239326496783689
BRIP1	0.0239963549948852
CUZD1	0.0240108628292284
NOL7	0.0240384242232694
AMY2B	0.0241126156632631
CCDC7	0.0242247986249339
OR5A1	0.0242648595512599
LTB4R2	0.0243177677210712
ZHX2	0.0243418786988483
PLPP1	0.0243647038603614
OR51F2	0.0244553390255638
PRR5-ARHGAP8	0.0245216318111674
TRAPPC5	0.0245943596886058
PPA2	0.0246447155864161
ZSCAN25	0.0248209745717375
SLAMF7	0.0249974339052788
RNF133	0.0250169655590424
B4GALT4	0.0250258454661845
NACA2	0.0250494347111783
SNAP91	0.0250621784691774
SLC48A1	0.0250867530029051
SLC25A40	0.0251345673478596
MIA3	0.0251718461874398
VPS28	0.025191121267606
CHRNE	0.0252636571367861
HLA-E	0.0253616421943805
CTSK	0.0253682426983732
DSPP	0.0254351727166456
PNPLA7	0.0254698060313649
CRYZL1	0.0254705694005728
THRAP3	0.0255130133703824
GRIK1	0.0258062685673736
OR4D11	0.0258506746486493
KRT38	0.0258700563770446
ERMAP	0.02587879828498
RSPH14	0.0259499370461622
TANGO2	0.0260065328325247
ZNF737	0.0260326389464574
MB21D2	0.0261775139464283
MEF2D	0.0261819459147815
UBE4A	0.0262034540534348
OVOL1	0.0264356943320334
CHAD	0.0264537362278119
CAV3	0.0268736017161822
GJA5	0.0269762109435124
HERC5	0.0270529298029641
C1orf106	0.0271406819465446
SLC5A10	0.0272251419370684
CCNF	0.0273240651782473
C6orf226	0.0273264408446972
RAB4A	0.0273657251592936
DDX46	0.0273947023566654
GORAB	0.0274262858143953
SNX20	0.0275033787811971
SOX1	0.0275981796261724
COL14A1	0.0276097779615567
TBC1D22A	0.0278053089987929
JADE2	0.0278530813907895
ZEB1	0.0278833663808176
EXOSC3	0.0280956401884541
DUOXA2	0.0280973903461419
BLOC1S1	0.0281691266325407
TMEM178B	0.0281860340249095
FCER1A	0.0282283230715233
FSTL1	0.028292728188769
GNAZ	0.0283103615471491
EGR2	0.0284028144054652
CPLX4	0.0284689192151818
PIK3CB	0.0284823329723897
ABCA2	0.0285569632915386
CEP170	0.0285598098716767
OR4D10	0.0286107704026034
TRIM54	0.0286230949119564
DMKN	0.0286448286885439
LRRC63	0.02886333383829
GRTP1	0.0288760107854226
STRC	0.0290420664566786
MATR3	0.0291170299095327
NRDE2	0.0291236725170357
STOML2	0.0291659683973385
DNAH8	0.0293924752302112
MARCH1	0.029411055124746
MAP3K13	0.0294935750836133
ZNF414	0.0295706454584429
BUB1	0.0296240384038071
HMMR	0.0296481023860784
HSPB11	0.0297593749717101
ALKBH6	0.0298062306736488
AQR	0.0298101362243485
FANCM	0.0298329052082998
PDZK1	0.0299125922804706
CEP57L1	0.0301607846869346
SUOX	0.0302362734367556
MCAT	0.0302416448016827
PAGR1	0.030336584780533
NOS2	0.0303495967085288
B4GALNT4	0.03057076362474
PCDHGA7	0.0305793743867278
CAVIN2	0.0305868757785683
OR5P3	0.0307349439534534
TBRG1	0.030787433299993
YWHAB	0.0307898150724644
TXNL4B	0.0308502556655994
ESR2	0.0310493150264833
SOWAHB	0.0312173337892464
C9orf57	0.0312220945722443
ACTN4	0.0312242877104285
EVC	0.0315124024801263
SFT2D2	0.031517225015133
P2RX2	0.0315926034862954
LCP1	0.0317085940246983
TCF7L2	0.0317733790677177
RPE	0.0317880355943196
NBPF11	0.0318563880513447
KCNB1	0.0318730586977031
ERF	0.0320509527071039
TGM1	0.0320925603323594
SAMD5	0.032117113728294
C11orf49	0.0321994069898719
CHRNA2	0.0322810951856072
TRMT1L	0.0323187286508513
SRRM1	0.0323633620296042
GPBP1	0.032739374439043
RASA4	0.0327479830668755
CENPT	0.0327593638628063
FOXE3	0.0327639618368393
UNC13B	0.0328498549094578
ZP2	0.0328508739829619
ARHGAP29	0.0330126229057386
PPP2R2D	0.0332181727006325
NUPR2	0.0332830940295028
MRPL9	0.0333217403004206
IQCA1	0.0333221174312657
LYST	0.0334040578185342
FOXP2	0.0334262358871112
CCDC88C	0.0334305613087394
KCNN2	0.0334470500300612
MFAP3L	0.0335303455730649
G3BP2	0.033559615999654
MUC7	0.0335896020421748
GJC2	0.0335966636968044
KRTAP4-4	0.0335985375198141
TOP2B	0.0337408220757365
CAP2	0.0339269337094403
PGK2	0.0339538900823924
NTRK2	0.033979782725693
DECR2	0.0340288143710495
PODN	0.0340553485182742
PRSS54	0.0340610235809671
SOS1	0.0341298635817613
JAG2	0.0342586850956916
ZNF578	0.03460546419194
APLF	0.03461917802003
WSB1	0.0347697922401012
AXIN1	0.0347789794836001
SIGIRR	0.0348648680618611
CLDN17	0.0350368623459956
REG3G	0.0350869682976748
OR2J3	0.0351942074847847
TNIK	0.0354162701105036
SH3PXD2A	0.0355368247053756
IGFALS	0.0355939498979876
OR4C6	0.0355984744442096
GPR68	0.0356301333098764
CCDC146	0.03568972276798
AIF1L	0.0357277401423858
SERPINE2	0.0357548496043939
HIBADH	0.0357817525511797
CYP8B1	0.0357871582623299
MT1B	0.0358242496632513
NECTIN3	0.0359995252282228
EXOC6B	0.0360178537213046
SLC7A2	0.0360829671265588
KCNG2	0.0361583049564029
ZNF621	0.0361901564860697
TAPT1	0.0364263545729565
NXPE1	0.0364434030778784
ZNF136	0.0365764604621045
SMPD3	0.0366607253545752
IL12RB1	0.03677846310376
WHAMM	0.0367872441813883
SUPT7L	0.0368537649299617
FEV	0.0369504842775261
ARRDC2	0.0369593138905691
NAP1L4	0.0370823209518185
CHRM4	0.0370980279421148
ZNF562	0.0371371781115392
FDXACB1	0.0371414145193985
CFAP58	0.0373043496231694
FAM229A	0.0373624896878236
HECA	0.0373728267298876
CNBP	0.0373759298158895
BAMBI	0.0374201388541361
ELOVL4	0.0374507561034012
NUP160	0.0375565951704411
OR4D6	0.0376740140483703
ADAMTS3	0.0377095964840881
CNTNAP5	0.0379031243454472
TPSG1	0.0379884086017299
LHX2	0.0379903205135632
ANKRD18B	0.0381667896078869
PGLYRP2	0.0383537084847487
ANK1	0.0384180277307926
AP1G2	0.0384194335454952
ANG	0.0384692623346681
SERINC1	0.038496912172969
RBBP9	0.0385554320206669
IGSF22	0.0389910248695539
NAA35	0.0389939870014882
CORO7	0.0390427400805642
IFIT1B	0.0391598976681975
SYNE3	0.0394120304925838
LCOR	0.0394998649446759
CNDP1	0.0396057457821236
MPHOSPH9	0.039630553606454
ESM1	0.03981136258771
ASB4	0.0398792399867002
GOSR2	0.0399795915315205
MMP13	0.0401071143603252
ZCCHC2	0.0401564734991799
TUSC3	0.0402230420774896
NKAIN3	0.0404003977112689
SIVA1	0.0404121742948919
CYYR1	0.0404827089434442
PSMD6	0.0405097759946956
PPP1R13B	0.0405137773397559
SNX4	0.0405621539200868
TRAF7	0.0407128053461624
PDZRN3	0.0408273509237235
NADK	0.0410367170629964
PPARGC1A	0.0412290867708283
CCDC136	0.0413732090907575
KRTAP26-1	0.0416204206775478
CDC42EP4	0.0417965984961046
TMEM269	0.0418940533800822
GABBR1	0.0419508878151788
PLEKHA1	0.042059428388997
DPP10	0.0420664287223879
SPACA3	0.0421538579547608
CHORDC1	0.042209539608524
ADCY7	0.0422203476235463
DEFB132	0.0423035379330725
MGST3	0.0424017654252768
CDC42BPB	0.0424080744401168
SLC15A4	0.0425194300662703
CLIC3	0.0425797122103218
NBPF4	0.0426333300943266
RLN2	0.0426411158039532
SGMS2	0.0427319293162123
KISS1R	0.0428352732197378
MOS	0.0428503088966985
SMARCC2	0.0429637710621738
IL15RA	0.0429779260732381
C16orf46	0.0430667602474555
ZNF845	0.0431012054917701
MALT1	0.0431535709007472
ASB13	0.043188491210071
CYP2W1	0.0431918535728463
EDC4	0.0432167292808286
LRAT	0.0433146153300303
CALCA	0.0433192965785976
SIAE	0.0433317883208419
RAPGEFL1	0.0433518841951471
CHPT1	0.0434521817109308
TNFRSF10D	0.0436444072385886
PFAS	0.0436642604426425
MED13	0.0437846131111473
ACTL10	0.0438434599384528
HOXC11	0.0438782953233415
MINPP1	0.0439403939880566
EHD4	0.0441740458436205
OR13F1	0.0442923250765922
PHC1	0.0443663273934812
MYLK3	0.0444330508702441
NCR1	0.044492599964588
GOLGA8M	0.0445299938811869
LRCH4	0.0445625804475008
ARHGAP19	0.0446935632693306
FBXW5	0.0447374798495254
FMN2	0.0448088204081356
GPR63	0.0448090003337051
PRAMEF1	0.0448153529792891
ATMIN	0.0449364903089636
NRBP1	0.0450588715510757
NBEAL2	0.0450876977988299
PCNX1	0.0452343937900073
OSBPL10	0.0453520639095329
RALGPS2	0.0454431079551754
TRMT10B	0.0454573016519902
ANXA1	0.0454840470821588
SRL	0.0455242519445793
ENTPD3	0.0455681244956843
NLRP1	0.0456058665820834
RIOK1	0.0458331610165986
SSH3	0.0458674255139427
GPR39	0.0458829485780924
RFX5	0.0459783911582026
BIRC6	0.0460060465516891
HAP1	0.0460719615697596
SMARCC1	0.046097202711778
USP19	0.0461827119754498
NKD1	0.0462671392509275
C3orf62	0.0463255860047838
METTL3	0.0463547369306353
SMDT1	0.0463711140128551
ZNF540	0.046423568335028
DMXL1	0.046600187643189
KCNJ12	0.0466277445164092
ZNF428	0.04668657904007
TIE1	0.0469224254834515
TPGS2	0.0469777222958389
PSORS1C1	0.0470491430224769
NPPB	0.0470599407468855
TMEM38B	0.0472732864357751
C3	0.0473385310753681
FERMT3	0.0473663534400673
USP44	0.0474959764747536
KIRREL	0.0475087791829251
NRROS	0.0475391896068328
CPM	0.0477177379561039
C1QTNF6	0.0477420658100147
PDIA5	0.0477435656968956
CCT8L2	0.047845688575593
CCDC88A	0.0479521392025978
CLTCL1	0.0479558777898177
FANCI	0.0480655148640228
KRT28	0.0483567359841488
CRYBG2	0.0483769170668084
C14orf80	0.0484086076920537
HEXDC	0.048439929374595
ATP6V0D2	0.0484444540160912
LARP1	0.048499195346563
SRGN	0.0487428260174222
PRH2	0.0487665272380282
MEOX1	0.0488397690892458
ZNF28	0.0488830623329758
CDK5RAP3	0.0488845008737101
ZNF222	0.0489397280397763
SULT1E1	0.0489425069704225
PATL2	0.0489823671648822
CPEB3	0.0489848250282729
GFPT1	0.0489919576858779
ZNF266	0.0490120043216601
TAPBP	0.0490603920656441
LMTK2	0.0490840368877612
FMO4	0.0490855466127449
PLCB1	0.049160345643471
TPD52L1	0.0491854946576858
CEP250	0.0493708279121028
IFNL1	0.0493911614435777
FCRL6	0.0495629951098864
SLC14A1	0.0496328722193882
FCHO1	0.0496403121737256
SCRN1	0.0496539275374999
TULP2	0.0496863300082986
RECQL5	0.0497898617961547
STIL	0.0498842134967064
FASTKD1	0.0498884072608953
POLR1A	0.0499026697171651
SETD9	0.0499794003518313
AOX1	0.0500952138481039
TRIM34	0.0501506144093472
NUP88	0.0501676920341929
ALX4	0.0501729958545504
KRTAP24-1	0.0501756254438789
SBK1	0.0501838218260628
NARS2	0.050211893205192
SUMO4	0.0502179940047834
NXF1	0.050351838592269
MMP20	0.0504283254923178
ARMC4	0.0504611940703211
CYBA	0.050493898962041
KLKB1	0.0505144078482844
ZNF133	0.0505801452705767
PIP4K2B	0.0506996707559267
MIGA1	0.0507089342630591
SEMA3C	0.0509893898461479
