gene_name	p_value
SLC52A1	3.23077095298885e-05
DCTN2	3.57140092887009e-05
ATP13A2	3.96760622387582e-05
SLC5A1	4.95872976005174e-05
HMX3	5.64731845833499e-05
ERCC4	7.49147262976146e-05
PARP3	8.15531979150297e-05
VPREB1	8.41147110279827e-05
SOWAHC	0.0001480241383367
SLC24A3	0.000157586854096281
IRF4	0.000188544760084453
ECM2	0.000199165256215106
TUBD1	0.000220206469619955
DEPDC4	0.000338915529650041
CEACAM6	0.000403517525809027
C2CD4C	0.000428749975711851
KATNB1	0.000463147114406204
LINC00452	0.000655699743824179
TRIM4	0.000758857074542818
TNXB	0.000835244787156131
RALGDS	0.000852243760958493
GMEB2	0.000965250928177119
LAMA3	0.00101172987580112
TINF2	0.00102506279167625
RUFY2	0.00106762440191654
INTS2	0.0011398194013561
TMF1	0.00116127177911884
CYP2A6	0.0012378407805399
ZBTB4	0.00128037638604994
TRMT1	0.00133822837208719
AATK	0.00137541657841489
CIITA	0.00138299165083355
PLEKHM3	0.00143687648889534
MLXIPL	0.00148004358398013
ACTRT3	0.00159910967436949
DOC2A	0.00161540932566107
FRRS1L	0.00162608188713564
APOLD1	0.00162653689048631
TRAPPC10	0.00173463790881667
BDKRB2	0.00184925702101313
THEMIS	0.0018882290668879
TXNDC8	0.00196827263721921
KRT222	0.00213027074540362
ST6GALNAC6	0.00213370228547405
RPAP1	0.00216018209793989
USP48	0.00234397667069086
IAH1	0.00236738156036875
P4HA2	0.00248283005980876
EFCAB8	0.00257161174878773
UNC13B	0.00259212458124647
ETV7	0.00264870617950153
ACTR3B	0.00277784018853985
SLC25A19	0.00277901383801249
PRRC2A	0.002783367544268
KIF6	0.00281254951659482
KRT6B	0.00289263841993825
STAM	0.00299722225717225
MIA3	0.00299784611160581
NOTCH4	0.00303687480021053
SQSTM1	0.00310086210383165
PAPOLG	0.00312319981634934
AHDC1	0.00320142446974836
WLS	0.00320160132765235
RGL1	0.00337214458590096
RMI1	0.00337311252925243
DEDD	0.00340015426539364
MADCAM1	0.00345029135759156
GCNT1	0.00353773051223671
BNIP2	0.00355032487793683
SOAT2	0.00355237783685713
VPS18	0.00373673802628538
ADRB1	0.00376058846923344
UMAD1	0.0037742350942197
CCDC85C	0.00378049043988149
ST8SIA2	0.00382911866123536
PGGHG	0.00387738676727478
LIX1	0.00398234061896285
MCRS1	0.0039912136899739
GJA9	0.00400149818143181
HNRNPA1L2	0.00410673248231164
SLC29A3	0.00413262643895762
TMEM145	0.00416558523503152
OR6C74	0.00438295263672247
SERPINF2	0.00448544556414299
TTC30A	0.00450042735326406
MOAP1	0.00451624553159757
VWA5B1	0.00451840519706537
SLC41A3	0.00455985268320735
NEU1	0.0046234833878509
RANBP10	0.00465493039535891
DEFB124	0.00471631613868628
RINT1	0.00472341662278364
ACSS3	0.00479174520514936
INTS1	0.00480235218293845
MPP6	0.00483147072114343
ZNF324B	0.00483670770019118
RDH12	0.00487965661248457
TMEM184C	0.00497321054315381
LILRA3	0.00500693831416288
KIAA1191	0.00501951302886849
DENND4B	0.00506279668464438
ZFP69	0.00510105367573876
KNOP1	0.00511552421481998
SEPT5	0.00514486508291656
ESPL1	0.00514636172424465
AMZ2	0.00522318380306996
GAL3ST2	0.00532666460249698
VASP	0.00532803755019451
CEACAM5	0.00534470484392002
CXCR1	0.00545608086077332
PDE3A	0.00557100410321731
KIF20A	0.0056694116556093
DYRK2	0.00567472415917836
GCG	0.00571598408791441
ALOX5	0.00576201184442904
NEURL4	0.00582201591070741
SCUBE3	0.00586918457418251
AQP3	0.00589792023060109
NIT2	0.00608031139666332
ELP3	0.00616283022513275
ZCCHC11	0.00618745905438767
RHOBTB3	0.00621871236063243
NACAD	0.00623367860371971
KIAA0319	0.00638956236097676
SLC35G4	0.00641132408098571
SLC39A5	0.00645198093717547
LRP12	0.00650772606524364
TTBK1	0.006530882372768
MX1	0.00655078505849516
PSD4	0.00655939940099892
MS4A12	0.0065893255157069
C11orf80	0.00670432997358539
LBX2	0.00670974215151132
RNF222	0.00673181206134443
OVOL3	0.00674284425671079
STK16	0.00676808537802631
SHANK1	0.00680246042555943
CAPN13	0.00681128972098832
IGHMBP2	0.00681259567625125
TMEM256	0.00683519606696672
FXR2	0.00691769096506756
COQ3	0.00692715032487756
GRIK2	0.00696498916753441
ZDHHC17	0.00700393412812284
ZNF366	0.0070055094153576
PITPNM1	0.00702360710211891
WDR6	0.00703101089793523
RCN3	0.00706608843671286
TRIM62	0.00710073949060763
TULP1	0.00735502253140752
NIM1K	0.00751834652630412
HOXC6	0.00757782754179748
ACO1	0.00768396263490156
KAT8	0.00769533897491348
EID2B	0.00770385261496132
ZIC5	0.00781595587371553
CDK5R2	0.00783953774977564
CD48	0.00784287835005248
LMTK2	0.00784562965255786
NT5DC4	0.00784876562582837
UQCRC2	0.00788824495433826
KCNS1	0.0079332726953284
ABHD14B	0.00797368369740392
HIST1H1T	0.00802688743190161
NUAK1	0.00805846099969121
OCA2	0.00806079572572782
C12orf50	0.00809841112340648
TMEM38A	0.00811300020322803
MPHOSPH9	0.00812915445110818
ODF3L2	0.00814461049281301
GMIP	0.00815260734599832
KRTAP10-6	0.00820038669947276
SERPINE3	0.0082107141574812
SPATA31E1	0.00821207674480173
C6	0.00836691542634849
DAB2IP	0.00839666928412008
FNDC11	0.00851821335082859
IRX3	0.00859261655992349
IQSEC1	0.00866337318101273
OSCAR	0.00870105608044425
SEPT9	0.00877156081797625
TMEM127	0.00882521936171427
FAT2	0.00888188330687312
FCRL1	0.00889814643022491
DCAF5	0.00900641600903629
ACCS	0.00905920399570492
HOXD10	0.00911381345806783
NLRP7	0.00914232554156735
ELP4	0.00914694694216445
SEMA6A	0.00916536514904065
TSPOAP1	0.00918243503697214
WIPF2	0.00942987878102508
UPK1A	0.00944268689804573
CHST2	0.00949615109160284
C1RL	0.00950501845291263
OR13C2	0.00955855807460382
WISP1	0.00970857911269107
GNAT1	0.00977078200867076
MAP3K11	0.00980517362820243
IFT80	0.00982034142468613
GPR132	0.00987795883746034
OTOR	0.00989339914370979
CLEC10A	0.00991327006277876
LGALS4	0.00996682484432987
CXCL14	0.00998537890243249
AQP4	0.0100373194595542
HIVEP1	0.0100551475934942
USP20	0.010153273967709
POFUT2	0.010175139731644
GUCY2D	0.0102418425844807
C8G	0.0102461940229707
KLHL40	0.0102499559838595
GNL1	0.010279019848368
NSMCE1	0.0102831304355827
AP2B1	0.0102941581973401
RNF185	0.0103252563347129
ITGB7	0.0103625697840363
GBP7	0.0103628125268157
GGA1	0.0103932208946843
GRAMD1A	0.010429561924221
ASZ1	0.0104306929564402
CLDN8	0.0105039911248365
MFF	0.0105339993026606
ANKRD24	0.0106422095924378
AMT	0.0106936051688145
SPATA3	0.0107194130420174
OTOP2	0.0107340813418696
DCDC2C	0.0107813884781979
EPS8	0.0108080949971979
PLEKHG7	0.0108475148082756
CYP2J2	0.010876258616326
GCFC2	0.0109344701766806
RRN3	0.010954493239266
PLXNA1	0.011073807208026
ACSF2	0.0111071347098186
ZCCHC4	0.0111088799079069
TLE3	0.0112622122285332
TMEM88	0.0113184733699179
TRIM29	0.0113380453265152
ASPH	0.0113409318505618
TOP3B	0.0114378910655062
HSF1	0.0114622174841849
DHRS2	0.0114649043902938
ACSS2	0.0114651626022798
HTR1A	0.0114896493931463
MYLK3	0.0114906750473872
ARHGEF16	0.0115478582078266
LMF1	0.0116425512231084
TGFB1I1	0.0116746207959921
HEBP2	0.011686791120967
CIC	0.0117031843375234
DBI	0.0117253131578439
SSPO	0.0118566764040851
OR5D13	0.0118865327517793
MAGEL2	0.0120178717810946
AMPD2	0.0120483083987193
PDE4B	0.0120660982494042
CCDC155	0.0121158928930214
ZNF717	0.0121561661805156
MSLN	0.0122404154268152
NUDT17	0.0123037699056523
SLC38A10	0.0123374509101462
MNAT1	0.0123993428080231
CD27	0.0124089514842052
NRG1	0.0124352832574526
DLX3	0.0124395022660053
BHLHE22	0.0124799668234207
ACOX2	0.012546116481313
ARHGAP17	0.012689445195578
SOWAHB	0.0127152893043554
LOC729159	0.0127193812912018
NIPSNAP3A	0.0128588879567175
CPB1	0.0129420948669071
C10orf67	0.0130233910221922
COL23A1	0.0130597889942743
VWA7	0.0130612342191276
LGALS2	0.0130741918943662
ZNF701	0.0132463610123714
PIK3C3	0.0132540112378554
HLA-DQA2	0.0132842372383698
MFSD1	0.0133581006476724
KPRP	0.0134239097720724
EDC4	0.0134724588348657
TRAPPC3L	0.013514096977242
SPOCK3	0.0136780115319233
RGPD3	0.0136884832303177
SELL	0.0136895710616122
FRMD5	0.0136925499758446
SLC17A3	0.0137440486590434
ERICH1	0.0138872290141786
REL	0.0139454604817669
PEF1	0.0139583385508171
DNAJC13	0.014010285697755
SCAF11	0.0141185385635039
TP63	0.0141202623412828
GHITM	0.0141262986076127
PNLDC1	0.0142587754080225
ZCCHC14	0.014331768894608
GLUD1	0.0143596531239658
NTRK1	0.0143647875411371
ADAMTS19	0.0144467037249671
YIF1A	0.014458671351753
PRSS8	0.0144623528978683
TESMIN	0.0144653268106117
SLC26A4	0.0145877065275332
HHIP	0.0146166806329828
PGS1	0.014621467274089
IL17RE	0.0146238840470821
DNAAF1	0.0146402407351818
NIPSNAP1	0.0146459880625834
ZNF347	0.0147470080166254
CYHR1	0.0147759818297271
GRAP2	0.0148731303038343
PYGO2	0.014927659882678
ATF6B	0.0149430727832024
ASPHD1	0.0149664894990414
LRRC40	0.0149680994209838
MARF1	0.0149906702640971
HOXB3	0.0150006130684455
RAB38	0.0150260113040079
RAB44	0.0150314388149173
MAFA	0.0150974454061955
CFAP61	0.0152628978984322
HYAL3	0.0153219545268077
TEX37	0.0153420467881635
TAF8	0.015473446781647
CSNK2A2	0.0154882822189513
WFIKKN2	0.0154971462589203
AES	0.0155072025872859
CHI3L2	0.0155567083077752
FAM172A	0.0156009892800822
SLC11A1	0.0156136319210304
CKAP2	0.0156757850202379
AP4M1	0.015692783769034
RPA2	0.0156968387796388
KIF2C	0.0157240509738579
ZBTB5	0.0158243676592211
TCP11	0.0158984075342918
RTN4RL2	0.0160828473312774
CLDND2	0.0160923260669679
ITGA9	0.0161676261996253
ATP5O	0.0161917722609308
OR10Q1	0.0162240967640719
ACSS1	0.0162402824528324
ELK4	0.0162493582387195
YY1	0.0163185335018237
FRRS1	0.0163323036129274
ZNF791	0.0163964247071106
C1orf141	0.0164520836401287
GCAT	0.0165065577063287
MED1	0.0165774636435476
FADS6	0.0165827700650422
MON2	0.0166084554344688
CABLES1	0.0166391915641239
KDM6B	0.0166781566310117
ZNF367	0.0167349876709518
A1CF	0.0167546684398623
MGAT5B	0.0168209762827892
ROBO1	0.0168329579324926
