gene_name	p_value
C1QTNF9B	7.21234198142184e-07
ZCCHC7	9.57073888363524e-07
OR7A10	1.9277396098305e-06
C11orf74	3.1751617321229e-06
LLPH	6.06708505501707e-06
TGIF1	1.11361646655261e-05
PRKG1	1.53025778798499e-05
KCTD5	2.10703008772795e-05
VCPKMT	2.14781512968276e-05
MOS	2.1704301607417e-05
PRR4	2.52546837914425e-05
CCDC117	2.52656131641826e-05
CHRNA6	2.70411432553574e-05
KCNH8	3.08449856297743e-05
KLHL41	3.45899241637193e-05
SEZ6	3.58282013210864e-05
F3	3.69763448697658e-05
HEATR3	4.11791010911378e-05
SLC6A2	5.64771452603585e-05
RNF14	6.41109338109791e-05
RMDN1	6.92690066249613e-05
ZNF732	7.52082547841315e-05
NTRK3	7.70798833455988e-05
MCM2	8.10640956285802e-05
C14orf80	8.50777447410911e-05
SLC17A8	9.80492470731287e-05
PAPD4	9.87375095660159e-05
TBC1D22B	0.000105988810300439
CPSF1	0.000140275247746069
MPP3	0.000148169386399388
DNMT1	0.000155501973323813
ZNF585B	0.000167614775274494
CFAP69	0.000172356563441611
GRM5	0.000195352990841391
PEG10	0.000200932986104685
KMT5B	0.000219232204694775
CNBD1	0.00022469252987789
HUNK	0.000238158457137039
AK8	0.000258748172949463
SLC35A5	0.000278144122592305
GLYR1	0.000282441263490418
PER1	0.000326180620980665
SDC4	0.000330626443000193
TP53RK	0.000345982123038158
IAH1	0.000387298944989123
COLEC10	0.000393424360812467
APCDD1	0.000411121397473901
FSCB	0.000416093618173075
SLC2A5	0.000426897362258538
DGUOK	0.000430654581215495
GLIPR2	0.000438045525422148
USP5	0.000451904273648274
VWCE	0.000452855712206546
ZSCAN25	0.00045391193547184
TRMT112	0.000475344426880131
GALNT3	0.00054990100246511
RASSF3	0.000573232883666175
TECTB	0.000578879790356535
PYCR3	0.000600622977323995
ATG4B	0.000606332100626106
LRP1	0.000607685391807555
AKAP7	0.000630448304409281
FAM83C	0.00063994350796226
OR7E24	0.000647742766661574
DISP3	0.00073618963658284
SLC35A3	0.000763707118333401
CCL22	0.000763889415116611
CLECL1	0.000774354639962736
MARVELD2	0.000785183080944218
KREMEN1	0.000794856993838189
CHURC1-FNTB	0.00079511843512603
NWD2	0.000826325580214116
RD3	0.000846815984362912
MNS1	0.000889130315526524
ABI1	0.000895912514299879
CYP11B2	0.00090928931997869
FNIP1	0.000936802086355937
CD247	0.000944907657717708
RAB5C	0.00097162214684221
MYH7B	0.000978896086183623
SEMG2	0.000988126205053175
PKLR	0.00098916408907368
CDH13	0.00100527876341006
CFAP126	0.0010482446366172
SPIDR	0.00104866276886262
ADGRG1	0.00109167921550346
CAPN15	0.00109475615655352
DDX54	0.00111490607536391
PKP4	0.00111552014751437
ELMO1	0.00113983936444462
AZIN2	0.00116455292555084
CTR9	0.0011731409556861
PTPRO	0.00117925644386518
ICMT	0.0011854537132836
WWP1	0.00118546976939427
MED22	0.00121714655132887
ZNF132	0.00124473708501205
COG7	0.00127336955952728
GRIP1	0.00129209263812691
GALC	0.00135042560744691
IDI2	0.00140367037852429
MTCL1	0.00140775301529994
NEK4	0.0014082755667979
ARHGEF4	0.00147283203412563
SLC22A4	0.00147807980663262
FOLH1B	0.00150772366630481
UBAP2	0.00154207185288224
AQP9	0.00162832909857558
CALR3	0.00165138887613137
FBXO41	0.0016557583660477
RICTOR	0.00166669419918863
LAP3	0.00168760278055979
POLM	0.00169132531539307
CCDC150	0.00173519055013882
LEF1	0.00174294047067924
IVL	0.00179976095988466
DACH1	0.00181466403186059
PPAT	0.00182339368755783
KIAA0319	0.00184119993349918
TMEM156	0.00185668089080959
COLCA2	0.00189693492983012
RIPK4	0.00191332510480213
TET2	0.00193640202918111
TMEM45B	0.00194729949156591
CYP19A1	0.00196081524253378
ATP6V1B1	0.00200103398789753
COG8	0.00201973227486707
BCAS3	0.00203120837973081
FAM160A2	0.00204065589002422
SIPA1L3	0.0021052502094393
CNGA3	0.00212766699484401
PSMD13	0.00224295548910247
RAD52	0.00230563381805426
LRRC52	0.00231378446740471
ARFIP1	0.00237288682232928
CIDEC	0.00240755249914515
SNX13	0.00243832709245428
SRGN	0.00246402891150318
DENND5B	0.00252008460437581
ABCG2	0.00258029591252718
HSPG2	0.00260101093028275
HAVCR2	0.00261972624789897
GPR156	0.00267346618406383
LIFR	0.00272253326181937
PCSK1	0.00275039360543028
BTNL3	0.00282663305074426
C1orf168	0.00285006414733646
SLC45A1	0.00286671267091321
MED19	0.00287445783350448
CEP350	0.00293995468128927
HSPA4	0.00300360047977366
SYT8	0.00316543902091748
FETUB	0.0031794524612091
GZMB	0.00320757593989962
EEF2K	0.00321592501865686
PSMD1	0.00325884675580013
RUNDC1	0.00337935157617908
GNA12	0.00339133376981027
MSANTD3-TMEFF1	0.00340539818020336
KCNH1	0.00354242023280882
SLC39A12	0.00374115115793461
RECQL5	0.00374947322220442
KIF21B	0.0037833087278295
RAPGEF4	0.00378835875377082
ALPK3	0.00379835299213382
C15orf48	0.00381835427422583
OR9G4	0.0039400652533047
RMDN3	0.00396287827978868
CIAPIN1	0.00422374809131387
ANGPT2	0.00437746409096174
ZMYND10	0.00440068438196195
PDE6A	0.00441707011419601
PGC	0.00445023261125221
TNIK	0.00446689580908466
PIK3AP1	0.00449997779198219
HELT	0.00450527196723016
PLEKHA5	0.00456015799915932
KLB	0.00459010263339199
SDS	0.00459190478654503
TEX14	0.0046071723875345
LNX1	0.00461908806603728
DENND6B	0.00462093475837921
SELL	0.00477127562863555
BMP3	0.00479232382858796
ZBTB34	0.00480904797651971
CDH5	0.00484298790134297
DPCR1	0.00488533308969663
TYRO3	0.0048878954447763
CASP8	0.00492823350161642
UBASH3A	0.00496110903500413
COMMD3	0.0049745854755312
STON1	0.00515306714709018
USF1	0.00520108393789542
CAPN2	0.00522521189950875
DOK2	0.00526681142799923
ZSCAN10	0.00529136508323658
NAA16	0.00536676571911887
THPO	0.0054121309152646
KCNC2	0.00551042607772592
PIAS4	0.00556748341833335
TIGD3	0.00565335049863847
SFSWAP	0.00567551876201267
FGFR1	0.00569735405861804
VCAM1	0.00582343785525219
TMEM104	0.00584218659556734
RUFY4	0.00585367369753997
GALNT12	0.00590238499163265
TNS3	0.00592797112622734
FRS2	0.00600176816514186
AQR	0.00605028766611138
ULK3	0.00610383048835172
ZNF532	0.00614841466449312
ADGRG6	0.00618404263368177
CWH43	0.00634488650880849
MFN2	0.00639250629215327
TPSG1	0.00641598781844654
BLVRB	0.0064244917992301
ALLC	0.00652305543624587
LAMB4	0.00658333893324192
TRIM10	0.00673504394302715
ASIC2	0.00674468801619588
SCN7A	0.00675951264069719
WNK1	0.00677641554753294
ZNF793	0.0068079180174877
CLDN12	0.00681883448117207
ZNF138	0.00705372092738166
CDH2	0.00708865917528245
SLC16A11	0.00714775567746606
IL16	0.0071666513650801
NAA25	0.00751670728681286
LUM	0.00758799390827769
MPDZ	0.00790191227347192
MRPL2	0.00800229803589658
FSD2	0.00814874771251613
C5	0.00818276758196113
GOLGA6L2	0.00840949780160838
FLYWCH1	0.00843153729171431
DHCR24	0.00848434891246164
NUP210	0.00854766135027973
HTR3C	0.00863303132467597
PDE3B	0.00864215463333329
ARAP2	0.00866413097438645
PIK3R4	0.00869567254832015
MRGPRX2	0.00869641898395446
CHAC1	0.00885067478505419
CCDC93	0.00886034188772034
FSTL5	0.00891251008973504
BMF	0.00892532681073843
PDP2	0.0089895954747532
GTDC1	0.00903841519258053
RHOT2	0.00923216513263359
LMBR1L	0.00925506397696574
HPR	0.00927647716668023
DALRD3	0.00945607017041472
KLHL25	0.00957666021032755
ZNF883	0.00976118174886664
MC4R	0.0097957467570688
PCDHB8	0.00980875649921809
PROCA1	0.00983587128958296
RAP1GAP	0.00985309902550147
MUC6	0.00987838757613557
WFIKKN1	0.00995004519410991
PLGRKT	0.0101616448439138
SHANK3	0.0101772208289909
OPRM1	0.010315189232592
ATP10A	0.0103843233647961
C3orf30	0.0104550108336237
SLC37A1	0.0104563016022687
NCOA6	0.0105102929175362
PLPP4	0.010584483427035
ANKRD6	0.0106144835709733
E2F8	0.0106275385943325
SLC6A5	0.0107292643250335
NPIPA5	0.0107394322702884
KIFC3	0.0107557451512542
C1orf159	0.0107771582808386
AKR1B10	0.0107916978895126
UBE2O	0.0107960369897983
MYH6	0.010805429004467
VEZF1	0.0108095955252636
PLAGL2	0.0108497862949685
SLC35E2B	0.0109473882548935
MIGA2	0.0110075348643408
TMEM178B	0.0110225211191277
FOXJ3	0.0110761923725917
NLRC4	0.0111246986399693
AKAP5	0.0111375227769472
GFI1B	0.0111568596034792
ZNF354C	0.0112771538900908
DGKH	0.0112975838774779
JMJD7	0.011315217495003
ZNF846	0.0113268047991273
CLSTN3	0.0114209352550129
YJEFN3	0.0114973389466863
LOC645177	0.0115228553068105
CSMD2	0.0115479110347088
MCM9	0.0115647753233014
NBR1	0.0115669698694063
GPR83	0.0115715830857197
RELA	0.0118086856243915
INAFM1	0.0118604696414448
FAM173B	0.0119521635378018
CYP2C18	0.0121530759470997
CYP2C9	0.0123201331040117
FARSB	0.0123690177549403
NDRG4	0.0124244277662968
UPK3B	0.0125001577976451
RIF1	0.0125073831832102
HRNR	0.0125835545745989
OR52B2	0.0126652589101658
TCTN1	0.0126794484643746
STK11IP	0.012815829011552
OR4N5	0.0130345260527828
AXIN1	0.0130920220393588
EFCAB1	0.0131628948033914
MAGI3	0.0131915582971305
C17orf53	0.0133036364321677
ARFGAP1	0.013324124709377
TBC1D19	0.0135389105764757
HDGFL2	0.0141791178282958
KRTCAP3	0.0141798010102326
ATP8B2	0.0142024183589273
IPPK	0.0142115869154592
LIMA1	0.0142234823575874
KANSL1L	0.0142474359363578
RASGRP4	0.0147084593093971
C1orf112	0.0147143845009896
STAMBPL1	0.0148040029429073
SDAD1	0.0148969513879643
TMC2	0.0149247288231245
ZMYM2	0.0149481554131297
RAD51C	0.0149958730094659
PTPMT1	0.0150595910920283
ZNF8	0.0151473209505685
DNMT3L	0.0152827951598651
PDCD2L	0.015350075197181
EN1	0.0153524179748812
PRAMEF13	0.0155727688105263
RAB34	0.0156068748844171
ODF2L	0.0157228499814758
PRSS47	0.0157576519874157
DPH6	0.0158002866709994
