gene_name	p_value
PCBP4	2.17751431209612e-05
CEP57	2.53764604423168e-05
HID1	3.42180205117337e-05
OR5I1	5.51807220523504e-05
PRADC1	6.00379882556012e-05
KRT13	7.63083584811586e-05
SLC6A9	0.000103133580257264
RASAL1	0.000125737656434088
ERCC1	0.00015592890746785
NKAIN3	0.000163239308768603
PHTF2	0.000171053683587274
CHORDC1	0.00019397657676945
CPSF3	0.000205364817633003
ZG16B	0.00024141917848719
PBK	0.000262852987746198
SCRN1	0.000280615970830067
TSTA3	0.000330478183598548
ZDHHC7	0.000346563539054934
RBKS	0.000363408461369508
ZNF16	0.000392445808434339
PRLHR	0.000496744788959336
ATP8A1	0.000549484444747894
SAMHD1	0.000562201747388746
ATP10B	0.000708299188928341
TMX1	0.000800788027900845
BMP10	0.000870447003496477
ARHGAP27	0.000878903703441791
SOS1	0.000879764585207887
DZIP3	0.000889468771889446
TRIM43	0.000895785343017486
CNBD2	0.000934409306658002
CSN2	0.00094077192216302
TSTD2	0.000980648227842384
NOXO1	0.0009901291963752
CD6	0.00100172163554546
LYZL1	0.00102133719900688
KCNA7	0.00102630018873362
ATP13A2	0.00107355327912695
PLEKHM1	0.0010814548176945
CHAF1B	0.00108783598412998
KNOP1	0.00111924869509261
RINL	0.00114299394158812
C17orf49	0.00116441152298102
GLYAT	0.00119718787567524
IQCF1	0.00132970552693168
TMEM35B	0.00135529341268437
ZNF285	0.00135986856233139
AQR	0.00137269599649159
SLC38A11	0.00144699108185542
NCKAP1	0.00150022105627412
SAV1	0.0015785785494814
TCF7L1	0.00159092588790877
ZNF446	0.00160014352191917
DLX1	0.00164997334222905
WFDC3	0.00176851820130353
ATG2A	0.00177906085106505
FAM155A	0.00179359616102948
ZSCAN18	0.00190084096812726
LRRD1	0.00195444115049748
CLIP4	0.00200964099146572
ZNF606	0.00202877608757601
MRPL15	0.00203116348085264
APBB2	0.00205712458859963
TWNK	0.00207059548002064
PUS7L	0.00207072557999444
TAS2R39	0.00214229888180961
SHE	0.00215451967743963
CDK5R1	0.00218994650489257
GPRIN1	0.00221728335956473
PKD1L2	0.00221743522215023
SLX4	0.00222222982800169
IGF2BP3	0.00222493536595214
BTBD6	0.00227926163452419
C1QTNF5	0.0023196433115652
OR52D1	0.00236263895019451
SLC27A1	0.00253579802263015
SUN3	0.00268136449353829
MAP2K3	0.00271577422141711
GORAB	0.00273068217276395
CCL18	0.00273898092836478
OR8D2	0.00281836804179658
ZNF134	0.00283699076111654
OR4K13	0.00288522791886414
H6PD	0.00293956082257518
NRROS	0.00303839922372751
OR10J5	0.00308598002331562
ZNF484	0.0031147537017685
CD2	0.00315884897227237
MDC1	0.00317633186834021
TBC1D15	0.0032066619045038
NARS2	0.00329658119487275
CABYR	0.00330329172446564
TEX19	0.00343472899007025
ATP6V0E2	0.0035592640298876
SDR39U1	0.00362179801862994
GRAMD2B	0.00364107795365298
VSIG10	0.00371702416753827
ZCWPW1	0.00379085464836471
LDHD	0.00381499140606023
TAS2R10	0.00384038007698007
WEE2	0.00392182477870184
PRELID2	0.00397128472844943
GARNL3	0.00401707601597079
IGF2R	0.00403640874737043
TAAR1	0.00404098755807747
