gene_name	p_value
CFAP69	0.000196431103700601
TSPAN31	0.000305110544933576
RAPGEF4	0.000393618875788482
KRTAP12-3	0.00060818147517061
PLPP4	0.000655529720886894
LPIN2	0.00100415181534164
CLECL1	0.00106160737546755
ADAMTSL2	0.00116055444976149
MUC6	0.0015081842754443
CHI3L1	0.00168637099875568
TRMT112	0.00189779983097627
PDZRN3	0.00192941953344017
CFAP206	0.00214257948296459
CFLAR	0.00222550751310069
CD247	0.00227380905027275
HSPA4	0.00241698387716593
MTCL1	0.002581140264445
CR1	0.00264169192241026
GAB4	0.00279930632291903
PRMT8	0.00296907128381962
ZNF846	0.00303671280802986
ZNRF3	0.00304279663935747
GLP2R	0.0030907561543374
OR7E24	0.0031062763191998
HECTD1	0.00311716850422172
HLA-B	0.00316706020065172
CEP162	0.00328331620796718
FEV	0.00376880779780227
SLC6A5	0.00389007358574987
CBFA2T3	0.00406301875217319
SERPINA1	0.00412110632038198
INSM2	0.00423046873779875
TTC29	0.00427965214022574
C1orf123	0.00429006405929455
C9orf129	0.00435253248943424
APCDD1	0.00436600671986165
NR4A1	0.00449136887080193
MTHFSD	0.00454872298961995
GDF11	0.0045537387652238
CES3	0.00476464445685754
SIPA1L2	0.00488556366150261
TMEM45B	0.004998695918493
UBE2O	0.00506579376288818
PARD6B	0.00522869883348032
ZNF813	0.00536767705236096
ESM1	0.00547383863756679
CEACAM16	0.00552391928229412
MPP3	0.00553376618327051
PPHLN1	0.00557373836589714
OSCP1	0.00557490835744223
PSMD2	0.00561910481030536
BLVRB	0.0056923404374033
COL9A3	0.00570294452705411
DHCR24	0.0057900218631558
BECN1	0.00580487465232975
ETNK2	0.00584099609683142
SLC17A6	0.00585680313690051
CNTD2	0.00588023831904549
SYT15	0.00599130419393434
EDN3	0.00621119407732882
CENPQ	0.00628509788767827
OR4N5	0.0063420350144423
FETUB	0.00650074987202265
NTSR1	0.0065789836215574
CHD7	0.00668924437520213
ABHD13	0.00669029386397879
SLCO1A2	0.0066908198221064
FBP2	0.00669910651264738
ARHGEF18	0.0069194659321028
CBARP	0.00726633564226842
ALKBH8	0.00755098414411981
USP5	0.00760273940018474
TDRD7	0.00765956061552653
IGLON5	0.00773939066228424
SLC35F1	0.00793484743920847
IGFL2	0.00805522831289118
SARS2	0.00820542208006547
FRS2	0.00854114919538018
SSRP1	0.00857342909538306
SRGAP1	0.00873872089925465
MYBPC2	0.00874258460838018
C16orf96	0.00883491827940308
SWT1	0.00891511022013092
NCAPD2	0.00899992880678924
RASA3	0.00903804414157472
PRRT2	0.00907407014544437
GPR153	0.00935731218495395
ZNF17	0.00937747135451139
CRISP1	0.00944134533864982
PLGRKT	0.00944987652175688
FREM1	0.00953952216646481
SLC35C2	0.00954841718964927
CCNF	0.00959980325178245
STAM2	0.0096214626644433
NR3C2	0.00971002368097018
TRMT1	0.00977086511226077
FOLH1B	0.00978499019654588
MSC	0.00979152357836477
NXF1	0.00987397740952778
SDS	0.00989942394838383
LGALS13	0.00994394159732637
SEMG2	0.0100134683280575
NEK3	0.0101322965893343
TMC5	0.0102005447214644
VN1R1	0.0104187871135575
BICRA	0.0104419594093242
DLX6	0.0106429657666188
RNF216	0.0106989270609463
METAP1	0.0108377359582119
TOX3	0.0108538240282482
AQP9	0.0109099535374535
ASAH1	0.0109384954975077
NPAS4	0.0109865702056675
HRNR	0.0110119278297824
ZNF607	0.0110527311450453
CBS	0.011148644077984
ZNF497	0.0111957486843057
PERP	0.0112894676880732
CHAF1A	0.0113289777531571
TIGD3	0.0114022106309188
MUSTN1	0.0115243916785102
CCDC93	0.0115298915587458
TCF25	0.0115915274345777
WNK4	0.0116073913410222
EXOC6B	0.0117863548326678
RAD54L2	0.0117878565493605
FRS3	0.0119143678059956
SPOCD1	0.0119601732889233
RTP5	0.0121798285134871
ERVV-2	0.0123300124665042
FBXL12	0.0123666807847448
IFT57	0.0123857928653359
CIAPIN1	0.0124092422588062
NDRG4	0.012426192343325
LAP3	0.012818821840614
ZNF763	0.0129217369951904
BLOC1S1	0.0131104013296199
ELF1	0.0131829904636148
TRPV2	0.013290904134704
ELMO3	0.0133755808710078
C11orf65	0.0134937469568043
IL31RA	0.0136667407820832
RIPK3	0.0136886102672448
C2CD4B	0.0137633159208584
MKL1	0.0137920525672796
TMEM51	0.013806046132869
LRRC3	0.0139954999086376
LYG2	0.0140238266763398
SYNE3	0.0140950403291146
GHITM	0.0140994776583481
TMEM150C	0.0141387391403853
ZBTB8A	0.0141865281035876
LRRC52	0.0142150025688145
ZNF354B	0.0142905764571465
MAIP1	0.014418297044049
MADD	0.0144335642339455
ATP8A2	0.0144726944285665
LACTB	0.0145623787522552
G2E3	0.014637501935084
SHBG	0.0146475425641276
SUN2	0.0147675005967618
TP53RK	0.0148159792615247
ALPL	0.0148702582972388
LCNL1	0.0149149317903635
ARHGAP28	0.0150430328296471
CTNNAL1	0.015191943542418
PROM2	0.0152040782511755
SORCS1	0.0152742331181754
RD3	0.0153510934681148
DFFB	0.0154467475952571
C19orf54	0.015596014016824
WDR76	0.0156111467456945
UBE2W	0.0156924455479865
TDG	0.0157815826270128
FGFR1	0.015784386511507
RAX2	0.0158270373614595
RASGRP3	0.0158816699616927
IDI1	0.0159212001926406
SRGN	0.0159512060945211
LRRC20	0.0160688909376876
CCR7	0.0161278653352616
CDC16	0.0161306504779744
PTPN7	0.0164079474099166
POLL	0.0164628286175761
LIFR	0.0164878217517281
CCDC124	0.0166166809937923
CSF2	0.0166772023945119
STAMBPL1	0.0167721086261666
SDE2	0.0168152967018568
TACC1	0.016991993621878
SPINK1	0.0170513098473366
LRTM2	0.0172449254137291
HMGA2	0.0172909653418963
PPP3CC	0.0173736174111399
KIF5B	0.0174138275725326
KDELC2	0.0175099062076334
TMEM132A	0.0175307674363259
MIF4GD	0.0175789985041702
TSPAN12	0.0175789985041702
AFM	0.017708608419765
LGALS9C	0.0177416485744082
OR2T2	0.0177698312535718
FAM159B	0.0178724581248729
LRRC10	0.017982028974597
KIAA1257	0.018016575505183
SIPA1	0.0183842586884249
DOPEY2	0.0185372325370785
RELA	0.0189137162556413
SPIRE2	0.0190225108642825
KANSL1L	0.019025569231791
LYPD8	0.019152412639128
CRTAC1	0.0191697707449269
LPIN1	0.0192124783272526
KRT76	0.0192546451538109
MED30	0.0193260810160489
LEF1	0.0194542913315837
KNOP1	0.0195467524141869
ZNF816	0.0195720858610137
ERICH2	0.0195900701115581
CDH15	0.0196684858903153
NCR3	0.0197068728135789
FAM173B	0.019718205027289
ITIH5	0.0197921670977201
IAH1	0.0199443478747203
MROH2A	0.019967061639477
MRPL12	0.0202415713372518
NFATC3	0.0203256090552321
VILL	0.0203959446458585
BCAS3	0.0205405980501147
CYP11B2	0.0206199122113562
GPR155	0.0206666739697039
FNDC3B	0.0207901841563091
PRSS33	0.0209016144078071
RINT1	0.021082995946204
NOL9	0.0211782887849298
TYW1	0.0212557532245683
PLA2G2F	0.0212618660966419
CDH8	0.0213366694472084
GMCL1	0.0214429137611576
PPP2R1B	0.0215727747349621
NLRC3	0.0216915361399104
C15orf48	0.0218945958798736
ALDOB	0.021898546794258
PTPRR	0.0220027031247459
ATIC	0.0220478766231075
GPA33	0.0221617616483445
TRIM54	0.0222178068303852
TGIF2	0.0223418770125239
SEMA3B	0.0226015134412044
PCNX1	0.0226226288098158
KRTAP10-1	0.0226575504173256
SLAIN1	0.0230027609507532
STARD3	0.0230166266680811
TMEM156	0.0231791459153673
ACAP1	0.0232302169233674
TBX21	0.0232445671903654
SGSM1	0.0232494048277309
ABHD8	0.0232786368965334
CNTN3	0.0233123621489048
HLA-DOA	0.023323856654178
ERMARD	0.0233372000827754
PACS2	0.0234402155524081
MRGPRX2	0.0235357621017038
MED26	0.0236519203702932
SIRT3	0.0238656628793475
PROSER2	0.0238964217970683
TUSC3	0.023952135246066
CFHR5	0.0240119735925558
CRB1	0.0240231393744295
ATP13A5	0.0240724186787138
OR2W5	0.0241811585150701
ZC3H11A	0.0241875713849178
SYT10	0.024295667799058
C5	0.02431013024013
MFN2	0.0243778279729174
COG7	0.0245727490603854
NFASC	0.0246203557762578
SCN2A	0.0247278835176893
MEFV	0.0247471382556335
ST8SIA5	0.0248244849274971
ELL	0.0248792813816379
PRLH	0.0248928576419448
PCM1	0.0249253513176403
BCAT2	0.0250317398366696
CEP126	0.0250775777304364
NOA1	0.0251235000258504
LYPD3	0.0252334870340548
SLC45A1	0.0253037226743653
TTC39B	0.0253067864950974
WWP1	0.0253761066072427
KCNC2	0.0255492872778316
FZD2	0.0257106409654526
DDX4	0.0257561158318177
BCL2L2-PABPN1	0.0258327907669991
COL14A1	0.0258639001918494
SLC35A3	0.0260170315634594
SYCE2	0.0260824093764287
GPR139	0.0261787854614677
CNST	0.0262391924768258
LRRIQ4	0.0263733648390369
HHLA1	0.0266625039230145
KCNH8	0.0268363454742505
ZEB1	0.0269068335991903
ZPBP2	0.0269311078839475
NCEH1	0.0269646403827212
CNTN4	0.0269713760791195
ANXA2R	0.0271338364289232
BBOF1	0.0272252376724437
TMEM255B	0.0273380667103349
OR8D2	0.0276363370518267
SH3D21	0.0276812979147341
HERC3	0.0277145914265364
PVRIG	0.0278802710888445
GPR37L1	0.0280611098972828
KDM3B	0.0283362346609357
TSPAN32	0.0287352894909351
COLEC10	0.0288357022424593
CD2AP	0.028843364397279
FABP6	0.028850933412306
TMC1	0.0289301159297731
AKR1C3	0.0289391838378377
ATXN2L	0.0289533675361534
AHDC1	0.0289672906665337
NCOR2	0.0290401817512768
BTNL3	0.0295012257545503
ICMT	0.0295097465874009
C1QTNF9B	0.0296244217518223
SENP5	0.0297241320756423
MYLK4	0.0297921645696603
EYA3	0.0300564958717181
NASP	0.0300905064808759
CD248	0.0301100731451058
BCAT1	0.0302184924419077
IFITM1	0.0302485216083509
SERPINA12	0.0305436447078788
ZBTB1	0.0305683572047161
LCN1	0.0306297496536703
RYR1	0.0306711954712584
WDR72	0.0307870740115017
DNAL4	0.0308353335703311
LRIG2	0.0310312006578095
RAD21	0.0311274784104354
C6orf47	0.0313321346545202
MINPP1	0.0313840774059332
JUN	0.0314867179561515
CDK15	0.0316022567282127
RAP1GAP	0.0317028290650407
NTNG2	0.0317832250830928
AP1B1	0.0317886502638621
HIST1H2BG	0.0317971733673905
SUSD1	0.03203155750776
ARHGEF4	0.0320908643656804
MARK3	0.032260077906608
WNK2	0.0322647245907181
XPC	0.0323013806784763
MYT1	0.0323042586702487
NR1H4	0.032398881501451
MRPL58	0.0323988815014512
GRIK2	0.0327127867259726
CPNE8	0.0328879046656766
KRT16	0.0329737546089621
HACD4	0.0330408772384001
PISD	0.0330476314433991
NUTM2F	0.0332866384321817
RAMP3	0.0333030836819479
PKP3	0.0334459161905859
BEND5	0.0337442275575119
GOLGA6C	0.0339031418151572
GINS1	0.0341348040868967
PAX5	0.0341804938362151
CTAGE4	0.0344225445730474
TCAP	0.0344488346357114
IVL	0.0345323655552838
SF3B2	0.0346550661900593
HLA-DPA1	0.0346570231657308
FAM212A	0.0346760223731752
LMOD3	0.0346838842432742
TMEM59L	0.0347662651682911
SLC22A10	0.0348323553610532
COLEC12	0.0349294032401033
RSPH6A	0.0349848645672998
CALR	0.0350186206373114
KLRF1	0.0355048805972397
TLN2	0.0355949174398645
LRRC43	0.035888135342207
PGM2	0.0359017176425098
SUSD5	0.0360085363273095
OR9K2	0.0360162404300863
PSMD13	0.0360846371662844
DSG2	0.0360850560392973
NIF3L1	0.0361359813909427
PLD2	0.0361972845797552
FAM84A	0.0362207520212211
ZKSCAN1	0.0362902843684073
BEND7	0.0363143857760928
UGT2B11	0.0363312128036638
DDX49	0.0363507521612589
EXTL1	0.0363834833315113
SHPRH	0.0363981924236022
LPAR6	0.0364040608264788
AKAP5	0.0364636481505416
MAB21L3	0.0365199200441864
KIAA0319	0.0367646886706009
C16orf54	0.0368526636457102
INVS	0.0368686018948207
NAA16	0.0373083364066948
C6orf136	0.0373584038594759
DNMT3B	0.037481267311014
ZER1	0.0375428934105857
BCAN	0.0375582181225466
TEX14	0.0376285631481874
BTN3A3	0.0376797162002315
ENPP1	0.0376935500997349
OR4K17	0.0377795076165713
S100A7L2	0.0378516503676465
ALG1	0.0382786464572977
TMEM131L	0.0384269871997326
EFHB	0.038475200003775
ZNF253	0.038565112614132
KRTAP12-2	0.0386205937489502
PGM1	0.038621445494841
FAM187B	0.0386364252720718
NUP93	0.038679590973337
CARD19	0.0386809788868309
C1orf112	0.038732976504651
CIR1	0.0388132039762704
SFSWAP	0.0388480312410607
BRAT1	0.0388847277152385
HS3ST6	0.0390514182788972
CPB1	0.0390688322785688
ATP8B2	0.039362968222018
CCR3	0.0394331888809411
FOXD4L1	0.03954468633204
FAT4	0.0396934400757564
DDX58	0.0397157991885517
VDAC2	0.0398353297770261
CEP170	0.0399455470748492
CD1A	0.0399703075666295
HERC2	0.0400200949571783
DDX19B	0.0400202936815732
PFN1	0.0402537861259156
POLM	0.0402570381291266
NOCT	0.0405630172652871
MFSD9	0.0405905090997011
CUZD1	0.0406647818788063
OR13C5	0.0408899947334433
TTYH1	0.0409103878174811
TMEM108	0.0409580282921707
PIAS4	0.0416117088287679
SPATA18	0.0418058328473626
CHGA	0.041823935234521
RAP1GAP2	0.041968518901111
ODF3B	0.0420126631822371
DEPTOR	0.0420934839920051
DYRK3	0.0421190937482058
PUS1	0.042140479471468
DENND4A	0.0421441461598316
OR4K14	0.0422450903045254
CPA5	0.0424067961259434
DGCR2	0.0424186262017805
ANKRD36C	0.0426632861881459
PTH1R	0.0426776729543281
UHRF1BP1	0.0426808870892061
GK2	0.0426917702866484
PPP1R13L	0.042786409153669
CYSTM1	0.0432531786212351
UPF2	0.0433088060965783
PTPN3	0.0433306530653831
TMEM184C	0.0433908272598207
FBXW5	0.0435511106875311
COMMD3	0.0435542678950031
FAM83G	0.0436444511352154
SYT6	0.0436482078943125
DBX1	0.0436807282145484
CNDP1	0.043694318001175
APOC2	0.0438476392165517
TSNAX	0.0439237818520064
BHLHE22	0.0439573342021244
CCBE1	0.0440164495594897
ATXN1	0.0440609196378516
MGME1	0.0440898247392522
COLCA2	0.0440976805539284
SOHLH1	0.0442090359643896
BABAM2	0.0443039378878008
C10orf67	0.044569026916195
NR5A1	0.0445721709106938
GATA5	0.0447210147370718
UBXN7	0.0447526040250897
CLIP4	0.044784485257874
FRY	0.0448727329756384
ASIC3	0.0449062759227673
ACAN	0.0449466065450115
COPE	0.0449583956246117
EOGT	0.0449686218326402
SYNGR1	0.0450103834146461
PTPN12	0.045113279720708
ARHGAP8	0.0451563184132062
PGC	0.045344656208706
PCSK1	0.045475273569175
KRT28	0.0455468876644191
KRTAP9-4	0.0461450026938286
ANGPT2	0.0462142202522043
LRRFIP1	0.046269282416132
F2RL2	0.0462925543737999
SLC19A3	0.0463000279817242
AHCTF1	0.0463583847947154
CPSF1	0.0465147195484273
FNBP4	0.0465875297324758
CAMKK1	0.046619071769722
RNF149	0.0466577353676801
DCLRE1C	0.0467222699193096
C14orf180	0.0467677851349247
GTF2B	0.0468061019702377
MKL2	0.0469046136698947
SLC26A7	0.0469628907365889
SLC13A1	0.0470076151501622
ETNPPL	0.0470398775963706
DDX41	0.0471817741617453
GJA9	0.0473055530951687
OAF	0.0474992659163051
TBC1D16	0.0476216843077195
MARVELD2	0.0477532620364274
CCDC191	0.0478107611217607
MTMR9	0.0479547206454314
NMT2	0.0479547206454316
ALDH3A2	0.04804545199126
MGST2	0.048082738912958
LRRC47	0.0480868318277801
PER3	0.0481918850750248
USP8	0.0482396485206599
MB21D1	0.0482557641296216
EMSY	0.0483423806377776
HENMT1	0.0486073751932486
TAS1R3	0.0486224837225523
BPHL	0.0486238023840632
CALHM2	0.0486783670701669
SLC50A1	0.0488037884077249
MRPL13	0.0488426257760512
TRIM22	0.0488924845528771
OSTN	0.0493890443022454
MSANTD3-TMEFF1	0.0493892770614758
CYP19A1	0.049426661745161
GFY	0.0496123896980752
MYH7B	0.0496965953925835
UNK	0.0498831422314279
FCF1	0.0499437207212928
KLF15	0.0499467448188666
OSBPL3	0.0499779801040523
ITGA1	0.0500518500292186
CCDC69	0.0501056587113579
TMEM181	0.0501965287683909
FAM234A	0.0502320913665295
COQ6	0.0502803260018928
HSPH1	0.0503547059278048
KLK6	0.0503859856233426
ZNF12	0.0504571465725342
PBRM1	0.0504641752541022
E2F7	0.0505263469164968
ABCC5	0.0505364625068347
RPP30	0.050653810677637
IRF3	0.0506833616595834
DISP1	0.0507524573051492
ATF7	0.0507526106741593
PRAMEF4	0.0508506770535551
AKR1B10	0.0508744124122216
GOLGA6L2	0.0509498207743344
HGD	0.0510830658872081
MC4R	0.0510881539240822
SELE	0.0512673242815761
ADAM7	0.0514231534603004
MED22	0.0515733805094937
DCHS1	0.051602776039028
BAG4	0.0516326112912217
CUL7	0.0516519321204171
CACNB1	0.0517353259243166
SCP2	0.0517526175287844
SF3A1	0.0520720261437206
CWC25	0.0520905767442222
LRRC75B	0.0521384838898925
ZC3HAV1L	0.052144872632791
CREG1	0.0521742449270631
JAK3	0.0521768452991638
MRPL2	0.0524429115623419
CHADL	0.0525863074482785
CHRNA10	0.0526204802962302
TTC8	0.0526562304072038
PLCL1	0.0526787551994234
SOX4	0.052935903120661
CD79A	0.0530190195346083
DNAJC1	0.0530843196846298
FGF10	0.0531027326328271
TFCP2	0.0531283846413237
KRT19	0.0531626939803274
RRM2	0.0532972195753675
SLC22A25	0.0534397327749729
HAL	0.0534982256888457
BOC	0.0536501201476218
VPS13D	0.0537520792112198
USF3	0.0539561800187273
MFSD5	0.0539846448850583
TCTEX1D1	0.0541478512394172
EXOC3L1	0.054177422546881
POLR3E	0.0543507031641004
CLEC9A	0.0544248618806799
TNP2	0.0545922026549649
N6AMT1	0.054640880486263
ADRB3	0.0546481570349689
JRK	0.0546933058304051
ZNF679	0.054787613582183
MYRIP	0.0548720788062188
ENPEP	0.0549421628168861
CLASRP	0.0551002371865573
ADGRG1	0.0551483382550029
MIS18A	0.0552192799513266
LIG4	0.0552763937699278
MRGPRD	0.0556688668997486
RTCA	0.0556874068450298
NSA2	0.0557020212409861
MRPL38	0.0557139665490343
WNT11	0.0558571880451405
DNAJB2	0.0558726853253456
KIAA1324	0.0561264454813187
SGCB	0.0562537252493546
PRM2	0.0563596363234914
STX6	0.0563922442255016
NDUFA5	0.0563984793727463
LAMA1	0.0564685886510823
OR4K2	0.0565293075874082
EVI2A	0.0565575037110529
C14orf105	0.056594461429598
ZNF793	0.0567875882681571
EVX2	0.0568572964421739
TRAIP	0.0568856625318103
LUZP2	0.0570440322945344
TBX10	0.0570619128109168
ZHX2	0.0570707963503873
KIRREL	0.0576317804582309
SRGAP3	0.0577208855939693
CMPK2	0.0577494340687647
WFIKKN1	0.0578449622332442
GJB2	0.0578789029907133
P2RX4	0.0579348155537547
CATSPER1	0.0581300219462016
TUB	0.0581780431274774
XRRA1	0.0584234090425558
USP20	0.0585470135384003
SCNN1B	0.0586413871746319
GOLGA6B	0.0586931004775311
MUC5B	0.0587302196633284
PRR23C	0.0587923770839995
NME8	0.0588522518908076
SIPA1L1	0.059041076229478
IBTK	0.0590805757431716
BBOX1	0.0591293787223108
C2orf69	0.0591344913603603
SLC1A1	0.0593338459003404
NECTIN3	0.0593379045304805
RABL3	0.0594733067948979
AZIN1	0.0595782102096982
RGS4	0.0596601480948822
NMU	0.0596892976231903
SPSB4	0.0597118898231068
T	0.0599019115543049
IFT27	0.0600370711961576
CHPF2	0.0600554946187541
SAMSN1	0.0603080044586402
ZNF229	0.0603146894527539
NIPAL3	0.0604569794647223
MIPEP	0.0605131685588773
MTMR14	0.0606039469903834
TRPM8	0.0606360360949112
CKMT2	0.0606388478101119
ZNF549	0.0607360848403299
CASP8	0.0609568055492002
PURA	0.0610074336433803
LRRC38	0.0610597803533988
ATP13A3	0.061072189304773
TNIP1	0.0610762741686639
AQP4	0.0611327090584235
USP2	0.0611346870146903
FAM13B	0.061166585689633
E2F8	0.0614035847459616
CLDN4	0.0616690913619081
OR5B2	0.0616801333126784
PTK6	0.061765406269756
CCNA1	0.061892903349921
PDE9A	0.0619842783466918
SLC25A21	0.0621351540119329
AKNAD1	0.0621617080190927
DNAJB13	0.0622188275255733
HAPLN4	0.0622384929494594
RNASEL	0.0622518867878903
PPP1R18	0.0622663224572503
