gene_name	p_value
CFAP69	3.86526259864572e-05
C1QTNF9B	4.39678353744144e-05
TRMT112	0.000166973356367728
RAPGEF4	0.000303566380578268
MPP3	0.000309327465394915
TMEM45B	0.0003334324636034
CLECL1	0.000340235053433188
OR7E24	0.000343067584216206
USP5	0.00035509501915798
APCDD1	0.000384434905730369
CD247	0.000476230220623153
CR1	0.000479148044467581
MTCL1	0.000566671886747305
SEMG2	0.000672042938887785
TP53RK	0.000681630734116645
HSPA4	0.000852543560570629
MUC6	0.000967485879536656
CYP11B2	0.00102418523200942
AQP9	0.00111052880753137
SLC35A3	0.00115360722462432
COLEC10	0.00116047649413431
FOLH1B	0.00123095088831271
PLPP4	0.00124810781817719
RD3	0.00124834031470573
FETUB	0.00125784106271409
WWP1	0.00135108148425689
FRS2	0.00137087573642036
COG7	0.00137184458944695
LAP3	0.00141177859330022
CCDC93	0.00146353736057792
LIFR	0.00149199430134139
LEF1	0.00151449544120486
ICMT	0.00160305365436464
BCAS3	0.00168803381491722
ADGRG1	0.00182346802635924
OR7A10	0.00182408326096317
MARVELD2	0.00186195022906299
TMEM156	0.00192533392555749
CIAPIN1	0.00193817877055247
LRRC52	0.00202323464414944
MED22	0.00206915265032903
IAH1	0.00208824865779023
ARHGEF4	0.00208994979015409
UBE2O	0.00211575132389019
IVL	0.0021798452977303
HECTD1	0.00236181025063509
SRGN	0.00237229577821313
SLC45A1	0.00241094611868242
MAIP1	0.00252950128423872
BTNL3	0.00263041040726786
ZNF846	0.0027374087769797
TIGD3	0.00294438401739172
COL9A3	0.00298450954623175
NAA16	0.00338477316222618
MYH7B	0.00342750043998841
PLGRKT	0.00350216457847907
KIAA0319	0.00350807619104321
COLCA2	0.00352060119164022
MRGPRX2	0.00359361615633158
TEX14	0.00362570053533828
PPP3CC	0.00386221767101191
SLC6A5	0.00394598599800639
PCSK1	0.00402974239608822
WFIKKN1	0.00405110527556651
PDZRN3	0.00409421576251501
OR4N5	0.0041364284095593
ADAMTSL2	0.00414431315685382
ZNF607	0.00414469168804898
HSPG2	0.00443879149557203
PIAS4	0.00453645033618666
CES3	0.00456354282486637
HRNR	0.00492680448046978
LPIN2	0.00508006605966016
SDS	0.00511227916261903
NDRG4	0.00529421146480391
MFN2	0.00563985576363801
DENND4A	0.00569047644658183
KCNC2	0.00569615701752749
HLA-B	0.00582543079969344
DENND6B	0.00585494145869292
DHCR24	0.00585997272113514
RNF216	0.00606323993285429
ZCCHC7	0.00606422931268935
BLVRB	0.00611405329768178
FREM1	0.00612271232888528
NR3C2	0.00624487397258622
STAMBPL1	0.00631484259935633
PSMD13	0.00631808640835541
COMMD3	0.00634373777017638
CHI3L1	0.00637424351973837
FAM173B	0.00641625208407515
TYRO3	0.00641866870611174
AKR1B10	0.00645851865030844
ZNRF3	0.00673381816872265
KANSL1L	0.00674136388069058
GPR153	0.00675355566472358
PRRT2	0.00677979035576781
GRIK2	0.00687581850299934
GOLGA6L2	0.00688586492003151
E2F8	0.00689398274235842
C1orf112	0.0069773072480408
MYF5	0.00700367756823628
C15orf48	0.00709463385167119
C11orf74	0.00720738004584733
COL14A1	0.00720890792751572
SARS2	0.00720978631607738
ZNF793	0.00725645706652456
ASIC2	0.00725951887125853
CFLAR	0.00732486004404798
METAP1	0.00733254914800807
TSPAN31	0.00749471707567362
ELF1	0.0075426814468359
G2E3	0.00768219608357168
RAP1GAP	0.00774120606256568
RAD52	0.00788859129583397
TRMT1	0.00793196372019278
CIDEC	0.00796823422555859
PCNX1	0.00798099648678574
ZEB1	0.00821044481425937
PGC	0.00824092590893233
NSA2	0.00825010351970762
ZNF585B	0.00854290357156007
USF1	0.00857369561833332
MSANTD3-TMEFF1	0.00860285795969928
CASP8	0.00869533498946962
ZNF354B	0.0088004526076384
MRPL2	0.00888249720166612
CNGA3	0.00910630678718582
INSM2	0.00915688421757854
GPATCH1	0.00916797378426049
C5	0.00917609768878136
TTC29	0.00929873750092902
ZBTB34	0.00964825521330026
NCOA6	0.00978233153300212
CD2AP	0.00983154309108525
AKR1C3	0.009939404100333
AKAP5	0.00997721421492814
TDRD7	0.0100074557902577
ZNF532	0.010108105396387
PARD6B	0.010110619429525
SHBG	0.0101408805590276
FGFR1	0.0102191923270241
RELA	0.0103350468683766
GLP2R	0.0103357628229379
DALRD3	0.0107254824934515
LRRC20	0.010771006405827
LLPH	0.0107875096204723
IFITM1	0.010795581738153
VN1R1	0.0109111913073676
TCTN1	0.0109351545911724
FARSB	0.0110220645598023
ESM1	0.011191767423923
LRRC3	0.0112400484736649
BCL2L2-PABPN1	0.0112505384318831
GJA9	0.0113597022005566
SPSB4	0.0114189355995482
UHRF1BP1	0.0115176852266571
CYP19A1	0.0115206817652521
SERPINA1	0.011654783828124
RTP5	0.0117087152288032
RAB5C	0.0117526072650215
LRP1	0.0118241500561996
HPR	0.0119760137744268
CEP350	0.0120211280135661
PPP2R1B	0.012093866143098
CSF2	0.0121264448874686
HTR3C	0.012175147012828
NOL10	0.0121856587297002
AQR	0.0122002809150943
GPR139	0.0122874917907414
CYP2C9	0.0123440022737975
CFAP206	0.0123532863781187
LUM	0.0124023597431767
CHD7	0.012420506327233
OSCP1	0.012433332418775
PLA2G2F	0.0125156612940517
NASP	0.0126022464396365
KRTAP12-3	0.0126548227467562
ZMYND10	0.0128300949048551
C11orf65	0.012885565952068
KNOP1	0.0131299691385303
TRIM47	0.013170654084666
PPP1R32	0.0131712888905032
SIPA1L2	0.0131922886366161
TNFAIP2	0.0133081536167806
UBASH3A	0.0133365121383424
GTF2B	0.0133622479130756
SLCO1A2	0.0133777676013225
C19orf54	0.0133976199579169
RHOT2	0.0134929998359218
GFI1B	0.0135002439266143
KDELC2	0.0135602112495431
SLAIN1	0.0139493088648458
FNIP1	0.0140467349970058
LACTB	0.0140938691111722
OR5L2	0.0141029280820294
FSCB	0.0141049765032428
UNK	0.0141721624105242
ATP8B2	0.0143463066272898
MUSTN1	0.0144038847442337
SYCE2	0.0146235875499684
ABHD13	0.0146532776094993
PYCR3	0.0146682436873364
HMMR	0.0147530573684513
ANGPT2	0.0147564796994664
SLC39A12	0.0148288332790799
TSTA3	0.0149309420581967
SLC26A7	0.0149893849082288
CEP170	0.0150290554217734
SDAD1	0.0151252245222981
ERVV-2	0.0151536622177548
NCEH1	0.01520761114771
DSG2	0.0152636632886179
FRY	0.0153451630413447
BCL11B	0.015424763672631
GOLGA6C	0.0154840021342181
RRM2	0.0154861677414757
PCM1	0.0155636149416118
C2CD4B	0.0156083361750018
ADGRG6	0.0156559956637528
SYT8	0.0157962718302458
USP8	0.0158539274465319
TMEM108	0.0158912245570895
STARD3	0.0159753199163416
BCAN	0.0161883404716626
ZNF121	0.0162031842497752
IGLON5	0.0162237914628313
ATF7	0.01623919259816
SPTBN5	0.0163117676255981
GTDC1	0.0163507916350147
PLEKHA5	0.0164642747469517
MKL1	0.0165086111179913
