gene_name	p_value
ZNF90	0.00018706140133995
HAP1	0.000562910692988638
ABCA5	0.00181425145328173
ERAP2	0.00203743096881059
CREB3L3	0.0020486504800139
POLR3C	0.00227808661455708
UGT2B10	0.00250675318549665
MYOC	0.00499498921282548
CEP250	0.00674324833928885
ABCC12	0.00839053102528908
ART5	0.00869406387935745
FKBP7	0.00899874309901538
TNFSF18	0.00990430296803357
SLC22A10	0.0104322475452852
TLDC1	0.0110423613523569
BPIFB3	0.0113426990156338
DHX58	0.0117575642791884
CCDC191	0.0122062867105893
IL17RC	0.0127066451763997
LRRC55	0.0135465114368647
NTN3	0.0145766028819251
DMGDH	0.0160693427724614
PAH	0.0180925769978794
SDCBP2	0.0226162843655832
HMCN1	0.0228117223115003
TMC7	0.0242777574362522
IMMP2L	0.0261837297950336
CCDC40	0.0300372129868219
C15orf48	0.0309548953909545
KRTAP29-1	0.0312743189412952
MLNR	0.0327195177274514
SKP1	0.0379381123589151
FRAS1	0.0380064507889987
MS4A12	0.0387482860008889
ZRANB3	0.0430454972935886
MYH1	0.0432978364287965
PRSS33	0.0433907391506007
RIPK3	0.0435172887768214
ECT2L	0.0471840330692714
ITSN2	0.0486185659913442
FAM189B	0.0487105950129568
ARHGEF37	0.0494099972301359
DNAH3	0.0494550125056766
ANKRD30B	0.0494701270622396
HRNR	0.0500842868984949
SLC22A25	0.0506647356603546
SFXN3	0.0511053562926639
FCRL3	0.0518331518604703
SLFN12L	0.0532028469692738
SLC16A8	0.054246202789286
LMNTD1	0.0569156680952639
C10orf53	0.0603813722476529
SPZ1	0.0643443614421124
TRIOBP	0.0648568536128112
C17orf77	0.06486216487295
MSR1	0.0660702058455748
SULT1C4	0.0675235404598735
BTN3A3	0.0676971360110148
PZP	0.0692279789790085
FAM174B	0.0698894900972931
ZNF730	0.0705544955075683
DNAH14	0.071099947222435
RADIL	0.0725407637659635
CELSR3	0.0726094143540074
MROH6	0.0728280370430342
HSPA6	0.0728892978393468
HLA-DQB1	0.0743980542362924
ENGASE	0.0746914748890589
ARVCF	0.0747032501624391
KCNK16	0.0751885577186616
STARD9	0.0761891966562097
TLR10	0.0768832783024775
CD72	0.0769434987786298
S100Z	0.0775378933936864
ADAM8	0.077996561700497
PLEKHG4B	0.0799385661121081
SH3RF2	0.080992852352331
PPIL2	0.0811563742324434
RBKS	0.0823233450849894
GHDC	0.0825882180501798
EFCAB5	0.0842445841262871
HEXA	0.0851898038588839
COL24A1	0.0863863137828392
OR2T11	0.0879028354052666
HHLA2	0.0892802777165516
ITGAD	0.0903519732313907
FAM200A	0.0932805329629033
ABCA7	0.0953165128167504
CES2	0.0962736273765481
WNT10A	0.0972174788166624
ORAI1	0.098561761334889
TEX14	0.0985764894114751
STK33	0.0995956572239679
SPTBN5	0.100257313304297
ALS2CL	0.101126506057661
TP53I3	0.102231255728656
VWDE	0.104153300771934
MYH4	0.104490494942477
UPK2	0.106686639998134
