gene_name	p_value
SLC16A8	0.00427040690252511
CEP78	0.0046811167805153
IL17RC	0.00534829310469598
HRNR	0.0057964667378565
ECT2L	0.00717746875974867
SLC8B1	0.00811748238344212
SFXN3	0.0102106208802283
ALS2CL	0.0107903282955686
CLCN1	0.016018080415122
CHP2	0.0163765000584111
MYH8	0.0168117904165481
GCKR	0.0174045362696025
POLR3C	0.0194686567711622
NTN3	0.0222970995137343
CCDC146	0.0225848930124745
CNGB3	0.0239429943508382
PPP1R3A	0.0239765900715582
ABCA7	0.0252064886381129
SERPINA12	0.0253127294021657
MFSD6L	0.0257517283137388
DNAH11	0.0289423831330032
MS4A12	0.029385617665183
ATP2A1	0.0295262079199832
AK9	0.0315620025085226
RADIL	0.0323946620021631
CCT6B	0.0346740174149475
CYB561D2	0.0348832242654882
IQCE	0.0363968773444401
SLC22A10	0.0370930130832271
PZP	0.0400846589828693
ABCA5	0.0469857852669572
APOB	0.0469896532949059
C4orf26	0.0483286391896519
PLA2G3	0.0484146683620451
CLEC4M	0.0487171877851917
MYOC	0.0519160314210465
DUSP27	0.0533279539843916
FRAS1	0.0535532669320333
CCDC40	0.0559131183325472
WDR87	0.0563840566297756
CEACAM7	0.0569516629361866
FNDC7	0.0575065826657756
CASP5	0.0611831548109099
TMEM134	0.0627752514164445
DNAH3	0.0667110260871391
FRMD5	0.0672220783891605
NSMF	0.0675509011462682
BFSP1	0.0689857542415788
ACSM2A	0.0705033482275794
SLC22A25	0.0716834316781423
HS3ST6	0.0725862741304384
FAM234A	0.0736551783734998
CSH2	0.0754470312731732
KCTD18	0.0758679482651952
SPAG16	0.0784401089210636
SSPO	0.0795131898644774
CEACAM21	0.0866177013976724
ZNF90	0.0875379707684295
CCDC105	0.0881056371198186
ZNF440	0.0888368112813478
FAM81B	0.0892543712615336
C6orf203	0.0900002524041958
ZNF845	0.0905538580185523
CYP3A5	0.0916173536011932
ENGASE	0.0932695855665593
PLEKHG5	0.0941010578610549
ITGAD	0.096365659117837
CWC27	0.0968017063410229
YIPF2	0.0970624472987179
RERGL	0.0973036226511177
BPIFB3	0.0984280473877844
ACADL	0.0989217191175836
FAM221A	0.101628712013627
RETSAT	0.102680308949938
SERPINB3	0.103262353095096
VOPP1	0.103670061079852
CD44	0.105366775590661
S100Z	0.10565226680246
ZNF730	0.107268021121061
CEP250	0.108054636404318
PCDHAC1	0.114454272616312
ASPSCR1	0.114534538446104
TNFRSF13B	0.114810446966394
CCDC30	0.116048144473238
CELSR3	0.116615434755273
UGT2B10	0.117896032371897
ZC3H8	0.118756136060326
FETUB	0.121520909928646
TLR10	0.122429717270013
MUC17	0.123805166486014
PRDM2	0.123923602832937
GOLGA6C	0.12475586374694
STK11IP	0.125308585841379
HABP2	0.125390326446886
VWDE	0.126770144531925
PLA2R1	0.131265624025207
POLN	0.131442328640825
GMPR	0.131802814229981
SPZ1	0.135680855541204
ABCC12	0.14285745149792
CXCL6	0.144229855144117
LILRA2	0.144919764690731
OR56B1	0.146592855205184
