gene_name	p_value
KRTAP24-1	0.00689379129481782
IFNA5	0.0115000316219399
POLN	0.0117436568755609
TRPM4	0.0152995368987451
AUNIP	0.0157878245430346
FBXW8	0.0228829926118638
UNC93A	0.0229992423567881
ARHGEF37	0.0254743149739669
SSPO	0.0265542742474649
GZMM	0.0333863175008658
CMYA5	0.0410064580662496
DHCR7	0.0427239135383749
ABCA7	0.0428619133255411
C19orf71	0.0510603122195507
IGFLR1	0.0597367714031606
GGN	0.0616900310796322
LPO	0.0623469195798613
IGFN1	0.0628740125144495
GTF2F1	0.0629213749617545
C6orf203	0.0660038594443534
AGBL1	0.0672630790061463
GCNT3	0.0891685224281548
PADI2	0.096254113730422
DUOX1	0.0963347273591174
HMCN2	0.104116357327802
SLC39A7	0.107627052663148
GOLGA6C	0.111141263885092
ULK4	0.111725727424557
PON2	0.112454951817321
NINL	0.116859080276539
ZNF655	0.11940039984736
PSMB11	0.120883360192895
LONP2	0.122253108693855
ZC3H8	0.124486442191598
NIPSNAP3A	0.131586129092346
OVGP1	0.134982847660184
XIRP2	0.13565811326021
CYYR1	0.140414871661709
DNAH7	0.140505482117489
RBKS	0.148766174314797
RABEPK	0.15377269434715
OXA1L	0.158546102628501
ABCA9	0.163990586275035
TMC7	0.164935475940128
OR4D10	0.176042946702512
GPLD1	0.185101550571896
MYEF2	0.200498045525337
OBSL1	0.202879840476986
NLRC3	0.207483759292895
SECTM1	0.208826550570872
BTNL2	0.211984622807534
NBPF3	0.213599481951216
ATP8B3	0.21780625182018
UGT2B10	0.218070763802839
MUC4	0.221540747138744
KIF19	0.227984884099693
ECT2L	0.242571652191718
OSCP1	0.248257028921765
IFIH1	0.252333183143443
PTPRH	0.255447170645259
RAD50	0.256926355418741
FAM81B	0.259123402719039
PRDM2	0.259144391981963
FAM227B	0.26676678365403
OSBPL1A	0.268925441300564
LEXM	0.27552294281094
CTSW	0.280828965311417
MROH2B	0.289968424331921
NUP214	0.29763178992776
RAPGEF3	0.303681447211857
PIWIL3	0.312012254671106
ABHD12B	0.314575560703179
TLR1	0.315731088371628
DNAH14	0.322110685886439
CD44	0.324176306136611
GH2	0.326335493843456
GPR151	0.327696328254117
ADAM8	0.328394671672108
CARD9	0.334012376213007
ATP13A5	0.336078254711859
MROH2A	0.336556422457989
PRM3	0.339380627504679
ANO7	0.341209376102589
TMC2	0.344060866378406
TLDC2	0.357252611458036
RRP15	0.364439183291401
BPIFB3	0.365736763726257
KANK4	0.368774070164902
COL23A1	0.370846723314822
SYNE1	0.377706101945475
DBF4B	0.386524997684654
KIAA1257	0.387068716243112
DCHS2	0.394123977244983
SLC22A10	0.39486812794563
TOMM20L	0.394922220181199
GAL3ST2	0.397034856733252
PPP1R3D	0.397589918255197
FAM221A	0.403506442288173
TKTL2	0.404654646237921
COL6A5	0.406177867240489
CWH43	0.42321722508367
COL24A1	0.425263908930831
SULT1C4	0.425275589309393
RGS11	0.435445687256894
MSS51	0.437781577132595
FAM186A	0.442672987706848
CD36	0.442919018749372
GPNMB	0.454721016038384
ZNF845	0.455254290112597
KCTD18	0.459633262478488
HRNR	0.459740831467789
STK32C	0.461074755490624
KRT74	0.463388078565172
ZNF486	0.472929653982497
C2orf76	0.476280954826478
RETSAT	0.485266140700237
ZNF107	0.496791733376631
PLB1	0.49687348667158
SEC31B	0.498138152715176
ABCC12	0.504839065143765
C12orf80	0.505601744292355
ABCC11	0.511347703049858
ADCK2	0.516549418238327
SPTBN5	0.519403068194618
WDR90	0.524105116668394
TYRO3	0.530561033776874
