gene_name	p_value
CMYA5	0.0060278192474813
SLC22A10	0.00776272695378921
SULT1C4	0.0151444043046594
ANKRD20A1	0.0151582501769659
NIPSNAP3A	0.0211467452625286
PPP1R3D	0.0250419644026889
IFIH1	0.0254559934077165
ADCK2	0.0271047794349325
DUOX2	0.0292161958357198
DUOX1	0.0328176484571455
SLC22A25	0.0332830593170359
ABHD12B	0.0538578776552961
SLC39A7	0.0542426633901265
SLC25A2	0.0552668479624869
CENPW	0.0569002291616553
KRTAP13-1	0.0654455933975836
OBSCN	0.0655918678176111
ART5	0.0784427207470493
RAD50	0.0818446416167725
OR4D10	0.0851584082761939
ATP13A5	0.0880118179942787
GGN	0.0889596946064168
CARD9	0.115447680653605
CLCNKB	0.125410957450323
COL23A1	0.125433879142218
LONP2	0.149579287788171
HLA-DQB1	0.150138081348069
PSMB11	0.15447790394968
XAF1	0.160082397734589
PLB1	0.161342383526644
RAPGEF3	0.166840381854515
ZNF440	0.187150435043232
IGFN1	0.194176751573117
FLG	0.196022172682952
HMCN2	0.197127399447413
CYYR1	0.202023974954776
ECT2L	0.211445578722767
DNAH7	0.212518766182282
ZNF107	0.214981668443288
ABCB5	0.215574279848181
MYEF2	0.22092680120236
FRMD5	0.221808633745385
MUC17	0.228293040565353
ZNF280A	0.233030713369922
CCDC87	0.234961855983582
TRDN	0.246572476520567
BTNL2	0.246861571733991
PADI2	0.258000664039301
PRDM2	0.261098291613202
DBF4B	0.261158750125951
MFSD6L	0.271030183018417
DPYD	0.271686309960771
TKTL2	0.273221174283423
ADAM8	0.277482556309294
FAM221A	0.286650959833728
SLC26A10	0.298547007025829
CYP3A5	0.304482458057754
CD36	0.306934848618827
TMED3	0.313987049030536
GH2	0.321889446047387
CWH43	0.323509099389429
LPO	0.325559561446094
EDN3	0.329861828299006
KRT74	0.331195397658297
MSS51	0.33504076018939
ARHGEF37	0.339196877513533
ORAI1	0.347088982544849
COL24A1	0.361505378666748
TMC2	0.367803358973041
SFXN3	0.369955743087962
TOMM20L	0.382175585446836
MROH2B	0.382698931159932
PLA2G4D	0.383559637096919
NINL	0.387327110817192
NUP214	0.387710991982102
UGT2B10	0.392654871196806
CD44	0.394954271666117
ULK4	0.396753263549033
WDR90	0.407249469089666
MUC4	0.413635700254414
CCDC66	0.414499222960248
ZC3H8	0.417670775635635
DNAH14	0.417708426977336
GPR151	0.424981979124766
GAL3ST2	0.42853805304462
ZNF845	0.437365980442756
ITIH5	0.439717181100931
ANO7	0.439752271827445
ABCC11	0.451255563735048
ACADL	0.454066846277419
TRIM31	0.463772568338117
IGFLR1	0.470028200300532
OSBPL1A	0.475149014366048
OSGEPL1	0.475839534555452
PON2	0.476678160258282
DOLK	0.478552020929894
SSPO	0.478599750999082
ZNF677	0.481060882174424
RGL3	0.483555267533817
SLC45A4	0.483604651182693
ABCC12	0.484371355895532
DNAH2	0.489491030833098
ASB6	0.494730967497329
GOLGA6C	0.494899626804264
ECHDC2	0.495246705356819
FBXW8	0.498420839677961
ZNF655	0.499066930290432
PACRGL	0.499637483404801
C6orf203	0.500614089307355
ACOXL	0.506576628372922
PARP3	0.509068824865119
FKBP7	0.519657753152391
SYCE1L	0.520079782312335
OXA1L	0.520857472666475
C7orf69	0.52709280942189
ATP8B3	0.530355128827481
AGBL1	0.536980817159789
MAMDC4	0.540890807460798
COL6A5	0.546239752925672
CRYBA4	0.546345877186933
CTSW	0.551068156711044
EYS	0.55158149651744
SRRD	0.559798158481888
WASHC2A	0.560309866169333
C8orf44	0.562549127513215
SEPT10	0.564921643699974
GNLY	0.568519696027553
OSCP1	0.570422444695955
SEC31B	0.57795226950381
IFNA5	0.580116109953764
EFCAB5	0.581497639390452
HIST1H4B	0.584144511840517
TRPM4	0.586271011990782
OVGP1	0.597531199778889
PON3	0.60469761341387
TLDC2	0.607666999352657
SYNE1	0.610269115874275
GPNMB	0.615587418775514
ASPM	0.617212708874914
SLC16A8	0.623977363418636
GPLD1	0.628967086311758
RADIL	0.643102817761825
ABCA7	0.644491415861298
ZNF772	0.653696773288543
VWDE	0.662820133167415
GZMM	0.664403234520934
STK32C	0.665416957316721
PIK3C2G	0.665604337236974
USP45	0.665996673351414
ESF1	0.669781957767743
KRTCAP3	0.672694826826198
GJB2	0.673122512798152
KIF19	0.673926463175256
CCT6B	0.674386035202443
NLRC3	0.675129463920998
TYRO3	0.67782547259449
PZP	0.679032376461669
HABP2	0.683509523516448
CROCC2	0.6890778899278
PDE11A	0.691158262836593
C12orf80	0.693894515366412
CRNKL1	0.697575165659151
POLN	0.697598901552363
MROH2A	0.697655574689466
KIAA1257	0.700873896172375
ASPSCR1	0.702808168057924
RETSAT	0.711676995602223
ABCA8	0.714170074523453
TLR1	0.717187527971337
DAP	0.717663228704114
ABCA9	0.720603182640928
PIWIL3	0.7212340760809
KRTAP24-1	0.727064607504735
PTPRH	0.730465351243906
CARS2	0.733839410989155
LEXM	0.735248549053501
KCTD18	0.73628800856979
CALML4	0.742602891933152
FAM186A	0.746459866899079
DPEP2	0.747251850001994
C2orf76	0.747559438388852
MYH7B	0.755204304023826
VPS33A	0.761833236997445
RABEPK	0.762864118655661
ULBP3	0.768000802603125
CCDC154	0.768078511884127
SKP1	0.770903446556344
DHCR7	0.772838082278963
RBKS	0.778933940679125
FAM111A	0.792856793385726
C19orf71	0.794008898220601
CDRT1	0.797066738591819
RRP15	0.797826554255519
FAM81B	0.7991255394007
ENPEP	0.800610366447761
PUM3	0.809055240662822
AUNIP	0.81247666730607
KANK4	0.812739702957578
LPIN3	0.817008951835511
NEURL2	0.825924566529681
COX6B2	0.827731613076213
MMP1	0.82938911236105
BPIFB3	0.829523108796217
FAM227B	0.830611586269209
GTF2F1	0.832017687252716
UNC93A	0.83397172434132
MLNR	0.839730965383465
C6orf52	0.842873833749159
MGST2	0.850288817951657
GCNT3	0.850452928051557
MTMR11	0.852251598239458
ANKRD30A	0.853542122038595
RGS11	0.869277222536715
ZNF486	0.870768886906252
COL9A2	0.873391743207893
TMC7	0.875579097921671
RGPD3	0.882290765896071
ZNF776	0.902494764399073
ANKRD18B	1
CCDC40	1
CNGB3	1
DCHS2	1
EPX	1
HIF3A	1
HRNR	1
LIPJ	1
MRPL32	1
MUC19	1
NBPF3	1
OARD1	1
OBSL1	1
OGFOD3	1
PRM3	1
SECTM1	1
SPTBN5	1
TMEM249	1
UPK2	1
VIT	1
ZNF343	1
