gene_name	p_value
PLA2R1	0.000224039960061706
ABCA7	0.0079156695786694
KCTD18	0.00846116464942825
OBSL1	0.0105216510858995
FCGBP	0.0128107618783522
MROH2A	0.0136706598565223
OBP2B	0.0138135462502629
KLC3	0.0149725868638881
ZNF266	0.0155265739857512
FAM83A	0.0165572780078449
FAM221A	0.0173157681657934
SFXN3	0.0182026120419341
OR56B1	0.0195335913162993
THNSL1	0.0200716201168244
PLEKHG5	0.0221795957574786
ZC3H8	0.0259202776380192
ASCL3	0.0270097739779835
FAM173B	0.027262507877533
OR51G1	0.0273146820069213
ATP13A5	0.0273682166534894
CRB2	0.0323202029151853
TMEM247	0.0344052436761293
VPS33A	0.0357721689605418
ANKRD30A	0.0386969837451743
NME3	0.0395788700069912
SLC22A10	0.0400634568766656
SEMA4B	0.0418847955111595
ACOT4	0.042958256558981
NR2E3	0.0452909120342282
FAM81B	0.0467992940453197
UGGT2	0.0471029094773667
HIST1H4E	0.0482016422788067
CFAP65	0.0492998634422448
ENGASE	0.0493028138268913
ADAM29	0.0525191388403194
SLC39A7	0.0530014745634724
FCRL3	0.0560636192222268
ASAH2	0.0571203775230102
METTL24	0.0571608355401192
OTOP3	0.0581340206736493
DNAH1	0.0588477489980376
KIAA1257	0.0606427608939167
UBQLN3	0.0606473966256665
ATP7B	0.0636729205952301
PLCH2	0.0639053722804633
OR2T11	0.0665698180857367
DNAH14	0.0667140157375167
FBXW8	0.0677630328068103
VPS13C	0.0684273473741409
TRIM38	0.0690604562004297
XIRP2	0.070018746749091
RADIL	0.0706907620509103
LTB4R2	0.0715443080470231
KRTAP1-1	0.0721007334993398
CENPW	0.0722018532985745
PKHD1L1	0.0738809447663134
CLCN1	0.0739887511205346
VPS9D1	0.0748795402339786
CYP2C18	0.0752895485454534
PAXBP1	0.0763829207999801
C20orf202	0.0770611586522355
ERMARD	0.0771729465123242
WDR90	0.0792055564702472
SLC22A25	0.0828246445134813
ASPM	0.0861338808375681
POLQ	0.0864696345660775
KRT82	0.0876732334385186
IL17RC	0.0883279706777927
MUC4	0.0891495370551793
ULK4	0.0898058546423892
BABAM2	0.0909374403469575
ZSCAN12	0.0915598865878453
PCDHAC1	0.0921986458413516
ETFBKMT	0.092389888798606
ABHD12B	0.0991117365644281
ARL6IP4	0.0997721521957395
TOGARAM2	0.100869053967788
IGSF10	0.101185753500701
IQCE	0.101408711383684
S100A13	0.101591392427523
TTC6	0.101600423786537
C6orf52	0.105965046260113
ENPEP	0.108062405042063
CLEC4M	0.108500094933101
ECT2L	0.113739063515153
EYS	0.118528642995195
CFAP46	0.124294502017214
ZNF211	0.125563015068826
CES2	0.133147446317788
TEX14	0.134241350110193
PAPLN	0.134318749653751
SECTM1	0.134320680457795
KRT77	0.138493482026118
HIST1H4B	0.14007443472495
SPDL1	0.141381037862765
AKNAD1	0.141476904032234
ZNF142	0.143416560101613
CCNI2	0.147747760174926
KRTAP24-1	0.148154845209353
OGFOD3	0.149556010805104
PACRGL	0.149942731850722
TLDC2	0.150644413251159
SRRD	0.150868478870602
IFNA5	0.150996627576687
AUNIP	0.151475383004155
ROS1	0.1541953792597
PCDHB11	0.154687785727258
SH3D21	0.156822438195473
HAP1	0.157750893601742
OTOF	0.158036697515602
FLG2	0.160566795938676
C1orf56	0.160916405650349
GP2	0.163123694477136
SYNE1	0.163155321872572
DUSP16	0.163546159645432
PON3	0.164176165580094
DBH	0.165124079387702
SPTBN5	0.166280100706353
COL7A1	0.166404742220402
XRRA1	0.167470492239006
AK9	0.16889654712926
WDR64	0.169164656726096
CHIT1	0.171143275702674
GCKR	0.172013636187105
ERVMER34-1	0.172166020409977
CNPY4	0.174124570137209
TRPM4	0.174195198632712
ZNF2	0.174197963138327
GAL3ST2	0.174473641529397
OVCH1	0.174786197347247
SP100	0.175700536911124
RHBDL1	0.181720870506832
CES5A	0.185002135569766
DUXA	0.186116282049795
TMEM225B	0.187200967063935
MROH6	0.188735835579569
FBRSL1	0.189372346254385
ADGRE2	0.191456599709547
EXOC3L1	0.194215195978179
MAMDC4	0.195818631525476
KRTAP29-1	0.196267957844097
CBX2	0.196592138682673
MFSD9	0.196692258454179
C16orf74	0.197101939945642
PRSS33	0.197279221924484
YIPF2	0.197368024634798
PTPRH	0.201914354782204
ZNF544	0.202944765741017
OSBPL1A	0.203820540522328
IGFN1	0.204850362639418
LILRA2	0.20532788752604
SPNS3	0.207089159318209
ADGRV1	0.207725889647614
OR10AD1	0.208774853706063
OXR1	0.209655224513363
DNAH11	0.209966163878358
PON2	0.211197105250571
ABI3BP	0.212041755001824
TMEM54	0.212893751265392
OR4C15	0.213345281721816
SLCO1B3	0.214247496055031
GOLGA6C	0.214567396580542
LMBRD1	0.215964995329088
CEP250	0.217094643518314
NDUFV3	0.218079056246482
SLAMF8	0.218909142880768
MYOM2	0.220470603534686
LRRC74A	0.220689791930381
USP45	0.22259485416414
SLFN12L	0.222748283319015
GZMM	0.222937346017082
NDUFA5	0.223340957587825
SZT2	0.230195120072279
ABCA13	0.230420208621548
DNASE1	0.232083493444447
NUP214	0.234011417619226
ATP11A	0.234218150050176
CFAP57	0.236711880270403
CYB561D2	0.237233628258967
PASK	0.23824025238861
M1AP	0.239154866739507
FAM234A	0.239414170156024
ABCA8	0.241041229127251
MYH8	0.241390995397101
NES	0.242132783775757
C6orf203	0.242155093261589
CNTLN	0.242248406149477
ALMS1	0.244850564622444
RGL3	0.244917621327655
CCDC171	0.24563829478002
CFHR5	0.24636746172402
DOK7	0.246907926405885
SLC25A2	0.249829026098252
NUDT8	0.253286318855236
PNPLA7	0.254165795209407
SLC22A11	0.255611976582819
MTHFD2L	0.256590021640873
CEP290	0.258064114816411
FANK1	0.263521899395522
ADGRF3	0.263608866684638
WNT10A	0.264251974994139
CPXM1	0.265014080008862
ABTB1	0.266393835373151
MYO15A	0.26722205985207
ABCA9	0.271848596166977
C12orf56	0.27196251319686
DNM3OS	0.273820655150368
B3GNT4	0.274021192305135
C6	0.275198644082557
CCT6B	0.278229613593046
UNC93A	0.28008681956569
ESF1	0.281469117050782
LY75	0.285485669428551
TMPRSS9	0.285515513020185
CREB3L3	0.285575372067564
ADCY4	0.288382313142232
MROH2B	0.288393475107877
C2orf76	0.290709012184846
HGFAC	0.291403631100797
PXK	0.293705613807405
NINL	0.294214768129561
STK11IP	0.29492991645753
FOLR1	0.298537864898113
RANGRF	0.299236061519457
CCDC17	0.299334300406125
ZNF528	0.299582425682574
CHIA	0.300385608385793
B4GALNT2	0.301386003101142
CRYBA4	0.301802065207277
KRT74	0.302944045383149
CYHR1	0.303510049421147
BTNL2	0.305895218207728
GLI1	0.306829723674543
CASP4	0.307695627075847
SERPINA12	0.308908702162877
DHCR7	0.309039295192845
RERGL	0.309045067624419
RGPD5	0.309415790315151
MEGF6	0.309723814842659
FKBP7	0.310073148538339
UNC45A	0.311248158011569
RNF175	0.311991352135283
CARD9	0.314097178757028
TMC7	0.316962267125623
HSPA6	0.319023709969894
ADAM8	0.320435870462866
HAGH	0.32044409871273
ARID4A	0.320872926486111
RBKS	0.322995304776702
MICB	0.323162006931226
SDSL	0.324039101387455
TMC2	0.325056443178389
PLEKHG4B	0.326790267368619
NEURL2	0.32777278900107
OARD1	0.329834382837793
AARD	0.330521268538154
MAN2C1	0.330684350604618
CASP5	0.332072984378088
ADPRH	0.332851992008954
MSS51	0.333071147679032
APPL2	0.337378847890867
TRIOBP	0.337542272957868
ZBBX	0.338174943325015
ZNF107	0.338303407357064
POMGNT1	0.343364164476599
FAM71A	0.34486453488779
GBP5	0.345021138805575
SSPO	0.346563066087778
C8B	0.346762726651604
PLA2G4D	0.347225749554012
CRNKL1	0.348219792976111
GCNT3	0.349416456346537
EPB41L4A	0.350600528355057
LONP2	0.351013102721027
IFIH1	0.35108815092612
RETSAT	0.351288676846628
PTGER3	0.351519773619438
APIP	0.353194680055961
CCDC40	0.354292490071629
C7orf69	0.354784855854012
MYH15	0.35489073738038
ANO5	0.361222661958766
UPK2	0.362185778646335
CROCC2	0.363998936444613
LOC101928841	0.36577287658233
HLA-DQB1	0.367743820045821
BICDL2	0.367832348199272
RP1L1	0.367998873172481
FAM111A	0.368336864623608
ITSN2	0.369421510050436
ZNF506	0.369858486441292
CDRT1	0.373134849707002
HAL	0.375125502864409
ABHD14B	0.375515895311217
PLA2G3	0.37642287832188
IFI44L	0.378573722773502
SFXN2	0.378644107172454
CPNE1	0.378979219483321
UPK3B	0.380547386325166
C4orf26	0.381647886381195
ECHDC2	0.384597254180061
DNAH8	0.385392161229715
CNGA3	0.390669743011301
CHEK2	0.391408021464505
OR3A1	0.39394103231628
OVGP1	0.395156318980089
C2CD6	0.395935470135664
DHRS12	0.398410615910159
FETUB	0.400625582041035
LEXM	0.401696565029685
SH3RF2	0.402613383640363
SDCBP2	0.40447830366608
USP6	0.406395555890053
OR2M3	0.408162033058544
FBN3	0.408414354260766
MICU2	0.409240194877543
MZB1	0.412718364416691
TKTL2	0.41724675380559
PPP1R3D	0.417514592518074
DNHD1	0.421103094377355
FNDC7	0.422789857610316
ULBP3	0.425599178965688
ZBED6CL	0.426503576750621
C1orf186	0.429063301831759
ASB15	0.431012832178246
OSGEPL1	0.431619693474227
FHAD1	0.431704651738523
DNAH2	0.433294576272691
COX6B2	0.433720133215655
GHDC	0.437503041972951
FLG	0.439827886475385
ZNF229	0.440245593699696
NID2	0.442231272891165
GPNMB	0.443684301652668
ROPN1L	0.446421438790494
S100Z	0.447782373553288
FAM227B	0.449328624932095
DNAH3	0.449946350661197
FAM186A	0.452975654693485
MYH4	0.453204986628177
CWC27	0.453334689269584
NSMF	0.454846144931787
PPFIBP2	0.456193674194108
HPSE	0.457244835335061
TP53I3	0.457504887558939
KRTCAP3	0.457894810800656
NDST1	0.45831031582205
ITGAM	0.458620148193151
POLR3C	0.458992394021333
PDE11A	0.460705383045133
MMP10	0.461577398219124
GPRC5D	0.463285730528862
ZNF556	0.46384847499896
LIPJ	0.463928176082842
MFSD6L	0.465611593609694
DNAJB7	0.465786299025292
ARVCF	0.467174491950018
SKP1	0.468586922993301
SAXO2	0.470420058197539
STARD9	0.47110295656557
IQCA1	0.471853657343711
NTN3	0.472831241039688
CCDC168	0.473895994928181
HABP2	0.474119529076332
TNFRSF13B	0.474877098305761
ACOXL	0.475789059814765
HMCN2	0.477773069706972
OBSCN	0.478833766620224
CLHC1	0.480154429397547
GPR151	0.48056634038904
PCDHGA10	0.482426792732996
COL6A6	0.483460411135547
RPSA	0.486340680010788
ITIH5	0.486956386204346
LPA	0.487348121637399
GGN	0.487368307120016
PTPMT1	0.489072698930249
HIF3A	0.489639704952545
KIF19	0.49017735029757
MROH9	0.490834611073185
IGSF22	0.491483039563487
STK33	0.493207484495049
FRAS1	0.493355404969323
OR7G3	0.498691076612964
ASPSCR1	0.5021978782605
FAM200A	0.504345081202019
SKA3	0.506741498645955
DCHS2	0.515091677084319
CELF2	0.515753087602719
CXCL6	0.516875045514893
CHMP4A	0.517637556607033
ZNF440	0.517691092808713
ZNF677	0.518085596878978
SOSTDC1	0.519162958015067
TLDC1	0.520198322865388
PTCHD3	0.521421538054943
KIAA1614	0.521462594434298
ATP2A1	0.521740634265028
MRPL32	0.522197417581847
GOLGA6L2	0.52289237260329
RNF224	0.5279609600674
CCDC146	0.528307329191913
LIMS1	0.528370212457891
MYH7B	0.529549075920026
XAF1	0.52969329781394
RAPGEF3	0.530524287058824
PUM3	0.532933132751879
ZRANB3	0.533240230816954
AGMO	0.534494383763624
NPVF	0.53458064661917
MRNIP	0.534599086824474
ERAP2	0.535330909592195
MUC17	0.536477627810348
TNFRSF10C	0.537796562218229
AMZ2	0.538572294323462
MYBPHL	0.539030198679916
SDR39U1	0.540911909784804
ZNF623	0.543149618989377
SVOPL	0.545660488801862
SH3BP2	0.546331198795929
ENPP3	0.547997889829792
EPPK1	0.548459800907404
DOLK	0.552562263395439
PLA2G4F	0.552963941168247
SULT1C4	0.553842131027455
EFHB	0.556221901950114
TRIM50	0.557012156541788
DCAKD	0.55749606112903
MSR1	0.557987294603714
ARHGEF38	0.558990544601051
HEATR4	0.56195109422373
CD300C	0.562643696963978
LRTOMT	0.564703085481708
CMYA5	0.566026298654148
FRMD5	0.566075406336593
NRBP1	0.566162343013851
CWH43	0.569079155011605
MYEF2	0.569412710603119
HIST1H2BE	0.569680160508233
CCDC191	0.569907063432648
PRB2	0.573395090693925
C15orf48	0.573516431788977
SLC10A2	0.57406947393304
CTSW	0.574519760802106
TTN	0.574675723003462
NOL3	0.576993246152874
TRPM2	0.57834782863199
AFP	0.581035943414403
C19orf71	0.58324004295509
CALML4	0.584103541198823
BMP2K	0.58485983019429
TSNAXIP1	0.585700068833746
CNTRL	0.586260280501314
RAB44	0.586777424872229
PARP3	0.58722921151171
SMLR1	0.587929789503217
